concept,category,mean,sd,lwr,upr,myvar,result,label,outcome,new_label
BRAIN,back,0.5215811320967422,0.2528427708371836,0.01589559042237498,1.0272666737711094,backness,New Results,BRAIN [back],Weak,BRAIN [back]
DUST,back,0.5354651463644843,0.2527365351672284,0.02999207603002751,1.0409382166989412,backness,New Results,DUST [back],Weak,DUST [back]
NAVEL,back,0.5508972570128882,0.2522371730512216,0.04642291091044492,1.0553716031153315,backness,New Results,NAVEL [back],Weak,NAVEL [back]
BLUNT,rounded,0.50115227294525,0.22579691599749663,0.04955844095025674,0.9527461049402433,roundedness,New Results,BLUNT [rounded],Weak,BLUNT [rounded]
BRAIN,rounded,0.57447812474525,0.22684536280802145,0.12078739912920704,1.028168850361293,roundedness,New Results,BRAIN [rounded],Weak,BRAIN [rounded]
DUST,rounded,0.57285681464525,0.224801816658821,0.12325318132760792,1.022460447962892,roundedness,New Results,DUST [rounded],Weak,DUST [rounded]
HEAD,rounded,0.45090546789525,0.2233795272142746,0.0041464134667008,0.8976645223237991,roundedness,New Results,HEAD [rounded],Weak,HEAD [rounded]
NAVEL,rounded,0.56955015479525,0.22432653888000229,0.12089707703524538,1.0182032325552546,roundedness,New Results,NAVEL [rounded],Weak,NAVEL [rounded]
SUCK,rounded,0.50419361749525,0.22457473001715864,0.05504415746093277,0.9533430775295672,roundedness,New Results,SUCK [rounded],Weak,SUCK [rounded]
CRUSH,high-front,-0.6296378048703035,0.2679478839033959,-1.1655335726770957,-0.0937420370635117,extreme,New Results,CRUSH [high-front],Weak,CRUSH [high-front]
DUST,high-back,0.4721253246538384,0.21107061940949096,0.04998408583485642,0.8942665634728204,extreme,New Results,DUST [high-back],Weak,DUST [high-back]
NAVEL,high-back,0.4508585941562164,0.2082228842388452,0.03441282567852599,0.8673043626339069,extreme,New Results,NAVEL [high-back],Weak,NAVEL [high-back]
SUCK,high-back,0.4343709005135056,0.20843240886074585,0.01750608279201387,0.8512357182349972,extreme,New Results,SUCK [high-back],Weak,SUCK [high-back]
ASH,high-back-rounded,0.2978761983870941,0.11004488093771128,0.07778643651167158,0.5179659602625166,extreme_roundedness,New Results,ASH [high-back-rounded],Weak,ASH [high-back-rounded]
