concept,category,mean,sd,lwr,upr,word_dim
ABOVE,back,-0.10682857740158443,0.26255672096887145,-0.6319420193393274,0.4182848645361585,
ABOVE,central,-0.052094723554078314,0.25441226070589534,-0.560919244965869,0.4567297978577124,
ABOVE,front,0.0961452559251486,0.30142138393397877,-0.506697511942809,0.6989880237931061,
AFTER,back,-0.09552557048663313,0.2661590165379375,-0.6278436035625081,0.43679246258924187,
AFTER,central,-0.07779386759806516,0.25858955729210464,-0.5949729821822745,0.4393852469861441,
AFTER,front,0.10165183386785939,0.3044061295680816,-0.5071604252683038,0.7104640930040226,
AIR,back,-0.09445469458012387,0.2651616066096409,-0.6247779077994057,0.4358685186391579,
AIR,central,-0.01977311612498167,0.2586998117967016,-0.5371727397183849,0.4976265074684215,
AIR,front,0.06589472674100154,0.30522921014261717,-0.5445636935442328,0.6763531470262358,
ALL,back,0.04362894448894251,0.25871428642454103,-0.47379962836013956,0.5610575173380246,
ALL,central,-0.018409749534752502,0.24793952634695224,-0.514288802228657,0.477469303159152,
ALL,front,-0.04872471465946913,0.3010715649036036,-0.6508678444666763,0.553418415147738,
ANGRY,back,0.023136453221076114,0.26803012797213976,-0.5129238027232034,0.5591967091653557,
ANGRY,central,-0.045347128499913604,0.25898063016979195,-0.5633083888394975,0.47261413183967027,
ANGRY,front,-0.016666851273869347,0.3084734205894048,-0.633613692452679,0.6002799899049402,
ANIMAL,back,-0.2684144879402434,0.2623529704529735,-0.7931204288461904,0.2562914529657036,
ANIMAL,central,0.008984674410604153,0.26044420946406394,-0.5119037445175237,0.529873093338732,
ANIMAL,front,0.18477617628240944,0.30197495441382843,-0.4191737325452474,0.7887260851100664,
ANT,back,0.01349568224328691,0.25883188232348353,-0.5041680824036802,0.531159446890254,
ANT,central,0.0010242604409614376,0.24975048130927868,-0.49847670217759593,0.5005252230595189,
ANT,front,-0.035177383043676715,0.30094183282442744,-0.6370610486925316,0.5667062826051782,
ARM OR HAND,back,0.17358535982594683,0.26010738843478737,-0.34662941704362793,0.6938001366955215,
ARM OR HAND,central,0.07495359961462374,0.24885989630348093,-0.42276619299233814,0.5726733922215856,
ARM OR HAND,front,-0.22172119408256485,0.3066278681586155,-0.8349769303997958,0.3915345422346661,
ASH,back,0.27551171292973764,0.25555924383054524,-0.23560677473135283,0.7866302005908281,
ASH,central,-0.03988174989965062,0.2405505696029196,-0.5209828891054898,0.4412193893061886,
