concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high-back,-0.10610707950336891,0.2231165713123192,-0.5523402221280074,0.34012606312126953,
ABOVE,high-front,-0.08582270534359326,0.24686783089825373,-0.5795583671401008,0.4079129564529142,
ABOVE,low-back,-0.017584730550913186,0.1774235586651053,-0.3724318478811238,0.33726238677929743,
ABOVE,low-front,0.14068181694003654,0.3027096201732894,-0.4647374234065422,0.7461010572866154,
AFTER,high-back,-0.08699190987141983,0.2215290811052817,-0.5300500720819832,0.3560662523391436,
AFTER,high-front,0.12202958067949683,0.2479491013072105,-0.3738686219349242,0.6179277832939178,
AFTER,low-back,-0.040783860551736516,0.17687767599593923,-0.39453921254361496,0.31297149144014197,
AFTER,low-front,-0.056967740767057025,0.3046243342678513,-0.6662164093027596,0.5522809277686456,
AIR,high-back,-0.06135029337221832,0.22778307248539406,-0.5169164383430065,0.3942158515985698,
AIR,high-front,-0.14965902687010835,0.25218607119591596,-0.6540311692619403,0.3547131155217236,
AIR,low-back,0.008523574904448458,0.1838999186630997,-0.359276262421751,0.37632341223064786,
AIR,low-front,0.13591834583576617,0.3072257016268674,-0.47853305741796864,0.7503697490895009,
ALL,high-back,0.03433139551874338,0.21807950422850064,-0.4018276129382579,0.47049040397574465,
ALL,high-front,-0.08008745634595876,0.243224981935006,-0.5665374202159708,0.40636250752405323,
ALL,low-back,-0.0019041479323842138,0.16849472694965387,-0.3388936018316919,0.33508530596692354,
ALL,low-front,-0.007022903109438069,0.3017151006089448,-0.6104531043273277,0.5964072981084515,
ANGRY,high-back,0.06028376075878841,0.2261955295256236,-0.39210729829245883,0.5126748198100356,
ANGRY,high-front,0.004529497330205344,0.25107995010977135,-0.49763040288933735,0.5066893975497481,
ANGRY,low-back,-0.01312675221947895,0.1780803927216943,-0.36928753766286754,0.34303403322390963,
ANGRY,low-front,-0.1101060161360148,0.3098352438751492,-0.7297765038863132,0.5095644716142836,
ANIMAL,high-back,-0.19247178270803164,0.22223272332815908,-0.6369372293643498,0.2519936639482865,
ANIMAL,high-front,-0.03250621468422013,0.24730048774498486,-0.5271071901741898,0.4620947608057496,
ANIMAL,low-back,0.013238205076891975,0.17968205332033868,-0.34612590156378537,0.37260231171756936,
ANIMAL,low-front,0.15233508208852936,0.30250252686433954,-0.4526699716401497,0.7573401358172085,
ANT,high-back,0.05335898110686318,0.21674025297182636,-0.38012152483678957,0.4868394870505159,
ANT,high-front,0.05559385957941882,0.24269698332733916,-0.4298001070752595,0.5409878262340971,
ANT,low-back,-0.029167805708716025,0.16727704031184765,-0.3637218863324113,0.30538627491497927,
ANT,low-front,-0.13960595420497765,0.3020564114299863,-0.7437187770649503,0.4645068686549949,
ARM OR HAND,high-back,0.09587725898180628,0.21960782259353623,-0.3433383862052662,0.5350929041688788,
ARM OR HAND,high-front,-0.13625277325849058,0.2478820926532487,-0.632016958564988,0.35951141204800685,
ARM OR HAND,low-back,0.08608324140431353,0.1730838590761781,-0.2600844767480427,0.4322509595566697,
ARM OR HAND,low-front,-0.0804597784964154,0.3066210325415322,-0.6937018435794798,0.5327822865866491,
ASH,high-back,0.25507732259941823,0.21576271410023917,-0.1764481056010601,0.6866027507998966,
ASH,high-front,-0.1759235783029976,0.24141975972801127,-0.6587630977590202,0.30691594115302495,
ASH,low-back,-0.03390407807059588,0.16075021561382313,-0.35540450929824213,0.2875963531570504,
