concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high,-0.15534761438196745,0.26037132512913064,-0.6760902646402287,0.36539503587629385,
ABOVE,low,0.16565024698423933,0.286826792014954,-0.4080033370456686,0.7393038310141473,
ABOVE,mid,-0.06134909697673591,0.3658733785602224,-0.7930958540971808,0.6703976601437088,
AFTER,high,-0.061106681532628083,0.2680305790573066,-0.5971678396472413,0.4749544765819851,
AFTER,low,-0.029154926047144123,0.28990057653430795,-0.60895607911576,0.5506462270214718,
AFTER,mid,0.04531167730002036,0.3677371390203691,-0.6901626007407178,0.7807859553407586,
AIR,high,-0.10644453701935538,0.26346123066180593,-0.6333669983429673,0.42047792430425646,
AIR,low,0.16820383847934556,0.29076292927435354,-0.41332202006936153,0.7497296970280527,
AIR,mid,-0.11780994133722604,0.3696648667569598,-0.8571396748511456,0.6215197921766936,
ALL,high,-0.08545173235655583,0.2631919504820439,-0.6118356333206436,0.440932168607532,
ALL,low,0.008808247646227414,0.2862450097697473,-0.5636817718932672,0.5812982671857221,
ALL,mid,0.03321465272002175,0.36404869696752523,-0.6948827412150287,0.7613120466550722,
ANGRY,high,0.026423730827375924,0.27046879273456625,-0.5145138546417566,0.5673613162965084,
ANGRY,low,-0.07599116679927354,0.29133872462733756,-0.6586686160539487,0.5066862824554016,
ANGRY,mid,-0.0011136723899955174,0.3690473387448021,-0.7392083498795997,0.7369810050996087,
ANIMAL,high,-0.026203313928442683,0.2583286230799191,-0.5428605600882809,0.49045393223139555,
ANIMAL,low,0.16552619885447256,0.2813763913656674,-0.3972265838768622,0.7282789815858073,
ANIMAL,mid,-0.2032116869168907,0.3657169459083384,-0.9346455787335676,0.5282222048997861,
ANT,high,0.1309158861256088,0.26523246670712963,-0.3995490472886505,0.661380819539868,
ANT,low,-0.13266613926015286,0.28037781351760194,-0.6934217662953568,0.428089487775051,
ANT,mid,-0.05781353807760917,0.3638909743947877,-0.7855954868671845,0.6699684107119662,
ARM OR HAND,high,-0.20397839887424443,0.2755062741846214,-0.7549909472434873,0.34703414949499845,
ARM OR HAND,low,-0.14145795060359193,0.30055138719376845,-0.7425607249911288,0.459644823783945,
ARM OR HAND,mid,0.29148166696943717,0.3676822508752972,-0.44388283478115725,1.0268461687200316,
ASH,high,0.15824005412759232,0.26253469169621596,-0.3668293292648396,0.6833094375200243,
ASH,low,-0.11281805787655719,0.2785412420546173,-0.6699005419857917,0.44426442623267737,
ASH,mid,-0.10902691542357386,0.3625215315318199,-0.8340699784872136,0.6160161476400658,
BACK,high,0.053697760057414716,0.26432942273769194,-0.47496108541796916,0.5823566055327986,
BACK,low,-0.09612036473669361,0.2828667040562436,-0.6618537728491808,0.46961304337579357,
BACK,mid,-0.008511866107932484,0.3632092334598929,-0.7349303330277184,0.7179066008118533,
BAD,high,-0.03279878467816543,0.2604671859607145,-0.5537331565995944,0.48813558724326356,
BAD,low,0.07187390649705598,0.28264213211796657,-0.49341035773887715,0.6371581707329891,
BAD,mid,-0.08951685940821545,0.3641254713060613,-0.817767802020338,0.6387340832039072,
BARK,high,-0.08167225324623346,0.26296932530327705,-0.6076109038527876,0.44426639736032064,
BARK,low,0.014655159665615222,0.2858094388440602,-0.5569637180225051,0.5862740373537356,
BARK,mid,0.023338453500033444,0.3638317691090232,-0.7043250847180129,0.7510019917180799,
BE ALIVE,high,0.0074331642118088005,0.26332064991627646,-0.5192081356207441,0.5340744640443618,
BE ALIVE,low,-0.031879883600323754,0.28359274175436416,-0.5990653671090521,0.5353055999084045,
BE ALIVE,mid,-0.023563455147340363,0.3641091878983205,-0.7517818309439813,0.7046549206493006,
BEAUTIFUL,high,-0.10527224067886645,0.26286291985353155,-0.6309980803859295,0.4204535990281967,
BEAUTIFUL,low,0.09787018252406016,0.2872437900838841,-0.4766173976437081,0.6723577626918285,
BEAUTIFUL,mid,-0.04024974520228449,0.366402334384238,-0.7730544139707606,0.6925549235661915,
BECAUSE,high,-0.0348951668593679,0.26480300150747393,-0.5645011698743158,0.49471083615558,
BECAUSE,low,0.015117876392586873,0.2886711869682336,-0.5622244975438803,0.592460250329054,
BECAUSE,mid,-0.02768338438310529,0.3673445071443059,-0.762372398671717,0.7070056299055065,
BEFORE,high,-0.08904461765256737,0.26817968228976763,-0.6254039822321026,0.4473147469269679,
BEFORE,low,-0.034644069885886,0.2901919733216452,-0.6150280165291764,0.5457398767574044,
BEFORE,mid,0.07987412292538774,0.3663795387660228,-0.6528849546066579,0.8126332004574334,
BEHIND,high,-0.08449730851329937,0.26202682896913826,-0.6085509664515759,0.4395563494249771,
BEHIND,low,0.12726255528610894,0.2855248308831612,-0.44378710648021347,0.6983122170524314,
BEHIND,mid,-0.09457589276617655,0.3658319566531345,-0.8262398060724455,0.6370880205400925,
BELLY,high,0.06390439575474319,0.26472256569400654,-0.4655407356332699,0.5933495271427562,
BELLY,low,-0.11951448767684564,0.2821499222782482,-0.6838143322333421,0.44478535687965076,
BELLY,mid,0.003774665328398,0.3628510189646531,-0.7219273726009082,0.7294767032577042,
BELOW OR UNDER,high,-0.07021302669771096,0.2615886084640675,-0.593390243625846,0.45296419023042406,
