concept,category,mean,sd,lwr,upr,word_dim
ABOVE,continuant,0.007901005707813253,0.17025391650057672,-0.3326068272933402,0.3484088387089667,
ABOVE,lateral,-0.017488807087044412,0.13876549699880222,-0.29501980108464887,0.26004218691056,
ABOVE,nasal,-0.17248899626589365,0.22576265675478657,-0.6240143097754668,0.2790363172436795,
ABOVE,stop,0.07341872131245851,0.23540437017793509,-0.39739001904341165,0.5442274616683287,
ABOVE,vibrant,0.03227561475736854,0.1559929000037178,-0.2797101852500671,0.3442614147648041,
AFTER,continuant,-0.013615929666073194,0.16935683390894368,-0.35232959748396053,0.3250977381518142,
AFTER,lateral,0.019047362972359067,0.13996527977492726,-0.2608831965774955,0.29897792252221356,
AFTER,nasal,0.0235983264925009,0.22554769803762828,-0.4274970695827557,0.47469372256775744,
AFTER,stop,-0.11361559202972826,0.23948157457043096,-0.5925787411705902,0.36534755711113365,
AFTER,vibrant,0.09763670762575784,0.156846617859384,-0.21605652809301018,0.41132994334452583,
AIR,continuant,0.3541218198572236,0.16493199644512466,0.02425782696697426,0.6839858127474729,
AIR,lateral,0.13634064709612034,0.13808704155737986,-0.13983343601863937,0.41251473021088003,
AIR,nasal,-0.13453781614968277,0.22374148564751012,-0.582020787444703,0.3129451551453375,
AIR,stop,-0.43271438338549045,0.24090601556578825,-0.914526414517067,0.04909764774608605,
AIR,vibrant,0.15122217730623397,0.15174499128616079,-0.1522678052660876,0.4547121598785555,
ALL,continuant,-0.059146126213806716,0.16927379149715688,-0.39769370920812047,0.27940145678050704,
ALL,lateral,-0.028059587306759285,0.13639869681754238,-0.30085698094184404,0.24473780632832548,
ALL,nasal,-0.0350767296001698,0.22405135205490448,-0.48317943370997873,0.4130259745096392,
ALL,stop,0.07386327632878661,0.23518454292038696,-0.39650580951198733,0.5442323621695605,
ALL,vibrant,-0.0469418830771088,0.15426688084229098,-0.35547564476169075,0.2615918786074732,
ANGRY,continuant,-0.01834012887474841,0.17674772191263477,-0.37183557270001794,0.33515531495052114,
ANGRY,lateral,0.04693483620989418,0.15156944029954794,-0.2562040443892017,0.3500737168089901,
ANGRY,nasal,-0.2789068787221545,0.23596685748292281,-0.7508405936880002,0.1930268362436911,
ANGRY,stop,0.12953211052312733,0.24290430910502345,-0.35627650768691954,0.6153407287331742,
ANGRY,vibrant,0.01909367402416928,0.16635739618640294,-0.3136211183486366,0.35180846639697516,
ANIMAL,continuant,0.03835872452956145,0.16869606658844274,-0.29903340864732403,0.37575085770644695,
ANIMAL,lateral,-0.031062429697340358,0.13392032458264014,-0.29890307886262063,0.23677821946793992,
ANIMAL,nasal,0.17076551155562922,0.22331732133422533,-0.2758691311128214,0.6174001542240799,
ANIMAL,stop,-0.18391745096045908,0.2384141540477626,-0.6607457590559842,0.2929108571350661,
ANIMAL,vibrant,-0.011919526540574116,0.1524455018967962,-0.3168105303341665,0.2929714772530183,
ANT,continuant,-0.08202872955420906,0.1694810938245163,-0.42099091720324167,0.2569334580948235,
ANT,lateral,-0.08270136093244533,0.13585851469373306,-0.35441839031991146,0.18901566845502077,
ANT,nasal,0.1042384282895337,0.22419023846224337,-0.344142048634953,0.5526189052140205,
ANT,stop,-0.023871244849334748,0.23720928232889157,-0.4982898095071179,0.4505473198084484,
ANT,vibrant,0.01811936431451592,0.1546983199569162,-0.2912772755993165,0.32751600422834837,
ARM OR HAND,continuant,-0.1300751259680228,0.1733930813989013,-0.4768612887658254,0.21671103682977982,
ARM OR HAND,lateral,0.15241609989811514,0.14714929017573602,-0.1418824804533569,0.44671468024958716,
ARM OR HAND,nasal,-0.10889903987020866,0.23047065591568977,-0.5698403517015882,0.3520422719611709,
ARM OR HAND,stop,0.09119240514414258,0.2406233295529119,-0.39005425396168125,0.5724390642499664,
ARM OR HAND,vibrant,-0.08714066199659848,0.16198423182485838,-0.41110912564631524,0.23682780165311829,
ASH,continuant,0.060935740404899026,0.17000966683112984,-0.27908359325736065,0.4009550740671587,
ASH,lateral,-0.016167501230599856,0.13706940653455235,-0.29030631429970455,0.25797131183850486,
ASH,nasal,-0.25093137901590545,0.2244802811935328,-0.6998919414029711,0.19802918337116016,
ASH,stop,0.1262181663605266,0.233458179372511,-0.3406981923844954,0.5931345251055486,
ASH,vibrant,-0.0450695562483295,0.15347276830629966,-0.3520150928609288,0.26187598036426984,
BACK,continuant,-0.2578531888372285,0.17279531646559154,-0.6034438217684116,0.08773744409395456,
BACK,lateral,-0.0889308952242706,0.14262524666342546,-0.37418138855112154,0.19631959810258032,
BACK,nasal,-0.12020104312913395,0.22877271551436965,-0.5777464741578733,0.33734438789960536,
BACK,stop,0.28516882111890235,0.23505635845556105,-0.18494389579221976,0.7552815380300244,
BACK,vibrant,-0.03938681899315905,0.1596980259343353,-0.35878287086182964,0.28000923287551155,
BAD,continuant,0.133120925593757,0.16660095335701286,-0.20008098112026873,0.4663228323077827,
BAD,lateral,0.004525774705695697,0.13401560337063956,-0.2635054320355834,0.2725569814469748,
BAD,nasal,-0.1601678853179243,0.2215069237965263,-0.603181732910977,0.2828459622751283,
BAD,stop,-0.049338198312405775,0.23433907033009055,-0.5180163389725869,0.41933994234777533,
BAD,vibrant,0.04400536265592342,0.15129214075690844,-0.25857891885789347,0.3465896441697403,
BARK,continuant,-0.11997500965055359,0.175265416676483,-0.47050584300351955,0.2305558237024124,
BARK,lateral,-0.01535047179428416,0.1450817305660499,-0.30551393292638396,0.2748129893378156,
BARK,nasal,-0.40160258817534766,0.2293581681851817,-0.860318924545711,0.057113748195015746,
BARK,stop,0.34084883926462756,0.2332207470030387,-0.12559265474144982,0.8072903332707049,
BARK,vibrant,-0.05641667184268312,0.16076217897121634,-0.3779410297851158,0.26510768609974955,
BE ALIVE,continuant,0.17552954302211315,0.16367686938642334,-0.15182419575073353,0.5028832817949598,
BE ALIVE,lateral,0.07018616828434796,0.12976537961878887,-0.18934459095322978,0.3297169275219257,
BE ALIVE,nasal,0.06607465763448213,0.21836214070979845,-0.3706496237851148,0.502798939054079,
BE ALIVE,stop,-0.32223485283029507,0.23512168083907434,-0.7924782145084437,0.1480085088478536,
BE ALIVE,vibrant,0.06966272232544236,0.14811903538661306,-0.22657534844778376,0.36590079309866846,
BEAUTIFUL,continuant,0.07147748124127323,0.1682705487575229,-0.26506361627377256,0.40801857875631903,
BEAUTIFUL,lateral,-0.010031061692876297,0.1365465055564977,-0.2831240728058717,0.26306194942011907,
BEAUTIFUL,nasal,0.04567772978719578,0.22410681785896078,-0.40253590593072575,0.49389136550511736,
BEAUTIFUL,stop,-0.15242503306438487,0.23801543636534137,-0.6284559057950676,0.32360583966629786,
BEAUTIFUL,vibrant,0.04985886802835729,0.15303428182229117,-0.2562096956162251,0.3559274316729396,
BECAUSE,continuant,0.05212452394460747,0.1712837878700644,-0.2904430517955213,0.3946920996847363,
BECAUSE,lateral,-0.04028539918522323,0.1403081930412085,-0.32090178526764024,0.2403309868971938,
BECAUSE,nasal,-0.007489127008601642,0.22648423145312202,-0.4604575899148457,0.4454793358976424,
BECAUSE,stop,-0.03825300828644578,0.23851680465948147,-0.5152866176054087,0.43878060103251715,
BECAUSE,vibrant,-0.01949464468956259,0.1572178169901833,-0.3339302786699292,0.29494098929080403,
BEFORE,continuant,-0.0031540052440143136,0.17043417094597033,-0.344022347135955,0.3377143366479263,
BEFORE,lateral,-0.01783385211121617,0.13945341749172727,-0.2967406870946707,0.26107298287223835,
BEFORE,nasal,-0.022942371478077473,0.22663534515770967,-0.4762130617934968,0.43032831883734185,
BEFORE,stop,-0.016954632934583477,0.23833174611628866,-0.4936181251671608,0.4597088592979938,
BEFORE,vibrant,0.01744312969710053,0.15598031768058152,-0.2945175056640625,0.3294037650582636,
BEHIND,continuant,-0.02786513358060257,0.17179117436822064,-0.37144748231704383,0.3157172151558387,
BEHIND,lateral,-0.05266830750124436,0.13816139303073113,-0.3289910935627066,0.22365447856021792,
BEHIND,nasal,0.09883980021360876,0.2257958024714413,-0.3527518047292738,0.5504314051564914,
BEHIND,stop,-0.03823950726427837,0.23948799184370964,-0.5172154909516976,0.4407364764231409,
BEHIND,vibrant,-0.049838750859075645,0.15611728670877817,-0.36207332427663197,0.2623958225584807,
BELLY,continuant,-0.1120354794445252,0.17121961146932846,-0.4544747023831821,0.23040374349413173,
BELLY,lateral,-0.07741303672499203,0.13865043855945683,-0.3547139138439057,0.19988784039392163,
BELLY,nasal,-0.09648775553795821,0.22700114726644313,-0.5504900500708445,0.357514538994928,
BELLY,stop,0.18884667685142706,0.23484006574033822,-0.28083345462924936,0.6585268083321035,
BELLY,vibrant,-0.06910877944275662,0.1562592963785153,-0.3816273721997872,0.24340981331427397,
BELOW OR UNDER,continuant,-0.02707904859272853,0.16985613056091,-0.36679130971454854,0.3126332125290915,
BELOW OR UNDER,lateral,-0.004537527381074871,0.13771688261975426,-0.2799712926205834,0.27089623785843364,
BELOW OR UNDER,nasal,-0.12478116334448516,0.22409366802177,-0.5729684993880252,0.3234061726990548,
BELOW OR UNDER,stop,0.06618203693545036,0.23495812380224657,-0.4037342106690428,0.5360982845399435,
