concept,category,mean,sd,lwr,upr,word_dim
ABOVE,continuant-unvoiced,-0.012843776331463691,0.13493434487615136,-0.28271246608376643,0.257024913420839,
ABOVE,continuant-voiced,0.06717791095406812,0.15923479962980433,-0.25129168830554055,0.38564751021367677,
ABOVE,lateral-voiced,-0.0025974931564057883,0.12915453941798044,-0.26090657199236666,0.2557115856795551,
ABOVE,nasal-voiced,-0.16567152208077507,0.22024177855913385,-0.6061550791990428,0.27481203503749263,
ABOVE,stop-unvoiced,-0.05230972395032573,0.2926838582696194,-0.6376774404895645,0.5330579925889131,
ABOVE,stop-voiced,0.0720913222807354,0.23895260342124816,-0.40581388456176093,0.5499965291232317,
ABOVE,vibrant-voiced,0.04243574715319178,0.1443867674085595,-0.2463377876639272,0.33120928197031074,
AFTER,continuant-unvoiced,0.010852476877567147,0.13657874409145912,-0.2623050113053511,0.28400996506048537,
AFTER,continuant-voiced,-0.03593333712609256,0.16141388913520108,-0.3587611153964947,0.2868944411443096,
AFTER,lateral-voiced,0.022553220300494708,0.13082543397501098,-0.23909764764952726,0.2842040882505167,
AFTER,nasal-voiced,0.025231692705918202,0.2220492730415813,-0.41886685337724444,0.4693302387890808,
AFTER,stop-unvoiced,-0.1848231051831374,0.29506800406760925,-0.7749591133183559,0.4053129029520811,
AFTER,stop-voiced,0.03182421985381111,0.2381654996595996,-0.4445067794653881,0.5081552191730103,
AFTER,vibrant-voiced,0.0844661711648782,0.1469844225416802,-0.2095026739184822,0.3784350162482386,
AIR,continuant-unvoiced,0.13860210040660564,0.13452556559827789,-0.13044903078995013,0.4076532316031614,
AIR,continuant-voiced,0.2744007563351107,0.16133229935364496,-0.04826384237217923,0.5970653550424005,
AIR,lateral-voiced,0.07683762142047955,0.13162851727951205,-0.18641941313854454,0.34009465597950367,
AIR,nasal-voiced,-0.19020496551833074,0.2223532338006318,-0.6349114331195943,0.2545015020829329,
AIR,stop-unvoiced,-0.358892971663296,0.29305440570569624,-0.9450017830746884,0.2272158397480965,
AIR,stop-voiced,-0.016293653378239775,0.23586411666854715,-0.4880218867153341,0.4554345799588545,
AIR,vibrant-voiced,0.08806123462142865,0.14560688679522402,-0.20315253896901939,0.37927500821187665,
ALL,continuant-unvoiced,-6.998731582146124e-4,0.13504367825873337,-0.27078722967568136,0.2693874833592521,
ALL,continuant-voiced,-0.028454512095188164,0.15881268838975499,-0.34607988887469815,0.2891708646843218,
ALL,lateral-voiced,-0.02842884169518664,0.12791680597038785,-0.28426245363596236,0.22740477024558906,
