concept,category,mean,sd,lwr,upr,word_dim
ABOVE,alveolar,0.06153690557539108,0.21420982627267232,-0.36688274696995354,0.48995655812073574,
ABOVE,glottal,0.004891617021852387,0.19566690032772402,-0.38644218363359567,0.3962254176773004,
ABOVE,labial,-0.12275594839654227,0.2116332261474243,-0.5460224006913909,0.30051050389830636,
ABOVE,palatal,-0.007534029980603016,0.19783082590613035,-0.40319568179286375,0.38812762183165767,
ABOVE,velar,-0.025146965637094364,0.1921299774693617,-0.40940692057581773,0.35911298930162905,
AFTER,alveolar,0.0765788627204959,0.21614369514003698,-0.35570852755957805,0.5088662530005699,
AFTER,glottal,-0.044616192942124114,0.1988980537125516,-0.4424123003672273,0.3531799144829791,
AFTER,labial,-0.05645914678787726,0.21522932698076944,-0.48691780074941615,0.3739995071736616,
AFTER,palatal,-0.07159532278290556,0.2010898844765404,-0.4737750917359863,0.33058444617017524,
AFTER,velar,-0.03150335590202518,0.196058709843582,-0.4236207755891892,0.3606140637851388,
AIR,alveolar,-0.021938909117357394,0.21723710370289306,-0.45641311652314354,0.4125352982884287,
AIR,glottal,0.18105286970444198,0.20188295155568542,-0.22271303340692886,0.5848187728158128,
AIR,labial,-0.0136920219351161,0.2169196446343985,-0.4475313112039131,0.4201472673336809,
AIR,palatal,-0.006677988246467306,0.20180908613723697,-0.41029616052094126,0.3969401840280066,
AIR,velar,-0.1694393648642635,0.19706699057555038,-0.5635733460153642,0.22469461628683726,
ALL,alveolar,0.041480697831077586,0.21456798400375898,-0.38765527017644036,0.47061666583859557,
ALL,glottal,-0.024927725667213078,0.1947642329463262,-0.41445619155986546,0.3646007402254393,
ALL,labial,0.0057766983062877645,0.2106573561175117,-0.4155380139287357,0.42709141054131117,
ALL,palatal,-0.05046209209386311,0.19594881704490927,-0.44235972618368163,0.34143554199595544,
ALL,velar,-0.07328811474796883,0.1900942480955452,-0.4534766109390592,0.3069003814431216,
ANGRY,alveolar,0.03693008495364078,0.21812117445437815,-0.39931226395511554,0.47317243386239705,
ANGRY,glottal,-0.046524457274016634,0.202515018851094,-0.4515544949762046,0.3585055804281714,
ANGRY,labial,-0.1538325731917783,0.21964677131462362,-0.5931261158210255,0.28546096943746896,
ANGRY,palatal,-0.02690118164666445,0.20361430386240004,-0.4341297893714645,0.38032742607813563,
ANGRY,velar,0.09455278329874542,0.20207728375937178,-0.3096017842199982,0.49870735081748896,
ANIMAL,alveolar,-0.02819244444774343,0.21640651208005532,-0.4610054686078541,0.4046205797123672,
ANIMAL,glottal,-0.06159907915372814,0.19616866442575442,-0.453936408005237,0.3307382496977807,
ANIMAL,labial,0.04829327006627158,0.21126022728698568,-0.37422718450769976,0.47081372464024296,
ANIMAL,palatal,0.11830773525748207,0.1976639284501949,-0.27702012164290774,0.5136355921578719,
ANIMAL,velar,-0.12682390677210273,0.18941974683734616,-0.505663400446795,0.25201558690258963,
ANT,alveolar,-0.09622016207871764,0.21555975038008973,-0.5273396628388971,0.3348993386814618,
ANT,glottal,-0.08577396238206826,0.1949706085359382,-0.47571517945394465,0.30416725468980815,
ANT,labial,0.12990471978418877,0.20995761212554612,-0.29001050446690346,0.549819944035281,
ANT,palatal,-0.055213021930867155,0.19486198196089874,-0.4449369858526646,0.33451094199093034,
ANT,velar,0.05116365546126116,0.1900518628395962,-0.3289400702179312,0.43126738114045354,
ARM OR HAND,alveolar,-0.017771570900440355,0.21609299147302594,-0.4499575538464922,0.4144144120456115,
ARM OR HAND,glottal,-0.04917006311528714,0.20057214759587627,-0.4503143583070397,0.3519742320764654,
ARM OR HAND,labial,-0.13173345045402496,0.21653037520682542,-0.5647942008676758,0.30132729995962587,
ARM OR HAND,palatal,-0.1071900428993526,0.19875515226844542,-0.5047003474362435,0.2903202616375382,
ARM OR HAND,velar,0.2132856855714149,0.19643195106622577,-0.17957821656103665,0.6061495877038664,
ASH,alveolar,-0.05834357326927309,0.2140377891509278,-0.4864191515711287,0.3697320050325825,
ASH,glottal,0.011229873782165846,0.19406027336296258,-0.37689067294375933,0.399350420508091,
ASH,labial,0.13383758230807058,0.20907083589717468,-0.2843040894862788,0.55197925410242,
ASH,palatal,-0.05072390210951984,0.1945813219188432,-0.4398865459472062,0.33843874172816657,
ASH,velar,-0.0914813176488723,0.18824415766547833,-0.46796963297982896,0.2850069976820844,
BACK,alveolar,-0.08602574199616946,0.21383860695579995,-0.5137029559077694,0.34165147191543044,
BACK,glottal,-0.05596611002029287,0.19408075932203556,-0.444127628664364,0.3321954086237782,
BACK,labial,-0.053919313548528545,0.20844534701249834,-0.4708100075735252,0.36297138047646815,
BACK,palatal,-0.07655581729960942,0.19331095072934276,-0.46317771875829494,0.3100660841590761,
BACK,velar,0.22255885579311122,0.18954101306094573,-0.15652317032878024,0.6016408819150026,
BAD,alveolar,-0.09743942964915644,0.2147494180349138,-0.5269382657189841,0.3320594064206711,
BAD,glottal,0.007017186953890504,0.1939771489096216,-0.38093711086535265,0.3949714847731337,
BAD,labial,0.13207907357772253,0.20922890476145573,-0.2863787359451889,0.550536883100634,
BAD,palatal,0.02232609673602712,0.19477023142361255,-0.36721436611119795,0.41186655958325225,
BAD,velar,-0.08397769716107563,0.1883483186723811,-0.46067433450583783,0.2927189401836866,
BARK,alveolar,-0.20642455339158133,0.21355907917874029,-0.633542711749062,0.22069360496589924,
BARK,glottal,-0.02426829334969631,0.19449189776091835,-0.41325208887153303,0.3647155021721404,
BARK,labial,0.016243038370550193,0.2080419525777568,-0.3998408667849634,0.43232694352606377,
BARK,palatal,-0.06903315576677267,0.1909969638471201,-0.45102708346101283,0.3129607719274675,
BARK,velar,0.28758867450919734,0.18855150042802055,-0.08951432634684375,0.6646916753652384,
BE ALIVE,alveolar,0.04847158462738238,0.2142431152696199,-0.3800146459118574,0.47695781516662217,
BE ALIVE,glottal,0.005880840442564109,0.19597381299927036,-0.3860667855559766,0.3978284664411048,
BE ALIVE,labial,5.056624430964587e-4,0.21139418348231379,-0.4222827045215311,0.42329402940772404,
BE ALIVE,palatal,-0.047721082762248436,0.19628355713583318,-0.4402881970339148,0.3448460315094179,
BE ALIVE,velar,-0.10722062934746021,0.19042995104755323,-0.4880805314425667,0.2736392727476462,
BEAUTIFUL,alveolar,0.07089548852725203,0.21560641752307802,-0.360317346518904,0.5021083235734081,
BEAUTIFUL,glottal,-0.0402860166053436,0.19692872818082457,-0.43414347296699274,0.35357143975630556,
BEAUTIFUL,labial,-0.06867196859021261,0.21347013378398497,-0.49561223615818256,0.3582682989777573,
BEAUTIFUL,palatal,-0.021457081300942114,0.19986100811125013,-0.42117909752344235,0.37826493492155816,
BEAUTIFUL,velar,-0.051623363737239726,0.19358002433390298,-0.4387834124050457,0.3355366849305662,
BECAUSE,alveolar,0.030989680800152762,0.2173071318940617,-0.40362458298797066,0.46560394458827614,
BECAUSE,glottal,-0.04840565645601805,0.19787700865439803,-0.44415967376481413,0.347348360852778,
BECAUSE,labial,0.017499099577563654,0.21444486298865595,-0.4113906263997482,0.4463888255548756,
BECAUSE,palatal,0.043020309799582844,0.20047733172289342,-0.357934353646204,0.44397497324536966,
BECAUSE,velar,-0.13324506370944997,0.19440081973063952,-0.522046703170729,0.2555565757518291,
BEFORE,alveolar,0.06512886567359047,0.21541813091827997,-0.36570739616296943,0.4959651275101504,
BEFORE,glottal,-0.023773065158502697,0.19827830817587566,-0.420329681510254,0.37278355119324863,
BEFORE,labial,-0.06025535872240948,0.2133195155876385,-0.4868943898976865,0.3663836724528675,
BEFORE,palatal,-0.0562926363031873,0.19818509265418363,-0.4526628216115546,0.34007754900517995,
BEFORE,velar,-0.03611610204768218,0.19414405611475355,-0.4244042142771893,0.3521720101818249,
BEHIND,alveolar,-5.679113315726112e-4,0.2160532889376146,-0.43267448920680185,0.4315386665436566,
BEHIND,glottal,-0.053387301211635776,0.19846135723086372,-0.4503100156733632,0.3435354132500917,
BEHIND,labial,-0.031502090567118814,0.21379408887113208,-0.459090268309383,0.3960860871751453,
BEHIND,palatal,-0.06990932861350731,0.19756854607571636,-0.46504642076494,0.32522776353792543,
BEHIND,velar,0.06986279454965276,0.19420533240817303,-0.3185478702666933,0.45827345936599884,
BELLY,alveolar,-0.06715813808215493,0.2141854252576454,-0.4955289885974457,0.36121271243313585,
BELLY,glottal,-0.04367459760601322,0.19345516356189152,-0.43058492472979626,0.3432357295177698,
BELLY,labial,0.11472053373294366,0.20904769446955287,-0.3033748552061621,0.5328159226720495,
BELLY,palatal,-0.025024721238367364,0.19396647111920912,-0.4129576634767856,0.3629082210000509,
BELLY,velar,-0.030022286250555502,0.18837892873133377,-0.406780143713223,0.34673557121211207,
BELOW OR UNDER,alveolar,0.08122752922092777,0.21446440664350827,-0.3477012840660888,0.5101563425079443,
BELOW OR UNDER,glottal,-0.011994397242208769,0.19602674163727518,-0.4040478805167591,0.3800590860323416,
BELOW OR UNDER,labial,-0.028210460384063104,0.21185536983798547,-0.45192120006003406,0.39550027929190784,
BELOW OR UNDER,palatal,-0.055823701379878785,0.19753267642684139,-0.45088905423356157,0.339241651473804,
BELOW OR UNDER,velar,-0.10832385169050598,0.19053817679975346,-0.48940020529001294,0.2727525019090009,
BESIDE,alveolar,-0.09136088484791745,0.21764077278794086,-0.5266424304237992,0.3439206607279643,
BESIDE,glottal,-0.0068004743223216355,0.20026286876815286,-0.40732621185862733,0.3937252632139841,
BESIDE,labial,0.08159549059259785,0.2165584378842969,-0.35152138517599596,0.5147123663611917,
BESIDE,palatal,-0.03677728392202101,0.19966203735193358,-0.43610135862588817,0.36254679078184615,
BESIDE,velar,0.0229715653445463,0.19712440700349643,-0.37127724866244655,0.41722037935153916,
BETWEEN,alveolar,-0.003158532836037758,0.2178270663132733,-0.43881266546258435,0.4324955997905089,
BETWEEN,glottal,-0.06467444546145762,0.2021084687856696,-0.4688913830327968,0.3395424921098816,
BETWEEN,labial,-0.04489693348827427,0.21937845722446755,-0.4836538479372094,0.3938599809606608,
BETWEEN,palatal,-0.0918058773952856,0.2021243015002146,-0.4960544803957148,0.3124427256051436,
BETWEEN,velar,0.10861564568565504,0.20205854425152092,-0.2955014428173868,0.5127327341886969,
BIG,alveolar,-0.04629371203457777,0.2136020425190824,-0.4734977970727426,0.38091037300358704,
BIG,glottal,0.02489016694322476,0.19360383596392838,-0.362317504984632,0.41209783887108153,
BIG,labial,-0.00990587457801485,0.20847889360473615,-0.42686366178748714,0.40705191263145746,
BIG,palatal,-0.03248762059085442,0.19391968905663443,-0.42032699870412327,0.35535175752241444,
BIG,velar,0.03144259985025616,0.1886237104098037,-0.3458048209693512,0.40869002066986354,
BIRD,alveolar,0.09506782460773079,0.21412423362554994,-0.3331806426433691,0.5233162918588307,
BIRD,glottal,-0.06833479118835188,0.19413906844319978,-0.45661292807475146,0.31994334569804767,
BIRD,labial,-0.03922654341481437,0.21036218147038477,-0.4599509063555839,0.3814978195259552,
BIRD,palatal,0.025383762080173594,0.19732222314893264,-0.36926068421769165,0.4200282083780389,
BIRD,velar,-0.14281721187232768,0.1892049621112499,-0.5212271360948275,0.23559271235017212,
BITE,alveolar,-0.15844820463140447,0.21324051703706642,-0.5849292387055374,0.2680328294427284,
BITE,glottal,0.019619309412920463,0.19325703015570103,-0.3668947508984816,0.4061333697243225,
BITE,labial,-0.16885273524401587,0.20758377014993656,-0.584020275543889,0.24631480505585726,
BITE,palatal,-0.01282223574622371,0.19110021919923148,-0.39502267414468667,0.36937820265223925,
BITE,velar,0.324972632134583,0.1878086025867088,-0.05064457303883463,0.7005898373080006,
BITTER,alveolar,-0.29104632221564813,0.21489254092220877,-0.7208314040600656,0.13873875962876941,
BITTER,glottal,-0.016768152476098388,0.1958813034939663,-0.40853075946403095,0.3749944545118342,
BITTER,labial,-0.07704043851834323,0.2091979665115713,-0.49543637154148584,0.34135549450479935,
BITTER,palatal,-0.09169739757867561,0.19064339680732006,-0.47298419119331575,0.2895893960359645,
BITTER,velar,0.4762469934730812,0.18962991688028344,0.09698715971251431,0.8555068272336481,
BLACK,alveolar,0.031290964422405955,0.2140537271165933,-0.3968164898107806,0.45939841865559256,
BLACK,glottal,-0.057207133136753276,0.1941919192266672,-0.4455909715900877,0.3311767053165811,
BLACK,labial,-0.04080668006251207,0.2097874758769867,-0.4603816318164855,0.3787682716914613,
BLACK,palatal,-0.042149898416815976,0.1956328481420165,-0.433415594700849,0.349115797867217,
BLACK,velar,0.014060555663246273,0.18980710250132257,-0.3655536493393989,0.3936747606658914,
BLOOD,alveolar,0.10413172774627255,0.21351741540212238,-0.3229031030579722,0.5311665585505173,
BLOOD,glottal,-0.010768977497599684,0.1943508126677659,-0.3994706028331315,0.3779326478379321,
BLOOD,labial,-0.10673714494981232,0.20984964608710743,-0.5264364371240272,0.3129621472244025,
BLOOD,palatal,0.013713888517637817,0.19671280049493092,-0.379711712472224,0.4071394895074997,
BLOOD,velar,-0.1187428220845691,0.18983391004082137,-0.49841064216621184,0.26092499799707364,
BLOW (OF WIND),alveolar,-0.16193154804822726,0.21530672302748913,-0.5925449941032055,0.268681898006751,
BLOW (OF WIND),glottal,0.053291329674458425,0.1941462740067131,-0.3350012183389678,0.44158387768788465,
BLOW (OF WIND),labial,0.2605735514970194,0.20883858485528559,-0.1571036182135518,0.6782507212075906,
BLOW (OF WIND),palatal,0.007643782540068555,0.19403716855182546,-0.3804305545635824,0.39571811964371945,
BLOW (OF WIND),velar,-0.177034838520004,0.1880793079732674,-0.5531934544665389,0.1991237774265308,
BLUE,alveolar,-0.005374219552936552,0.21610040557568602,-0.4375750307043086,0.4268265915984355,
BLUE,glottal,-0.07756557000576149,0.19657258490021742,-0.4707107398061963,0.31557959979467337,
BLUE,labial,0.09330832212145031,0.21329902667956274,-0.3332897312376752,0.5199063754805758,
BLUE,palatal,-0.02031087961396846,0.19850232874782878,-0.417315537109626,0.3766937778816891,
BLUE,velar,-0.08382167191020332,0.19250382982147948,-0.4688293315531623,0.3011859877327556,
BLUNT,alveolar,-0.13402927463557118,0.21689371648734992,-0.567816707610271,0.29975815833912867,
BLUNT,glottal,-0.1110246795078918,0.19515620586410695,-0.5013370912361057,0.2792877322203221,
BLUNT,labial,0.3340593167049455,0.21087557932460327,-0.08769184194426105,0.755810475354152,
BLUNT,palatal,-0.10170365405762809,0.19469044605735983,-0.49108454617234776,0.28767723805709156,
BLUNT,velar,-0.09518940776551184,0.19046195179922068,-0.4761133113639532,0.28573449583292954,
BODY,alveolar,0.07606561209503063,0.2143134228404286,-0.3525612335858266,0.5046924577758878,
BODY,glottal,-0.04124426330968234,0.1961771505098887,-0.43359856432945976,0.3511100377100951,
BODY,labial,-0.050882275301505193,0.21193908539477546,-0.4747604460910561,0.37299589548804574,
BODY,palatal,-0.06301218815572959,0.19802337084526042,-0.4590589298462504,0.3330345535347913,
BODY,velar,-0.04437809965665702,0.19174980299509647,-0.42787770564684996,0.33912150633353594,
BONE,alveolar,-0.034332534726231795,0.21283227821221115,-0.4599970911506541,0.3913320216981905,
BONE,glottal,0.049559834886696214,0.1938658711472371,-0.338171907407778,0.4372915771811704,
BONE,labial,-0.19890812720275877,0.20832148259114686,-0.6155510923850525,0.21773483797953494,
BONE,palatal,-0.014404948529661706,0.19339480509032955,-0.40119455871032084,0.3723846616509974,
BONE,velar,0.1656330708928244,0.18904759856014278,-0.21246212622746116,0.5437282680131099,
BOY,alveolar,0.03977582619701278,0.21555970808136216,-0.3913435899657115,0.4708952423597371,
BOY,glottal,-0.08321770837703234,0.19572409362838084,-0.474665895633794,0.3082304788797293,
BOY,labial,0.08146429814091857,0.21151923513186563,-0.3415741721228127,0.5045027684046498,
BOY,palatal,-0.04731743646682803,0.1967981896700298,-0.4409138158068876,0.3462789428732316,
BOY,velar,-0.11752427969535564,0.19059814499913041,-0.49872056969361644,0.2636720103029052,
BRAIN,alveolar,-0.16977028097732466,0.21492305950785465,-0.599616399993034,0.26007583803838463,
BRAIN,glottal,-0.004841117537398631,0.19560900024911387,-0.3960591180356264,0.3863768829608291,
BRAIN,labial,0.10463568259051051,0.21025289106496348,-0.31587009953941647,0.5251414647204374,
BRAIN,palatal,-0.09237007899112545,0.1928700743095851,-0.47811022761029565,0.2933700696280448,
BRAIN,velar,0.1528651114600637,0.18980666009831515,-0.2267482087365666,0.532478431656694,
BREAST,alveolar,0.0412522713071352,0.2140443636810827,-0.3868364560550302,0.4693409986693006,
BREAST,glottal,0.03484401767203872,0.1945216769932778,-0.3541993363145169,0.4238873716585943,
BREAST,labial,0.07680535208724312,0.2099832198197631,-0.34316108755228303,0.49677179172676933,
BREAST,palatal,-0.03464877337557232,0.1962706225319269,-0.4271900184394261,0.3578924716882815,
BREAST,velar,-0.2274434373180203,0.18900851030070698,-0.6054604579194343,0.15057358328339365,
BREATHE,alveolar,-0.08755069328615639,0.2146522984608074,-0.5168552902077712,0.34175390363545843,
BREATHE,glottal,0.023347737394921693,0.1949574654462975,-0.3665671934976733,0.4132626682875167,
BREATHE,labial,0.03874007054616047,0.2098008847501109,-0.38086169895406136,0.4583418400463823,
BREATHE,palatal,-0.020730800912140926,0.19474950911969174,-0.4102298191515244,0.3687682173272426,
BREATHE,velar,0.0324846984658267,0.18971348038897287,-0.34694226231211905,0.41191165924377243,
BURN,alveolar,0.01588170235469854,0.2140836754032577,-0.41228564845181687,0.44404905316121396,
BURN,glottal,-0.01831787121053143,0.19471639541153088,-0.40775066203359317,0.37111491961253035,
BURN,labial,-0.1423296806371491,0.20976340924405756,-0.5618564991252643,0.277197137850966,
BURN,palatal,0.0165533658087552,0.19599407341242073,-0.37543478101608624,0.40854151263359667,
BURN,velar,0.06601687308650357,0.18998140874092098,-0.3139459443953384,0.4459796905683455,
BURNING,alveolar,-0.11911702304256522,0.21572645912064037,-0.550569941283846,0.3123358951987155,
BURNING,glottal,-0.0043269727997659385,0.1971872698527234,-0.39870151250521274,0.3900475669056808,
BURNING,labial,-0.12487620243106856,0.21140257417110295,-0.5476813507732745,0.29792894591113733,
BURNING,palatal,0.11329379432278441,0.19636479321642136,-0.2794357921100583,0.5060233807556271,
BURNING,velar,0.15781627182338898,0.1915987257210891,-0.22538117961878923,0.5410137232655672,
BUTTOCKS,alveolar,-0.0506503304259379,0.2155829318697399,-0.4818161941654177,0.3805155333135419,
BUTTOCKS,glottal,-0.09298267133472153,0.19634754685355713,-0.4856777650418358,0.2997124223723927,
BUTTOCKS,labial,0.1179411408687417,0.21226129931945634,-0.306581457770171,0.5424637395076544,
BUTTOCKS,palatal,-0.1275542702041942,0.19669111795524,-0.5209365061146742,0.2658279657062858,
BUTTOCKS,velar,0.05401582460123203,0.19224196123410633,-0.3304680978669806,0.4384997470694447,
CARRY,alveolar,-0.062486342456935004,0.21465828889002886,-0.49180292023699274,0.3668302353231227,
CARRY,glottal,-0.0043684196933104266,0.1957140378772369,-0.3957964954477842,0.3870596560611634,
CARRY,labial,-0.062387369028334215,0.2103859241379886,-0.4831592173043114,0.358384479247643,
CARRY,palatal,-0.05022113454600776,0.1952779821258454,-0.44077709879769855,0.3403348297056831,
CARRY,velar,0.14333646057392052,0.19052663453029584,-0.23771680848667115,0.5243897296345121,
CHILD (DESCENDANT),alveolar,0.06738517196930945,0.21688538831662674,-0.36638560466394404,0.501155948602563,
CHILD (DESCENDANT),glottal,-0.057060586791192976,0.19928960751908145,-0.4556398018293559,0.34151862824696994,
CHILD (DESCENDANT),labial,0.07993161691187618,0.21619660175743272,-0.35246158660298926,0.5123248204267417,
CHILD (DESCENDANT),palatal,-0.05840297442084207,0.20039937415481945,-0.459201722730481,0.34239577388879683,
CHILD (DESCENDANT),velar,-0.17883955550149022,0.19532764833775787,-0.569494852177006,0.21181574117402552,
CLAW,alveolar,-0.017463897024331956,0.21535276563925523,-0.4481694283028424,0.41324163425417854,
CLAW,glottal,-0.08546644948395116,0.1970513166978156,-0.47956908287958233,0.30863618391168,
CLAW,labial,-0.017436880171642702,0.21179275239657422,-0.4410223849647911,0.40614862462150575,
CLAW,palatal,-0.045426280656733986,0.19639514700003483,-0.43821657465680364,0.34736401334333566,
CLAW,velar,0.08634192124480428,0.1919776815440963,-0.29761344184338834,0.4702972843329969,
CLEAN,alveolar,0.01682665499789974,0.2160618591012432,-0.41529706320458665,0.44895037320038617,
CLEAN,glottal,-0.047019717628446867,0.19786982609988418,-0.44275936982821523,0.3487199345713215,
CLEAN,labial,-0.086929780060681,0.21311329368270554,-0.513156367426092,0.3392968073047301,
CLEAN,palatal,0.0621881772621589,0.19866674896571485,-0.3351453206692708,0.4595216751935886,
CLEAN,velar,-0.008777624879256507,0.19325160230606733,-0.39528082949139115,0.3777255797328782,
CLOUD,alveolar,-0.10178025199160692,0.21461085601458182,-0.5310019640207706,0.3274414600375567,
CLOUD,glottal,-0.048156082338974115,0.19378461797734306,-0.43572531829366024,0.339413153615712,
CLOUD,labial,0.17271103010623534,0.20907506590308694,-0.24543910169993854,0.5908611619124092,
CLOUD,palatal,-0.08919193286959867,0.19334491208170484,-0.4758817570330084,0.297497891293811,
CLOUD,velar,0.0075819212347890425,0.1887198519996796,-0.36985778276457015,0.3850216252341483,
COLD,alveolar,0.012373528733908288,0.21351884289968004,-0.4146641570654518,0.43941121453326837,
COLD,glottal,-0.062137250827670736,0.19394573665609502,-0.4500287241398608,0.3257542224845193,
COLD,labial,-0.06731534002246717,0.20893814674954275,-0.4851916335215527,0.3505609534766183,
COLD,palatal,-0.033752423979571164,0.1942793758526719,-0.422311175684915,0.35480632772577264,
COLD,velar,0.0685508342159729,0.18921198108943452,-0.3098731279628961,0.44697479639484194,
COME,alveolar,-0.12033927829193368,0.21415133843642398,-0.5486419551647816,0.30796339858091426,
COME,glottal,0.04009697785353309,0.19338435976061116,-0.3466717416676892,0.42686569737475544,
COME,labial,0.13257469210118297,0.2080469994842193,-0.2835193068672557,0.5486686910696216,
COME,palatal,0.050116554528852435,0.1936569888765611,-0.33719742322426977,0.43743053228197465,
COME,velar,-0.09966342965237732,0.18751804510631445,-0.47469951986500625,0.27537266056025156,
CORRECT (RIGHT),alveolar,0.11367154353359607,0.213936330934056,-0.3142011183345159,0.5415442054017081,
CORRECT (RIGHT),glottal,-0.03615338471163015,0.19546110349303378,-0.4270755916976977,0.3547688222744374,
CORRECT (RIGHT),labial,-0.14705409670016673,0.21116475596014206,-0.5693836086204509,0.2752754152201174,
CORRECT (RIGHT),palatal,-0.017519159364043413,0.19800987149480834,-0.4135389023536601,0.37850058362557326,
CORRECT (RIGHT),velar,-0.04484583971454244,0.19154500683216497,-0.42793585337887236,0.3382441739497875,
COUGH,alveolar,-0.03513387878871749,0.2138471799581122,-0.4628282387049419,0.3925604811275069,
COUGH,glottal,0.06381231457008277,0.19602423085738785,-0.32823614714469296,0.45586077628485844,
COUGH,labial,-0.30957374354029454,0.20988643631210815,-0.7293466161645108,0.11019912908392177,
COUGH,palatal,-0.09589388663891359,0.19482939175800465,-0.48555267015492287,0.2937648968770957,
COUGH,velar,0.30127767754261686,0.19106060211759324,-0.08084352669256961,0.6833988817778034,
CROOKED,alveolar,-0.26977608310914286,0.21586577709296276,-0.7015076372950684,0.16195547107678265,
CROOKED,glottal,-0.0988464431666524,0.19666110158930514,-0.4921686463452627,0.29447576001195785,
CROOKED,labial,-0.1324295386199152,0.2097622366323652,-0.5519540118846455,0.2870949346448152,
CROOKED,palatal,-0.12350754868986895,0.19196834603333057,-0.50744424075653,0.2604291433767922,
CROOKED,velar,0.5604510995239037,0.19013773036989015,0.1801756387841234,0.9407265602636841,
CRUSH,alveolar,0.01937364097140103,0.21972352257499683,-0.4200734041785926,0.4588206861213947,
CRUSH,glottal,-0.002867424662883004,0.20867736421228691,-0.4202221530874568,0.41448730376169085,
CRUSH,labial,-0.2761503284647668,0.22831113983550294,-0.7327726081357726,0.1804719512062391,
CRUSH,palatal,-0.08621224001486667,0.2066873327995705,-0.49958690561400765,0.32716242558427433,
CRUSH,velar,0.23436556576266418,0.211441225004289,-0.1885168842459138,0.6572480157712421,
CRY,alveolar,-0.14469135928781837,0.21390780592144523,-0.5725069711307088,0.2831242525550721,
CRY,glottal,-0.0033694068089466416,0.19349908314981976,-0.39036757310858616,0.38362875949069286,
CRY,labial,-0.15193705495292137,0.20765823267885428,-0.5672535203106299,0.2633794104047872,
CRY,palatal,0.05514484085785715,0.19235341452188218,-0.3295619881859072,0.4398516699016215,
CRY,velar,0.26139299936697397,0.18809050497405794,-0.11478801058114191,0.6375740093150899,
DARK,alveolar,-0.03129872826799466,0.21601779670159,-0.46333432167117466,0.4007368651351853,
DARK,glottal,-0.07026195744404237,0.1967632080318133,-0.463788373507669,0.3232644586195842,
DARK,labial,0.09167518435388866,0.2122530925441557,-0.33283100073442273,0.51618136944220006,
DARK,palatal,-0.10143369950738254,0.19671245780238775,-0.494858615112158,0.291991216097393,
DARK,velar,0.018853608194244316,0.1924035256673769,-0.3659534431405095,0.4036606595289981,
DAY (NOT NIGHT),alveolar,0.14231173209262943,0.2143102858844433,-0.2863088396762572,0.570932303861516,
DAY (NOT NIGHT),glottal,-0.048448346671303856,0.19497068776831047,-0.4383897222079248,0.34149302886531707,
DAY (NOT NIGHT),labial,-0.1152790515489933,0.21178589656099664,-0.5388508446709865,0.30829274157299996,
DAY (NOT NIGHT),palatal,-0.007812990824538792,0.19841406984345653,-0.40464113051145184,0.38901514886237426,
DAY (NOT NIGHT),velar,-0.1267712983161734,0.19075797787537713,-0.5082872540669277,0.25474465743458086,
DEEP,alveolar,0.1806182112050345,0.2156392744403367,-0.2506603376756389,0.6118967600857079,
DEEP,glottal,-0.06130340316376809,0.19891972434497684,-0.4591428518537218,0.3365360455261856,
DEEP,labial,-0.20777096807414094,0.2155111481213297,-0.6387932643168004,0.22325132816851848,
DEEP,palatal,-0.09021342361894613,0.20171598546718073,-0.4936453945533076,0.3132185473154153,
