concept,category,mean,sd,lwr,upr,word_dim
ABOVE,rounded,-0.08509322898321818,0.22923604009619042,-0.543565309175599,0.37337885120916264,
ABOVE,unrounded,0.08509322898321892,0.2292360400961905,-0.3733788512091621,0.5435653091755999,
AFTER,rounded,-0.05740730380158818,0.23350012433739423,-0.5244075524763766,0.4095929448732003,
AFTER,unrounded,0.05740730380158891,0.23350012433739417,-0.4095929448731994,0.5244075524763773,
AIR,rounded,-0.09123897306221318,0.23789461575203866,-0.5670282045662904,0.38455025844186413,
AIR,unrounded,0.09123897306221392,0.23789461575203866,-0.3845502584418634,0.5670282045662912,
ALL,rounded,0.03560344737729183,0.22804469576579564,-0.42048594415429946,0.4916928389088831,
ALL,unrounded,-0.035603447377291084,0.2280446957657957,-0.4916928389088825,0.4204859441543003,
ANGRY,rounded,0.02715622821229183,0.24132853112205385,-0.45550083403181585,0.5098132904563996,
ANGRY,unrounded,-0.02715622821229109,0.2413285311220539,-0.5098132904563989,0.45550083403181674,
ANIMAL,rounded,-0.22401324136869818,0.22941459412950213,-0.6828424296277025,0.23481594689030608,
ANIMAL,unrounded,0.2240132413686989,0.22941459412950216,-0.2348159468903054,0.6828424296277033,
ANT,rounded,0.015676337059484822,0.2289749453363428,-0.44227355361320075,0.47362622773217045,
ANT,unrounded,-0.015676337059484076,0.2289749453363428,-0.47362622773216967,0.44227355361320153,
ASH,rounded,0.25988199985130184,0.22734086402879303,-0.19479972820628422,0.7145637279088879,
ASH,unrounded,-0.2598819998513011,0.22734086402879305,-0.7145637279088872,0.194799728206285,
BACK,rounded,0.21937474885130182,0.22756540911943077,-0.23575606938755972,0.6745055670901634,
BACK,unrounded,-0.2193747488513011,0.2275654091194308,-0.6745055670901627,0.2357560693875605,
BAD,rounded,-0.18918482962869818,0.22761984170961053,-0.6444245130479193,0.26605485379052285,
BAD,unrounded,0.1891848296286989,0.22761984170961055,-0.2660548537905222,0.64442451304792,
BARK,rounded,0.06711446349257182,0.22817571107613602,-0.3892369586597002,0.5234658856448439,
BARK,unrounded,-0.0671144634925711,0.22817571107613602,-0.5234658856448431,0.3892369586597009,
BE ALIVE,rounded,-0.03261972153354517,0.2280030391064956,-0.4886257997465364,0.423386356679446,
BE ALIVE,unrounded,0.03261972153354592,0.2280030391064956,-0.4233863566794453,0.48862579974653714,
BEAUTIFUL,rounded,-0.03430390958787717,0.23029397425551354,-0.49489185809890424,0.4262840389231499,
BEAUTIFUL,unrounded,0.03430390958787792,0.23029397425551346,-0.426284038923149,0.49489185809890485,
BECAUSE,rounded,-0.09544826201694818,0.2337657304775836,-0.5629797229721154,0.372083198938219,
BECAUSE,unrounded,0.09544826201694892,0.2337657304775835,-0.37208319893821806,0.562979722972116,
BEFORE,rounded,-0.12215571602647818,0.23125340267521402,-0.5846625213769062,0.34035108932394986,
BEFORE,unrounded,0.12215571602647891,0.23125340267521405,-0.3403510893239492,0.584662521376907,
BEHIND,rounded,-0.07546220079932818,0.23046337450456714,-0.5363889498084624,0.3854645482098061,
BEHIND,unrounded,0.07546220079932892,0.2304633745045672,-0.38546454820980547,0.5363889498084633,
BELLY,rounded,0.07855202903000183,0.22642188831681978,-0.3742917476036377,0.5313958056636414,
BELLY,unrounded,-0.0785520290300011,0.2264218883168198,-0.5313958056636408,0.37429174760363854,
BELOW OR UNDER,rounded,-0.09097614916539817,0.2283056811240334,-0.547587511413465,0.36563521308266866,
BELOW OR UNDER,unrounded,0.09097614916539891,0.2283056811240334,-0.3656352130826679,0.5475875114134657,
BESIDE,rounded,-0.16126876119709818,0.2364326922564224,-0.634134145709943,0.31159662331574667,
BESIDE,unrounded,0.16126876119709893,0.2364326922564224,-0.3115966233157459,0.6341341457099438,
BETWEEN,rounded,-0.11945903137640818,0.24003299794628735,-0.5995250272689829,0.36060696451616653,
BETWEEN,unrounded,0.11945903137640891,0.24003299794628735,-0.3606069645161658,0.5995250272689836,
BIG,rounded,0.03070246077160804,0.22702642756295457,-0.4233503943543011,0.4847553158975172,
BIG,unrounded,-0.0307024607716073,0.22702642756295452,-0.48475531589751636,0.4233503943543017,
BIRD,rounded,-0.03561772064344179,0.22656869554412082,-0.4887551117316834,0.4175196704447999,
BIRD,unrounded,0.03561772064344252,0.22656869554412082,-0.4175196704447991,0.4887551117316842,
BITE,rounded,-0.19247165759869816,0.22707346225282246,-0.6466185821043431,0.26167526690694676,
BITE,unrounded,0.19247165759869891,0.22707346225282243,-0.261675266906946,0.6466185821043438,
BITTER,rounded,-0.08495833034342878,0.2293895820950489,-0.5437374945335266,0.373820833846669,
BITTER,unrounded,0.08495833034342952,0.2293895820950489,-0.37382083384666825,0.5437374945335273,
BLACK,rounded,0.019988404415900815,0.22627357168844625,-0.4325587389609917,0.47253554779279333,
BLACK,unrounded,-0.019988404415900086,0.22627357168844622,-0.47253554779279255,0.43255873896099234,
