concept,category,mean,sd,lwr,upr,word_dim
ABOVE,unvoiced,-0.1363752282815372,0.3959791028503693,-0.9283334339822757,0.6555829774192015,
ABOVE,voiced,0.13637522828153714,0.3959791028503693,-0.6555829774192015,0.9283334339822757,
AFTER,unvoiced,-0.30121454537990716,0.39990594183767786,-1.101026429055263,0.49859733829544856,
AFTER,voiced,0.30121454537990716,0.39990594183767786,-0.49859733829544856,1.101026429055263,
AIR,unvoiced,-0.10505827022395718,0.40099036147550227,-0.9070389931749617,0.6969224527270473,
AIR,voiced,0.10505827022395715,0.40099036147550227,-0.6969224527270473,0.9070389931749617,
ALL,unvoiced,0.10019447868259282,0.3954711884365298,-0.6907478981904668,0.8911368555556524,
ALL,voiced,-0.10019447868259285,0.3954711884365298,-0.8911368555556525,0.6907478981904667,
ANGRY,unvoiced,0.010264302000622819,0.40437523153128685,-0.7984861610619509,0.8190147650631965,
ANGRY,voiced,-0.010264302000622848,0.40437523153128685,-0.8190147650631966,0.7984861610619508,
ANIMAL,unvoiced,-0.16225147924980718,0.3971819519349029,-0.956615383119613,0.6321124246199986,
ANIMAL,voiced,0.16225147924980715,0.39718195193490297,-0.6321124246199987,0.9566153831196131,
ANT,unvoiced,-0.038051168060118185,0.396021256460564,-0.8300936809812463,0.7539913448610098,
ANT,voiced,0.03805116806011815,0.396021256460564,-0.7539913448610099,0.8300936809812461,
ASH,unvoiced,0.2400530181100928,0.39508182083233784,-0.5501106235545828,1.0302166597747684,
ASH,voiced,-0.24005301811009286,0.39508182083233784,-1.0302166597747686,0.5501106235545828,
BACK,unvoiced,0.03779764759922201,0.3954040488571174,-0.7530104501150128,0.8286057453134568,
BACK,voiced,-0.03779764759922205,0.3954040488571174,-0.8286057453134568,0.7530104501150128,
BAD,unvoiced,-0.07057291261503719,0.39583518766017484,-0.8622432879353868,0.7210974627053125,
BAD,voiced,0.07057291261503715,0.39583518766017484,-0.7210974627053125,0.8622432879353868,
BARK,unvoiced,0.3284841158100928,0.3960306706203115,-0.4635772254305302,1.1205454570507158,
BARK,voiced,-0.32848411581009285,0.3960306706203115,-1.1205454570507158,0.46357722543053015,
BE ALIVE,unvoiced,-0.21282745023990718,0.3953735444370645,-1.0035745391140363,0.5779196386342218,
BE ALIVE,voiced,0.21282745023990715,0.3953735444370645,-0.5779196386342219,1.0035745391140363,
BEAUTIFUL,unvoiced,-0.18480814324240719,0.3987120903827196,-0.9822323240078463,0.6126160375230321,
BEAUTIFUL,voiced,0.18480814324240716,0.3987120903827196,-0.6126160375230321,0.9822323240078463,
BECAUSE,unvoiced,-0.07587325903569118,0.39925743694590504,-0.8743881329275013,0.7226416148561189,
BECAUSE,voiced,0.07587325903569114,0.39925743694590504,-0.722641614856119,0.8743881329275012,
BEFORE,unvoiced,-0.1719858589809572,0.39934142349305835,-0.9706687059670739,0.6266969880051595,
BEFORE,voiced,0.17198585898095714,0.39934142349305835,-0.6266969880051596,0.9706687059670738,
BEHIND,unvoiced,-0.1824001846528072,0.3989277359462922,-0.9802556565453916,0.6154552872397773,
