word,group,fit,lwr,upr,word_caps,nLangs,nRegions,cardinal,topCardinal,fitProp_fit,fitProp_lwr,fitProp_upr,obs,obs_OR,myvar
1PLE,consonant,-0.196239804033479,-0.296481508481284,-0.09681873904466,1PLE,221,6,ɟfpbrcɦhʎldkçɬsvṇjtʔṃzxṛἠ,ɟ,0.48381336044672,0.463300641240432,0.503788539987566,0.499713654002446,-0.159962477221024,vowelConsonant
1PLI,consonant,-0.150509403449322,-0.25325290431382,-0.048636205052945,1PLI,224,6,ɟfxbpldɦʎshcrvktṇṃṛçἠʔ,ɟ,0.491667002946413,0.471967632448327,0.511589821723003,0.502733643600379,-0.14253462379105,vowelConsonant
1SG,consonant,-0.25031566113612,-0.348874670304262,-0.152415373959229,1SG,232,6,pɟbçlʎrfɣsztɦhgmvdṇkɽṃṛἠ,ɟ,0.474484921114202,0.455374433737199,0.4944538480365,0.483852351711571,-0.251526982682579,vowelConsonant
2PL,consonant,-0.209563973759994,-0.305783652764142,-0.110012185835739,2PL,225,6,fxɣdlrɦpʎsbhtɬṇkɲzʔṃṛἠ,ɣ,0.481584507483339,0.461946466118797,0.500957780462054,0.504350275927267,-0.133204917715392,vowelConsonant
2SG,consonant,-0.478736916314568,-0.579899947193012,-0.379688709838239,2SG,221,6,rflçɣpʎdɽɬtkɟxɦbsczgvṇṃṛἠ,f,0.435177314399161,0.414906979892522,0.454637417372138,0.484627743456946,-0.247047916506202,vowelConsonant
3PL,consonant,-0.379682556648206,-0.480774814572526,-0.279753453733637,3PL,218,6,ɟɲfɣpʎskrblṇjɬzxʔçṃtṛdἠŋv,ṇ,0.452256892569014,0.432172367966609,0.47185100729017,0.490615224892452,-0.212473872433272,vowelConsonant
3SG,consonant,-0.549741705791474,-0.648096920916314,-0.453549485561403,3SG,218,6,çɽsdrɬɟvkbɦlʎɣmgpzṇtʔcṃṛἠ,ɽ,0.42294165140641,0.404227461679527,0.442393268170015,0.465670928474424,-0.356727731529118,vowelConsonant
above,consonant,-0.13412777796137,-0.237794369476814,-0.030392970144503,ABOVE,202,6,sɦhxcɽjɣzfŋʎkɲṇtpṃʔἠ,ɦ,0.494352611947841,0.474012555745643,0.515298526935177,0.507199061716115,-0.11676296354616,vowelConsonant
afraid,consonant,0.048955685794647,-0.053917119137035,0.152254514707968,AFRAID,208,6,cɦrɟɣçfvɽɲgdsjʎŋ,s,0.526419327990187,0.506211444612827,0.54672176909815,0.527714534399357,0.001788543981975,vowelConsonant
after,consonant,-0.02012345786573,-0.128391387865336,0.089800127350718,AFTER,183,6,ɲçcŋɽɟlzkjṇfmʔnṃsṛtἠv,ṇ,0.514388411103698,0.49308353058611,0.535544865570011,0.520690556603665,-0.038841159751904,vowelConsonant
