concept,category,mean,sd,lwr,upr,word_dim
ABOVE,back,-0.10628544717077819,0.26010194136362236,-0.6264893298980229,0.4139184355564665,
ABOVE,central,-0.05236644514421026,0.257438856098609,-0.5672441573414283,0.46251126705300777,
ABOVE,front,0.09579094452509473,0.3019695565048508,-0.5081481684846069,0.6997300575347963,
AFTER,back,-0.09562697150679225,0.2636774787174779,-0.622981928941748,0.4317279859281635,
AFTER,central,-0.07788726636230187,0.2596055533738351,-0.5970983731099722,0.44132384038536837,
AFTER,front,0.10188671195894407,0.3042326860889656,-0.5065786602189871,0.7103520841368752,
AIR,back,-0.0941387801647569,0.2635605107154712,-0.6212598015956993,0.4329822412661855,
AIR,central,-0.020065412344256964,0.2623430106982015,-0.5447514337406599,0.504620609052146,
AIR,front,0.06556717098914629,0.30706824396821797,-0.5485693169472896,0.6797036589255823,
ALL,back,0.04365151414690933,0.256055772144189,-0.4684600301414687,0.5557630584352874,
ALL,central,-0.019064559187136922,0.250447672724435,-0.5199599046360069,0.48183078626173315,
ALL,front,-0.0485393940573875,0.3011787407542676,-0.6508968755659227,0.5538180874511477,
ANGRY,back,0.022528228198690693,0.26650527161248977,-0.5104823150262888,0.5555387714236703,
ANGRY,central,-0.044966479797669816,0.25990655718289796,-0.5647795941634657,0.4748466345681261,
ANGRY,front,-0.016502950065147275,0.3095338307895534,-0.635570611644254,0.6025647115139595,
ANIMAL,back,-0.2674751813402126,0.2603365234660568,-0.7881482282723262,0.253197865591901,
ANIMAL,central,0.008651367711071526,0.26268048104494557,-0.5167095943788196,0.5340123298009627,
ANIMAL,front,0.18443685987974173,0.30232007214843715,-0.42020328441713256,0.789077004176616,
ANT,back,0.014518876954908711,0.2567077885813936,-0.49889670020787846,0.5279344541176959,
ANT,central,8.04031762794455e-6,0.25208770824066606,-0.5041673761637042,0.50418345679896,
ANT,front,-0.035620449760197355,0.3020139584287277,-0.6396483666176528,0.568407467097258,
ARM OR HAND,back,0.17351612001026676,0.2569044248963108,-0.3402927297823549,0.6873249698028884,
ARM OR HAND,central,0.07524240319614775,0.25111739658277055,-0.42699238996939337,0.5774771963616888,
ARM OR HAND,front,-0.2221880854051089,0.3069755274192208,-0.8361391402435505,0.39176296943333266,
ASH,back,0.2753518245138481,0.25359107117164625,-0.2318303178294444,0.7825339668571406,
ASH,central,-0.04052041329382881,0.2426022452671107,-0.5257249038280501,0.44468407724039255,
ASH,front,-0.24166893078269105,0.30135822890892783,-0.8443853886005467,0.36104752703516463,
BACK,back,0.1930035458536063,0.25271255830143496,-0.31242157074926363,0.6984286624564762,
BACK,central,0.03482286994652584,0.24519951687701874,-0.45557616380751165,0.5252219037005633,
BACK,front,-0.2129124406514493,0.3018918728162412,-0.8166961862839317,0.39087130498103306,
BAD,back,-0.19903490044217728,0.26010102943204677,-0.7192369593062709,0.32116715842191623,
BAD,central,-0.04723270717631791,0.2590521716541619,-0.5653370504846417,0.4708716361320059,
BAD,front,0.16655342577463736,0.30121083004031296,-0.43586823430598853,0.7689750858552633,
BARK,back,0.0968958162950546,0.2565806720543417,-0.4162655278136288,0.610057160403738,
BARK,central,-0.041726423771805465,0.24938797780762614,-0.5405023793870578,0.4570495318434468,
BARK,front,-0.08084158340397807,0.3017968627787401,-0.6844353089614583,0.5227521421535022,
BE ALIVE,back,-0.06115439807691562,0.2584600607890348,-0.5780745196549851,0.4557657235011539,
BE ALIVE,central,-0.04181176081425419,0.2548534603635651,-0.5515186815413844,0.467895159912876,
BE ALIVE,front,0.05283474966201006,0.30122865784047237,-0.5496225660189347,0.6552920653429548,
BEAUTIFUL,back,-0.06059890642559993,0.2613478454033944,-0.5832945972323887,0.46209678438118884,
BEAUTIFUL,central,-0.057738720560605965,0.25647650037103786,-0.5706917213026816,0.45521428018146975,
BEAUTIFUL,front,0.06158866443771371,0.30293780608585436,-0.544286947733995,0.6674642766094224,
