concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high-back,-0.10560626324399652,0.2199478137187538,-0.5455018906815041,0.3342893641935111,
ABOVE,high-front,-0.08659705212611785,0.2510444445890655,-0.5886859413042489,0.41549183705201315,
ABOVE,low-back,-0.017410519226362282,0.17404210508082735,-0.36549472938801697,0.3306736909352924,
ABOVE,low-front,0.1413607962078237,0.29940116677854933,-0.45744153734927495,0.7401631297649224,
AFTER,high-back,-0.086901683800105,0.21944996534381364,-0.5258016144877323,0.3519982468875223,
AFTER,high-front,0.12189880190663938,0.2520609126472471,-0.38222302338785485,0.6260206272011336,
AFTER,low-back,-0.04110654108683292,0.1743260122407437,-0.38975856556832034,0.3075454833946545,
AFTER,low-front,-0.056659964538361245,0.30240944088258653,-0.6614788463035343,0.5481589172268119,
AIR,high-back,-0.060464713563590816,0.22435193897759395,-0.5091685915187787,0.3882391643915971,
AIR,high-front,-0.14976239843942846,0.2560545650102614,-0.6618715284599512,0.3623467315810944,
AIR,low-back,0.008755561281289435,0.1796188393584133,-0.35048211743553714,0.36799323999811606,
AIR,low-front,0.13574180799599916,0.30484255902425933,-0.4739433100525195,0.7454269260445179,
ALL,high-back,0.03478998858035315,0.21545288518146904,-0.39611578178258494,0.46569575894329124,
ALL,high-front,-0.08037736961460143,0.24721647345140574,-0.5748103165174129,0.4140555772882101,
ALL,low-back,-0.0016512240130616446,0.16583615067552465,-0.333323525364111,0.33002107733798763,
ALL,low-front,-0.006846996952467691,0.2984114147571946,-0.603669826466857,0.5899758325619215,
ANGRY,high-back,0.05983045571323438,0.22270142614819438,-0.3855723965831544,0.5052333080096232,
ANGRY,high-front,0.004201987307170264,0.25707363738899347,-0.5099452874708167,0.5183492620851572,
ANGRY,low-back,-0.013082394199173073,0.17629274751101615,-0.36566788922120536,0.3395031008228592,
ANGRY,low-front,-0.10911759936113219,0.3069633958958652,-0.7230443911528626,0.5048091924305982,
ANIMAL,high-back,-0.19195940325323108,0.21994509788588704,-0.6318495990250051,0.247930792518543,
ANIMAL,high-front,-0.03332939895031306,0.25125950811938974,-0.5358484151890925,0.4691896172884664,
ANIMAL,low-back,0.01298685391668473,0.17678563776427328,-0.3405844216118618,0.3665581294452313,
ANIMAL,low-front,0.15308327055196233,0.299772838766569,-0.4464624069811757,0.7526289480851004,
ANT,high-back,0.052964721682370985,0.21469382090195738,-0.37642292012154377,0.48235236348628574,
ANT,high-front,0.05513521457760792,0.24698543265272135,-0.4388356507278348,0.5491060798830506,
ANT,low-back,-0.028971888168606498,0.16480661145345626,-0.35858511107551905,0.300641334738306,
ANT,low-front,-0.1386487833938471,0.29964499227781677,-0.7379387679494807,0.4606412011617864,
ARM OR HAND,high-back,0.095788311326858,0.2183396333504353,-0.3408909553740126,0.5324675780277286,
ARM OR HAND,high-front,-0.13645879550503998,0.25188825037842083,-0.6402352962618816,0.3673177052518017,
ARM OR HAND,low-back,0.08632673476569463,0.171140345170118,-0.25595395557454137,0.42860742510593064,
ARM OR HAND,low-front,-0.07984118339597002,0.30354530657552364,-0.6869317965470173,0.5272494297550773,
ASH,high-back,0.2551213108546002,0.21313342277785213,-0.17114553470110405,0.6813881564103045,
ASH,high-front,-0.17614210515077572,0.2453216069309702,-0.6667853190127161,0.31450110871116466,
ASH,low-back,-0.033194732377552674,0.15860862476619028,-0.3504119819099332,0.2840225171548279,
ASH,low-front,-0.13731757275205095,0.29880005692865924,-0.7349176866093694,0.46028254110526756,
BACK,high-back,0.17665787779271502,0.21365610076845115,-0.2506543237441873,0.6039700793296173,
BACK,high-front,-0.1491949821781136,0.24580381210354268,-0.640802606385199,0.34241264202897176,
BACK,low-back,0.011502513988810926,0.16085265789371322,-0.31020280179861554,0.33320782977623736,
BACK,low-front,-0.102872260958003,0.2989600717026893,-0.7007924043633815,0.4950478824473756,
BAD,high-back,-0.19117295807345594,0.21827809317808824,-0.6277291444296325,0.24538322828272055,
BAD,high-front,0.023188644862457194,0.2496520406375275,-0.4761154364125978,0.5224927261375122,
BAD,low-back,-0.011363675490323855,0.1735141218208069,-0.35839191913193763,0.3356645681512899,
BAD,low-front,0.1173889441205915,0.29824373250410124,-0.47909852088761096,0.713876409128794,
BARK,high-back,0.07804785894441008,0.21617634275727232,-0.35430482657013457,0.5104005444589548,
BARK,high-front,-0.07681399482017134,0.2472722312119111,-0.5713584572439936,0.41773046760365085,
BARK,low-back,-0.027782250817940963,0.1652807033795798,-0.35834365757710057,0.3027791559412187,
BARK,low-front,-0.038137591474590636,0.29919635982778164,-0.6365303111301539,0.5602551281809727,
BE ALIVE,high-back,-0.03946415428034657,0.2157784058807934,-0.47102096604193333,0.3920926574812402,
BE ALIVE,high-front,0.0811378321342708,0.24745613860174967,-0.41377444506922856,0.5760501093377701,
BE ALIVE,low-back,-0.03420819240902906,0.16762158813735678,-0.3694513686837426,0.3010349838656845,
BE ALIVE,low-front,-0.06542221866618275,0.29907696082685487,-0.6635761403198925,0.5327317029875269,
BEAUTIFUL,high-back,-0.057101440980190564,0.22048447006865182,-0.4980703811174942,0.3838674991571131,
BEAUTIFUL,high-front,-0.09270826482503836,0.251471674875656,-0.5956516145763504,0.4102350849262737,
BEAUTIFUL,low-back,-0.036903588899361225,0.1740623114301439,-0.385028211759649,0.31122103396092654,
BEAUTIFUL,low-front,0.11341764462976864,0.30074564975446116,-0.48807365487915366,0.714908944138691,
BECAUSE,high-back,-0.12561778831702194,0.22043516552300654,-0.566488119363035,0.31525254272899117,
BECAUSE,high-front,0.0952237779530237,0.25239322777133777,-0.4095626775896518,0.6000102334956993,
BECAUSE,low-back,-0.0391454842813142,0.1751977808934262,-0.3895410460681666,0.3112500775055382,
BECAUSE,low-front,0.005781238938005466,0.30224420516946016,-0.5987071714009149,0.6102696492769257,
BEFORE,high-back,-0.05605627439027611,0.21878311307574752,-0.49362250054177115,0.38150995176121894,
BEFORE,high-front,0.03007174397090519,0.25048300238606075,-0.4708942608012163,0.5310377487430267,
BEFORE,low-back,-0.03242436399489531,0.17316261702213243,-0.37874959803916014,0.31390087004936956,
BEFORE,low-front,-0.0015301291031140157,0.3016673607878826,-0.6048648506788792,0.6018045924726512,
BEHIND,high-back,0.01699132294944585,0.22185125897530064,-0.42671119500115545,0.4606938409000471,
BEHIND,high-front,-0.18081902580425702,0.2509725338289516,-0.6827640934621603,0.32112604185364624,
BEHIND,low-back,-0.02613651619648072,0.17296415038953272,-0.37206481697554616,0.3197917845825847,
BEHIND,low-front,0.11113713028149821,0.30043791898876715,-0.4897387076960361,0.7120129682590325,
BELLY,high-back,0.14939071100862877,0.2131574823543968,-0.2769242537001648,0.5757056757174224,
BELLY,high-front,-0.08466864763689375,0.245523843208532,-0.5757163340539577,0.40637903878017023,
BELLY,low-back,0.004716646290224568,0.16076790544407452,-0.3168191645979245,0.3262524571783736,
BELLY,low-front,-0.12804129730957817,0.2984601475136178,-0.7249615923368138,0.4688789977176575,
BELOW OR UNDER,high-back,-0.04641842763663482,0.21732614959773824,-0.48107072683211133,0.38823387155884165,
BELOW OR UNDER,high-front,-0.04275569264318941,0.24856182483319625,-0.5398793423095819,0.4543679570232031,
BELOW OR UNDER,low-back,-0.017937315596507478,0.16952477539015554,-0.35698686637681853,0.3211122351838036,
BELOW OR UNDER,low-front,0.04877216124623324,0.2988854246347815,-0.5489986880233297,0.6465430105157963,
BESIDE,high-back,-0.08638379548216425,0.22463116672224537,-0.535646128926655,0.3628785379623265,
BESIDE,high-front,-0.08950466568504176,0.2559381909462207,-0.6013810475774832,0.42237171620739966,
BESIDE,low-back,-0.01865376964711964,0.17969263814181363,-0.3780390459307469,0.34073150663650764,
BESIDE,low-front,0.1252219905716367,0.3043225161110305,-0.4834230416504243,0.7338670227936976,
BETWEEN,high-back,-0.025991388840683097,0.22731535176260273,-0.48062209236588854,0.4286393146845224,
BETWEEN,high-front,-0.20393877242446987,0.2588868162911862,-0.7217124050068423,0.3138348601579025,
BETWEEN,low-back,-0.014172929980529618,0.18249224801019995,-0.3791574260009295,0.3508115660398703,
BETWEEN,low-front,0.16077015075618273,0.3076562637573957,-0.45454237675860865,0.7760826782709741,
BIG,high-back,0.021605599478170635,0.21686163029794742,-0.4121176611177242,0.4553288600740655,
BIG,high-front,-0.14616203261178703,0.24762003936298965,-0.6414021113377664,0.34907804611419224,
BIG,low-back,-0.0057994411395055805,0.16704623350516665,-0.3398919081498389,0.3282930258708277,
BIG,low-front,0.06661556637771203,0.29826569916448803,-0.529915831951264,0.6631469647066881,
BIRD,high-back,0.010911111404588765,0.21279983400071736,-0.41468855659684595,0.4365107794060235,
BIRD,high-front,0.0584014292388812,0.24542897383357343,-0.43245651842826566,0.5492593769060281,
BIRD,low-back,0.00961717982081396,0.16371569752153198,-0.31781421522225,0.3370485748638779,
BIRD,low-front,-0.12223737868897874,0.29815202477273256,-0.7185414282344439,0.47406667085648635,
BITE,high-back,-0.15633150127963336,0.21894973578474966,-0.5942309728491326,0.28156797028986597,
BITE,high-front,-0.11193779020019415,0.24994252333109815,-0.6118228368623905,0.3879472564620021,
BITE,low-back,0.004384707233532778,0.1737598041170596,-0.3431349010005864,0.351904315467652,
BITE,low-front,0.19510839038295277,0.2980183423181799,-0.40092829425340704,0.7911450750193126,
BITTER,high-back,-0.09897049031477438,0.22223757860271495,-0.5434456475202043,0.3455046668906555,
BITTER,high-front,-0.21317196622664053,0.2511974120418584,-0.7155667903103573,0.2892228578570763,
BITTER,low-back,-0.0068576279201395364,0.176062792311871,-0.35898321254388155,0.34526795670360244,
BITTER,low-front,0.23246074448441253,0.29923730617838146,-0.36601386787235035,0.8309353568411755,
BLACK,high-back,0.0064386222512259755,0.2120840260659572,-0.4177294298806884,0.4306066743831404,
BLACK,high-front,0.07307275035947014,0.245406181042853,-0.41773961172623586,0.5638851124451761,
BLACK,low-back,0.03513876507680796,0.16378551788256665,-0.29243227068832534,0.36270980084194127,
BLACK,low-front,-0.14992826257982156,0.2981295538475285,-0.7461873702748785,0.4463308451152354,
BLOOD,high-back,-0.19393745566161363,0.21546440913176526,-0.6248662739251442,0.2369913626019169,
BLOOD,high-front,0.06606512303826279,0.2479666369104717,-0.4298681507826806,0.5619983968592062,
BLOOD,low-back,0.028594065665442814,0.17157645257375306,-0.3145588394820633,0.37174697081294894,
BLOOD,low-front,0.055846912505350364,0.2979877558949563,-0.5401285992845622,0.6518224242952629,
BLOW (OF WIND),high-back,0.3200038489051873,0.209128790971815,-0.0982537330384427,0.7382614308488173,
BLOW (OF WIND),high-front,0.026171391433671583,0.24433061289865896,-0.4624898343636463,0.5148326172309895,
BLOW (OF WIND),low-back,-0.01972204221331179,0.15491917636293787,-0.32956039493918754,0.2901163105125639,
BLOW (OF WIND),low-front,-0.43651823383293453,0.2990678777966534,-1.0346539894262414,0.16161752176037225,
BLUE,high-back,0.054594568516981114,0.21749186456304065,-0.38038916060910016,0.48957829764306243,
BLUE,high-front,-0.03252109877545353,0.24909025376405516,-0.5307016063035639,0.46565940875265677,
BLUE,low-back,-0.007487184454151041,0.16793712140465744,-0.3433614272634659,0.32838705835516385,
