concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high-back-rounded,-0.08269509153878105,0.11842825488855022,-0.31955160131588145,0.1541614182383194,
ABOVE,high-back-unrounded,-0.05121799813310931,0.2560404734145846,-0.5632989449622785,0.46086294869605987,
ABOVE,high-front-rounded,6.196009294953791e-4,0.10351368684715903,-0.2064077727648227,0.20764697462381343,
ABOVE,high-front-unrounded,-0.11994161749874949,0.2619461251587013,-0.64383386781615215,0.4039506328186531,
ABOVE,low-back-rounded,-0.020838585781096774,0.09473273001625317,-0.2103040458136031,0.16862687425140957,
ABOVE,low-back-unrounded,-0.02292376810328502,0.16037348477399654,-0.3436707376512781,0.2978232014447081,
ABOVE,low-front-rounded,-0.020893017165394538,0.09453955698751673,-0.209972131140428,0.16818609680963892,
ABOVE,low-front-unrounded,0.14559391766665572,0.3214103938897119,-0.497226870112768,0.7884147054460795,
AFTER,high-back-rounded,-0.0442422414542962,0.11623796416557414,-0.2767181697854445,0.18823368687685207,
AFTER,high-back-unrounded,-0.07609276097232685,0.2581309209767355,-0.5923546029257979,0.44016908098114416,
AFTER,high-front-rounded,-0.022145907799616782,0.10577804658542432,-0.23370200097046542,0.18941018537123186,
AFTER,high-front-unrounded,0.1341799171582647,0.26081917466556004,-0.38745843217285536,0.6558182664893848,
AFTER,low-back-rounded,-0.020458555575383706,0.09781426897465424,-0.2160870935246922,0.17516998237392478,
AFTER,low-back-unrounded,-0.03776686259948137,0.16033005780968249,-0.35842697821884634,0.2828932530198836,
AFTER,low-front-rounded,-0.01712813227702059,0.09800054926869847,-0.21312923081441754,0.17887296626037635,
AFTER,low-front-unrounded,-0.07930408510814962,0.32457077166391035,-0.7284456284359704,0.569837458219671,
AIR,high-back-rounded,-0.06097730104363571,0.12142662877971394,-0.30383055860306357,0.18187595651579216,
AIR,high-back-unrounded,-0.040358843052603226,0.259665324654572,-0.5596894923617471,0.47897180625654073,
AIR,high-front-rounded,-0.0071456740666383965,0.11298968195589965,-0.2331250379784377,0.21883368984516088,
AIR,high-front-unrounded,-0.17176345404125806,0.26579983762267334,-0.7033631292866047,0.35983622120408865,
