concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high,-0.15579789558230714,0.26213804297771065,-0.6800739815377285,0.36847819037311413,
ABOVE,low,0.16668612272743688,0.283660535656674,-0.4006349485859111,0.7340071940407848,
ABOVE,mid,-0.062205007843559486,0.36507774546211164,-0.7923604987677828,0.6679504830806637,
AFTER,high,-0.05988431349493716,0.26923730518710726,-0.5983589238691517,0.47859029687927734,
AFTER,low,-0.029200718185675933,0.2872918914848711,-0.6037845011554182,0.5453830647840663,
AFTER,mid,0.04457684713078037,0.3658808377766161,-0.6871848284224519,0.7763385226840126,
AIR,high,-0.1068991448585335,0.2651272087230848,-0.6371535623047031,0.42335527258763617,
AIR,low,0.16854224308301816,0.2879454472039251,-0.4073486513248321,0.7444331374908684,
AIR,mid,-0.11797266181172712,0.36818073833471804,-0.8543341384811632,0.6183888148577089,
ALL,high,-0.08566356902999689,0.2649498484054297,-0.6155632658408563,0.44423612778086247,
ALL,low,0.009558145973067454,0.28277054284300834,-0.5559829397129492,0.5750992316590842,
ALL,mid,0.033047633708646086,0.36259967649401303,-0.69215171927938,0.7582469866966721,
ANGRY,high,0.02619906847846005,0.27128468127646355,-0.516370294074467,0.5687684310313872,
ANGRY,low,-0.07534516899937861,0.28794534131226096,-0.6512358516239005,0.5005455136251433,
ANGRY,mid,-9.775215754547094e-4,0.36724062456414774,-0.7354587707037502,0.7335037275528408,
ANIMAL,high,-0.026669611575960057,0.25991958631548095,-0.546508784206922,0.49316956105500187,
ANIMAL,low,0.16570625213493786,0.27853198829415843,-0.391357724453379,0.7227702287232547,
ANIMAL,mid,-0.20340067036299053,0.364170738623593,-0.9317421476101766,0.5249408068841954,
ANT,high,0.13077167296023431,0.26637734945690206,-0.40198302595356983,0.6635263718740384,
ANT,low,-0.13173844470798737,0.27783037051195547,-0.6873991857318983,0.4239222963159236,
ANT,mid,-0.05830475456950737,0.3627929476007092,-0.7838906497709257,0.667281140631911,
ARM OR HAND,high,-0.20268230387800465,0.27666258715826364,-0.756007478194532,0.3506428704385226,
ARM OR HAND,low,-0.1408197857478018,0.29771322826007746,-0.7362462422679568,0.4546066707723531,
ARM OR HAND,mid,0.2906686092099041,0.3669520952049101,-0.44323558119991613,1.0245727996197243,
ASH,high,0.15827316220452603,0.2643198712647942,-0.3703665803250624,0.6869129047341145,
ASH,low,-0.11296585119306773,0.2750700742097655,-0.6631059996125988,0.4371742972264632,
ASH,mid,-0.1087833834788602,0.3618888941013688,-0.8325611716815978,0.6149944047238775,
BACK,high,0.0537036832697234,0.2658150784243222,-0.47792647357892104,0.5853338401183679,
BACK,low,-0.09558133332311453,0.2787658799548257,-0.653113093232766,0.4619504265865369,
BACK,mid,-0.008638198949136025,0.3625066871919181,-0.7336515733329722,0.7163751754347002,
BAD,high,-0.033134868296593886,0.2614807749964985,-0.5560964182895909,0.48982668169640314,
BAD,low,0.07190817095604171,0.279271790225089,-0.4866354094941363,0.6304517514062198,
BAD,mid,-0.08922114171070568,0.36301481051846585,-0.8152507627476374,0.636808479326226,
BARK,high,-0.08222475151084654,0.2652916440666759,-0.6128080396441983,0.44835853662250524,
BARK,low,0.015655064542920535,0.2830330637692936,-0.5504110629956667,0.5817211920815077,
BARK,mid,0.02302065059285232,0.36324320008032124,-0.7034657495677902,0.7495070507534948,
BE ALIVE,high,0.006926960536896049,0.26492590169291014,-0.5229248428489243,0.5367787639227163,
BE ALIVE,low,-0.031403796833613246,0.27995475150604443,-0.5913132998457021,0.5285057061784756,
BE ALIVE,mid,-0.02319214718819465,0.3627646263493293,-0.7487213998868533,0.702337105510464,
BEAUTIFUL,high,-0.10584386605480177,0.2635847936999445,-0.6330134534546907,0.42132572134508717,
BEAUTIFUL,low,0.09866749766762056,0.28412457904354216,-0.46958166041946375,0.6669166557547048,
BEAUTIFUL,mid,-0.04039660247767386,0.3650088578339662,-0.7704143181456062,0.6896211131902585,
BECAUSE,high,-0.03465878273170738,0.26665117810100525,-0.5679611389337179,0.49864357347030314,
BECAUSE,low,0.01531626713484207,0.2845059395109698,-0.5536956118870976,0.5843281461567816,
BECAUSE,mid,-0.027769722138680914,0.3651254743074151,-0.7580206707535111,0.7024812264761493,
BEFORE,high,-0.08931188895647435,0.26878708845105354,-0.6268860658585814,0.4482622879456327,
BEFORE,low,-0.03328778350455361,0.28725516725723726,-0.6077981180190282,0.5412225510099209,
BEFORE,mid,0.0793895732041736,0.3645998534578891,-0.6498101337116046,0.8085892801199518,
BEHIND,high,-0.08425909176978248,0.26328554836189555,-0.6108301884935736,0.44231200495400863,
BEHIND,low,0.1268073518779958,0.28273308856950324,-0.4386588252610107,0.6922735290170023,
BEHIND,mid,-0.09456063423659596,0.36507482713515904,-0.8247102885069141,0.6355890200337221,
BELLY,high,0.06367894057981108,0.26625066990163354,-0.46882239922345603,0.5961802803830781,
BELLY,low,-0.11920146756863471,0.2788651667563517,-0.6769318010813381,0.4385288659440687,
BELLY,mid,0.004124304759084452,0.36199512011470625,-0.7198659354703281,0.7281145449884969,
BELOW OR UNDER,high,-0.07047854672078735,0.26352216788530436,-0.5975228824913961,0.45656578904982137,
BELOW OR UNDER,low,0.05524399318113981,0.28129913025405745,-0.5073542673269751,0.6178422536892547,
BELOW OR UNDER,mid,-0.030793301255476083,0.3629098758970708,-0.7566130530496177,0.6950264505386655,
BESIDE,high,-0.19042249980073295,0.26771983212387057,-0.7258621640484741,0.3450171644470082,
BESIDE,low,0.10285590791733243,0.29164757082929915,-0.48043923374126585,0.6861510495759308,
BESIDE,mid,0.04121626182864039,0.3677805022394562,-0.694344742650272,0.7767772663075527,
BETWEEN,high,-0.19021434476350418,0.268077912521834,-0.7263701698071722,0.3459414802801638,
BETWEEN,low,0.14975490562339178,0.29308635286579543,-0.4364178001081991,0.7359276113549826,
BETWEEN,mid,-0.00969926056909965,0.3695951501235025,-0.7488895608161047,0.7294910396779054,
BIG,high,-0.10702357649135444,0.2629521180618971,-0.6329278126151486,0.4188806596324398,
BIG,low,0.05124627753171536,0.28214036142174026,-0.5130344453117651,0.6155270003751959,
BIG,mid,0.012111497077630014,0.3626632499105851,-0.7132150027435401,0.7374379968988002,
BIRD,high,0.0798868553578695,0.26539126016084746,-0.45089566496382544,0.6106693756795645,
BIRD,low,-0.1090556966739208,0.2778151485279339,-0.6646859937297885,0.44657460038194696,
BIRD,mid,-0.023778391117068552,0.36191500059622767,-0.7476083923095239,0.7000516100753867,
BITE,high,-0.06921759807370335,0.2580285236092733,-0.5852746452922499,0.44683944914484325,
BITE,low,0.183166755748433,0.27738566927298425,-0.3716045827975355,0.7379380942944015,
BITE,mid,-0.17465822357882616,0.363142909318596,-0.9009440422160182,0.5516275950583658,
BITTER,high,-0.1479231160943769,0.25816797669854097,-0.6642590694914589,0.368412837302705,
BITTER,low,0.294924448428078,0.2797336941160231,-0.2645429398039682,0.8543918366601242,
BITTER,mid,-0.21999808116769407,0.3651330933944536,-0.9502642679566012,0.5102681056212132,
BLACK,high,0.09657412892720857,0.26585378096229684,-0.4351334329973851,0.6282816908518023,
BLACK,low,-0.11974212263423914,0.27783874250647633,-0.6754196076471918,0.43593536237871355,
BLACK,mid,-0.031646397747258644,0.3618480415906467,-0.755342480928552,0.6920496854340348,
BLOOD,high,-0.008213481975853677,0.2607323645622925,-0.5296782111004387,0.5132512471487313,
BLOOD,low,0.06256163200847142,0.2778422198745873,-0.49312280774070316,0.618246071757646,
BLOOD,mid,-0.10642507650342224,0.36233362530475927,-0.8310923271129408,0.6182421741060963,
BLOW (OF WIND),high,0.41677590903177775,0.2691699713969036,-0.1215640337620294,0.9551158518255849,
BLOW (OF WIND),low,-0.37925295327941644,0.27112057778890275,-0.9214941088572219,0.16298820229838906,
BLOW (OF WIND),mid,-0.15417790820040048,0.36234773840903434,-0.8788733850184691,0.5705175686176682,
BLUE,high,0.08716047997565843,0.2680295454997325,-0.44889861102380657,0.6232195709751235,
BLUE,low,-0.11201979375246018,0.2807264067760518,-0.6734726073045638,0.44943301979964345,
BLUE,mid,-0.029592583702515902,0.36354345670904853,-0.756679497120613,0.6974943297155811,
BLUNT,high,0.13187757723449212,0.2700932908806545,-0.40830900452681684,0.6720641589958011,
BLUNT,low,-0.21234476802393965,0.27916252562823246,-0.7706698192804046,0.3459802832325253,
BLUNT,mid,0.01951114886858738,0.3626060340244603,-0.7057009191803332,0.744723216917508,
BODY,high,0.05854468685104592,0.26925443205521743,-0.47996417725938895,0.5970535509614808,
BODY,low,-0.1556804185039131,0.281135138987902,-0.7179506964797171,0.40658985947189086,
BODY,mid,0.04503022890643009,0.36272030143119016,-0.6804103739559503,0.7704708317688104,
BONE,high,0.14482390859451413,0.26475978347286505,-0.384695658351216,0.6743434755402442,
BONE,low,-0.1256352267570342,0.27557703374498754,-0.6767892942470093,0.4255188407329409,
BONE,mid,-0.0801360960224925,0.3616839738086191,-0.8035040436397307,0.6432318515947457,
BOY,high,-0.07438004765708543,0.26345987211758504,-0.6012997918922555,0.4525396965780846,
BOY,low,0.05244626134600007,0.28182541883119694,-0.5112045763163938,0.6160970990083939,
BOY,mid,-0.02376376874317269,0.3636363384055815,-0.7510364455543357,0.7035089080679904,
BRAIN,high,-0.015841807982161414,0.2770902472649823,-0.570022302512126,0.5383386865478033,
BRAIN,low,-0.2777822414502475,0.2867784772415819,-0.8513391959334113,0.2957747130329163,
BRAIN,mid,0.23333465244731136,0.3631799650849473,-0.4930252777225833,0.959694582617206,
BREAST,high,0.1911211944107689,0.2671047688593954,-0.34308834330802185,0.7253307321295597,
BREAST,low,-0.2130561606684068,0.275563002496423,-0.7641821656612529,0.3380698443244392,
BREAST,mid,-0.0458939485815518,0.3615669557756672,-0.7690278601328863,0.6772399629697826,
BREATHE,high,-0.034893734929743465,0.2629492963324041,-0.5607923275945517,0.49100485773506475,
BREATHE,low,0.038536714103813464,0.27999585369162694,-0.5214549932794404,0.5985284214870673,
BREATHE,mid,-0.05119773877911491,0.36289903594449413,-0.7769958106681032,0.6746003331098733,
BURN,high,0.05390643481666315,0.26407803519996575,-0.4742496355832684,0.5820625052165946,
BURN,low,-0.04566687480323559,0.27811267399664125,-0.6018922227965181,0.5105584731900469,
BURN,mid,-0.059983042438100036,0.36227837220689657,-0.7845397868518932,0.6645737019756931,
BURNING,high,-0.0257979107515004,0.26094904259401414,-0.5476959959395287,0.4961001744365279,
BURNING,low,0.1715737525878223,0.2800096462978781,-0.38844554000793396,0.7315930451835785,
BURNING,mid,-0.21175822957390505,0.365332492941897,-0.942423215457699,0.518906756309889,
BUTTOCKS,high,0.08722396237425174,0.26894064320512706,-0.4506573240360024,0.6251052487845059,
BUTTOCKS,low,-0.14615406432979786,0.2802626244612518,-0.7066793132523014,0.4143711845927057,
BUTTOCKS,mid,0.004445671160550284,0.3632598638942802,-0.7220740566280102,0.7309653989491107,
CARRY,high,-0.09543034661244393,0.2623992252093821,-0.6202287970312081,0.42936810380632023,
CARRY,low,0.11693048164294954,0.2822668003326618,-0.4476031190223741,0.6814640823082732,
CARRY,mid,-0.07127504510956834,0.36471530446351763,-0.8007056540366035,0.658155563817467,
CHILD (DESCENDANT),high,-0.0776860068492023,0.26368727917909174,-0.6050605652073857,0.4496885515089812,
CHILD (DESCENDANT),low,0.17000332793943365,0.28311202145616243,-0.39622071497289124,0.7362273708517585,
CHILD (DESCENDANT),mid,-0.15120647979432247,0.3662009526190282,-0.8836083850323788,0.5811954254437339,
CLAW,high,0.043652078887675846,0.2662224758356587,-0.4887928727836416,0.5760970305589933,
CLAW,low,-0.047834759536623694,0.2804738021886176,-0.608782363913859,0.5131128448406115,
CLAW,mid,-0.04680395264369075,0.36334192963414297,-0.7734878119119767,0.6798799066245952,
CLEAN,high,-0.02778140684705169,0.26245535947534676,-0.5526921257977452,0.4971293121036418,
CLEAN,low,0.10548922844970983,0.28098845389091576,-0.4564876793321217,0.6674661362315414,
CLEAN,mid,-0.13313385778953657,0.36505471155077557,-0.8632432808910877,0.5969755653120146,
CLOUD,high,0.05534400668426368,0.2671006933730632,-0.4788573800618627,0.58954539343039,
CLOUD,low,-0.1319367420326319,0.27946115055680926,-0.6908590431462505,0.4269855590809866,
CLOUD,mid,0.025718370151157483,0.36215448879464734,-0.6985906074381372,0.7500273477404522,
COLD,high,0.0766473221964778,0.2636036321794858,-0.4505599421624938,0.6038545865554494,
COLD,low,-0.06467733138854982,0.2770299292183745,-0.6187371898252988,0.4893825270481992,
COLD,mid,-0.06552972608846241,0.362052919818316,-0.7896355657250944,0.6585761135481696,
COME,high,-0.11301690807904839,0.26182949514471626,-0.6366758983684809,0.4106420822103841,
COME,low,0.0902970788819887,0.28151768074354006,-0.47273828260509143,0.6533324403690688,
COME,mid,-0.023030895151045075,0.3626126199576627,-0.7482561350663705,0.7021943447642803,
CORRECT (RIGHT),high,0.013977989656174326,0.27054023609996036,-0.5271024825437464,0.5550584618560951,
CORRECT (RIGHT),low,-0.17946419411969947,0.2832718907052961,-0.7460079755302917,0.38707958729089276,
CORRECT (RIGHT),mid,0.11477870909526637,0.3624694153072443,-0.6101601215192223,0.8397175397097549,
COUGH,high,-0.02656005873631707,0.2720948268453067,-0.5707497124269305,0.5176295949542964,
COUGH,low,-0.18236349878027402,0.2851966471492679,-0.7527567930788098,0.3880297955182618,
COUGH,mid,0.15903325059451429,0.36228015595935364,-0.565527061324193,0.8835935625132216,
CROOKED,high,-0.0899782251841826,0.2719630757854222,-0.6339043767550271,0.45394792638666187,
CROOKED,low,-0.11224550298491986,0.2879514380069181,-0.688148378998756,0.4636573730289163,
CROOKED,mid,0.15683576588640125,0.3643490710570135,-0.5718623762276257,0.8855339080004282,
CRUSH,high,-0.16636370583658033,0.27005608583735424,-0.7064758775112888,0.37374846583812815,
CRUSH,low,0.20640379260029734,0.2990947230416357,-0.39178565348297406,0.8045932386835688,
CRUSH,mid,-0.0990847114443804,0.374020421079447,-0.8471255536032744,0.6489561307145136,
CRY,high,-0.033607940314211895,0.26021236445248264,-0.5540326692191772,0.4868167885907534,
CRY,low,0.09997569761177122,0.27818355897146685,-0.4563914203311625,0.6563428155547049,
CRY,mid,-0.11963860804000533,0.36293144599443056,-0.8455015000288665,0.6062242839488557,
DARK,high,0.07649090736200895,0.26782022914429493,-0.45914955092658094,0.6121313656505988,
DARK,low,-0.09776523676738008,0.2808099649103571,-0.6593851665880943,0.4638546930533341,
DARK,mid,-0.03218364824231178,0.3637766709253733,-0.7597369900930584,0.6953696936084348,
DAY (NOT NIGHT),high,-0.022875341964791625,0.26102654341962817,-0.5449284288040479,0.4991777448744647,
DAY (NOT NIGHT),low,0.08200334741624192,0.2783735899074575,-0.474743832398673,0.6387505272311569,
DAY (NOT NIGHT),mid,-0.11163864439507262,0.36275291306081014,-0.8371444705166929,0.6138671817265476,
DEEP,high,-0.013520623849530298,0.27029643466937026,-0.5541134931882709,0.5270722454892102,
DEEP,low,-0.08220519562427853,0.2852837582642543,-0.6527727121527871,0.48836232090423004,
DEEP,mid,0.049182476629309246,0.36516072824434703,-0.6811389798593848,0.7795039331180034,
DIE,high,0.1488014931956429,0.26380491535779543,-0.37880833751994797,0.6764113239112337,
DIE,low,-0.09464011072050639,0.275092620576265,-0.6448253518730364,0.4555451304320236,
DIE,mid,-0.1169085088439942,0.36208563268056077,-0.8410797742051157,0.6072627565171274,
DIRTY,high,0.015561404448994759,0.2626050026099096,-0.5096486007708244,0.540771409668814,
DIRTY,low,0.019084586213570315,0.27846714692182767,-0.537849707630085,0.5760188800572257,
DIRTY,mid,-0.08585984526431384,0.3625601724380635,-0.8109801901404408,0.6392604996118132,
DO,high,-0.032313456550794484,0.2684697641519271,-0.5692529848546486,0.5046260717530597,
DO,low,-0.04414880650324505,0.2844872901277268,-0.6131233867586986,0.5248257737522085,
DO,mid,0.031121775856270836,0.36485309199707283,-0.6985844081378748,0.7608279598504165,
DO OR MAKE,high,-0.2004605170969632,0.26809021295603974,-0.7366409430090427,0.33571990881511626,
DO OR MAKE,low,0.06539360147292908,0.29007278442681,-0.514751967380691,0.6455391703265491,
DO OR MAKE,mid,0.09060427433605998,0.3661296985202974,-0.6416551227045348,0.8228636713766548,
DOG,high,0.07238578613518419,0.2617803442180232,-0.4511749023008622,0.5959464745712306,
DOG,low,-0.009596407271810214,0.2761066027564097,-0.5618096127846296,0.5426167982410092,
DOG,mid,-0.11899664588740766,0.36183357215945733,-0.8426637902063223,0.604670498431507,
DRINK,high,0.2815531079126368,0.26761782568109954,-0.25368254344956226,0.816788759274836,
DRINK,low,-0.2680793459367567,0.2736269992333347,-0.8153333444034261,0.27917465252991275,
DRINK,mid,-0.09757193341656593,0.3616669549572627,-0.8209058433310913,0.6257619764979595,
DRY,high,-0.18397157972362957,0.261011311157683,-0.7059942020389955,0.33805104259173646,
DRY,low,0.15733382423108389,0.28325076089045936,-0.40916769754983484,0.7238353460120026,
DRY,mid,-0.022135713873249457,0.3634671284562877,-0.7490699707858248,0.704798543039326,
DUST,high,0.20877339281804932,0.2675572703243333,-0.3263411478306173,0.7438879334667159,
DUST,low,-0.22105198557154096,0.2756415896836121,-0.7723351649387651,0.3302311937956832,
DUST,mid,-0.05848255160238341,0.3618589968373906,-0.7822005452771645,0.6652354420723978,
EAR,high,-0.011553726372187274,0.26534671551571704,-0.5422471574036214,0.5191397046592467,
EAR,low,-0.058964906627257896,0.28035576213517704,-0.6196764308976119,0.5017466176430962,
EAR,mid,0.02507467565687493,0.36178484192122956,-0.6984950081855842,0.74864435949933406,
EARTH (SOIL),high,-0.18483746528050335,0.2639300235342477,-0.7126975123489988,0.34302258178799205,
EARTH (SOIL),low,0.07911871155974276,0.2857113498441743,-0.4923039881286058,0.6505414112480914,
EARTH (SOIL),mid,0.06197432078459728,0.36315287932030094,-0.6643314378560046,0.7882800794251992,
EAT,high,-0.18561589315127672,0.2569339657811887,-0.6994838247136541,0.32825203841110073,
EAT,low,0.2752707320202949,0.2800863056096672,-0.2849018791990395,0.8354433432396293,
EAT,mid,-0.15433134433965023,0.36378174264376323,-0.8818948296271767,0.5732321409478762,
EGG,high,0.1733535185297398,0.2675082786792809,-0.361663038828822,0.7083700758883016,
EGG,low,-0.20841787994562527,0.27610177983335354,-0.7606214396123323,0.3437856797210818,
EGG,mid,-0.0302190536021499,0.36161161900461086,-0.7534422916113717,0.6930041844070718,
EIGHT,high,-0.1625464359370426,0.2619703067506256,-0.6864870494382938,0.3613941775642086,
EIGHT,low,0.14180697905926062,0.28365061059749497,-0.4254942421357293,0.7091082002542506,
EIGHT,mid,-0.027478767634585212,0.36392779881164145,-0.7553343652578681,0.7003768299886977,
ELEVEN,high,0.01834009426891558,0.2710864892456225,-0.5238328842223294,0.5605130727601606,
ELEVEN,low,-0.15455590556390916,0.28340571033063955,-0.7213673262251883,0.4122555150973699,
ELEVEN,mid,0.08641303838624932,0.3635671016658539,-0.6407211649454584,0.8135472417179571,
EMPTY,high,-0.09589079052764374,0.266427485733929,-0.6287457619955017,0.4369641809402143,
EMPTY,low,0.01935281274200946,0.28530310338025544,-0.5512533940185014,0.5899590195025204,
EMPTY,mid,0.033072804109417236,0.363855606807987,-0.6946384095065568,0.7607840177253913,
EYE,high,-0.007468979413633993,0.26325897644693336,-0.5339869323075007,0.5190489734802327,
EYE,low,-0.005145948560743029,0.27910785288031703,-0.5633616543213771,0.553069757199891,
EYE,mid,-0.03459505046851852,0.36215774897323366,-0.7589105484149858,0.6897204474779488,
FALL,high,-0.019385868751810257,0.2654283830777813,-0.5502426349073729,0.5114708974037524,
FALL,low,-0.04920860905130915,0.28091100505739014,-0.6110306191660895,0.5126134010634711,
FALL,mid,0.023433617709251075,0.3623234817424905,-0.7012133457757299,0.7480805811942322,
FAR,high,-0.13612001455327263,0.2615447536584376,-0.6592095218701478,0.3869694927636026,
FAR,low,0.11592083451630698,0.282461562120185,-0.449002289724063,0.6808439587566769,
FAR,mid,-0.026605993720282703,0.36335872846520423,-0.7533234506506912,0.7001114632101257,
FART,high,0.1461473380306492,0.2674061888320067,-0.3886650396333642,0.6809597156946625,
FART,low,-0.07486354827325231,0.28009199495548015,-0.6350475381842127,0.485320441637708,
FART,mid,-0.13601931884935756,0.3655065016660292,-0.867032322181416,0.5949936844827008,
FAST,high,-0.061195856875846805,0.26449609879598013,-0.5901880544678071,0.4677963407161134,
FAST,low,0.06250252259689586,0.28266221609564995,-0.5028219095944041,0.6278269547881957,
FAST,mid,-0.04900191100373527,0.36450871249457684,-0.778019335992889,0.6800155139854184,
FAT (ORGANIC SUBSTANCE),high,-0.07807590971447856,0.2612345276021499,-0.6005449649187783,0.44439314548982123,
FAT (ORGANIC SUBSTANCE),low,0.09920644262352067,0.28016035764596636,-0.46111427266841204,0.6595271579154534,
