concept,category,mean,sd,lwr,upr,word_dim
ABOVE,continuant,0.008351208032752869,0.1707784641014152,-0.33320572017007755,0.34990813623558326,
ABOVE,lateral,-0.018075635070045292,0.13935025633023737,-0.29677614773052,0.26062487759042946,
ABOVE,nasal,-0.17237112057780246,0.224495287051075,-0.6213616946799525,0.2766194535243475,
ABOVE,stop,0.07369321758784551,0.2326943008832167,-0.39169538417858785,0.5390818193542789,
ABOVE,vibrant,0.03206382551912176,0.15513682996765046,-0.2782098344161792,0.34233748545442266,
AFTER,continuant,-0.01340346279690602,0.17019509692627513,-0.3537936566494563,0.32698673105564424,
AFTER,lateral,0.01964246868293086,0.13977471123299945,-0.25990695378306805,0.29919189114892975,
AFTER,nasal,0.023156652059832156,0.22462266918136323,-0.4260886863028943,0.4724019904225586,
AFTER,stop,-0.11291473422492719,0.23658770042712918,-0.5860901350791855,0.36026066662933115,
AFTER,vibrant,0.09694240757042813,0.15690981967818016,-0.21687723178593218,0.4107620469267884,
AIR,continuant,0.35340675959305595,0.16519624666419847,0.023014266264659022,0.6837992529214529,
AIR,lateral,0.13639443213644095,0.13818892734605961,-0.13998342255567828,0.41277228682856015,
AIR,nasal,-0.13371139620760308,0.22222899834755144,-0.578169392902706,0.3107466004874998,
AIR,stop,-0.4320883940787672,0.2381283477840494,-0.908345089646866,0.044168301489331596,
AIR,vibrant,0.15132599543196384,0.1542000691428496,-0.15707414285373533,0.459726133717663,
ALL,continuant,-0.05915538715127952,0.16980475816442328,-0.39876490348012605,0.28045412917756707,
ALL,lateral,-0.028198967922188574,0.1363005282731779,-0.30080002446854437,0.24440208862416724,
ALL,nasal,-0.03524761644546646,0.2232305060718588,-0.48170862858918406,0.4112133956982511,
ALL,stop,0.07433833949951307,0.2323949449004832,-0.39045155030145334,0.5391282293004795,
ALL,vibrant,-0.046923567069531415,0.15303994842912622,-0.35300346392778387,0.259156329788721,
ANGRY,continuant,-0.017668821431920508,0.17655391681850424,-0.370776655068929,0.335439012205088,
ANGRY,lateral,0.04685861961566455,0.15228532482290247,-0.25771203003014037,0.3514292692614695,
ANGRY,nasal,-0.2793214229928762,0.23456201086613618,-0.7484454447251485,0.18980259873939614,
ANGRY,stop,0.129312213063203,0.24003394072049283,-0.35075566837778266,0.6093800945041887,
ANGRY,vibrant,0.0196792601632574,0.1654119580915382,-0.311144656019819,0.35050317634633377,
ANIMAL,continuant,0.03814764005719995,0.16825397829554625,-0.29836031653389256,0.37465559664829245,
ANIMAL,lateral,-0.030307092539943056,0.1338303089408454,-0.2979677104216339,0.23735352534174775,
ANIMAL,nasal,0.17106554871905802,0.22126565337067017,-0.27146575802228234,0.6135968554603983,
ANIMAL,stop,-0.18417348694845395,0.23547194486481612,-0.6551173766780862,0.28677040278117827,
ANIMAL,vibrant,-0.011180832968668892,0.15223404934873525,-0.3156489316661394,0.2932872657288016,
ANT,continuant,-0.08202210141159938,0.16979010288970478,-0.42160230719100894,0.2575581043678102,
ANT,lateral,-0.08255475052988663,0.1356101773083433,-0.35377510514657323,0.18866560408679994,
ANT,nasal,0.10419065041763823,0.22332043249162545,-0.34245021456561264,0.5508315154008891,
ANT,stop,-0.023408791877401643,0.2341762116572563,-0.49176121519191424,0.44494363143711096,
ANT,vibrant,0.018023062554214108,0.1537479789696429,-0.2894728953850717,0.3255190204934999,
ARM OR HAND,continuant,-0.12990339178456067,0.17338542101586515,-0.476674233816291,0.21686745024716964,
ARM OR HAND,lateral,0.1523779383223109,0.14732473131964607,-0.14227152431698126,0.44702740096160304,
ARM OR HAND,nasal,-0.1094065475305955,0.22827138987630624,-0.565949327283208,0.34713623222201695,
ARM OR HAND,stop,0.09179102469889948,0.23722992723142353,-0.38266882976394756,0.5662508791617465,
ARM OR HAND,vibrant,-0.08692137866750133,0.16111644118855634,-0.409154261044614,0.23531150370961135,
ASH,continuant,0.06037653432897985,0.1704104707446971,-0.2804444071604143,0.40119747581837406,
ASH,lateral,-0.01625308363671174,0.1369018861027446,-0.2900568558422009,0.25755068856877744,
ASH,nasal,-0.2507516684985609,0.22285127675366687,-0.6964542220058947,0.19495088500877283,
ASH,stop,0.12696247567955635,0.2309643466002735,-0.33496621752099065,0.5888911688801034,
ASH,vibrant,-0.04540628158801691,0.15285703273879564,-0.3511203470656082,0.2603077838895744,
BACK,continuant,-0.2580783141883287,0.17336631677006703,-0.6048109477284628,0.08865431935180534,
BACK,lateral,-0.08917998112642465,0.14217995707043224,-0.37353989526728915,0.1951799330144398,
BACK,nasal,-0.11968633580585594,0.22734528878634835,-0.5743769133785527,0.33500424176684074,
BACK,stop,0.2851862771405212,0.2323181399541565,-0.17945000276779183,0.7498225570488342,
BACK,vibrant,-0.0392791769519515,0.15873969039832145,-0.3567585577485944,0.2782002038446914,
BAD,continuant,0.13309861459277356,0.1674503478061622,-0.20180208101955083,0.46799931020509794,
BAD,lateral,0.004210430539042986,0.1341564106548376,-0.26410239077063224,0.2725232518487182,
BAD,nasal,-0.15929092254481952,0.22094916514649832,-0.6011892528378162,0.2826074077481771,
BAD,stop,-0.04940892997605938,0.23198358447529288,-0.5133760989266452,0.41455823897452637,
BAD,vibrant,0.04384991935891534,0.1504445933350895,-0.25703926731126364,0.34473910602909436,
BARK,continuant,-0.12092938867934726,0.17504863316786687,-0.471026655015081,0.22916787765638647,
BARK,lateral,-0.015820100734377316,0.14497613796601838,-0.3057723766664141,0.2741321751976594,
BARK,nasal,-0.40126670939834946,0.22723628623712416,-0.8557392818725977,0.05320586307589886,
BARK,stop,0.3415321645465874,0.23090595165774658,-0.12027973876890574,0.8033440678620806,
BARK,vibrant,-0.0562486329280886,0.16026766378934965,-0.37678396050678786,0.2642866946506107,
BE ALIVE,continuant,0.17545486515443376,0.16418446756930327,-0.15291406998417278,0.5038238002930403,
BE ALIVE,lateral,0.0702207671659094,0.13026206947441935,-0.19030337178292928,0.3307449061147481,
BE ALIVE,nasal,0.06614982686042495,0.21755337255262316,-0.36895691824482135,0.5012565719656713,
BE ALIVE,stop,-0.3220943182011694,0.23335095512805004,-0.7887962284572695,0.14460759205493068,
BE ALIVE,vibrant,0.07017055017162775,0.14805674058978982,-0.22594293100795187,0.3662840313512074,
BEAUTIFUL,continuant,0.07064170563812883,0.16900965544440785,-0.2673776052506869,0.40866101652694453,
BEAUTIFUL,lateral,-0.010231613279865204,0.1362969835343853,-0.2828255803486358,0.2623623537889054,
BEAUTIFUL,nasal,0.045479465241607425,0.22247001477048803,-0.3994605642993686,0.4904194947825835,
BEAUTIFUL,stop,-0.1514540483879159,0.23533939386964237,-0.6221328361272006,0.31922473935136886,
BEAUTIFUL,vibrant,0.050643678229391656,0.15351742089898857,-0.2563911635685855,0.3576785200273688,
BECAUSE,continuant,0.05133417555019454,0.1724904087875887,-0.29364664202498286,0.39631499312537194,
BECAUSE,lateral,-0.039783537580544905,0.14023790527290037,-0.32025934812634566,0.24069227296525583,
BECAUSE,nasal,-0.00739940069869266,0.2260767181326358,-0.45955283696396426,0.44475403556657894,
BECAUSE,stop,-0.0377560524284978,0.236455878952365,-0.5106678103332278,0.4351557054762322,
BECAUSE,vibrant,-0.019541267682063927,0.15664378009207977,-0.3328288278662235,0.2937462925020956,
BEFORE,continuant,-0.0035103862088131667,0.1710034128010883,-0.34551721181098977,0.33849643939336344,
BEFORE,lateral,-0.018568901986562508,0.139136561339806,-0.29684202466617454,0.2597042206930495,
BEFORE,nasal,-0.02171819132124994,0.22463610811122736,-0.4709904075437047,0.42755402490120475,
BEFORE,stop,-0.01676761341266956,0.23511483176164452,-0.4869972769359586,0.45346205011061946,
BEFORE,vibrant,0.01750264833603998,0.15579110181419292,-0.29407955529234586,0.32908485196442583,
BEHIND,continuant,-0.027625721867580756,0.17148368983949147,-0.3705931015465637,0.31534165781140217,
BEHIND,lateral,-0.052149345259447706,0.1388392581573579,-0.3298278615741635,0.2255291710552681,
BEHIND,nasal,0.0981374981743488,0.2250325587689957,-0.3519276193636426,0.5482026157123402,
BEHIND,stop,-0.037779162334297976,0.23646011002593936,-0.5106993823861767,0.43514105771758077,
BEHIND,vibrant,-0.04978361011360511,0.15570562638696486,-0.36119486288753483,0.2616276426603246,
BELLY,continuant,-0.1119603307678351,0.17200434409226198,-0.4559690189523591,0.23204835741668886,
BELLY,lateral,-0.0772079435872703,0.13860390766814015,-0.3544157589235506,0.19999987174901002,
BELLY,nasal,-0.09648921876338838,0.22540033362910442,-0.5472898860215972,0.35431144849482044,
BELLY,stop,0.18893889522585686,0.23218995704610118,-0.27544101886634553,0.6533188093180592,
BELLY,vibrant,-0.06919287530565318,0.1552707048769364,-0.379734285059526,0.2413485344482196,
BELOW OR UNDER,continuant,-0.02759841555601271,0.16959576442504354,-0.3667899444060998,0.31159311329407435,
BELOW OR UNDER,lateral,-0.004806032172387078,0.1375554013489836,-0.2799168348703543,0.27030477052558016,
BELOW OR UNDER,nasal,-0.12458479713893279,0.22361074181839552,-0.5718062807757238,0.32263668649785826,
BELOW OR UNDER,stop,0.06683830111122656,0.2320973990906846,-0.39735649707014264,0.5310330992925958,
BELOW OR UNDER,vibrant,0.020355762082563313,0.15409022638140543,-0.2878246906802476,0.32853621484537415,
BESIDE,continuant,-0.10664023591490415,0.17783891265128976,-0.46231806121748364,0.24903758938767537,
BESIDE,lateral,-0.07501594783987703,0.14891426393823143,-0.3728444757163399,0.22281258003658583,
BESIDE,nasal,-0.13212859312122113,0.23321322207332437,-0.5985550372678698,0.33429785102542764,
BESIDE,stop,0.22278761716267476,0.23817499161102065,-0.25356236605936655,0.6991376003847161,
BESIDE,vibrant,-0.10454346048296356,0.16471333230942756,-0.43397012510181865,0.22488320413589155,
BETWEEN,continuant,-0.13221835825517864,0.17866337745297028,-0.4895451131611192,0.22510839665076193,
BETWEEN,lateral,-0.06580212840626458,0.15121765415504976,-0.3682374367163641,0.23663317990383492,
BETWEEN,nasal,-0.061664701705090315,0.23585867645176278,-0.5333820546086159,0.41005265119843526,
BETWEEN,stop,0.17947820672318804,0.2411223620654322,-0.30276651740767635,0.6617229308540524,
BETWEEN,vibrant,-0.09005894831272404,0.16636422818815064,-0.4227874046890253,0.24266950806357723,
BIG,continuant,-0.10885049758074748,0.16865338226129273,-0.44615726210333295,0.22845626694183796,
BIG,lateral,0.05770095916918803,0.1373543018869092,-0.21700764460463037,0.33240956294300644,
BIG,nasal,-0.13843539280010117,0.22285369648605696,-0.5841427857722151,0.3072720001720127,
BIG,stop,0.11161671211500986,0.2313804038217933,-0.3511440955285768,0.5743775197585965,
BIG,vibrant,-0.0037918545417735677,0.15391673277751253,-0.3116253200967986,0.3040416110132515,
BIRD,continuant,0.04547182792186673,0.1660002944024787,-0.2865287608830907,0.37747241672682413,
BIRD,lateral,-0.024515054707864557,0.1301412722300741,-0.2847975991680128,0.23576748975228365,
BIRD,nasal,0.18731764520339136,0.21846832411280648,-0.2496190030222216,0.6242542934290043,
BIRD,stop,-0.22422235503652382,0.2337180011652133,-0.6916583573669504,0.24321364729390277,
BIRD,vibrant,0.01698090066090441,0.1488961656007096,-0.2808114305405148,0.3147732318623236,
BITE,continuant,-0.18073820165154367,0.17333468609753683,-0.5274075738466173,0.16593117054353,
BITE,lateral,-0.07352967567936775,0.14185638574485468,-0.3572424471690771,0.2101830958103416,
BITE,nasal,-0.2066165082015223,0.22688499611826887,-0.66038650043806,0.24715348403501544,
BITE,stop,0.29421589588888497,0.23136980322431772,-0.16852371055975046,0.7569555023375204,
BITE,vibrant,-0.05431606207508804,0.1577677831779888,-0.36985162843106567,0.2612195042808896,
BITTER,continuant,-0.09775487763506607,0.17300123586738297,-0.443757349369832,0.24824759409969988,
BITTER,lateral,-0.061848459962165245,0.14280117553604896,-0.3474508110342632,0.22375389110993266,
BITTER,nasal,-0.23965089013528695,0.22683990968041565,-0.6933307094961183,0.21402892922554434,
BITTER,stop,0.21975925309941574,0.23250264370422405,-0.24524603430903236,0.6847645405078638,
BITTER,vibrant,0.017748831959562887,0.1584586530828419,-0.2991684742061209,0.3346661381252467,
BLACK,continuant,-0.10817918420533809,0.16761008115947243,-0.4433993465242829,0.22704097811360677,
BLACK,lateral,-0.016191095600502105,0.13455232639773387,-0.28529574839596983,0.25291355719496567,
