concept,category,mean,sd,lwr,upr,word_dim
ABOVE,continuant-unvoiced,-0.016632034239084766,0.1206922248312594,-0.25801648390160353,0.22475241542343402,
ABOVE,continuant-voiced,0.06484867443191895,0.15654506724025788,-0.24824146004859682,0.3779388089124347,
ABOVE,lateral-voiced,-0.0042709726303104085,0.12719015481379,-0.2586512822578904,0.2501093369972696,
ABOVE,nasal-voiced,-0.15402752689590551,0.21767992888098764,-0.5893873846578808,0.2813323308660698,
ABOVE,stop-unvoiced,-0.05564547500107626,0.3126597740513147,-0.6809650231037057,0.569674073101553,
ABOVE,stop-voiced,0.06762600957061256,0.2485746559915039,-0.4295233024123953,0.5647753215536204,
ABOVE,vibrant-voiced,0.04080290858024154,0.14467863451635127,-0.248554360452461,0.3301601776129441,
AFTER,continuant-unvoiced,0.014109045134850319,0.12269996779273619,-0.23129089045062207,0.2595089807203227,
AFTER,continuant-voiced,-0.03330515726028147,0.15819695209999796,-0.3496990614602774,0.2830887469397144,
AFTER,lateral-voiced,0.020577673699643324,0.12932798662246245,-0.23807829954528156,0.2792336469445682,
AFTER,nasal-voiced,0.025146032828804402,0.21840953383804224,-0.4116730348472801,0.46196510050488887,
AFTER,stop-unvoiced,-0.18944676426096405,0.31527245162335715,-0.8199916675076784,0.44109813898575023,
AFTER,stop-voiced,0.03150944400173206,0.24645583256205986,-0.46140222112238766,0.5244211091258518,
AFTER,vibrant-voiced,0.08265985762117017,0.1464471043543651,-0.21023435108756,0.37555406632990035,
AIR,continuant-unvoiced,0.14154543549183268,0.12091409953810141,-0.10028276358437013,0.3833736345680355,
AIR,continuant-voiced,0.2739325799567055,0.15776903444107215,-0.041605488925438805,0.5894706488388498,
AIR,lateral-voiced,0.07548727787796844,0.12994997864575986,-0.18441267941355127,0.33538723516948815,
AIR,nasal-voiced,-0.18882787535997392,0.2192872430986039,-0.6274023615571818,0.24974661083723387,
AIR,stop-unvoiced,-0.36183788728340416,0.31336015155350294,-0.98855819039041,0.2648824158236017,
AIR,stop-voiced,-0.01800109236497898,0.24336268031301667,-0.5047264529910123,0.46872426826105434,
AIR,vibrant-voiced,0.08737825133396808,0.14560732903285467,-0.20383640673174125,0.37859290939967744,
