concept,category,mean,sd,lwr,upr,word_dim
ABOVE,alveolar,0.06118778919802068,0.2143563976129849,-0.3675250060279491,0.4899005844239905,
ABOVE,glottal,0.00481840687415418,0.19907471477403554,-0.3933310226739169,0.4029678364222253,
ABOVE,labial,-0.12251128665410495,0.20773679876429915,-0.5379848841827033,0.29296231087449337,
ABOVE,palatal,-0.007244381644218429,0.19513485244550421,-0.39751408653522685,0.38302532324679,
ABOVE,velar,-0.02471428993606912,0.18968729326654057,-0.40408887646915026,0.35466029659701204,
AFTER,alveolar,0.07630731334594158,0.21582074964849726,-0.35533418595105293,0.5079488126429361,
AFTER,glottal,-0.045434622232735665,0.20185437811597312,-0.4491433784646819,0.3582741339992106,
AFTER,labial,-0.0553908805216362,0.21105886834413817,-0.47750861720991256,0.36672685616664014,
AFTER,palatal,-0.07081208492742097,0.19770169363647455,-0.4662154722003701,0.32459130234552813,
AFTER,velar,-0.031741490991058066,0.19470390422405323,-0.4211492994391645,0.3576663174570484,
AIR,alveolar,-0.02110526327286707,0.21680013761185862,-0.4547055384965843,0.4124950119508502,
AIR,glottal,0.1800036654428228,0.20465501812520992,-0.22930637080759703,0.5893137016932426,
AIR,labial,-0.014141216534709244,0.2133560805912444,-0.440853377717198,0.41257094464777955,
AIR,palatal,-0.006288073453145975,0.19876715857050578,-0.40382239059415753,0.3912462436878656,
AIR,velar,-0.16899267168219123,0.1951482884472355,-0.5592892485766623,0.22130390521227977,
ALL,alveolar,0.04179917869842762,0.2133095602055388,-0.38481994171264994,0.4684182991095052,
ALL,glottal,-0.025240291698623615,0.19783891144344368,-0.420918114585511,0.3704375311882637,
ALL,labial,0.00596054404933429,0.2066700501633349,-0.4073795562773355,0.41930064437600406,
ALL,palatal,-0.050497674860035875,0.19322828229256905,-0.436954239445174,0.33595888972510224,
ALL,velar,-0.0730087455680961,0.18805749694730284,-0.4491237394627018,0.30310624832650956,
ANGRY,alveolar,0.03620870302083123,0.21696424619094493,-0.3977197893610586,0.4701371954027211,
ANGRY,glottal,-0.04691517929362345,0.20536403555939847,-0.4576432504124204,0.3638128918251735,
ANGRY,labial,-0.1532202753024751,0.21588041222889645,-0.584981099760268,0.2785405491553178,
ANGRY,palatal,-0.02683842742274622,0.20019714152371257,-0.42723271047017136,0.3735558556246789,
ANGRY,velar,0.09594757204274185,0.19904858262401798,-0.3021495932052941,0.4940447372907778,
ANIMAL,alveolar,-0.027923220544937812,0.21556993152627685,-0.4590630835974915,0.4032166425076159,
ANIMAL,glottal,-0.061784183214956975,0.19813058966343017,-0.4580453625418173,0.33447699611190335,
ANIMAL,labial,0.04835304275648034,0.20745333980418917,-0.366553636851898,0.4632597223648587,
ANIMAL,palatal,0.11843549699522533,0.19487002436823903,-0.27130455174125273,0.5081755457317034,
ANIMAL,velar,-0.1260578319460181,0.18875074541345968,-0.5035593227729375,0.25144365888090126,
ANT,alveolar,-0.09601621313731297,0.21449063945394348,-0.5249974920452,0.332965065770574,
ANT,glottal,-0.08645427146117564,0.19750705165140126,-0.48146837476397814,0.3085598318416269,
ANT,labial,0.1303733133755546,0.20649577295346566,-0.28261823253137675,0.5433648592824859,
ANT,palatal,-0.05441603113109373,0.19192937735861107,-0.43827478584831586,0.3294427235861284,
ANT,velar,0.05161441929155043,0.1880658252975733,-0.32451723130359617,0.427746069886697,
ARM OR HAND,alveolar,-0.017406210694788735,0.21625626643953255,-0.44991874357385386,0.41510632218427634,
ARM OR HAND,glottal,-0.04974953275746193,0.20307896553741983,-0.4559074638323016,0.35640839831737775,
ARM OR HAND,labial,-0.1310768326451729,0.21174768604730396,-0.5545722047397807,0.292418539449435,
ARM OR HAND,palatal,-0.10641923939543989,0.19630573623744554,-0.499030711870331,0.2861922330794512,
ARM OR HAND,velar,0.21248318762064675,0.19551341637021039,-0.17854364511977402,0.6035100203610675,
ASH,alveolar,-0.05842132976397195,0.21368658154096912,-0.4857944928459102,0.36895183331796627,
ASH,glottal,0.010830995191528294,0.19668897070252245,-0.3825469462135166,0.4042089365965732,
ASH,labial,0.13451567505120643,0.20533101972458767,-0.2761463643979689,0.5451777145003818,
ASH,palatal,-0.0502325034850547,0.19145937802747107,-0.43315125953999684,0.33268625256988743,
ASH,velar,-0.0911007872572363,0.1869066141287184,-0.4649140155146731,0.2827124410002005,
BACK,alveolar,-0.0857102756192756,0.21318215329999543,-0.5120745822192665,0.34065403098071523,
BACK,glottal,-0.05652622432215844,0.1972076679630407,-0.45094156024823984,0.337889111603923,
BACK,labial,-0.053359372176589225,0.2046830701538333,-0.4627255124842558,0.3560067681310774,
BACK,palatal,-0.0766196378512326,0.18983641554251568,-0.45629246893626396,0.30305319323379876,
BACK,velar,0.2228699114589911,0.1875062501573934,-0.15214258885579568,0.5978824117737779,
BAD,alveolar,-0.09720809474044112,0.21400900726252634,-0.5252261092654937,0.33080991978461155,
BAD,glottal,0.007008387945020602,0.1967979021251616,-0.3865874163053026,0.4006041921953438,
BAD,labial,0.1319438843165737,0.20546301140771953,-0.27898213849886533,0.5428699071320128,
BAD,palatal,0.023067508429008295,0.1913968393880958,-0.3597261703471833,0.40586118720519987,
BAD,velar,-0.08332470399612187,0.1867131031486232,-0.45675091029336823,0.2901015023011245,
BARK,alveolar,-0.2062782481353502,0.21375421915736764,-0.6337866864500855,0.22123019017938508,
BARK,glottal,-0.024619276360496822,0.19718254231066037,-0.41898436098181757,0.3697458082608239,
BARK,labial,0.016669484528065357,0.20453797452537592,-0.39240646452268646,0.4257454335788172,
BARK,palatal,-0.06827393217202021,0.18868326090763862,-0.44564045398729746,0.30909258964325703,
BARK,velar,0.28774785507864736,0.1870028142775639,-0.08625777347648045,0.6617534836337752,
BE ALIVE,alveolar,0.04831703801828926,0.21373330764254864,-0.37914957726680804,0.4757836533033865,
BE ALIVE,glottal,0.005617393545258055,0.19866539076520265,-0.39171338798514727,0.40294817507566333,
BE ALIVE,labial,0.0012594766891272655,0.20708748667490942,-0.41291549666069155,0.41543445003894613,
BE ALIVE,palatal,-0.04729236180521545,0.19411897871418768,-0.4355303192335908,0.3409455956231599,
BE ALIVE,velar,-0.10740861733999096,0.18885648177860048,-0.48512158089719193,0.27030434621721,
BEAUTIFUL,alveolar,0.0713992030819028,0.2151699040734078,-0.3589406050649128,0.5017390112287184,
BEAUTIFUL,glottal,-0.041167487367042864,0.20015202383340186,-0.44147153503384656,0.3591365602997609,
BEAUTIFUL,labial,-0.06844199002710584,0.20921470734917097,-0.48687140472544777,0.3499874246712361,
BEAUTIFUL,palatal,-0.021013107327665214,0.19626115072785522,-0.41353540878337564,0.37150919412804523,
BEAUTIFUL,velar,-0.05177827447497916,0.19153061403165036,-0.4348395025382799,0.33128295358832155,
BECAUSE,alveolar,0.03145060542445449,0.2157087044480075,-0.3999668034715605,0.4628680143204695,
