concept,category,mean,sd,lwr,upr,word_dim
ABOVE,alveolar-unvoiced,-0.0386099352188937,0.10224098697115583,-0.24309190916120535,0.16587203872341796,
ABOVE,alveolar-voiced,0.07482056091728381,0.29772614037267353,-0.5206317198280632,0.6702728416626309,
ABOVE,glottal-unvoiced,-0.009143187676172402,0.19446465332191015,-0.3980724943199927,0.3797861189676479,
ABOVE,glottal-voiced,-0.0026030404776346025,0.08395904842429516,-0.17052113732622493,0.16531505637095573,
ABOVE,labial-unvoiced,-0.020054155069495695,0.11472823208762307,-0.24951061924474185,0.20940230910575044,
ABOVE,labial-voiced,-0.10348487362976663,0.1824512326011175,-0.4683873388320017,0.26141759157246836,
ABOVE,palatal-unvoiced,-0.010115900240184671,0.10736108040052257,-0.2248380610412298,0.20460626056086048,
ABOVE,palatal-voiced,-0.003166130642332184,0.1291718856658273,-0.26150990197398677,0.2551776406893224,
ABOVE,velar-unvoiced,-0.09552888770198202,0.15284935531455848,-0.401227598331099,0.21016982292713493,
ABOVE,velar-voiced,0.05375885744737909,0.14112655170191826,-0.22849424595645743,0.3360119608512156,
AFTER,alveolar-unvoiced,-0.08738003520573319,0.1087566064155287,-0.3048932480367906,0.13013317762532423,
AFTER,alveolar-voiced,0.23481654602161955,0.29942773428911257,-0.3640389225566056,0.8336720145998446,
AFTER,glottal-unvoiced,-0.09014013050664375,0.20048438588832174,-0.49110890228328724,0.3108286412699997,
AFTER,glottal-voiced,-0.043934439931173117,0.09412019156514476,-0.23217482306146264,0.14430594319911638,
AFTER,labial-unvoiced,-0.05597952612397963,0.12485191506567077,-0.30568335625532117,0.1937243040073619,
AFTER,labial-voiced,-0.06735602770898941,0.1866624477532789,-0.4406809232155472,0.3059688677975684,
AFTER,palatal-unvoiced,-0.0737001564178865,0.1157852055152579,-0.3052705674484023,0.15787025461262927,
AFTER,palatal-voiced,-0.07521158172633714,0.13681382998374111,-0.34883924169381936,0.1984160782411451,
AFTER,velar-unvoiced,-0.056640789389972024,0.1619232932907671,-0.3804873759715062,0.2672057971915622,
AFTER,velar-voiced,-0.03258022568246455,0.14750974407277406,-0.3275997138280127,0.2624392624630836,
AIR,alveolar-unvoiced,-0.023007752915949118,0.10117317562272417,-0.22535410416139745,0.17933859832949922,
AIR,alveolar-voiced,-0.055923900273412354,0.3022748380939243,-0.6604735764612609,0.5486257759144363,
AIR,glottal-unvoiced,0.1490790319106631,0.1973062952591437,-0.2455335586076243,0.5436916224289505,
AIR,glottal-voiced,2.0771198207931597e-4,0.08911476238019521,-0.1780218127783111,0.17843723674246972,
AIR,labial-unvoiced,-0.04992872056844723,0.11921218246737249,-0.2883530855031922,0.18849564436629773,
AIR,labial-voiced,0.037845036179473185,0.18911293987454858,-0.34038084356962395,0.4160709159285704,
AIR,palatal-unvoiced,-0.012905150585523247,0.11130140458219852,-0.23550795974992028,0.2096976585788738,
AIR,palatal-voiced,3.592332805942902e-4,0.13380147271396245,-0.2672437121473306,0.2679621787085192,
AIR,velar-unvoiced,-0.11848612262484634,0.15707790489134577,-0.4326419324075379,0.1956696871578452,
AIR,velar-voiced,-0.027579942125364836,0.14665056506375543,-0.3208810722528757,0.265721188002146,
ALL,alveolar-unvoiced,0.07248406184386333,0.09722521092921049,-0.12196636001455766,0.26693448370228434,
ALL,alveolar-voiced,-0.09805987845651322,0.297044469355428,-0.6921488171673692,0.4960290602543428,
