concept,category,mean,sd,lwr,upr,word_dim
ABOVE,rounded,-0.0747661392391825,0.22670286312153917,-0.5281718654822608,0.37863958700389583,
ABOVE,unrounded,0.07476613923918222,0.22670286312153917,-0.3786395870038961,0.5281718654822606,
AFTER,rounded,-0.053029722638308685,0.23099170355113532,-0.5150131297405793,0.40895368446396196,
AFTER,unrounded,0.0530297226383084,0.23099170355113532,-0.40895368446396224,0.515013129740579,
AIR,rounded,-0.086522157729315,0.23466341194912307,-0.5558489816275611,0.38280466616893116,
AIR,unrounded,0.08652215772931472,0.23466341194912307,-0.38280466616893144,0.5558489816275609,
ALL,rounded,0.05050801340714999,0.22383711853528038,-0.39716622366341076,0.49818225047771075,
ALL,unrounded,-0.05050801340715028,0.22383711853528038,-0.49818225047771103,0.3971662236634105,
ANGRY,rounded,0.030060505115024592,0.23875811882455858,-0.44745573253409254,0.5075767427641418,
ANGRY,unrounded,-0.030060505115024876,0.23875811882455858,-0.507576742764142,0.44745573253409227,
ANIMAL,rounded,-0.30369285755475,0.22665223312572017,-0.7569973238061903,0.14961160869669032,
ANIMAL,unrounded,0.30369285755474973,0.22665223312572017,-0.1496116086966906,0.75699732380619,
ANT,rounded,0.018870768397335494,0.2247205501300078,-0.4305703318626801,0.4683118686573511,
ANT,unrounded,-0.01887076839733578,0.2247205501300078,-0.46831186865735136,0.43057033186267984,
ARM OR HAND,rounded,0.215262032494,0.23248751659415479,-0.24971300069430957,0.6802370656823096,
ARM OR HAND,unrounded,-0.21526203249400028,0.23248751659415479,-0.6802370656823098,0.2497130006943093,
ASH,rounded,0.30876855659525,0.2238431928949769,-0.1389178291947038,0.7564549423852038,
ASH,unrounded,-0.30876855659525027,0.2238431928949769,-0.756454942385204,0.13891782919470352,
BACK,rounded,0.22203969334525,0.22411191399178573,-0.22618413463832146,0.6702635213288215,
BACK,unrounded,-0.22203969334525028,0.22411191399178573,-0.6702635213288217,0.22618413463832118,
BAD,rounded,-0.18428077460475,0.22437804825496344,-0.6330368711146769,0.26447532190517686,
BAD,unrounded,0.18428077460474973,0.22437804825496344,-0.26447532190517714,0.6330368711146765,
BARK,rounded,0.10804985534379999,0.22474083736712355,-0.3414318193904471,0.5575315300780471,
BARK,unrounded,-0.10804985534380028,0.22474083736712352,-0.5575315300780473,0.34143181939044676,
BE ALIVE,rounded,-0.022134487606730008,0.22507849923715037,-0.4722914860810308,0.4280225108675707,
BE ALIVE,unrounded,0.02213448760672972,0.22507849923715037,-0.42802251086757104,0.47229148608103044,
BEAUTIFUL,rounded,-0.032253895003159005,0.2280050442586107,-0.4882639835203804,0.4237561935140624,
BEAUTIFUL,unrounded,0.03225389500315872,0.22800504425861073,-0.42375619351406274,0.4882639835203802,
BECAUSE,rounded,-0.095486102056,0.2294153317349683,-0.5543167655259367,0.3633445614139366,
BECAUSE,unrounded,0.09548610205599972,0.2294153317349683,-0.3633445614139369,0.5543167655259363,
BEFORE,rounded,-0.11487888765609351,0.22851159250011957,-0.5719020726563326,0.34214429734414564,
BEFORE,unrounded,0.11487888765609322,0.22851159250011957,-0.3421442973441459,0.5719020726563324,
BEHIND,rounded,-0.07605771482201641,0.2289243574232886,-0.5339064296685936,0.3817910000245608,
BEHIND,unrounded,0.07605771482201612,0.2289243574232886,-0.38179100002456107,0.5339064296685934,
BELLY,rounded,0.11491588426525,0.22388877874876306,-0.3328616732322761,0.5626934417627761,
BELLY,unrounded,-0.11491588426525028,0.22388877874876306,-0.5626934417627764,0.33286167323227583,
BELOW OR UNDER,rounded,-0.08718144886267701,0.2249462410286896,-0.5370739309200562,0.3627110331947022,
BELOW OR UNDER,unrounded,0.08718144886267672,0.2249462410286896,-0.3627110331947025,0.537073930920056,
BESIDE,rounded,-0.161140375639465,0.23384400822132295,-0.6288283920821109,0.30654764080318087,
BESIDE,unrounded,0.16114037563946473,0.23384400822132295,-0.3065476408031812,0.6288283920821106,
BETWEEN,rounded,-0.11898833306006501,0.2360604974937673,-0.5911093280475996,0.3531326619274696,
BETWEEN,unrounded,0.11898833306006472,0.23606049749376729,-0.35313266192746984,0.5911093280475993,
BIG,rounded,0.02425057827438249,0.2233759063640824,-0.4225012344537823,0.47100239100254726,
BIG,unrounded,-0.024250578274382782,0.2233759063640824,-0.47100239100254754,0.422501234453782,
BIRD,rounded,-0.002009507020048058,0.2232963989570777,-0.44860230493420344,0.44458329089410736,
BIRD,unrounded,0.0020095070200477705,0.2232963989570777,-0.44458329089410764,0.44860230493420317,
BITE,rounded,-0.15807792014475,0.22379951816933796,-0.6056769564834259,0.28952111619392595,
BITE,unrounded,0.15807792014474972,0.22379951816933796,-0.2895211161939262,0.6056769564834257,
