concept,category,mean,sd,lwr,upr,word_dim
ABOVE,unvoiced,-0.1468001336114217,0.41932972613126424,-0.9854595858739501,0.6918593186511068,
ABOVE,voiced,0.1468001336114217,0.41932972613126424,-0.6918593186511068,0.9854595858739501,
AFTER,unvoiced,-0.3040272815460267,0.42208604660664145,-1.1481993747593096,0.5401448116672563,
AFTER,voiced,0.3040272815460267,0.42208604660664145,-0.5401448116672563,1.1481993747593096,
AIR,unvoiced,-0.10627318316287718,0.42398017986979175,-0.9542335429024607,0.7416871765767064,
AIR,voiced,0.10627318316287719,0.42398017986979175,-0.7416871765767064,0.9542335429024607,
ALL,unvoiced,0.09611729979127331,0.41809508685181335,-0.7400728739123534,0.9323074734949,
ALL,voiced,-0.0961172997912733,0.41809508685181335,-0.9323074734949,0.7400728739123534,
ANGRY,unvoiced,0.005381752582069815,0.42633281960086056,-0.8472838866196513,0.858047391783791,
ANGRY,voiced,-0.005381752582069807,0.42633281960086056,-0.858047391783791,0.8472838866196513,
ANIMAL,unvoiced,-0.1611905176924767,0.4194396157473554,-1.0000697491871875,0.677688713802234,
ANIMAL,voiced,0.1611905176924767,0.4194396157473554,-0.677688713802234,1.0000697491871875,
ANT,unvoiced,-0.03880926906498453,0.419315163092467,-0.8774395952499185,0.7998210571199496,
ANT,voiced,0.038809269064984546,0.419315163092467,-0.7998210571199496,0.8774395952499185,
ARM OR HAND,unvoiced,0.029099256266653467,0.42321603377113115,-0.8173328112756089,0.8755313238089157,
ARM OR HAND,voiced,-0.029099256266653457,0.42321603377113115,-0.8755313238089157,0.8173328112756089,
ASH,unvoiced,0.23158495051397332,0.4177430506757902,-0.6039011508376071,1.0670710518655537,
ASH,voiced,-0.23158495051397332,0.4177430506757902,-1.0670710518655537,0.6039011508376071,
BACK,unvoiced,0.033522329175808316,0.4182677768542443,-0.8030132245326803,0.870057882884297,
BACK,voiced,-0.0335223291758083,0.4182677768542443,-0.870057882884297,0.8030132245326803,
BAD,unvoiced,-0.07294516068853768,0.4181497085414203,-0.9092445777713782,0.763354256394303,
BAD,voiced,0.0729451606885377,0.4181497085414203,-0.7633542563943029,0.9092445777713783,
BARK,unvoiced,0.3209521233139733,0.41835059463833413,-0.5157490659626949,1.1576533125906416,
BARK,voiced,-0.3209521233139733,0.41835059463833413,-1.1576533125906416,0.5157490659626949,
BE ALIVE,unvoiced,-0.2172558394060267,0.41796407928035206,-1.0531839979667308,0.6186723191546775,
BE ALIVE,voiced,0.2172558394060267,0.41796407928035206,-0.6186723191546775,1.0531839979667308,
BEAUTIFUL,unvoiced,-0.1885994568803767,0.42102289273376475,-1.0306452423479062,0.6534463285871528,
BEAUTIFUL,voiced,0.1885994568803767,0.42102289273376475,-0.6534463285871528,1.0306452423479062,
BECAUSE,unvoiced,-0.06716977552189668,0.42162269675718245,-0.9104151690362616,0.7760756179924682,
BECAUSE,voiced,0.0671697755218967,0.42162269675718245,-0.7760756179924682,0.9104151690362616,
BEFORE,unvoiced,-0.17729351766662668,0.42042356012847243,-1.0181406379235716,0.6635536025903181,
BEFORE,voiced,0.1772935176666267,0.42042356012847243,-0.6635536025903181,1.0181406379235716,
BEHIND,unvoiced,-0.19196292499807668,0.4204242426066399,-1.0328114102113566,0.6488855602152032,
BEHIND,voiced,0.19196292499807668,0.4204242426066399,-0.6488855602152032,1.0328114102113566,
BELLY,unvoiced,0.12525563934897332,0.4179153321860729,-0.7105750250231725,0.9610863037211191,
BELLY,voiced,-0.1252556393489733,0.4179153321860729,-0.9610863037211191,0.7105750250231725,
BELOW OR UNDER,unvoiced,-0.0013878811820821828,0.4185632078752134,-0.838514296932509,0.8357385345683446,
BELOW OR UNDER,voiced,0.0013878811820821964,0.4185632078752134,-0.8357385345683446,0.838514296932509,
BESIDE,unvoiced,-0.07419522480754968,0.42331138390741235,-0.9208179926223744,0.772427543007275,
BESIDE,voiced,0.0741952248075497,0.42331138390741235,-0.772427543007275,0.9208179926223744,
BETWEEN,unvoiced,-0.09618385166404668,0.42552409673223507,-0.9472320451285168,0.7548643418004235,
BETWEEN,voiced,0.0961838516640467,0.42552409673223507,-0.7548643418004235,0.9472320451285168,
BIG,unvoiced,-0.19259839735102668,0.41758796710753215,-1.027774331566091,0.6425775368640376,
BIG,voiced,0.19259839735102668,0.41758796710753215,-0.6425775368640376,1.027774331566091,
BIRD,unvoiced,-0.16628771929602668,0.41776047641658265,-1.001808672129192,0.6692332335371386,
BIRD,voiced,0.1662877192960267,0.41776047641658265,-0.6692332335371386,1.001808672129192,
BITE,unvoiced,0.3889956292639733,0.41760164117835896,-0.4462076530927446,1.2241989116206913,
BITE,voiced,-0.3889956292639733,0.41760164117835896,-1.2241989116206913,0.4462076530927446,
BITTER,unvoiced,0.22983398468897331,0.4198768095238941,-0.6099196343588149,1.0695876037367615,
BITTER,voiced,-0.22983398468897331,0.4198768095238941,-1.0695876037367615,0.6099196343588149,
BLACK,unvoiced,-0.14298101537352667,0.4178026840094003,-0.9785863833923273,0.6926243526452739,
BLACK,voiced,0.1429810153735267,0.4178026840094003,-0.6926243526452739,0.9785863833923273,
BLOOD,unvoiced,-0.14698511739602668,0.41780214048282577,-0.9825893983616782,0.6886191635696248,
BLOOD,voiced,0.14698511739602668,0.41780214048282577,-0.6886191635696248,0.9825893983616782,
BLOW (OF WIND),unvoiced,0.3227726742639733,0.41832672761907225,-0.5138807809741712,1.1594261295021178,
BLOW (OF WIND),voiced,-0.3227726742639733,0.41832672761907225,-1.1594261295021178,0.5138807809741712,
BLUE,unvoiced,-0.28632561570102666,0.4213938406809008,-1.1291132970628284,0.5564620656607749,
BLUE,voiced,0.2863256157010267,0.4213938406809008,-0.5564620656607748,1.1291132970628284,
BLUNT,unvoiced,0.01004188615529082,0.4193506309052789,-0.828659375655267,0.8487431479658486,
BLUNT,voiced,-0.010041886155290804,0.4193506309052789,-0.8487431479658486,0.828659375655267,
BODY,unvoiced,-0.1401747401171267,0.4186184904093672,-0.9774117209358612,0.6970622407016077,
BODY,voiced,0.1401747401171267,0.4186184904093672,-0.6970622407016077,0.9774117209358612,
BONE,unvoiced,0.29385926201397333,0.4177931254865937,-0.541726988959214,1.1294455129871608,
BONE,voiced,-0.2938592620139733,0.4177931254865937,-1.1294455129871608,0.5417269889592141,
