concept,category,mean,sd,lwr,upr,word_dim
ABOVE,back,-0.09199974239996914,0.2699850256761534,-0.6319697937522759,0.4479703089523377,
ABOVE,central,-0.045695104820021135,0.26167418353038807,-0.5690434718807973,0.477653262240755,
ABOVE,front,0.07869259163214304,0.3100163458345718,-0.5413401000370006,0.6987252833012867,
AFTER,back,-0.08571339070504852,0.27263098280925524,-0.630975356323559,0.45954857491346196,
AFTER,central,-0.07352433866467806,0.26338058513612317,-0.6002855089369243,0.4532368316075683,
AFTER,front,0.08985196790609314,0.31203195588006444,-0.5342119438540357,0.713915879666222,
AIR,back,-0.12455008915567523,0.27187733801864916,-0.6683047651929735,0.4192045868816231,
AIR,central,-0.012922674308349832,0.26641834562026484,-0.5457593655488795,0.5199140169321799,
AIR,front,0.08435978702647738,0.31290037644294205,-0.5414409658594067,0.7101605399123615,
ALL,back,0.04872818537826345,0.2664164983193203,-0.48410481126037713,0.581561182016904,
ALL,central,-0.022483384509655924,0.2553718902776241,-0.5332271650649041,0.48826039604559224,
ALL,front,-0.051885466449334325,0.30909925340714794,-0.6700839732636302,0.5663130403649616,
ANGRY,back,-0.027748586457055812,0.273663161299883,-0.5750749090568218,0.5195777361427102,
ANGRY,central,-0.04752738290603882,0.26378466697081854,-0.5750967168476759,0.48004195103559827,
ANGRY,front,0.026444338858891567,0.3134134621508147,-0.6003825854427379,0.653271263160521,
ANIMAL,back,-0.24549372424315657,0.2702129545460418,-0.7859196333352401,0.29493218484892697,
ANIMAL,central,8.169123056084871e-4,0.26613803374293754,-0.5314591551802665,0.5330929797914836,
ANIMAL,front,0.17070583414523818,0.3095489688911905,-0.44839210363714277,0.7898037719276192,
ANT,back,0.021253479382956485,0.266818502457321,-0.5123835255316855,0.5548904842975986,
ANT,central,-0.0030096652943680615,0.25665471861490197,-0.516319102524172,0.5102997719354359,
ANT,front,-0.04058384690810253,0.3095742044892744,-0.6597322558866514,0.5785645620704463,
ARM OR HAND,back,0.17333561330824318,0.2662952120432844,-0.35925481077832555,0.705926037394812,
ARM OR HAND,central,0.07880864495333874,0.2571999406099246,-0.43559123626651053,0.593208526173188,
ARM OR HAND,front,-0.22492647220312434,0.31486905586508485,-0.854664583933294,0.40481163952704535,
ASH,back,0.2888609150330727,0.2631361652261898,-0.23741141541930694,0.8151332454854523,
ASH,central,-0.03664960411570669,0.24751180472915782,-0.5316732135740223,0.45837400534260897,
ASH,front,-0.25677008441402527,0.3092503269334012,-0.8752707382808277,0.36173056945277715,
BACK,back,0.19506312239404333,0.2626354854555355,-0.33020784851702767,0.7203340933051143,
BACK,central,0.03433464413691029,0.2502041663340759,-0.4660736885312415,0.5347429768050621,
BACK,front,-0.21491643735323598,0.3094140313645795,-0.833744500082395,0.40391162537592307,
BAD,back,-0.18707551200810976,0.27016918472001883,-0.7274138814481474,0.35326285743192787,
BAD,central,-0.04618691017730342,0.26366466450620063,-0.5735162391897046,0.48114241883509784,
BAD,front,0.15472676057709672,0.30918223612123574,-0.46363771166537476,0.7730912328195683,
BARK,back,0.08431299426514643,0.26665119911079715,-0.4489894039564479,0.6176153924867407,
BARK,central,-0.04258661243994897,0.25458638121362315,-0.5517593748671953,0.4665861499872973,
BARK,front,-0.07030690147653415,0.30936965445341064,-0.6890462103833555,0.5484324074302871,
BE ALIVE,back,-0.05788301045832649,0.26889521013650663,-0.5956734307313397,0.47990740981468677,
BE ALIVE,central,-0.03632381724166414,0.25971522176083106,-0.5557542607633262,0.483106626279998,
BE ALIVE,front,0.04537902470531614,0.309426169877031,-0.5734733150487458,0.6642313644593781,
BEAUTIFUL,back,-0.061899461397867186,0.27075635243471036,-0.6034121662672879,0.47961324347155354,
BEAUTIFUL,central,-0.06346436045838247,0.2616961907442689,-0.5868567419469203,0.4599280210301554,
BEAUTIFUL,front,0.06466516380013061,0.3103340249703884,-0.5560028861406462,0.6853332137409075,
BECAUSE,back,-0.13149049949807473,0.27274398753923673,-0.6769784745765481,0.41399747558039873,
BECAUSE,central,-0.06400959782697628,0.2644013374245891,-0.5928122726761544,0.4647930770222019,
BECAUSE,front,0.12112243432876048,0.3111011386634236,-0.5010798429980867,0.7433247116556077,
