concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high-back,-0.09016982307057479,0.22591303227101192,-0.5419958876125986,0.36165624147144904,
ABOVE,high-front,-0.07501122923014503,0.2501048137608006,-0.5752208567517463,0.4251983982914562,
ABOVE,low-back,-0.013836103029194389,0.17248800480665805,-0.3588121126425105,0.3311399065841217,
ABOVE,low-front,0.1143747436802691,0.3003219915505159,-0.4862692394207627,0.715018726781301,
AFTER,high-back,-0.07193426094355572,0.22526363624912898,-0.5224615334418137,0.37859301155470226,
AFTER,high-front,0.09591202703220769,0.25052773434008063,-0.4051434416479536,0.596967495712369,
AFTER,low-back,-0.037775281989637505,0.17230207945356782,-0.3823794408967731,0.30682887691749816,
AFTER,low-front,-0.04778450587881182,0.301293383012305,-0.6503712719034218,0.5548022601457983,
AIR,high-back,-0.08193012989823915,0.2293519013343315,-0.5406339325669022,0.37677367277042384,
AIR,high-front,-0.12472027735744828,0.2537721347035528,-0.6322645467645539,0.38282399204965734,
AIR,low-back,0.008000975591784424,0.1784541177446272,-0.34890725989746996,0.3649092110810388,
AIR,low-front,0.13482319973064302,0.3030991805316969,-0.4713751613327507,0.7410215607940368,
ALL,high-back,0.04063171816467173,0.2223906158010102,-0.4041495134373486,0.48541294976669214,
ALL,high-front,-0.08524242725199264,0.24748126871049833,-0.5802049646729893,0.409720110169004,
ALL,low-back,-0.004220724657897806,0.16545430492551633,-0.33512933450893045,0.32668788519313485,
ALL,low-front,-0.0071351805324773865,0.2994492682052741,-0.6060337169430257,0.5917633558780708,
ANGRY,high-back,-0.009541176597175238,0.22733066500361923,-0.4642025066044137,0.4451201534100632,
ANGRY,high-front,0.04390797099665845,0.25332279196111407,-0.4627376129255697,0.5505535549188866,
ANGRY,low-back,-0.01747456128285921,0.1738875384195579,-0.36524963812197503,0.33030051555625656,
ANGRY,low-front,-0.07236588725075489,0.30430982152138036,-0.6809855302935156,0.5362537557920058,
ANIMAL,high-back,-0.18874089066844665,0.226900692205697,-0.6425422750798406,0.2650604937429474,
ANIMAL,high-front,-0.042273364454743056,0.2505721705027987,-0.5434177054603404,0.4588709765508543,
ANIMAL,low-back,0.00366982738553706,0.17584878585845834,-0.3480277443313796,0.35536739910245374,
ANIMAL,low-front,0.1624264127523039,0.30046622455714084,-0.43850603636197777,0.7633588618665856,
ANT,high-back,0.056255008442948146,0.22147256210860033,-0.3866901157742525,0.49920013266014884,
ANT,high-front,0.05855398258801289,0.24745057900371434,-0.4363471754194158,0.5534551405954415,
ANT,low-back,-0.030400049947901367,0.16406524865052907,-0.3585305472489595,0.2977304473531568,
ANT,low-front,-0.14507334197581873,0.29981212953736086,-0.7446976010505404,0.454550917098903,
ARM OR HAND,high-back,0.09695133405780863,0.2247623593873835,-0.35257338471695837,0.5464760528325756,
ARM OR HAND,high-front,-0.13395518581787216,0.25236992982317125,-0.6386950454642146,0.37078467382847036,
ARM OR HAND,low-back,0.0865020071185767,0.17148785530344263,-0.25647370348830856,0.42947771772546195,
ARM OR HAND,low-front,-0.08346561284052129,0.3046827390572322,-0.6928310909549857,0.5258998652739431,
ASH,high-back,0.2655926195791847,0.22016271575269208,-0.1747328119261995,0.7059180510845688,
ASH,high-front,-0.17508694749869244,0.24633263855746118,-0.6677522246136148,0.3175783296162299,
ASH,low-back,-0.03227391911397566,0.15796314930477828,-0.3482002177235322,0.2836523794955809,
ASH,low-front,-0.15041293098523933,0.30039735050030303,-0.7512076319858454,0.4503817700153667,
BACK,high-back,0.17542303045765628,0.22007268600086097,-0.26472234154406565,0.6155684024593782,
BACK,high-front,-0.14101070969363527,0.24666362508607523,-0.6343379598657857,0.3523165404785152,
BACK,low-back,0.010672159627710662,0.1610958130303139,-0.3115194664329171,0.33286378568833846,
BACK,low-front,-0.10814818505863848,0.3000516022027136,-0.7082513894640656,0.4919550193467887,
BAD,high-back,-0.17866891113119793,0.22478321706674823,-0.6282353452646944,0.2708975230022985,
BAD,high-front,0.022677216174686814,0.24914197204273314,-0.47560672791077946,0.520961160260153,
BAD,low-back,-0.015119509549312555,0.17302846482583853,-0.36117643920098963,0.3309374201023645,
BAD,low-front,0.10775112741941055,0.29882320273350405,-0.4898952780475975,0.7053975328864186,
BARK,high-back,0.06615863792576997,0.22314727485302127,-0.38013591178027256,0.5124531876318125,
BARK,high-front,-0.07268601746225492,0.24736720692148448,-0.5674204313052239,0.422048396380714,
BARK,low-back,-0.026151602151702077,0.165442784699714,-0.3570371715511301,0.3047339672477259,
BARK,low-front,-0.030910814422570723,0.2999558848376117,-0.6308225840977941,0.5690009552526527,
BE ALIVE,high-back,-0.026640956295970304,0.22274418401732327,-0.47212932433061683,0.41884741173867623,
BE ALIVE,high-front,0.07274222502216016,0.24766472886002272,-0.4225872326978853,0.5680716827422057,
BE ALIVE,low-back,-0.03223891308037298,0.1666109766347001,-0.36546086634977315,0.3009830401890272,
BE ALIVE,low-front,-0.07202743259658968,0.2995660295406161,-0.671159491677822,0.5271046264846425,
BEAUTIFUL,high-back,-0.06593292625504273,0.2263026835247613,-0.5185382933045654,0.3866724407944799,
BEAUTIFUL,high-front,-0.04648696356416357,0.2506698689169017,-0.547826701397967,0.45485277426963977,
BEAUTIFUL,low-back,-0.042864635094592006,0.17211586666687118,-0.38709636842833434,0.30136709823915037,
BEAUTIFUL,low-front,0.08416598332621958,0.3001865745796029,-0.5162071658329862,0.6845391324854254,
BECAUSE,high-back,-0.12129036178179071,0.22676076305837223,-0.5748118878985352,0.33223116433495375,
BECAUSE,high-front,0.06319900696294255,0.2515335761245379,-0.43986814528613327,0.5662661592120184,
BECAUSE,low-back,-0.026438342507099713,0.17418680380355703,-0.37481195011421375,0.32193526510001436,
BECAUSE,low-front,0.024005853312278974,0.3010886511524046,-0.5781714489925301,0.6261831556170881,
BEFORE,high-back,-0.03773288503961302,0.2254793391271716,-0.48869156329395624,0.4132257932147302,
BEFORE,high-front,0.004231920183544518,0.2503691055513943,-0.4965062909192441,0.5049701312863332,
BEFORE,low-back,-0.02560618924215118,0.1709899619902611,-0.36758611322267337,0.316373734738371,
BEFORE,low-front,2.9045436984344194e-4,0.30106803671563764,-0.6018456190614319,0.6024265278011187,
BEHIND,high-back,0.024358968402290713,0.22602847592938735,-0.42769798345648397,0.47641592026106544,
BEHIND,high-front,-0.12722978575935479,0.2503790759648346,-0.6279879376890241,0.37352836617031443,
BEHIND,low-back,-0.017041289084528385,0.17002400822516006,-0.3570893055348485,0.3230067273657917,
BEHIND,low-front,0.05314629849176258,0.3012560041611361,-0.5493657098305097,0.6556583068140348,
BELLY,high-back,0.15565414056497617,0.21951402817556395,-0.28337391578615173,0.594682196916104,
BELLY,high-front,-0.0868871972737018,0.24596096638869863,-0.578809130051099,0.40503473550369545,
BELLY,low-back,0.004639665388417692,0.16080964533236056,-0.3169796252763034,0.3262589560531388,
BELLY,low-front,-0.13264505087863732,0.2995710000288612,-0.7317870509363598,0.46649694917908513,
BELOW OR UNDER,high-back,-0.04558667356674573,0.22378848919193411,-0.49316365195061396,0.4019903048171225,
BELOW OR UNDER,high-front,-0.03420553229861765,0.24828060406970792,-0.5307667404380335,0.4623556758407982,
BELOW OR UNDER,low-back,-0.01850339973901901,0.16931823847083805,-0.3571398766806951,0.3201330772026571,
BELOW OR UNDER,low-front,0.03979450915722925,0.29956975809650205,-0.5593450070357748,0.6389340253502334,
BESIDE,high-back,-0.08525768219782033,0.22899917084354865,-0.5432560238849177,0.372740659489277,
BESIDE,high-front,-0.06051879185305945,0.2533576067822883,-0.567234005417636,0.44619642171151713,
BESIDE,low-back,-0.024111561655275476,0.17612655692931062,-0.37636467551389674,0.32814155220334573,
BESIDE,low-front,0.10220592343277243,0.30277810494626356,-0.5033502864597547,0.7077621333252996,
BETWEEN,high-back,-0.06263808536471703,0.23157926037919666,-0.5257966061231103,0.40052043539367627,
BETWEEN,high-front,-0.15650727873134299,0.25623441707608335,-0.6689761128835097,0.35596155542082375,
BETWEEN,low-back,-0.03673739839085151,0.18019048946806784,-0.3971183773269872,0.3236435805452842,
BETWEEN,low-front,0.16964358988537062,0.30423912134773085,-0.43883465281009104,0.7781218325808323,
BIG,high-back,0.022110008306764788,0.2235507945154843,-0.4249915807242038,0.4692115973377334,
BIG,high-front,-0.14559625125025633,0.24794610544040632,-0.641488462131069,0.3502959596305563,
BIG,low-back,-0.005754748366610668,0.1667705984778039,-0.33929594532221846,0.32778644858899714,
BIG,low-front,0.06514220375956012,0.29942007941824794,-0.5336979550769357,0.663982362596056,
BIRD,high-back,0.010841427666659671,0.21982893605810538,-0.4288164444495511,0.45049929978287045,
BIRD,high-front,0.07476038253584413,0.24614867877001317,-0.4175369750041822,0.5670577400758705,
BIRD,low-back,0.008014723960581992,0.16355984763695475,-0.3191049713133275,0.3351344192344915,
BIRD,low-front,-0.13848969837498024,0.2990028958645004,-0.7364954901039811,0.45951609335402055,
BITE,high-back,-0.1487328880991795,0.22647666891599957,-0.6016862259311786,0.30422044973281964,
BITE,high-front,-0.11888010799870934,0.24965659039654606,-0.6181932887918015,0.38043307279438277,
BITE,low-back,0.0021918956131615395,0.17412781484474785,-0.3460637340763342,0.3504475253026572,
BITE,low-front,0.19428129463097793,0.29907458739024173,-0.40386788014950553,0.7924304694114614,
BITTER,high-back,-0.11240422978015853,0.22815008531941672,-0.568704400418992,0.3438959408586749,
BITTER,high-front,-0.18598776041824736,0.2507938983001073,-0.687575557018462,0.3156000361819672,
BITTER,low-back,-0.006447586876489019,0.17572614319787172,-0.35789987327223244,0.34500469951925444,
BITTER,low-front,0.22182505746944192,0.29981239645394875,-0.3777997354384556,0.8214498503773394,
BLACK,high-back,0.020975312716878566,0.21917954091957711,-0.41738376912227565,0.4593343945560328,
BLACK,high-front,0.06134578457108045,0.24590672166575422,-0.43046765876042803,0.5531592279025889,
BLACK,low-back,0.03263312479971189,0.1632630562623379,-0.29389298772496386,0.3591592373243877,
BLACK,low-front,-0.15213410735407096,0.298974153725121,-0.7500824148043129,0.445814200096171,
BLOOD,high-back,-0.1780023114081532,0.2221567723613243,-0.6223158561308018,0.2663112333144954,
BLOOD,high-front,0.059256382700129374,0.24766190273349312,-0.43606742276685684,0.5545801881671156,
BLOOD,low-back,0.029912785710291673,0.1710060774367603,-0.31209936916322895,0.37192494058381226,
BLOOD,low-front,0.045800723084357856,0.29825738811360847,-0.550714053142859,0.6423154993115748,
BLOW (OF WIND),high-back,0.35181883448995194,0.21623037063106262,-0.08064190677217331,0.7842795757520772,
BLOW (OF WIND),high-front,-0.015259508921078262,0.246279773513425,-0.5078190559479283,0.47730003810577176,
BLOW (OF WIND),low-back,-0.021249268833343934,0.15321324371829245,-0.32767575626992884,0.28517721860324097,
BLOW (OF WIND),low-front,-0.4296868067083207,0.30030373086815676,-1.0302942684446341,0.1709206550279928,
BLUE,high-back,0.04625222482083663,0.22369895733848996,-0.4011456898561433,0.49365013949781655,
BLUE,high-front,-0.03775975527642828,0.24932674180947487,-0.5364132388953781,0.46089372834252146,
BLUE,low-back,-0.011745999593095247,0.16743032263111604,-0.34660664485532733,0.32311464566913684,
BLUE,low-front,-0.05271181989628939,0.30138719258419266,-0.6554862050646747,0.550062565272096,
BLUNT,high-back,0.39635592212517257,0.21796829559137265,-0.03958066905757274,0.8322925133079179,
BLUNT,high-front,-0.21358117614723401,0.24702836626292776,-0.7076379086730895,0.28047555637862154,
BLUNT,low-back,-0.019314874795785683,0.15502545296006803,-0.32936578071592176,0.29073603112435037,
