concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high,-0.14210091132998948,0.2606824283030735,-0.6634657679361364,0.3792639452761575,
ABOVE,low,0.14141904215099385,0.28639406174052684,-0.4313690813300598,0.7142071656320476,
ABOVE,mid,-0.04969821639685237,0.36636603446199023,-0.7824302853208328,0.6830338525271281,
AFTER,high,-0.0706467911997199,0.2669835158280798,-0.6046138228558795,0.46332024045643966,
AFTER,low,-0.01834759205813668,0.28877042661896357,-0.5958884452960638,0.5591932611797905,
AFTER,mid,0.044686232177279746,0.36701760627603297,-0.6893489803747862,0.7787214447293457,
AIR,high,-0.10392141084707114,0.26295955784295894,-0.629840526532989,0.42199770483884674,
AIR,low,0.15905783452361724,0.2877972223091704,-0.41653661009472354,0.734652279141958,
AIR,mid,-0.11124618059801614,0.36904235067543983,-0.8493308819488958,0.6268385207528635,
ALL,high,-0.08530029330319464,0.2631494787408658,-0.6115992507849263,0.44099866417853695,
ALL,low,0.01145346553392263,0.28573675561771694,-0.5600200457015112,0.5829269767693566,
ALL,mid,0.030179942358254015,0.3647163302638548,-0.6992527181694556,0.7596126028859637,
ANGRY,high,0.01327932882782897,0.26777533969982803,-0.522271350571827,0.5488300082274851,
ANGRY,low,-0.03030113208055834,0.28856752560888427,-0.6074361832983268,0.5468339191372102,
ANGRY,mid,-0.03303045481238214,0.3682835716358707,-0.7695975980841235,0.7035366884593593,
ANIMAL,high,-0.03686795182092272,0.25870449777012905,-0.5542769473611808,0.48054104371933537,
ANIMAL,low,0.16423051278500547,0.28174874362548313,-0.3992669744659608,0.7277280000359717,
ANIMAL,mid,-0.19129540133575135,0.36612009162298736,-0.9235355845817261,0.5409447819102233,
ANT,high,0.14666584096184437,0.2649571883676673,-0.3832485357734902,0.6765802176971789,
ANT,low,-0.14101795220289495,0.2802806077199491,-0.7015791676427932,0.4195432632370033,
ANT,mid,-0.06683295591257027,0.36432078177826904,-0.7954745194691084,0.6618086076439678,
ARM OR HAND,high,-0.1937636824693206,0.2759772768141658,-0.7457182360976522,0.35819087115901094,
ARM OR HAND,low,-0.1443749936743939,0.3006979723649459,-0.7457709384042857,0.4570209510554979,
ARM OR HAND,mid,0.28567084974197743,0.368845536857915,-0.45202022397385255,1.0233619234578075,
ASH,high,0.1647610785819461,0.26312663043462425,-0.3614921822873024,0.6910143394511946,
ASH,low,-0.12686499974678309,0.27849580734039286,-0.6838566144275688,0.4301266149340026,
ASH,mid,-0.10196069956556314,0.3636319968867797,-0.8292246933391225,0.6253032942079964,
BACK,high,0.05794535076563119,0.2645979848633031,-0.47125061896097503,0.5871413204922374,
BACK,low,-0.09838674592404806,0.28206707997422054,-0.6625209058724891,0.465747414024393,
BACK,mid,-0.010510350795453963,0.3639904708264511,-0.7384912924483561,0.7174705908574482,
BAD,high,-0.03915965365202214,0.2608366160639081,-0.5608328857798384,0.4825135784757941,
BAD,low,0.06523144929012992,0.2828198502988359,-0.5004082513075419,0.6308711498878017,
BAD,mid,-0.07628629374771571,0.36546969304631155,-0.8072256798403388,0.6546530923449074,
BARK,high,-0.07878478206137815,0.26337566492706677,-0.6055361119155117,0.44796654779275535,
BARK,low,0.017397862164080357,0.2860803872668346,-0.5547629123695889,0.5895586366977495,
BARK,mid,0.017039738455069467,0.3652451802213442,-0.713450621987619,0.7475300988977579,
BE ALIVE,high,0.0020517920087965704,0.2639218748264268,-0.5257919576440571,0.5298955416616502,
BE ALIVE,low,-0.03608329711636717,0.28359182534684535,-0.6032669478100579,0.5311003535773235,
BE ALIVE,mid,-0.013476438204164831,0.3648077327327207,-0.7430919036696062,0.7161390272612767,
BEAUTIFUL,high,-0.08095496215837321,0.263213351267983,-0.6073816646943392,0.4454717403775928,
BEAUTIFUL,low,0.07200666236044612,0.2856578230263731,-0.4993089836923001,0.6433223084131923,
BEAUTIFUL,mid,-0.03883302775893714,0.3662925677319286,-0.7714181632227943,0.69375210770492,
BECAUSE,high,-0.06756485756614433,0.2645519090488529,-0.5966686756638502,0.46153896053156146,
BECAUSE,low,0.03081299290564641,0.2873378989671397,-0.5438628050286329,0.6054887908399258,
BECAUSE,mid,-0.009309121018144177,0.366415111283297,-0.7421393435847382,0.7235211015484498,
BEFORE,high,-0.10078403928752507,0.26696387886889617,-0.6347117970253174,0.4331437184502673,
BEFORE,low,-0.02864738144592005,0.2898031515529734,-0.6082536845518669,0.5509589216600268,
BEFORE,mid,0.08620989017363527,0.36643072213772737,-0.6466515541018195,0.81907133444909,
BEHIND,high,-0.06858253495922342,0.26233896499401194,-0.5932604649472473,0.4560953950288005,
BEHIND,low,0.07014050048106293,0.2858153821248974,-0.5014902637687318,0.6417712647308577,
BEHIND,mid,-0.05006346500417469,0.3663981925914611,-0.7828598501870969,0.6827329201787475,
BELLY,high,0.06148258213370592,0.26562276765356874,-0.46976295317343153,0.5927281174408434,
BELLY,low,-0.12288900031624289,0.2824175566243567,-0.6877241135649563,0.4419461129324705,
BELLY,mid,0.010149102491459443,0.36410449586628363,-0.7180598892411079,0.7383580942240267,
BELOW OR UNDER,high,-0.06754613684500882,0.2621917164223697,-0.5919295696897482,0.4568372959997306,
BELOW OR UNDER,low,0.04034678345003416,0.28474150934592185,-0.5291362352418095,0.6098298021418779,
BELOW OR UNDER,mid,-0.018862481104510036,0.365183888452924,-0.749230258010358,0.7115052958013379,
BESIDE,high,-0.18429283844161193,0.26582560018144075,-0.7159440388044934,0.34735836192126957,
BESIDE,low,0.08241759668622188,0.2925238886521422,-0.5026301806180625,0.6674653739905062,
BESIDE,mid,0.0561138032764091,0.36805768112897186,-0.6800015589815346,0.7922291655343529,
BETWEEN,high,-0.17605730322680085,0.26565136388660665,-0.7073600310000141,0.35524542454641245,
BETWEEN,low,0.149457901972592,0.29230191861837684,-0.4351459352641617,0.7340617392093457,
BETWEEN,mid,-0.024449903746928858,0.3694243978517271,-0.7632986994503831,0.7143988919565253,
BIG,high,-0.10646647472196424,0.26197393921511586,-0.630414353152196,0.4174814037082675,
BIG,low,0.050354760971478396,0.2854734523366532,-0.520592143701828,0.6213016656447848,
BIG,mid,0.011659794631680346,0.364694514732964,-0.7177292348342477,0.7410488240976083,
BIRD,high,0.09749985992124346,0.26453231131071353,-0.4315647627001836,0.6265644825426705,
BIRD,low,-0.12773505599910095,0.28081792294724023,-0.6893709018935814,0.4339007898953795,
BIRD,mid,-0.024535133434966324,0.36355543005825475,-0.7516459935514758,0.7025757266815432,
BITE,high,-0.07541834778209265,0.25746071845157836,-0.5903397846852494,0.43950308912106406,
BITE,low,0.18128856929013504,0.28113525369757814,-0.38098193810502123,0.7435590766852913,
BITE,mid,-0.167074933531441,0.36542830220169387,-0.8979315379348287,0.5637816708719467,
BITTER,high,-0.12839523395575106,0.2568014119303873,-0.6419980578165256,0.3852075899050236,
BITTER,low,0.27443762662433757,0.2824226471924496,-0.2904076677605616,0.8392829210092367,
BITTER,mid,-0.2189268096511109,0.3667612917240393,-0.9524493930991895,0.5145957737969677,
BLACK,high,0.10513714533486954,0.26464109939461294,-0.4241450534543564,0.6344193441240954,
BLACK,low,-0.12142625852799345,0.2807692859230757,-0.6829648303741449,0.440112313318158,
BLACK,mid,-0.03954320677137683,0.3639427733113766,-0.76742875339413,0.6883423398513764,
BLOOD,high,-0.005386179710543183,0.2603739242963274,-0.526134028303198,0.5153616688821115,
BLOOD,low,0.05244840139525059,0.2813619082815835,-0.5102754151679163,0.6151722179584176,
BLOOD,mid,-0.09949207846717299,0.36479720692575746,-0.8290864923186879,0.6301023353843419,
BLOW (OF WIND),high,0.41763043853345266,0.26709052320111437,-0.11655060786877608,0.9518114849356814,
BLOW (OF WIND),low,-0.3750869284177279,0.2743054859658608,-0.9236979003494494,0.1735240435139937,
BLOW (OF WIND),mid,-0.15797202429206078,0.3634453355413386,-0.884862695374738,0.5689186467906164,
BLUE,high,0.08441600361591989,0.2657073139867496,-0.44699862435757937,0.6158306315894191,
BLUE,low,-0.08808252541963406,0.2827283095333389,-0.6535391444863118,0.4773740936470437,
BLUE,mid,-0.05091154629535019,0.36567013507482365,-0.7822518164449975,0.6804287238542971,
BLUNT,high,0.15557536540860123,0.26883278986353215,-0.3820902143184631,0.6932409451356656,
BLUNT,low,-0.22716615694762274,0.28198112319752605,-0.7911284033426749,0.33679608944742934,
BLUNT,mid,0.007891948207364522,0.36433058469163204,-0.7207692211758996,0.7365531175906286,
BODY,high,0.05368503038196034,0.26766040981101347,-0.4816357892400666,0.5890058500039873,
