concept,category,mean,sd,lwr,upr,word_dim
ABOVE,continuant,-0.009578160242471493,0.17580113129498284,-0.3611804228324372,0.3420241023474942,
ABOVE,lateral,-0.009966633962332933,0.14189860861460077,-0.2937638511915345,0.2738305832668686,
ABOVE,nasal,-0.15487360738419917,0.23203208637870307,-0.6189377801416053,0.309190565373207,
ABOVE,stop,0.06638273834557332,0.23832845893232582,-0.4102741795190783,0.543039656210225,
ABOVE,vibrant,0.03547721849333059,0.15745521214118202,-0.27943320578903347,0.3503876427756946,
AFTER,continuant,-0.0028412654293045784,0.1744415255430653,-0.3517243165154352,0.34604178565682603,
AFTER,lateral,0.00940574677920673,0.1415153539215786,-0.27362496106395046,0.29243645462236395,
AFTER,nasal,-0.019596614658441654,0.2319864085127297,-0.48356943168390104,0.44437620236701775,
AFTER,stop,-0.07043986583842501,0.24114184996070814,-0.5527235657598413,0.4118438340829913,
AFTER,vibrant,0.07686940559163499,0.15791699423613442,-0.23896458288063385,0.39270339406390387,
AIR,continuant,0.33168197530597354,0.17186603322995764,-0.012050091153941733,0.6754140417658888,
AIR,lateral,0.09117669309088702,0.13901355932334825,-0.18685042555580947,0.36920381173758354,
AIR,nasal,-0.12710705977861542,0.22915987531665288,-0.5854268104119211,0.33121269085469035,
AIR,stop,-0.36915190370229095,0.24252168469771448,-0.8541952730977199,0.11589146569313802,
AIR,vibrant,0.13155528256347424,0.15589252633208803,-0.18022977010070182,0.44334033522765026,
ALL,continuant,-0.05695142449914602,0.17543365277317655,-0.4078187300454991,0.29391588104720706,
ALL,lateral,-0.029874551340873568,0.13912321764554908,-0.30812098663197174,0.24837188395022458,
ALL,nasal,-0.029329321158685796,0.23142352238410252,-0.49217636592689085,0.43351772360951923,
ALL,stop,0.06630732005618051,0.23885708108663742,-0.41140684211709433,0.5440214822294553,
ALL,vibrant,-0.04540324166156442,0.15614999921899658,-0.35770324009955756,0.26689675677642877,
ANGRY,continuant,-0.010838802583816845,0.17970786509400766,-0.3702545327718322,0.34857692760419845,
ANGRY,lateral,0.017622513267126997,0.14853458232434777,-0.27944665138156854,0.31469167791582253,
ANGRY,nasal,-0.2037845051573187,0.23750806660988366,-0.678800638377086,0.2712316280624486,
ANGRY,stop,0.08926365537183804,0.24303115573922032,-0.3967986561066026,0.5753259668502787,
ANGRY,vibrant,0.02370796202272702,0.16472877028031233,-0.30574957853789764,0.35316550258335166,
ANIMAL,continuant,0.04544506453843292,0.1732612735923978,-0.3010774826463627,0.39196761172322847,
ANIMAL,lateral,-0.019010639942472537,0.13589235727715063,-0.2907953544967738,0.2527740746118287,
ANIMAL,nasal,0.1824656418268247,0.22855503102773753,-0.2746444202286503,0.6395757038822998,
ANIMAL,stop,-0.20686475238681828,0.2411487990597232,-0.6891623505062647,0.2754328457326281,
ANIMAL,vibrant,-0.013085998557801829,0.15402132359853166,-0.32112864575486516,0.29495664863926147,
ANT,continuant,-0.07359846141208146,0.1751074124658817,-0.42381328634384485,0.276616363519682,
ANT,lateral,-0.07640852159451947,0.13826110408207032,-0.35293072975866013,0.20011368656962117,
ANT,nasal,0.09781924822911442,0.23039191214658952,-0.3629645760640646,0.5586030725222935,
ANT,stop,-0.03003287685788581,0.24030370666719783,-0.5106402901922815,0.45057453647650986,
ANT,vibrant,0.019783126141094988,0.1559310727096595,-0.292079019278224,0.331645271560414,
ARM OR HAND,continuant,-0.12682577177505358,0.17887583314854172,-0.48457743807213705,0.23092589452202986,
ARM OR HAND,lateral,0.1471710707846781,0.14968764952818367,-0.15220422827168925,0.44654636984104545,
ARM OR HAND,nasal,-0.10723080398735393,0.23725929065467583,-0.5817493852967056,0.3672877773219977,
ARM OR HAND,stop,0.0899885708294391,0.24280856609320034,-0.39562856135696156,0.5756057030158398,
ARM OR HAND,vibrant,-0.0879036977497467,0.16345674142832037,-0.41481718060638745,0.23900978510689402,
ASH,continuant,0.05378020937152189,0.1758778441699011,-0.2979754789682803,0.4055358977113241,
ASH,lateral,-0.017120046448054888,0.14043757577372842,-0.2979951979955117,0.263755105099402,
ASH,nasal,-0.24349125767775762,0.2317952905644936,-0.7070818388067448,0.2200993234512296,
ASH,stop,0.12661772616912684,0.23691178459452644,-0.3472058430199261,0.6004412953581797,
ASH,vibrant,-0.04941534756872324,0.15597203995344797,-0.36135942747561917,0.2625287323381727,
BACK,continuant,-0.24665233417910304,0.17799187984185688,-0.6026360938628168,0.10933142550461072,
BACK,lateral,-0.08333819622724484,0.14474350083798526,-0.37282519790321533,0.20614880544872569,
BACK,nasal,-0.1201308140737728,0.23597077454377507,-0.592072363161323,0.35181073501377735,
BACK,stop,0.26880554447533667,0.23812952864704673,-0.2074535128187568,0.7450646017694301,
BACK,vibrant,-0.029603725052724135,0.16102455950430386,-0.35165284406133185,0.2924453939558836,
BAD,continuant,0.12494130898192397,0.17266682636823455,-0.22039234375454514,0.47027496171839306,
BAD,lateral,0.0032381236377545543,0.1369576225167125,-0.27067712139567046,0.27715336867117957,
BAD,nasal,-0.15186656503205637,0.2287611322850293,-0.609388829602115,0.30565569953800226,
BAD,stop,-0.05126376303776214,0.23717203790281924,-0.5256078388434006,0.42308031276787633,
BAD,vibrant,0.046345372827131984,0.15344937456365604,-0.2605533763001801,0.35324412195444405,
BARK,continuant,-0.11378339008341538,0.179787340600999,-0.47335807128541335,0.2457912911185826,
BARK,lateral,-0.016212736404172867,0.1475660606477946,-0.31134485769976206,0.2789193848914163,
BARK,nasal,-0.3809661958922602,0.23565803383330147,-0.8522822635588632,0.09034987177434273,
