concept,category,mean,sd,lwr,upr,word_dim
ABOVE,alveolar,0.05985801951561638,0.21954674077426664,-0.3792354620329169,0.49895150106414965,
ABOVE,glottal,-0.0019207685108970907,0.20489451962112118,-0.4117098077531394,0.4078682707313453,
ABOVE,labial,-0.10779881811841731,0.21297554124321083,-0.533749900604839,0.31815226436800437,
ABOVE,palatal,-0.015056805098548563,0.20142097900473946,-0.4178987631080275,0.38778515291093035,
ABOVE,velar,-0.029603004610058097,0.19380287559674195,-0.417208755803542,0.3580027465834258,
AFTER,alveolar,0.06489328672024901,0.22019278512172932,-0.3754922835232096,0.5052788569637077,
AFTER,glottal,-0.03218010014332365,0.20591896454836056,-0.44401802924004474,0.3796578289533975,
AFTER,labial,-0.04768654389190739,0.2157608292368151,-0.47920820236553763,0.3838351145817228,
AFTER,palatal,-0.07658184220551821,0.20191607124430092,-0.48041398469412006,0.3272503002830836,
AFTER,velar,-0.02948186880767984,0.19583160386317922,-0.42114507653403827,0.3621813389186786,
AIR,alveolar,-0.06042515347279652,0.22077644692346574,-0.501978047319728,0.38112774037413494,
AIR,glottal,0.16428272518545697,0.20718463820968172,-0.25008655123390644,0.5786520016048204,
AIR,labial,0.02931383490609062,0.21605056553611693,-0.4027872961661432,0.4614149659783245,
AIR,palatal,-0.0027053351944371366,0.2026894415450158,-0.4080842182844688,0.40267354789559445,
AIR,velar,-0.14368258626342476,0.19640578375364023,-0.5364941537707052,0.2491289812438557,
ALL,alveolar,0.02806433918482381,0.21899516749111206,-0.4099259957974003,0.46605467416704793,
ALL,glottal,-0.02526201126501894,0.20338295851726587,-0.43202792829955067,0.3815039057695128,
ALL,labial,0.017114885442495183,0.21201588911364935,-0.40691689278480353,0.4411466636697939,
ALL,palatal,-0.05123903013646297,0.19965875208482306,-0.4505565343061091,0.34807847403318315,
ALL,velar,-0.06539253644115887,0.19130921186173244,-0.4480109601646238,0.317225887282306,
ANGRY,alveolar,0.032275562909653964,0.22119996888151322,-0.4101243748533725,0.4746755006726804,
ANGRY,glottal,-0.04895383481504028,0.2088679765080572,-0.46668978783115467,0.3687821182010741,
ANGRY,labial,-0.13390355887415978,0.2178644431689292,-0.5696324452120182,0.3018253274636986,
ANGRY,palatal,-0.020410225063059954,0.2047584682868514,-0.42992716163676276,0.38910671151064286,
ANGRY,velar,0.07818294094810581,0.19844734423763313,-0.31871174752716047,0.47507762942337206,
ANIMAL,alveolar,-0.02836899764590883,0.22078567458522624,-0.4699403468163613,0.41320235152454365,
ANIMAL,glottal,-0.05797306705984,0.20379042102484904,-0.4655539091095381,0.34960777498985807,
ANIMAL,labial,0.055096056737118315,0.21200824707221413,-0.36892043740730995,0.4791125508815466,
ANIMAL,palatal,0.09607502237198619,0.20063167813520746,-0.30518833389842875,0.4973383786424011,
ANIMAL,velar,-0.1186623201204681,0.19166470142184633,-0.5019917229641607,0.2646670827232246,
ANT,alveolar,-0.08229696647336106,0.21979536962181034,-0.5218877057169817,0.35729377277025964,
ANT,glottal,-0.0718705864224945,0.20301269911275371,-0.4778959846480019,0.33415481180301293,
ANT,labial,0.09967812407334853,0.21148419684100375,-0.323290269608659,0.5226465177553561,
ANT,palatal,-0.04830417439978487,0.19791413027479082,-0.4441324349493665,0.3475240861497968,
ANT,velar,0.04839586171753786,0.19169708348318149,-0.3349983052488251,0.4317900286839008,
ARM OR HAND,alveolar,-0.018736278819459568,0.22130323935756047,-0.4613427575345805,0.4238701998956614,
ARM OR HAND,glottal,-0.05066478965272268,0.20817413437627266,-0.467013058405268,0.36568347909982263,
ARM OR HAND,labial,-0.12744741798666315,0.21705615716265766,-0.5615597323119785,0.3066648963386522,
ARM OR HAND,palatal,-0.10634147170133562,0.20275481921689695,-0.5118511101351295,0.2991681667324583,
ARM OR HAND,velar,0.20879690694233044,0.19891945701243177,-0.1890420070825331,0.606635820967194,
ASH,alveolar,-0.06164169504579507,0.21881777148044226,-0.4992772380066796,0.37599384791508944,
ASH,glottal,0.007052837359174109,0.20256662937196201,-0.3980804213847499,0.41218609610309814,
ASH,labial,0.13706566116850366,0.21063584918992506,-0.28420603721134646,0.5583373595483538,
ASH,palatal,-0.050346381337664496,0.19768652373043855,-0.4457194287985416,0.3450266661232126,
ASH,velar,-0.0884271252959156,0.19025236688613528,-0.4689318590681862,0.29207760847635494,
BACK,alveolar,-0.08424688432816886,0.21841104277032172,-0.5210689698688123,0.3525752012124746,
BACK,glottal,-0.054648852174743225,0.20258503933169825,-0.45981893083813974,0.35052122648865325,
BACK,labial,-0.04033490113397316,0.21050988086441935,-0.46135466286281185,0.38068486059486556,
BACK,palatal,-0.07815999330987983,0.19633862797635956,-0.47083724926259896,0.3145172626428393,
BACK,velar,0.2056942466539065,0.1910057989272411,-0.17631735120057568,0.5877058445083887,
BAD,alveolar,-0.08046060290299241,0.21915106103880896,-0.5187627249806104,0.35784151917462553,
BAD,glottal,-8.759423870844583e-4,0.20253915897896543,-0.4059542603450153,0.40420237557084643,
BAD,labial,0.10018561930823001,0.21063915291090438,-0.32109268651357875,0.5214639251300388,
BAD,palatal,0.021361082992119192,0.19785545432537258,-0.37434982565862596,0.41707199164286435,
BAD,velar,-0.06615594269646843,0.19000455871339192,-0.4461650601232523,0.3138531747303154,
