concept,category,mean,sd,lwr,upr,word_dim
ABOVE,alveolar-unvoiced,-0.04616702749503344,0.108543551738565,-0.26325413097216344,0.17092007598209658,
ABOVE,alveolar-voiced,0.0854050281762041,0.3000495455766633,-0.5146940629771225,0.6855041193295307,
ABOVE,glottal-unvoiced,-0.017075554450745198,0.2011526631670338,-0.41938088078481284,0.3852297718833224,
ABOVE,glottal-voiced,-0.0035598856291894757,0.08399622088310024,-0.17155232739538995,0.16443255613701102,
ABOVE,labial-unvoiced,-0.018919038347246005,0.11705036272264041,-0.25301976379252683,0.2151816870980348,
ABOVE,labial-voiced,-0.09375064974857271,0.18453673512372273,-0.4628241199960182,0.27532282049887274,
ABOVE,palatal-unvoiced,-0.00905962550909585,0.10961521961046676,-0.22829006473002939,0.21017081371183766,
ABOVE,palatal-voiced,-0.01570590707830799,0.13698835182242977,-0.28968261072316753,0.25827079656655155,
ABOVE,velar-unvoiced,-0.09109805490072541,0.1619067482305626,-0.41491155136185065,0.2327154415603998,
ABOVE,velar-voiced,0.04195475513753336,0.14401716732352657,-0.24607957950951978,0.3299890897845865,
AFTER,alveolar-unvoiced,-0.06334244918069751,0.11244699890803714,-0.28823644699677176,0.16155154863537677,
AFTER,alveolar-voiced,0.16853619431441058,0.30118075178921433,-0.4338253092640181,0.7708976978928392,
AFTER,glottal-unvoiced,-0.06028552590240456,0.20475894193020178,-0.4698034097628081,0.349232357957999,
AFTER,glottal-voiced,-0.032865646919926064,0.09007961080481258,-0.21302486852955121,0.14729357468969911,
AFTER,labial-unvoiced,-0.039054331225490145,0.12225184279672636,-0.2835580168189429,0.20544935436796258,
AFTER,labial-voiced,-0.05129856814851837,0.1869100365885077,-0.42511864132553373,0.322521505028497,
AFTER,palatal-unvoiced,-0.06268374147869177,0.11473992527739564,-0.2921635920334831,0.1667961090760995,
AFTER,palatal-voiced,-0.06441388615157283,0.1418643310472069,-0.3481425482459866,0.21931477594284093,
AFTER,velar-unvoiced,-0.058254809339726286,0.16656593100372288,-0.39138667134717203,0.2748770526677195,
AFTER,velar-voiced,-0.013395578103245844,0.14691291121009484,-0.3072214005234355,0.28043024431694386,
AIR,alveolar-unvoiced,-0.01929317338663628,0.10573866324884336,-0.230770499884323,0.19218415311105044,
AIR,alveolar-voiced,-0.10056733228769309,0.3032801100395079,-0.7071275523667089,0.5059928877913227,
AIR,glottal-unvoiced,0.14874654997643838,0.20114712741280705,-0.2535477048491757,0.5510408048020525,
AIR,glottal-voiced,0.0014176275148513168,0.08597313716894545,-0.1705286468230396,0.1733639018527422,
AIR,labial-unvoiced,-0.031544737477110514,0.11758778862702532,-0.26672031473116115,0.20363083977694013,
AIR,labial-voiced,0.048795811633518926,0.18899075606920152,-0.3291857005048841,0.42677732377192196,
AIR,palatal-unvoiced,-0.009750985410218448,0.11055119750582475,-0.23085338042186795,0.21135140960143103,
AIR,palatal-voiced,0.009645051003650151,0.13895748991436171,-0.2682699288250733,0.2875600308323736,
AIR,velar-unvoiced,-0.09339733082352696,0.16254968740616724,-0.41849670563586144,0.2317020439888075,
AIR,velar-voiced,-0.028198772248477288,0.14792050995559108,-0.32403979215965945,0.2676422476627049,
ALL,alveolar-unvoiced,0.06414102013909838,0.10405136692850686,-0.14396171371791533,0.2722437539961121,
ALL,alveolar-voiced,-0.09658001750494676,0.2995051227087895,-0.6955902629225257,0.5024302279126323,
ALL,glottal-unvoiced,-0.006573395460882748,0.19626652851970186,-0.3991064525002865,0.38595966157852096,
ALL,glottal-voiced,0.002075321673873094,0.07634743643523997,-0.15061955119660686,0.15477019454435303,
ALL,labial-unvoiced,0.016858634907078292,0.10991936086272443,-0.20298008681837057,0.23669735663252714,
ALL,labial-voiced,0.01917589098037467,0.1830225447805209,-0.3468691985806671,0.3852209805414165,
ALL,palatal-unvoiced,-0.0015808582051570466,0.10345811090796667,-0.20849708002109038,0.20533536361077628,
ALL,palatal-voiced,-0.026704207833792768,0.1320211165872367,-0.2907464410082662,0.23733802534068063,
ALL,velar-unvoiced,-0.03571107341303369,0.15651779257147982,-0.34874665855599335,0.27732451172992595,
ALL,velar-voiced,-0.012428926369794082,0.1412302875179153,-0.2948895014056247,0.2700316486660365,
ANGRY,alveolar-unvoiced,-0.015430950100427094,0.10864648235215442,-0.23272391480473592,0.20186201460388176,
ANGRY,alveolar-voiced,0.029841134085028056,0.3026808562538132,-0.5755205784225983,0.6352028465926545,
ANGRY,glottal-unvoiced,-0.048429709723293204,0.20312083064630287,-0.45467137101589894,0.35781195156931256,
ANGRY,glottal-voiced,-0.016609965685819846,0.09073679237947992,-0.19808355044477968,0.16486361907313998,
ANGRY,labial-unvoiced,-0.0346298545290663,0.12155185379431876,-0.27773356211770384,0.20847385305957122,
ANGRY,labial-voiced,-0.07215397651387472,0.18890019178104145,-0.4499543600759576,0.30564640704820817,
ANGRY,palatal-unvoiced,-0.004304238933276106,0.11402116003861165,-0.23234655901049941,0.2237380811439472,
ANGRY,palatal-voiced,-0.028959817337571712,0.14177117649953563,-0.31250217033664296,0.2545825356614996,
ANGRY,velar-unvoiced,0.025269104297095557,0.16633801518355426,-0.30740692607001296,0.3579451346642041,
