concept,category,mean,sd,lwr,upr,word_dim
ABOVE,rounded,-0.06810074433474009,0.22833854748524043,-0.5247778393052209,0.3885763506357408,
ABOVE,unrounded,0.06810074433474007,0.22833854748524043,-0.3885763506357408,0.5247778393052209,
AFTER,rounded,-0.04931054568887009,0.23080809210688905,-0.5109267299026482,0.412305638524908,
AFTER,unrounded,0.04931054568887007,0.23080809210688905,-0.41230563852490804,0.5109267299026482,
AIR,rounded,-0.12463222106403009,0.23421770474751574,-0.5930676305590615,0.3438031884310014,
AIR,unrounded,0.12463222106403006,0.23421770474751574,-0.34380318843100144,0.5930676305590615,
ALL,rounded,0.05769146351005641,0.22704953812750006,-0.39640761274494374,0.5117905397650565,
ALL,unrounded,-0.05769146351005643,0.22704953812750006,-0.5117905397650565,0.3964076127449437,
ANGRY,rounded,-0.03408270098640558,0.23594562986009132,-0.5059739607065882,0.43780855873377705,
ANGRY,unrounded,0.03408270098640557,0.23594562986009132,-0.43780855873377705,0.5059739607065882,
ANIMAL,rounded,-0.2765950811078206,0.22875401808801377,-0.7341031172838481,0.18091295506820693,
ANIMAL,unrounded,0.27659508110782055,0.22875401808801377,-0.18091295506820698,0.7341031172838481,
ANT,rounded,0.03398824925857442,0.2273700822901155,-0.42075191532165657,0.4887284138388054,
ANT,unrounded,-0.03398824925857443,0.22737008229011552,-0.48872841383880544,0.4207519153216566,
ARM OR HAND,rounded,0.2145450289108794,0.23601136618893287,-0.25747770346698634,0.6865677612887451,
ARM OR HAND,unrounded,-0.21454502891087943,0.23601136618893287,-0.6865677612887452,0.2574777034669863,
ASH,rounded,0.31789983080717943,0.22630831726151063,-0.13471680371584183,0.7705164653302007,
ASH,unrounded,-0.31789983080717943,0.22630831726151063,-0.7705164653302007,0.13471680371584183,
BACK,rounded,0.2265165980571794,0.22684605729999371,-0.22717551654280801,0.6802087126571669,
BACK,unrounded,-0.22651659805717944,0.22684605729999371,-0.6802087126571669,0.227175516542808,
BAD,rounded,-0.17138745269782057,0.22652360370157515,-0.6244346601009709,0.2816597547053297,
BAD,unrounded,0.17138745269782057,0.22652360370157515,-0.2816597547053297,0.6244346601009709,
BARK,rounded,0.08943596585407941,0.22748067726464682,-0.3655253886752142,0.5443973203833731,
BARK,unrounded,-0.08943596585407944,0.22748067726464682,-0.5443973203833731,0.3655253886752142,
BE ALIVE,rounded,-0.02345819941792509,0.2278011896211238,-0.4790605786601727,0.4321441798243225,
BE ALIVE,unrounded,0.023458199417925065,0.2278011896211238,-0.43214417982432257,0.47906057866017265,
BEAUTIFUL,rounded,-0.03718351364151659,0.23000944342335625,-0.49720240048822906,0.42283537320519593,
BEAUTIFUL,unrounded,0.03718351364151657,0.23000944342335625,-0.42283537320519593,0.49720240048822906,
