concept,category,mean,sd,lwr,upr,word_dim
ABOVE,unvoiced,-0.14776088492112,0.4344603056942012,-1.0166814963095223,0.7211597264672824,
ABOVE,voiced,0.14776088492112,0.4344603056942012,-0.7211597264672824,1.0166814963095223,
AFTER,unvoiced,-0.21235676200712,0.4370557863854617,-1.0864683347780435,0.6617548107638034,
AFTER,voiced,0.21235676200712,0.4370557863854617,-0.6617548107638034,1.0864683347780435,
AIR,unvoiced,-0.059723524814425506,0.4374137896890547,-0.934551104192535,0.8151040545636838,
AIR,voiced,0.0597235248144255,0.4374137896890547,-0.8151040545636838,0.934551104192535,
ALL,unvoiced,0.08749947450017999,0.4337426493283924,-0.7799858241566048,0.9549847731569648,
ALL,voiced,-0.08749947450018,0.4337426493283924,-0.9549847731569648,0.7799858241566048,
ANGRY,unvoiced,-0.014257140596935506,0.43905813103767366,-0.8923734026722828,0.8638591214784118,
ANGRY,voiced,0.014257140596935492,0.43905813103767366,-0.8638591214784118,0.8923734026722828,
ANIMAL,unvoiced,-0.17890477091262,0.43442678170153587,-1.0477583343156918,0.6899487924904517,
ANIMAL,voiced,0.17890477091262,0.43442678170153587,-0.6899487924904517,1.0477583343156918,
ANT,unvoiced,-0.025793188726389506,0.434163957363642,-0.8941211034536735,0.8425347260008945,
ANT,voiced,0.025793188726389492,0.434163957363642,-0.8425347260008945,0.8941211034536735,
ARM OR HAND,unvoiced,0.02770156749524399,0.4391692191731836,-0.8506368708511232,0.9060400058416112,
ARM OR HAND,voiced,-0.02770156749524401,0.4391692191731836,-0.9060400058416112,0.8506368708511232,
ASH,unvoiced,0.22837175981837998,0.4335288543787564,-0.6386859489391328,1.0954294685758927,
ASH,voiced,-0.22837175981838,0.4335288543787564,-1.0954294685758927,0.6386859489391328,
BACK,unvoiced,0.028066293650499993,0.434059992351502,-0.840053691052504,0.896186278353504,
BACK,voiced,-0.028066293650500014,0.434059992351502,-0.8961862783535041,0.8400536910525039,
BAD,unvoiced,-0.05498584840366846,0.4339722081510254,-0.9229302647057193,0.8129585678983823,
BAD,voiced,0.05498584840366844,0.4339722081510254,-0.8129585678983823,0.9229302647057193,
BARK,unvoiced,0.31927254981838,0.43433452562752173,-0.5493965014366635,1.1879416010734234,
BARK,voiced,-0.31927254981838,0.43433452562752173,-1.1879416010734234,0.5493965014366635,
BE ALIVE,unvoiced,-0.21935287334662001,0.43455530597439657,-1.0884634852954131,0.6497577386021731,
BE ALIVE,voiced,0.21935287334662,0.43455530597439657,-0.6497577386021731,1.0884634852954131,
BEAUTIFUL,unvoiced,-0.169817106577945,0.435735807846002,-1.041288722269949,0.701654509114059,
BEAUTIFUL,voiced,0.169817106577945,0.43573580784600197,-0.7016545091140589,1.041288722269949,
BECAUSE,unvoiced,-0.04726205686545551,0.4360018432074574,-0.9192657432803703,0.8247416295494593,
BECAUSE,voiced,0.04726205686545549,0.4360018432074574,-0.8247416295494593,0.9192657432803703,
BEFORE,unvoiced,-0.16600424223992,0.43546099078994044,-1.036926223819801,0.7049177393399608,
BEFORE,voiced,0.16600424223992,0.43546099078994044,-0.7049177393399608,1.036926223819801,
BEHIND,unvoiced,-0.1400354426178115,0.4360880179880088,-1.012211478593829,0.732140593358206,
BEHIND,voiced,0.14003544261781148,0.4360880179880088,-0.7321405933582061,1.012211478593829,
BELLY,unvoiced,0.11786640116338,0.4337832116165297,-0.7497000220696795,0.9854328243964394,
BELLY,voiced,-0.11786640116338001,0.4337832116165297,-0.9854328243964394,0.7497000220696795,
BELOW OR UNDER,unvoiced,-0.008744486495641655,0.4347749707920349,-0.8782944280797115,0.8608054550884282,
BELOW OR UNDER,voiced,0.008744486495641643,0.4347749707920349,-0.8608054550884282,0.8782944280797115,
BESIDE,unvoiced,-0.07083466559833,0.4370764284904247,-0.9449875225791794,0.8033181913825195,
BESIDE,voiced,0.07083466559832999,0.4370764284904247,-0.8033181913825195,0.9449875225791794,
BETWEEN,unvoiced,-0.07732476150713531,0.43884547533894,-0.9550157121850154,0.8003661891707448,
BETWEEN,voiced,0.0773247615071353,0.43884547533894,-0.8003661891707448,0.9550157121850154,
BIG,unvoiced,-0.18682546090662,0.4336437125556691,-1.054112886017958,0.6804619642047182,
BIG,voiced,0.18682546090662,0.4336437125556691,-0.6804619642047182,1.054112886017958,
BIRD,unvoiced,-0.14698248505162,0.4335805638938098,-1.0141436128392396,0.7201786427359995,
BIRD,voiced,0.14698248505161998,0.4335805638938098,-0.7201786427359995,1.0141436128392396,
BITE,unvoiced,0.37548792371837997,0.43363558227824905,-0.49178324083811814,1.242759088274878,
BITE,voiced,-0.37548792371838,0.43363558227824905,-1.242759088274878,0.4917832408381181,
BITTER,unvoiced,0.20449320712337998,0.43457727922265676,-0.6646613513219335,1.0736477655686936,
BITTER,voiced,-0.20449320712338,0.43457727922265676,-1.0736477655686936,0.6646613513219335,
BLACK,unvoiced,-0.12524461876912002,0.4337622303790753,-0.9927690795272706,0.7422798419890306,
BLACK,voiced,0.12524461876912,0.4337622303790753,-0.7422798419890306,0.9927690795272706,
BLOOD,unvoiced,-0.14544452653662002,0.43373995854139885,-1.0129244436194178,0.7220353905461777,
BLOOD,voiced,0.14544452653662,0.43373995854139885,-0.7220353905461777,1.0129244436194176,
BLOW (OF WIND),unvoiced,0.32482404586838,0.4341872844749233,-0.5435505230814666,1.1931986148182265,
BLOW (OF WIND),voiced,-0.32482404586838,0.4341872844749233,-1.1931986148182265,0.5435505230814666,
BLUE,unvoiced,-0.22522176912162,0.4348014819059253,-1.0948247329334706,0.6443811946902307,
BLUE,voiced,0.22522176912161998,0.4348014819059253,-0.6443811946902307,1.0948247329334706,
BLUNT,unvoiced,0.010621555610123543,0.43475998412377215,-0.8588984126374207,0.8801415238576679,
BLUNT,voiced,-0.010621555610123557,0.43475998412377215,-0.8801415238576679,0.8588984126374207,
BODY,unvoiced,-0.117739563181411,0.43452006100241536,-0.9867796851862417,0.7513005588234197,
BODY,voiced,0.11773956318141099,0.43452006100241536,-0.7513005588234197,0.9867796851862417,
BONE,unvoiced,0.29081936246837997,0.4337930576232121,-0.5767667527780442,1.158405477714804,
BONE,voiced,-0.29081936246838,0.4337930576232121,-1.1584054777148043,0.5767667527780441,
BOY,unvoiced,-0.18207671847162002,0.4340180685763706,-1.0501128556243613,0.6859594186811212,
BOY,voiced,0.18207671847162,0.4340180685763706,-0.6859594186811212,1.050112855624361,
BRAIN,unvoiced,-0.27966746748162,0.43478543936653097,-1.149238346214682,0.5899034112514419,
BRAIN,voiced,0.27966746748161997,0.43478543936653097,-0.589903411251442,1.1492383462146818,
BREAST,unvoiced,0.007572497915429793,0.43363098543384226,-0.8596894729522547,0.8748344687831143,
BREAST,voiced,-0.007572497915429808,0.43363098543384226,-0.8748344687831143,0.8596894729522547,
BREATHE,unvoiced,-0.04842067615697251,0.43482084362428297,-0.9180623634055385,0.8212210110915934,
BREATHE,voiced,0.04842067615697249,0.43482084362428297,-0.8212210110915934,0.9180623634055385,
BURN,unvoiced,0.08921847187590999,0.43397600528267405,-0.7787335386894381,0.9571704824412581,
BURN,voiced,-0.08921847187591,0.43397600528267405,-0.9571704824412581,0.7787335386894381,
BURNING,unvoiced,0.128910089833117,0.4361692132138189,-0.7434283365945208,1.0012485162607547,
BURNING,voiced,-0.128910089833117,0.4361692132138189,-1.0012485162607547,0.7434283365945208,
BUTTOCKS,unvoiced,0.22292532071838,0.43498050818740003,-0.64703569565642,1.09288633709318,
BUTTOCKS,voiced,-0.22292532071838,0.43498050818740003,-1.09288633709318,0.64703569565642,
CARRY,unvoiced,0.13763747735037998,0.43459296109060225,-0.7315484448308245,1.0068233995315845,
CARRY,voiced,-0.13763747735038,0.43459296109060225,-1.0068233995315845,0.7315484448308245,
CHILD (DESCENDANT),unvoiced,-0.32594746518162,0.43735608843405893,-1.2006596420497377,0.5487647116864979,
CHILD (DESCENDANT),voiced,0.32594746518162,0.43735608843405893,-0.5487647116864979,1.2006596420497377,
CLAW,unvoiced,0.25303580918838,0.4351759710550219,-0.6173161329216639,1.1233877512984238,
CLAW,voiced,-0.25303580918838003,0.4351759710550219,-1.1233877512984238,0.6173161329216639,
CLEAN,unvoiced,0.27622819935338,0.43591875922122914,-0.5956093190890783,1.1480657177958382,
CLEAN,voiced,-0.27622819935338,0.43591875922122914,-1.1480657177958382,0.5956093190890783,
CLOUD,unvoiced,-0.12154299029162001,0.4336213777321353,-0.9887857457558906,0.7456997651726507,
CLOUD,voiced,0.12154299029162,0.4336213777321353,-0.7456997651726507,0.9887857457558906,
COLD,unvoiced,0.010093712481239992,0.4333903823698126,-0.8566870522583852,0.8768744772208652,
COLD,voiced,-0.010093712481240009,0.4333903823698126,-0.8768744772208652,0.8566870522583852,
COME,unvoiced,-0.31544632198162,0.43344997356208553,-1.182346269105791,0.551453625142551,
COME,voiced,0.31544632198162,0.4334499735620856,-0.5514536251425513,1.182346269105791,
CORRECT (RIGHT),unvoiced,0.09175931838903,0.43474655744558743,-0.7777337965021449,0.9612524332802048,
CORRECT (RIGHT),voiced,-0.09175931838903001,0.43474655744558743,-0.9612524332802048,0.7777337965021449,
COUGH,unvoiced,0.50602574171838,0.43483192971964274,-0.3636381177209055,1.3756896011576654,
COUGH,voiced,-0.50602574171838,0.43483192971964274,-1.3756896011576654,0.3636381177209055,
CROOKED,unvoiced,0.015501791951331343,0.435615052202647,-0.8557283124539626,0.8867318963566254,
CROOKED,voiced,-0.015501791951331355,0.435615052202647,-0.8867318963566254,0.8557283124539626,
CRUSH,unvoiced,0.25012794771547997,0.4411811948872881,-0.6322344420590962,1.1324903374900561,
CRUSH,voiced,-0.25012794771548,0.4411811948872881,-1.1324903374900561,0.6322344420590962,
CRY,unvoiced,-0.21174246139162,0.43389813666574706,-1.0795387347231142,0.6560538119398741,
CRY,voiced,0.21174246139161998,0.43389813666574706,-0.6560538119398741,1.079538734723114,
DARK,unvoiced,-0.097808644084312,0.4345436237883548,-0.9668958916610216,0.7712786034923976,
DARK,voiced,0.09780864408431199,0.4345436237883548,-0.7712786034923976,0.9668958916610216,
DAY (NOT NIGHT),unvoiced,-0.38195716783162,0.43380304048189705,-1.249563248795414,0.4856489131321741,
DAY (NOT NIGHT),voiced,0.38195716783162,0.43380304048189705,-0.4856489131321741,1.249563248795414,
DEEP,unvoiced,-0.15922562331217,0.43552283823574456,-1.0302712997836592,0.7118200531593191,
DEEP,voiced,0.15922562331217,0.43552283823574456,-0.7118200531593191,1.0302712997836592,
DIE,unvoiced,0.14072645326838,0.4337329017353478,-0.7267393502023156,1.0081922567390755,
DIE,voiced,-0.14072645326838001,0.4337329017353478,-1.0081922567390755,0.7267393502023156,
DIRTY,unvoiced,0.03940727071755799,0.4340341579457858,-0.8286610451740136,0.9074755866091296,
DIRTY,voiced,-0.03940727071755801,0.4340341579457858,-0.9074755866091296,0.8286610451740136,
DO,unvoiced,0.0885862838846455,0.4359042603967817,-0.7832222369089179,0.9603948046782089,
DO,voiced,-0.08858628388464551,0.4359042603967817,-0.9603948046782089,0.7832222369089179,
DO OR MAKE,unvoiced,0.09077739971549999,0.4361185550007391,-0.7814597102859782,0.9630145097169782,
DO OR MAKE,voiced,-0.0907773997155,0.4361185550007391,-0.9630145097169782,0.7814597102859782,
DOG,unvoiced,0.18030263955838,0.4336753326394016,-0.6870480257204232,1.0476533048371832,
DOG,voiced,-0.18030263955838,0.4336753326394016,-1.0476533048371832,0.6870480257204232,
DRINK,unvoiced,-0.17936778723662,0.43406457537291676,-1.0474969379824535,0.6887613635092136,
DRINK,voiced,0.17936778723662,0.43406457537291676,-0.6887613635092136,1.0474969379824535,
DRY,unvoiced,0.09368272867088,0.4338803978146584,-0.7740780669584368,0.9614435243001969,
DRY,voiced,-0.09368272867088001,0.4338803978146584,-0.9614435243001969,0.7740780669584368,
DUST,unvoiced,0.14884096931338,0.43412519512156195,-0.7194094209297439,1.0170913595565039,
DUST,voiced,-0.14884096931338,0.43412519512156195,-1.0170913595565039,0.7194094209297439,
EAR,unvoiced,0.067535342617445,0.4334267024449405,-0.7993180622724361,0.934388747507326,
EAR,voiced,-0.06753534261744501,0.4334267024449405,-0.934388747507326,0.7993180622724361,
EARTH (SOIL),unvoiced,0.0025706990555710908,0.433933498601298,-0.8652962981470249,0.870437696258167,
EARTH (SOIL),voiced,-0.0025706990555711125,0.433933498601298,-0.870437696258167,0.8652962981470249,
EAT,unvoiced,-0.12065636139562001,0.4335490096892931,-0.9877543807742062,0.7464416579829662,
EAT,voiced,0.12065636139562,0.4335490096892931,-0.7464416579829662,0.9877543807742062,
EGG,unvoiced,0.025535596137143943,0.43375459212715695,-0.8419735881171699,0.8930447803914578,
EGG,voiced,-0.025535596137143957,0.43375459212715695,-0.8930447803914578,0.8419735881171699,
EIGHT,unvoiced,-0.011557733691275007,0.43420713486590656,-0.8799720034230881,0.8568565360405381,
EIGHT,voiced,0.011557733691274991,0.4342071348659065,-0.856856536040538,0.879972003423088,
ELEVEN,unvoiced,0.28421072371838,0.43559892389943894,-0.5869871240804978,1.155408571517258,
ELEVEN,voiced,-0.28421072371838,0.43559892389943894,-1.155408571517258,0.5869871240804978,
EMPTY,unvoiced,0.17480041137837998,0.4351341054297258,-0.6954677994810716,1.0450686222378316,
EMPTY,voiced,-0.17480041137838,0.4351341054297258,-1.0450686222378316,0.6954677994810716,
EYE,unvoiced,-0.08641379156743001,0.4337538508108671,-0.9539214931891642,0.7810939100543042,
EYE,voiced,0.08641379156743,0.4337538508108671,-0.7810939100543042,0.9539214931891642,
FALL,unvoiced,0.11284002650837999,0.433689875577774,-0.754539724647168,0.980219777663928,
FALL,voiced,-0.11284002650838,0.433689875577774,-0.980219777663928,0.754539724647168,
FAR,unvoiced,-0.05022231893463701,0.43400885158666874,-0.9182400221079745,0.8177953842387005,
FAR,voiced,0.05022231893463699,0.43400885158666874,-0.8177953842387005,0.9182400221079745,
FART,unvoiced,0.39517757946838,0.4369480574368173,-0.4787185354052546,1.2690736943420147,
