"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","back",-0.125635332768019,-0.274343819002595,0.0176878254137484,"1PLE",81,6,"ɤɒᶌɑou","ɤ",0.281361224966442,0.245522777486344,0.320124023924347,0.222224785983588,-0.465257722742843
"2","1PLI","back",-0.117325954247601,-0.26620040816863,0.0260764801694458,"1PLI",86,6,"ɤᶌɒouɑõ","ɤ",0.282299333680859,0.248462233474014,0.3221106660452,0.234106931511426,-0.367899531316095
"3","1SG","back",-0.138584865420111,-0.286473603545014,0.00125070827587403,"1SG",68,6,"uᶌɯũoõ","ᶌ",0.279297512155231,0.244496315610003,0.318602245789708,0.211275412854678,-0.558320933689387
"4","2PL","back",-0.192653329418323,-0.347624484152606,-0.0470119792753275,"2PL",75,6,"ɤɒᶌoⱳɑuũ","ɤ",0.27193069263834,0.237397498406301,0.31073461964756,0.1999134894507,-0.658704379065358
"5","2SG","back",-0.232438306144916,-0.382278384641782,-0.0869959531017307,"2SG",54,6,"uᶌɑoⱳũɒ","ᶌ",0.266186840071902,0.232483358226283,0.305684688345958,0.172959768406449,-0.91544521534369
"6","3PL","back",-0.0839996203931484,-0.233551068640972,0.0596087116553079,"3PL",101,6,"ᶌɤɒuõũo","ᶌ",0.286909464941893,0.252584867320999,0.326312031211893,0.247434539442418,-0.26269437744715
"7","3SG","back",-0.137572529039351,-0.284079834467457,0.00336739359320868,"3SG",88,6,"ũᶌuɤɒoõɯɑ","ũ",0.279236841583034,0.245019818328518,0.318396385904449,0.212471448362808,-0.547987442549346
"8","above","back",-0.0155731806668955,-0.165629254852723,0.132997689614679,"ABOVE",93,6,"ũɒo","ũ",0.297089953408025,0.261128417304828,0.336502105635194,0.288273693263878,0.0381924260715426
"9","afraid","back",-0.0135653350347722,-0.164998385219833,0.135542548907167,"AFRAID",109,6,"ɒᶌⱳɯuo","ɒ",0.297284749350707,0.260836387068321,0.337863071631279,0.266331186985004,-0.119831784495157
"10","after","back",-0.00178007621884419,-0.161023491967487,0.151550872009809,"AFTER",95,6,"ɑᶌɯuõ","ᶌ",0.298687525491294,0.262186746650088,0.339180422658137,0.300641123550001,0.124085197637271
"11","air","back",-0.120763031183309,-0.301574700199167,0.0589250552308057,"AIR",42,6,"ũᶌoⱳɑuõ","ũ",0.282254523599414,0.243996265535778,0.323621874054403,0.219069800339261,-0.491727188269727
"12","all","back",0.0893693288302014,-0.0560410607691488,0.235136835045286,"ALL",130,6,"ũouɑ","o",0.312555153576498,0.275740254148968,0.352542788062949,0.32891568485448,0.313299568336827
"13","angry","back",-0.0315534310972067,-0.182572927454431,0.118972655943991,"ANGRY",92,6,"õⱳɤuoɯ","ⱳ",0.294804583402254,0.257908834862616,0.33539180721418,0.261620355046467,-0.154812190565231
"14","animal","back",-0.0332526812820128,-0.186819804022305,0.114066897944015,"ANIMAL",88,6,"õᶌuⱳɤ","õ",0.294324037076365,0.258130334807799,0.335260465141894,0.258596228178563,-0.177482422613811
"15","ant","back",0.0412928302878169,-0.117170299031847,0.196726222632411,"ANT",86,6,"ⱳõou","o",0.305214615857207,0.267982329173421,0.346359615448646,0.298598091882079,0.11003939059167
"16","arm_lower","back",-0.0336356857926497,-0.175713023014083,0.104656109704915,"ARM_LOWER",95,6,"ɒⱳɯuo","ⱳ",0.294300820098703,0.259119688265626,0.334213114400496,0.269424821390697,-0.0970741705689703
"17","arm_upper","back",-0.027862902049026,-0.173507865648531,0.113412756501853,"ARM_UPPER",94,6,"ɤɒⱳɯu","ɤ",0.295111009734348,0.25956387769566,0.334454070939996,0.267840487167258,-0.108708140571558
"18","ashes","back",0.366947535881844,0.217922243572885,0.523126935126224,"ASHES",150,6,"ɯɒũuoõ","u",0.3552053600715,0.316452349681896,0.397365300253622,0.431172876104276,0.9423519646898
