"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","high",0.09788590568419,-0.028851073825861,0.224792896379962,"1PLE",137,6,"ⱳũɨɯi","i",0.349225140623037,0.309249577061923,0.395579876482396,0.396193609394967,0.316746273336527
"2","1PLI","high",0.0869415295273892,-0.0376142698031648,0.2123021513201,"1PLI",135,6,"ⱳᶖũɯiɨ","i",0.347648313615926,0.307654341640098,0.391961271953288,0.380533572670058,0.221624335270939
"3","1SG","high",-0.0213458733161123,-0.149934194784937,0.102390526843369,"1SG",123,6,"uɯũɨĩᶙᶖỹ","ᶙ",0.330698897274329,0.292530017351441,0.373252046388157,0.343707018569802,-0.0085340026539332
"4","2PL","high",0.127942865237137,0.00627263535058126,0.253638183951138,"2PL",146,6,"iᶖɯɨ","i",0.354353594953552,0.313648930356898,0.399369615521402,0.412733712537819,0.415823152842262
"5","2SG","high",0.116878127028556,-0.00638980265375264,0.246458962887125,"2SG",134,6,"ʉᶖiɨɯ","i",0.352688320711461,0.311742758159736,0.397062841093814,0.433783723333476,0.540249388171467
"6","3PL","high",0.0719347112969375,-0.050200303422977,0.194623654755289,"3PL",137,6,"ⱳʉᶖiɨyĩɯ","i",0.345302515791987,0.305594657352341,0.389872692355998,0.367992419088306,0.144360872252528
"7","3SG","high",0.0356915196059776,-0.0885440546076513,0.154239028359003,"3SG",127,6,"ⱳᶖyiĩ","i",0.339927575678215,0.299757115247124,0.38290286763707,0.34277160006929,-0.0145205514314513
"8","above","high",-0.0432198505460937,-0.177575516817138,0.0889219858815493,"ABOVE",108,6,"ũᶖʉɨiyỹ","ũ",0.327507899621119,0.288478323610348,0.36993538619275,0.306313714035344,-0.254646713673872
"9","afraid","high",0.0940147481010947,-0.0298591296194195,0.22101919927363,"AFRAID",137,6,"ɨũi","i",0.348988933416179,0.308111221126804,0.393401356494327,0.406092719323258,0.376198133148991
"10","after","high",-0.0191067591040217,-0.159829588421261,0.114935965389099,"AFTER",100,6,"yɨᶖʉɯĩiuᶙỹ","y",0.331294924182417,0.2919388004054,0.375107062879008,0.298695639259782,-0.306737833457658
"11","air","high",-0.0679120452180953,-0.227828286762338,0.0829146611882348,"AIR",59,6,"ũyᶖʉⱳuiᶙỹ","ũ",0.323578480183907,0.284815374447088,0.366431620662084,0.317358735981491,-0.180386378238125
"12","all","high",0.00121728430766567,-0.122890316948414,0.120530056853973,"ALL",133,6,"ũĩyu","u",0.334515520585765,0.295899976127795,0.377042950461808,0.34846447223547,0.021794413090088
"13","angry","high",-0.0210069523087692,-0.156214602787676,0.113851035786321,"ANGRY",127,6,"ʉⱳuɯᶙỹ","ʉ",0.33079639001365,0.292592819730161,0.373616151788516,0.348659370260038,0.023032721729822
"14","animal","high",-0.0481809996542153,-0.188357154706684,0.090326103564459,"ANIMAL",113,6,"yᶖĩuⱳɨᶙỹ","y",0.326924024894748,0.288025833416736,0.368804580636713,0.319234015922606,-0.167917875813311
"15","ant","high",0.133861510554411,-0.00263745055952885,0.275571636490265,"ANT",120,6,"yⱳiɨu","i",0.35536395958405,0.313459731950467,0.401488347867726,0.446034470154342,0.611985689440855
"16","arm_lower","high",-0.129182427632086,-0.261086660084996,-0.000664302534871268,"ARM_LOWER",106,6,"yᶖʉⱳiɯuɨĩᶙỹ","y",0.314566760242164,0.277987554881536,0.354253005774004,0.278524212128871,-0.448521543463229
"17","arm_upper","high",-0.133899048082225,-0.269179976387474,-0.00605493497406677,"ARM_UPPER",105,6,"yᶖʉiⱳɯuɨĩᶙỹ","y",0.313738125310921,0.276796026736634,0.354037712394581,0.271545175136452,-0.499020587064105
"18","ashes","high",0.153603714249794,0.0316470766723939,0.282041681481103,"ASHES",153,6,"ɯũuy","u",0.358519672982903,0.316802179681071,0.404469991003829,0.425714265565862,0.492743400208001
"19","back","high",0.0885359051704914,-0.0376400853877204,0.217750008454447,"BACK",136,6,"ĩɨyũuɯ","u",0.348290214857316,0.307074527306898,0.392833202233852,0.389164014301877,0.27421994421103
"20","bad","high",-0.0332391349949694,-0.161572770251739,0.0890572116638146,"BAD",126,6,"ũĩʉⱳiuɨᶙỹ","ũ",0.328920122811076,0.290741864602045,0.370427902192257,0.289533947154135,-0.370406516487561
"21","bark","high",-0.034184538883631,-0.165260787522912,0.0932623650770522,"BARK",121,6,"ᶖĩyʉⱳuɯᶙỹiũ","ᶖ",0.328772848469416,0.290923796124674,0.371565919817288,0.314832812099901,-0.197243466375732
"22","beautiful","high",-0.0307852067926423,-0.169439856770347,0.103920987947213,"BEAUTIFUL",107,6,"ᶖɨʉⱳɯᶙiỹũu","ᶖ",0.329287460775104,0.290961744213087,0.372719034931424,0.329094543557749,-0.102980680749785
"23","because","high",-0.0712321237573227,-0.215644840393154,0.0675832580829278,"BECAUSE",77,6,"yᶖʉⱳɨũuiɯỹ","y",0.323150504517984,0.28508463821337,0.365394328124952,0.280643004379788,-0.433345127952293
"24","before","high",-0.0329953455329409,-0.173074053676179,0.0987341183986588,"BEFORE",93,6,"ĩyᶖʉiⱳuɯᶙỹ","ĩ",0.329075197772083,0.289310177871984,0.372604022819185,0.263320706105519,-0.559589031511765
