word,category,mean,sd,lwr,upr,word_dim,myvar
1PLE,back,-0.08906416593588712,0.0940367602432184,-0.27713768642232395,0.09900935455054972,NA,backness
1PLE,central,-0.04118035812579943,0.10520867608933414,-0.2515977103044677,0.16923699405286885,NA,backness
1PLE,front,0.09427895953437754,0.12012883238119626,-0.14597870522801498,0.33453662429677006,NA,backness
1PLI,back,-0.08239729960477718,0.09421616942566004,-0.27082963845609725,0.1060350392465429,NA,backness
1PLI,central,-0.04038738713382678,0.1055597901334999,-0.25150696740082656,0.17073219313317303,NA,backness
1PLI,front,0.08836015054373708,0.12052250113690388,-0.15268485173007068,0.32940515281754484,NA,backness
1SG,back,-0.09792755575829358,0.09348901260391064,-0.28490558096611485,0.0890504694495277,NA,backness
1SG,central,-0.04640449620243901,0.10619426609197088,-0.25879302838638074,0.16598403598150274,NA,backness
1SG,front,0.1044526647611331,0.1201044820623254,-0.13575629936351769,0.3446616288857839,NA,backness
2PL,back,-0.13521099802487535,0.09517841261494273,-0.32556782325476075,0.05514582720501007,NA,backness
2PL,central,-0.07648859352012474,0.10758970554870936,-0.2916680046175435,0.13869081757729398,NA,backness
2PL,front,0.15149975571458477,0.12084517286504748,-0.09019059001551022,0.39319010144467975,NA,backness
2SG,back,-0.1625656597887431,0.09426997884324176,-0.3511056174752266,0.02597429789774041,NA,backness
2SG,central,-0.08804099055324044,0.10643288670125713,-0.30090676395575466,0.1248247828492738,NA,backness
2SG,front,0.1799224350556462,0.11879091563076184,-0.05765939620587745,0.41750426631716986,NA,backness
3PL,back,-0.06026234145577618,0.0934784674632704,-0.247219276382317,0.12669459347076462,NA,backness
3PL,central,-0.03630270564960787,0.10419011080257692,-0.2446829272547617,0.172077515955546,NA,backness
3PL,front,0.06792749319186187,0.11982617276307549,-0.17172485233428908,0.3075798387180128,NA,backness
3SG,back,-0.0979919459798916,0.09410324481198624,-0.2861984356038641,0.09021454364408088,NA,backness
3SG,central,-0.05722184470996591,0.10594448342225755,-0.269110811554481,0.15466712213454922,NA,backness
3SG,front,0.1106233777710196,0.12012174074522795,-0.12962010371943633,0.35086685926147554,NA,backness
above,back,-0.01201522761226122,0.09376073408148897,-0.19953669577523916,0.1755062405507167,NA,backness
above,central,-0.00482936449938997,0.10401235439690358,-0.2128540732931971,0.2031953442944172,NA,backness
above,front,0.00975753001202323,0.12153829865978796,-0.23331906730755267,0.25283412733159916,NA,backness
afraid,back,-0.00995890506355905,0.0926567406236183,-0.1952723863107957,0.17535457618367753,NA,backness
afraid,central,-0.00593144701589301,0.10458778589346056,-0.21510701880281413,0.2032441247710281,NA,backness
afraid,front,0.0086749092475245,0.12091570851571556,-0.23315650778390665,0.25050632627895564,NA,backness
after,back,-0.0022185487620672,0.09459949067948738,-0.19141753012104196,0.18698043259690755,NA,backness
after,central,-0.01046872165954816,0.10530897206904592,-0.22108666579764005,0.2001492224785437,NA,backness
after,front,0.00472604346749177,0.1229397451008906,-0.2411534467342894,0.25060553366927296,NA,backness
air,back,-0.08517034111444917,0.10118102773009632,-0.2875323965746418,0.11719171434574348,NA,backness
air,central,-0.05693667466515317,0.11259169253337242,-0.282120059731898,0.16824671040159167,NA,backness
air,front,0.09960646016631514,0.13095037901347356,-0.162294297860632,0.36150721819326226,NA,backness
