"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","alveolar-voice",0.0133251841450971,-0.018618076916874,0.0451202822083538,"1PLE",71,6,"","",0.159976104627696,0.153300248237134,0.166560570374276,0.172470500911895,-0.190493271403537
"2","1PLI","alveolar-voice",0.0259911049003185,-0.00507384569593881,0.0573534129367312,"1PLI",63,6,"ɬ","ɬ",0.161130873250628,0.154507704616378,0.167980095571135,0.156045977472826,-0.363225394040779
"3","1SG","alveolar-voice",0.0536667361800278,0.0245389938837884,0.0837527370436962,"1SG",45,6,"ɬ","ɬ",0.163770191249421,0.157016693759441,0.170554265443533,0.116810648817308,-0.846583133818067
"4","2PL","alveolar-voice",0.00198204145808871,-0.0310817079809252,0.0333088361497898,"2PL",70,6,"","",0.158914516294084,0.152164928620153,0.165667816312078,0.155584281877163,-0.368289273401245
"5","2SG","alveolar-voice",0.0180970339993778,-0.0147850979693854,0.0491294033249989,"2SG",42,6,"","",0.160393248630813,0.153687584764994,0.167091967578337,0.112483910008038,-0.908086782593128
"6","3PL","alveolar-voice",0.0120869704491914,-0.0201322218123621,0.0435509145672426,"3PL",80,6,"t","t",0.159865180359684,0.152997590382702,0.166507307016168,0.170915713934008,-0.206265889126573
"7","3SG","alveolar-voice",0.0401505034931318,0.00941835226110573,0.0718260233066544,"3SG",61,6,"t","t",0.162498073806546,0.155765589275493,0.169076560467802,0.149224726293177,-0.439323654118167
"8","above","alveolar-voice",0.0121698943425354,-0.0207994312178974,0.0449192441843194,"ABOVE",68,6,"ṛ","ṛ",0.159871046070597,0.153011760023991,0.166635313729976,0.161431899049614,-0.305034424197168
"9","afraid","alveolar-voice",0.00810465390209943,-0.0252205892791384,0.0399224139418444,"AFRAID",89,5,"s","s",0.159457560333359,0.152832689203297,0.165988618899375,0.179984334444664,-0.115812286326424
"10","after","alveolar-voice",0.00295592282727259,-0.0308336468393291,0.0356157748860982,"AFTER",78,6,"ɬt","t",0.158983258553594,0.152265792572857,0.165866084686097,0.192330246091216,0.0017879897593079
"11","air","alveolar-voice",0.00532681764594173,-0.0329442301423296,0.0414775586123359,"AIR",43,6,"ɬ","ɬ",0.159170403903139,0.152212414634054,0.166255922592941,0.147672466354768,-0.457039235569216
"12","all","alveolar-voice",-0.00391413598870663,-0.0353689643654342,0.0270669791323923,"ALL",100,6,"ɬṛs","ṛ",0.158361095061383,0.151729483873929,0.165081976126554,0.192731753610463,0.00551398097224878
"13","angry","alveolar-voice",0.000263657727088497,-0.0336217704837301,0.0334338911017241,"ANGRY",93,6,"ṇs","s",0.158679436000251,0.152024022799143,0.165415502495396,0.186600228983613,-0.052045985313981
"14","animal","alveolar-voice",-0.00406987174203303,-0.0396495191810997,0.0296151409592643,"ANIMAL",71,6,"tṇṛ","ṇ",0.158310155519985,0.151531025746391,0.16509677075657,0.167041739998113,-0.246067715383136
"15","ant","alveolar-voice",0.00167276692588054,-0.0335580767028365,0.035255733937586,"ANT",80,5,"s","s",0.158877198879012,0.151999527295509,0.165591001683139,0.212161909642216,0.179234338922147
"16","arm_lower","alveolar-voice",0.002829384237946,-0.0296349157533091,0.0339733581073144,"ARM_LOWER",89,6,"ɬ","ɬ",0.159008539710328,0.152273166484577,0.165570097988431,0.162047353913726,-0.298485411726716
"17","arm_upper","alveolar-voice",0.00464469989898556,-0.0264503614067951,0.0350214506558771,"ARM_UPPER",85,6,"ɬ","ɬ",0.159143197635758,0.152429116182432,0.165848874261932,0.160158723822197,-0.318646468489851
"18","ashes","alveolar-voice",0.00111989489904732,-0.0314317518351301,0.0323447602663819,"ASHES",94,6,"t","t",0.158816755221614,0.1520174382927,0.165457487910523,0.182024423247719,-0.0959578868364091
"19","back","alveolar-voice",-0.0020252870467434,-0.0357164851919665,0.0296454229433267,"BACK",85,6,"ɬṇṛst","ṇ",0.158536364269868,0.151816216418232,0.165142777924916,0.186048343806863,-0.0572977191776826
"20","bad","alveolar-voice",0.00451657767461631,-0.0279590188778071,0.0355702674106556,"BAD",98,6,"ṇs","s",0.159133613040279,0.152407600302572,0.165702071420437,0.215335801701071,0.206480668330434
"21","bark","alveolar-voice",-0.00591244069627267,-0.0384558284084763,0.0260702611866585,"BARK",104,6,"ṇṛ","ṇ",0.158171720665497,0.151390527906267,0.164886101254427,0.220138497546439,0.247161371863207
"22","beautiful","alveolar-voice",-0.0129994088420979,-0.049441799205435,0.0215147796927634,"BEAUTIFUL",82,6,"ṇtṛ","ṇ",0.157491212079903,0.150644704690211,0.16428778251629,0.220462255447033,0.249880642371593
"23","because","alveolar-voice",0.00500768283698481,-0.0291066436008586,0.0384905973489203,"BECAUSE",56,6,"","",0.159227154164673,0.152356008308946,0.166100141159283,0.145296041279988,-0.484461565737874
"24","before","alveolar-voice",0.00414953571322036,-0.0296698310873033,0.03753445460314,"BEFORE",80,6,"t","t",0.159151712495359,0.152414444392869,0.165711583784301,0.184906053141943,-0.068206055614522
"25","behind","alveolar-voice",0.00481159059519037,-0.0295571792682427,0.0369939271302174,"BEHIND",79,6,"","",0.159112511774533,0.15241190894157,0.165801893280754,0.173143480447576,-0.183701099132151
"26","belly","alveolar-voice",0.00104701876014813,-0.0312672022260859,0.0322959981699531,"BELLY",102,6,"t","t",0.158792946242618,0.152158817173424,0.165476702242528,0.195193425094927,0.0282302093261153
"27","below","alveolar-voice",0.0154398337601951,-0.0164462665593089,0.0469562480899484,"BELOW",78,6,"ṇt","t",0.160184855106679,0.153360414545576,0.16687978226678,0.16779952744823,-0.238224611908325
"28","beside","alveolar-voice",0.0224604916335397,-0.0110891393718518,0.0558603946926897,"BESIDE",61,6,"","",0.160792727643054,0.154070728181059,0.167594862918925,0.161941583996651,-0.299609472116658
