"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","rounded",-0.268718371451154,-0.490198366907561,-0.0536511120274898,"1PLE",75,6,"ɒøɵyʉouᶙỹⱺ","ɒ",0.300037374943577,0.256022057107868,0.343209791797782,0.197827642492792,-0.51982963009429
"2","1PLI","rounded",-0.237026192636012,-0.439345197175243,-0.0303482018752398,"1PLI",79,6,"øɵyɒʉouõᶙỹⱺ","ø",0.305046221373523,0.260234566220034,0.34958414290585,0.207744132879615,-0.431320111669902
"3","1SG","rounded",-0.330094956050002,-0.529184144203009,-0.122606163741148,"1SG",61,6,"øuɵũoõᶙỹⱺ","ø",0.290971257198036,0.249420645094157,0.334770505284105,0.17636477730576,-0.723604472148477
"4","2PL","rounded",-0.324862309528404,-0.536271282132501,-0.119228177109666,"2PL",69,6,"ɒyøoɵʉuũᶙỹⱺ","ɒ",0.29188700022359,0.249658336999904,0.335380309796252,0.177928346563932,-0.70812918240008
"5","2SG","rounded",-0.40267293447363,-0.612835179509275,-0.191042812099425,"2SG",50,6,"yøuɵoũɒᶙỹⱺ","y",0.280740754029615,0.239777059124856,0.323441499143514,0.156185300321343,-0.933828948312849
"6","3PL","rounded",-0.158108420212291,-0.376034591364289,0.0521260639624971,"3PL",93,6,"ɵɒuõũᶙỹⱺo","ɵ",0.315990026872825,0.269758268582255,0.364182601744672,0.225846802635331,-0.277436006459318
"7","3SG","rounded",-0.246367784656367,-0.455258209402174,-0.0382964865143176,"3SG",82,6,"ũøɵuʉɒoõᶙỹⱺ","ũ",0.302934081534852,0.258096452382246,0.347751037198087,0.189392688134348,-0.597783960918905
"8","above","rounded",-0.0732764579909481,-0.298571702111305,0.144895057459254,"ABOVE",83,6,"ũɵʉyɒoỹⱺ","ũ",0.329426086716647,0.280627514063,0.377868780509051,0.253339600473849,-0.059541015259941
"9","afraid","rounded",-0.0557663451807384,-0.291704678713065,0.169848225607619,"AFRAID",103,6,"ɒyøɵʉuᶙoỹⱺ","ɒ",0.331400011597923,0.283746523461925,0.381287308849615,0.241063648344337,-0.154726191363138
"10","after","rounded",0.0358439409925179,-0.199918084049135,0.270908912521073,"AFTER",91,6,"ɒoũ","o",0.345815045753547,0.297021270707287,0.396142486834467,0.286568688709537,0.183945044790662
"11","air","rounded",-0.227159645483022,-0.504132823226453,0.0464455698145333,"AIR",37,6,"ũyøoʉuõᶙỹⱺ","ũ",0.305777464170938,0.25396295086662,0.359495697590706,0.19011040381699,-0.591049173904041
"12","all","rounded",0.183732404887985,-0.0385221699963968,0.400082583992522,"ALL",128,6,"ũyou","o",0.369806676788584,0.319097475073181,0.419020424207605,0.314346816691102,0.37471672973326
"13","angry","rounded",-0.16191648977882,-0.393354812369065,0.0644973677774153,"ANGRY",83,6,"øɵʉõuoᶙỹⱺ","ø",0.315103535343442,0.2691430016506,0.365293628278387,0.218055093609543,-0.342535677727061
"14","animal","rounded",-0.100689263948695,-0.329309269560123,0.129525303267965,"ANIMAL",82,6,"õyøɵuᶙỹⱺ","õ",0.325503869856422,0.276768317130806,0.374015241967853,0.235192385759881,-0.201416938062343
"15","ant","rounded",0.118784867055254,-0.1284437161263,0.358321007626956,"ANT",87,6,"yõou","o",0.359372669212439,0.306859976050173,0.412661792020988,0.294547325102881,0.239788742211334
"16","arm_lower","rounded",-0.0902840334768113,-0.304186171151951,0.122730746504924,"ARM_LOWER",91,6,"yøɵʉɒuᶙỹoⱺ","y",0.326608463928324,0.280161682071914,0.37235031083591,0.242510039600566,-0.14334369924437
"17","arm_upper","rounded",-0.074685058116371,-0.293398892849134,0.132913534852757,"ARM_UPPER",91,6,"yøɵʉɒuᶙỹⱺ","y",0.32807503597051,0.282277802048585,0.374258567902562,0.244979933937435,-0.124012808821211
"18","ashes","rounded",0.543977925489403,0.318430642171652,0.774322538166743,"ASHES",143,6,"ɒũuoõy","u",0.429490340480798,0.374540174257118,0.483663602459387,0.407602039283295,0.9604331893096
"19","back","rounded",0.393543482646932,0.168350232958851,0.60566326708531,"BACK",120,6,"yoũɒuø","o",0.404255199256851,0.349678712125215,0.455020846514808,0.371417260716662,0.740776800008947
"20","bad","rounded",-0.0479951229152459,-0.258347790951039,0.158950290158545,"BAD",106,6,"ũøõɵʉɒuᶙỹⱺ","ũ",0.333107041327517,0.284455192830643,0.380713564993464,0.249604907686174,-0.0881654978982962
"21","bark","rounded",-0.02867519095993,-0.265090107824395,0.20187661977566,"BARK",92,6,"øõɵyʉuᶙỹⱺũ","ø",0.336729379655833,0.287229599612884,0.384220957789519,0.254356899727116,-0.0517924306499528
"22","beautiful","rounded",-0.0848157022278509,-0.316813430248141,0.151591932625684,"BEAUTIFUL",79,6,"øɵʉõoᶙỹũⱺu","ø",0.327157619305251,0.277816107432118,0.376746250678777,0.231934184413732,-0.227675874550671
"23","because","rounded",-0.137654574909526,-0.380781233531235,0.111444753647589,"BECAUSE",64,6,"yøɵʉũɒuoỹⱺ","y",0.319997182239494,0.270486021062253,0.368665546726642,0.230776027261865,-0.237071764324688
