"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","unvoiced",-0.354000480958459,-0.56044729646549,-0.148399481526531,"1PLE",127,6,"fpchçṇɬksṃtṛʔἠ","ṇ",0.368121902188808,0.316949893194348,0.426169539375479,0.383195565858621,-0.549473620159149
"2","1PLI","unvoiced",-0.34759082984193,-0.548203535174633,-0.14433492395941,"1PLI",129,6,"fxpschṇtçṃkṛἠ","ṇ",0.368554122693462,0.316928919913737,0.426616934977225,0.382864617503689,-0.551494022715196
"3","1SG","unvoiced",-0.512498297327018,-0.708735295041427,-0.31983605040398,"1SG",113,6,"pçfstṇhṃkṛἠ","ṇ",0.342258261656628,0.294455865497204,0.398950482357425,0.345690650718268,-0.783232649619082
"4","2PL","unvoiced",-0.341693545272813,-0.53945924748624,-0.129589193264026,"2PL",140,6,"fxpsṇhɬtkṃṛἠ","ṇ",0.370208045044217,0.31762260626859,0.427326068848248,0.387276602069231,-0.524612953486781
"5","2SG","unvoiced",-0.535743468375979,-0.748366171541751,-0.329546700751303,"2SG",108,6,"fçpɬtksxṇcṃṛἠ","f",0.339049526781392,0.290074973304593,0.395794473439602,0.339687439600437,-0.821682565933079
"6","3PL","unvoiced",-0.152240754555525,-0.359932481372773,0.0525459497980383,"3PL",148,6,"fpsṇkɬṃṛxἠ","ṇ",0.401056720762195,0.347703523941484,0.45991188809458,0.425867265614396,-0.293721823207116
"7","3SG","unvoiced",-0.119759427463509,-0.332628235134259,0.0892432733978881,"3SG",135,6,"çsɬkṇcpṃṛἠ","ṇ",0.405667498558237,0.354533164415596,0.46581498795878,0.437896878305108,-0.222985012528312
"8","above","unvoiced",-0.214105311876665,-0.429393442237892,-0.000909371234750447,"ABOVE",135,6,"schṇxkṃɬʔἠtf","ṇ",0.391041993997253,0.33759139189189,0.44986545320998,0.415962432513568,-0.352349284376549
"9","afraid","unvoiced",-0.141855304461051,-0.353601286648776,0.0777905238771987,"AFRAID",153,6,"pɬṇktʔṃṛhἠ","ṇ",0.402999351978025,0.345850047366428,0.46253427514411,0.438549828913602,-0.219158565220968
"10","after","unvoiced",0.0777135113142633,-0.144447845651857,0.300766873830095,"AFTER",140,6,"hɬxpt","t",0.439969141572796,0.383578680403542,0.502647495066743,0.487923935111822,0.0675567786880893
