"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","back",-0.655987844201365,-0.65625169292767,-0.655876021577498,"1PLE",81,6,"ɤɒᶌɑou","ɤ",0.493494589364561,0.493480320712346,0.493518407406468,0.222224785983588,-0.465257722742841
"2","1PLI","back",-0.130148172916205,-0.130232519863108,-0.130052103501389,"1PLI",86,6,"ɤᶌɒouɑõ","ɤ",0.150188498660236,0.150169431867072,0.150212248096719,0.234106931511427,-0.367899531316092
"3","1SG","back",0.680168866273215,0.680007313024924,0.680217751837037,"1SG",68,6,"ⱳɤɒɑ","ɑ",0.423365744630423,0.423322956761736,0.423377110486319,0.211275412854678,-0.558320933689385
"4","2PL","back",-0.528201913019002,-0.528537609043088,-0.52817585219386,"2PL",75,6,"ɤɒᶌoⱳɑuũ","ɤ",0.302189400994277,0.302143766946371,0.302204923823821,0.199913489450701,-0.658704379065356
"5","2SG","back",-1.98182048735232,-1.98208255813355,-1.98157285923048,"2SG",54,6,"uᶌɑoⱳũɒ","ᶌ",0.197738341840358,0.197734212257128,0.197771452123302,0.17295976840645,-0.915445215343687
"6","3PL","back",-0.070251323739534,-0.0703434365311697,-0.0701249243042732,"3PL",101,6,"ᶌɤɒuõũo","ᶌ",0.369580587369126,0.369566828528012,0.369615112447494,0.247434539442418,-0.262694377447149
"7","3SG","back",-0.65349546545698,-0.653521710473897,-0.653433843130234,"3SG",88,6,"ũᶌuɤɒoõɯɑ","ũ",0.254042263507496,0.254019300468961,0.25406078065899,0.212471448362809,-0.547987442549345
"8","above","back",-0.0232081596665556,-0.0232590589417327,-0.0229381072140163,"ABOVE",93,6,"ũɒo","ũ",0.331916512418974,0.331904831312674,0.331937555750176,0.288273693263879,0.0381924260715467
"9","afraid","back",-0.630521881636298,-0.630687772446921,-0.63032342662695,"AFRAID",109,6,"ɒᶌⱳɯuo","ɒ",0.481474259159208,0.481471161490647,0.481503615219754,0.266331186985004,-0.119831784495156
"10","after","back",-0.458042467384332,-0.458106924914628,-0.457810912141277,"AFTER",95,6,"ɑᶌɯuõ","ᶌ",0.41827305448902,0.418241608588511,0.418303061540785,0.300641123550001,0.124085197637273
"11","air","back",-0.115305368083893,-0.115446258495512,-0.115220955612578,"AIR",42,6,"ũᶌoⱳɑuõ","ũ",0.355722772963677,0.355716562955807,0.355727221863846,0.219069800339261,-0.491727188269728
"12","all","back",-1.03240903506009,-1.03282489855358,-1.03238678124577,"ALL",130,6,"ɤɯᶌõⱳɒ","ɤ",0.371874747677512,0.37185816497955,0.371890405992018,0.32891568485448,0.313299568336826
"13","angry","back",-0.997904688673251,-0.998275376674449,-0.997847320705942,"ANGRY",92,6,"õⱳɤuoɯ","ⱳ",0.482695157862383,0.482667940766173,0.482706493099582,0.261620355046468,-0.15481219056523
"14","animal","back",-0.286449674057288,-0.286477393577323,-0.28633175199404,"ANIMAL",88,6,"õᶌuⱳɤ","õ",0.392889478578821,0.392862640372828,0.392894391068133,0.258596228178564,-0.17748242261381
"15","ant","back",-0.0554225160314224,-0.0556091240661073,-0.0552613372929997,"ANT",86,6,"ɤɒɯᶌɑũ","ɤ",0.334985130791023,0.334965917924068,0.335004473182886,0.298598091882079,0.11003939059167
"16","arm_lower","back",-0.387141322692503,-0.387220177070246,-0.387052971055967,"ARM_LOWER",95,6,"ɒⱳɯuo","ⱳ",0.295903709795064,0.295899355224083,0.295938520508018,0.269424821390698,-0.0970741705689677
"17","arm_upper","back",0.661654870135978,0.661455130296638,0.6621015036932,"ARM_UPPER",94,6,"õũᶌɑo","o",0.296952663478288,0.296922370750643,0.296972194007302,0.267840487167258,-0.108708140571555
"18","ashes","back",-0.132301601759489,-0.132439467421524,-0.132088203007523,"ASHES",150,6,"ɑᶌⱳɤ","ᶌ",0.338312933805285,0.338294351201237,0.338337997937181,0.431172876104276,0.942351964689797
"19","back","back",-0.186075063746468,-0.18640193275223,-0.186053673119257,"BACK",123,6,"õɑɤᶌⱳ","õ",0.477144081981963,0.477131304857764,0.477168545310431,0.379406431376878,0.632171188024649
