"word","a","ã","ɑ","ɒ","b","c","ç","d","e","ẽ","ə","ᶕ","ɤ","f","g","ɣ","h","ɦ","i","ĩ","ɨ","ᶖ","j","ɟ","k","l","ɬ","ʎ","m","ṃ","n","ṇ","ɲ","ŋ","o","õ","ø","ⱺ","ɵ","p","r","ṛ","ɽ","s","t","u","ũ","ʉ","ᶙ","ɯ","v","ᶌ","ⱳ","x","y","ỹ","z","ʔ","ἠ"
"1PLE",0.124891291949238,0.00812043652036233,0.00613123899693239,0.001,0.0107405826715084,0.00359360237244292,0.00351129099626795,0.0132865854852571,0.0721191786358681,0.00295574338049565,0.0120089832976272,0.00149066076303637,0.001,0.0022197522359411,0.0163859391765703,0.00471340986570704,0.0179073389214946,0.001,0.11977028636383,0.00210398671683182,0.0123557310158444,0.00144159468673273,0.023174921646641,0.001,0.0456787783964739,0.0172855559125762,0.00326930602904319,0.00173599114455455,0.0490517892435385,0.001,0.0770339842631524,0.001,0.0104199202381864,0.0294779295181235,0.0447163620269179,0.00339733806722837,0.001,0.001,0.001,0.0125550609695064,0.0175912635773798,0.001,0.00358659293297097,0.0395489612150891,0.0526782594907398,0.0462292261051203,0.00335517166257456,0.001,0.001,0.00640152010272831,0.0246933881812267,0.001,0.00276637874693092,0.00943559081066367,0.00163084955247533,0.001,0.00534234775287184,0.0181958783612979,0.001
"1PLI",0.126836328577902,0.0064602080739936,0.00690461580478054,0.00162269347767347,0.0118583637403291,0.00443124425578731,0.00424624700327443,0.0114631059500186,0.0715325042123644,0.00293012228817474,0.0126637450820962,0.00148423289277825,0.001,0.00220377294900737,0.018266578093553,0.00321206389655518,0.0202384445047223,0.001,0.111909745496638,0.001,0.00973208168815208,0.00288850828183517,0.027682649636174,0.001,0.0490306109799158,0.0154010058988748,0.00491018060918435,0.00172634933916737,0.0491712297315676,0.001,0.0799540310572202,0.001,0.00740927654637353,0.0262357763159479,0.0484983452252756,0.00263958255250779,0.001,0.001,0.001,0.0161858893981635,0.023493403961908,0.001,0.00342116446389124,0.0322770367594587,0.0497115219029198,0.0483104691516165,0.00332431788533559,0.001,0.001,0.00611285302888995,0.0241394146620463,0.001,0.00249431268467432,0.00408698469146133,0.00162258514785775,0.001,0.00673815977942223,0.01953824232051,0.001
"1SG",0.161985141387517,0.00784068961101507,0.0134185046921499,0.00326693892549629,0.00586503156575564,0.00668728373100382,0.00132121145542838,0.0150409576013013,0.0514693521800229,0.00215340588001125,0.014880016814349,0.00183514978411378,0.00389330126358162,0.0023919163068563,0.0103258392559372,0.00132121145542838,0.0194282890684063,0.001,0.114834678607234,0.00308787446028445,0.00846694815191295,0.00183514978411378,0.0500423701975076,0.001,0.049724113609364,0.00782546483045067,0.00482776984385483,0.001,0.0302155366493552,0.001,0.105693226249536,0.001,0.00969947691785188,0.0375478491115001,0.0493345003654677,0.00413181169042668,0.001,0.001,0.001,0.00556349703462173,0.0121185050928994,0.001,0.00211850417515239,0.0236521859286372,0.0334498300898471,0.0317867250157982,0.00146397210228543,0.00204393723014223,0.001,0.00247461733543962,0.0227254936895154,0.001,0.0051757489205689,0.0101866476252516,0.0037838326137126,0.001,0.00291388492192741,0.0271516067769669,0.001
"2PL",0.11647012095686,0.0115895085482118,0.00517926216532452,0.001,0.0142703261848162,0.00653102415857939,0.00626813996528017,0.00727187961242266,0.0746743795996067,0.00362212070112648,0.012027596127689,0.001,0.001,0.00143017413448964,0.0182740745930143,0.001,0.0204129532668509,0.001,0.130627197147402,0.00171695689081607,0.0096256742126038,0.00243391378163214,0.0294018420466128,0.00559375215087067,0.050794170393492,0.0118610433757553,0.00341235819647961,0.00171695689081607,0.0688284878965758,0.001,0.069432098183208,0.001,0.0051822485297604,0.0242387919836299,0.0332838653563153,0.00501495858856999,0.001,0.001,0.001,0.0172033809179174,0.0163037707239648,0.001,0.00430995097926752,0.0323879639703175,0.0474508455647137,0.0471831696983204,0.00257730515979535,0.001,0.001,0.00620316550806433,0.0303370857200095,0.001,0.001,0.00348374351461281,0.001,0.001,0.00506275571462439,0.0183109868895797,0.001
"2SG",0.135528861063261,0.00806363924752464,0.00472994096195794,0.00160167428855369,0.0124500843601124,0.00426863291700705,0.001,0.00695240648566907,0.0566826407359518,0.00286497048097897,0.00836964648159979,0.001,0.00216313926296493,0.001,0.0118636586581709,0.001,0.0274399266566325,0.001,0.157435066220938,0.00212804770206423,0.0127109738730295,0.00356680169899301,0.0364979344104638,0.0026843949232337,0.032208047092885,0.00567720376005072,0.00193577495735206,0.001,0.0817775450166112,0.001,0.0880261896571303,0.001,0.0120538416837212,0.0289682880571988,0.0420892467189493,0.00345640926304915,0.001,0.001,0.001,0.00985654623376648,0.00556190291709127,0.001,0.001,0.0313694487657195,0.0294123147346827,0.0342820483204778,0.00240366243602808,0.00356680169899301,0.001,0.00454936540421267,0.0245380822308233,0.001,0.001,0.00626373413510532,0.001,0.001,0.00415824048106319,0.0308428660059828,0.001
"3PL",0.116202586996093,0.00631724757113453,0.0072328580099617,0.00172269593366873,0.0160374340430806,0.00603303237579422,0.00414764039173116,0.0177451111422379,0.0761102045421827,0.00183896534416547,0.00957431822514814,0.001,0.00187544209825962,0.00308438594823719,0.0148457512710586,0.00162531578447116,0.031576049252161,0.00162531578447116,0.117773836509793,0.00585672806433916,0.0105055403610136,0.00245907016376603,0.0228448490603917,0.00172953508188302,0.0461028090803346,0.0208661526848836,0.00363848521281025,0.00162531578447116,0.0406072422128731,0.001,0.0715737764742912,0.001,0.00247122908179742,0.0111301157084328,0.0575394517213649,0.00256850042604849,0.00187544209825962,0.001,0.001,0.016141326925653,0.0246060954847855,0.001,0.00282383770470754,0.0298849932879049,0.0550007816879475,0.0449076410481232,0.00184428511398256,0.00245907016376603,0.001,0.00385571755403145,0.0282377133785895,0.001,0.00512719298245614,0.00893282552133272,0.00373575655706132,0.001,0.0050853964585449,0.0185949316905037,0.001
"3SG",0.138184702047559,0.00543842682692879,0.0104849357079832,0.00200463736332771,0.0119347332127266,0.00539556652074963,0.00171387982261514,0.00924658574622368,0.0894295236006426,0.00242775964523028,0.0111802147768327,0.001,0.00182616740767392,0.00682332616597991,0.0109434325707873,0.00204022488438206,0.0410285905647402,0.001,0.115106958259536,0.00610944634336477,0.00811027055006906,0.00257249631313521,0.0328808960184407,0.00251699462305718,0.0351960205726989,0.0171597497274555,0.00214730685777433,0.00192479886111507,0.0292328117805994,0.001,0.0873716005730788,0.001,0.00753200037692855,0.0128331280882487,0.0538203448405829,0.00317408855069157,0.001,0.001,0.001,0.0220562098588621,0.0156466953501725,0.001,0.001,0.0210739292603547,0.049858455780288,0.0412032782510464,0.001,0.001,0.001,0.00392041745615285,0.0173094839852649,0.001,0.00503862660944206,0.0136908947218371,0.00456939911307571,0.001,0.00486865522310512,0.0179723351892387,0.001
"above",0.141006421794374,0.00379927948980089,0.00935219966570923,0.00221707803904386,0.022980830091554,0.0043807723306774,0.00559024390243902,0.0202971543711614,0.0654790623167138,0.0028256170585658,0.0145390283312585,0.001,0.00396747318371387,0.00465123411713159,0.0162773482071861,0.00221707803904386,0.0199846065515118,0.001,0.0650204712877416,0.0042455414374503,0.00655475537097454,0.001,0.0204965520758715,0.00521920386868539,0.0490557478925231,0.0309298696817503,0.00412962924325565,0.00225395919174216,0.0395190842839048,0.001,0.0538603352239074,0.001,0.00497578826087662,0.00971870449787786,0.0565680925371378,0.00404269509760966,0.00266925660873375,0.001,0.001,0.0247216725665973,0.0365060125762623,0.00197366243123509,0.00181138535936258,0.0272922796662721,0.0537977103633196,0.0630909180843643,0.001,0.001,0.0031560878243513,0.00616980487341229,0.0325165256015263,0.00197366243123509,0.00396747318371387,0.00721289360883344,0.00221707803904386,0.001,0.00477294192103598,0.0189947774195074,0.001
"afraid",0.111168306749548,0.00249095627426466,0.00797473322585598,0.001,0.0162113456237708,0.0105923842181327,0.00588948842242255,0.0200807636863026,0.0527272616078754,0.00312499040380777,0.0140965792358008,0.001,0.00312499040380777,0.00699762014432673,0.0159218173847665,0.00397048851015917,0.0261412044237643,0.00279928604329802,0.109458854578385,0.00147980961154614,0.0149990898849432,0.001,0.0281441537088992,0.00651781053278059,0.0494295055175986,0.0229914469540218,0.00283563525629394,0.00275930190900251,0.0317789673594314,0.001,0.0430943575324909,0.001,0.00660932210670235,0.0112987705906868,0.0533252346178993,0.00484418891155418,0.001,0.001,0.001,0.0168102832561607,0.0468244258929139,0.001,0.00279928604329802,0.0490618719409887,0.0491602833731173,0.0532897619146468,0.00362562481873859,0.001,0.001,0.00341808812168094,0.0357329379169545,0.001,0.001,0.0087302659637989,0.001,0.001,0.00392455382275742,0.0177439515048048,0.001
"after",0.13214775690599,0.0059981729088407,0.0020461793803697,0.00305549907775891,0.0208896552729864,0.00298877607104631,0.0020461793803697,0.0207654803034912,0.0620954853445416,0.00472337793754742,0.0110797483707533,0.001,0.003402163065174,0.00477119570383043,0.0220541408423796,0.00430601736485621,0.0409245732138208,0.00190398912320287,0.0789803126762252,0.0029912589182636,0.00370081297827978,0.001,0.0206421959261389,0.00267883694309104,0.0443499942436092,0.0184167216441364,0.00557160213734023,0.00298877607104631,0.034727403715688,0.001,0.0462980712372472,0.001,0.00258198096560502,0.00599131137311299,0.0713471729763386,0.00416396193121004,0.001,0.001,0.001,0.0294602597639567,0.0410314553644741,0.001,0.00141722574917056,0.0434872918431237,0.055432862399733,0.0549797947106265,0.00239707409949534,0.001,0.001,0.00271672076296523,0.0282746432600637,0.001,0.00177484781988817,0.011346505574083,0.001,0.001,0.00430601736485621,0.0187464972832716,0.001
