"word","b","c","ç","d","f","g","ɣ","h","ɦ","j","ɟ","k","l","ɬ","ʎ","m","ṃ","n","ṇ","ɲ","ŋ","p","r","ṛ","ɽ","s","t","v","x","z","ʔ","ἠ"
"1PLE",0.02323991020709,0.00524432582798205,0.00518380699341269,0.027174305988325,0.00312216291399102,0.0380566498977911,0.0098044540853525,0.0306283571619958,0.001,0.0489797821580139,0.001,0.0881047477947173,0.0363766846827784,0.00462744796982205,0.00236952038607551,0.101063258099186,0.001,0.155719360818692,0.001,0.0177049992523751,0.0562263075658637,0.0256394932608388,0.0345981345799219,0.001,0.00650905428961082,0.0705358225587179,0.0979865956347526,0.0448337505840148,0.017931728441415,0.00927906780707062,0.0330602710401935,0.001
"1PLI",0.0277090203346808,0.00653866077369071,0.00639013010393778,0.0217597661819219,0.00309374108925007,0.039223125178215,0.00536510871813795,0.0353763663149891,0.001,0.0552889153665458,0.001,0.0961450173881928,0.0315470249976238,0.00756368215949054,0.00235117859519057,0.0911770863035833,0.001,0.165213019539153,0.001,0.0128504419731965,0.0495767274973862,0.0328836374869309,0.0469719286916363,0.001,0.00710357855717137,0.0558831249066493,0.0933854549803954,0.0451200863578965,0.00769762855241897,0.011395874916833,0.0363896730348826,0.001
"1SG",0.0118246724940923,0.0126709569367013,0.00171695689081607,0.0291160208318994,0.00315087067244821,0.0200401725285062,0.00171695689081607,0.0371740656617799,0.001,0.109179158923532,0.001,0.0959296743131143,0.0155528483263358,0.0113663707068621,0.001,0.0633570560029367,0.001,0.219728405258449,0.001,0.019711198293069,0.0789009567072751,0.010549590474224,0.0259589654844662,0.001,0.00350934911785624,0.0421224447656411,0.0643481083809393,0.0438828877548679,0.0190480516798914,0.00401121894142749,0.0484330419620529,0.001
"2PL",0.0309952864641088,0.0121614400827974,0.00922467263004854,0.0130485547423671,0.00175376358394322,0.0400041447968261,0.001,0.0385753246945263,0.001,0.0553155939971908,0.0107133377689066,0.0937489511981328,0.0226118597373155,0.00511564652001112,0.00234517335698972,0.135290786328577,0.001,0.134691075415307,0.001,0.00916088711465957,0.045257925630221,0.0323261172892311,0.0321519420418422,0.001,0.00951601685517853,0.0587982456251518,0.0929688417169189,0.0590799487444863,0.00558342574111037,0.00854047460634287,0.0350205633178088,0.001
"2SG",0.0310732832976581,0.00750225341172858,0.001,0.0133566562199884,0.001,0.0230200082489621,0.001,0.0553054825492303,0.001,0.0691526599892222,0.00373904077215102,0.07240523176874,0.00840542444522719,0.00280634206699723,0.001,0.170300590372799,0.001,0.179168453440028,0.001,0.0247820588084766,0.0594331427642453,0.0194235330244488,0.0120181085792216,0.001,0.001,0.0577463564575224,0.0531714459467189,0.049634026065516,0.0121538732489772,0.00664481895936633,0.0587572095627749,0.001
"3PL",0.0308289048813688,0.0104679509482564,0.00798820096809439,0.0330984371725458,0.00415823399073413,0.0328291368333669,0.00200686699994506,0.0581950073931066,0.00200686699994506,0.0418924047928608,0.00315136699078906,0.090325792858727,0.0389263037925896,0.00559296697125626,0.002144499990844,0.0826605728400488,0.001,0.153523992353141,0.001,0.003670499978636,0.0221473008548216,0.0300239337838085,0.0526835686425314,0.001,0.005577999963376,0.0581267356069861,0.108609569560457,0.0558982012674811,0.0163362998773096,0.00864496694684026,0.0344834167401327,0.001
"3SG",0.0259830695388021,0.00807946797536426,0.00315136699078906,0.0183661766093783,0.0141834679265323,0.0287553028499576,0.00292246699262026,0.0851880187156241,0.001,0.0614746063428698,0.00473048398615613,0.0736353973596736,0.0359929027920568,0.00315136699078906,0.00290749998474,0.0633039489839468,0.001,0.196698343751192,0.001,0.0149778668961771,0.024609833485788,0.0444431687084546,0.0346849847705201,0.001,0.001,0.0416681694133213,0.105001977964292,0.033971820361811,0.0231351338389189,0.0086958336131,0.0342873231571248,0.001
"above",0.0472869113258631,0.00704338517684104,0.0111105248249376,0.0388718922362724,0.00961218816492428,0.0311006962971746,0.00332177229699018,0.0354972102000619,0.001,0.0372102725242584,0.0115561286667589,0.0914508004264926,0.0653233137685026,0.00580823172137573,0.00294095543001691,0.0731282188099049,0.001,0.0979092423356964,0.001,0.00799920291430341,0.0172025444631717,0.0506177018899495,0.0791378948844414,0.00223515345546531,0.00264687127395374,0.0514881909918965,0.104267430250296,0.0583874937536525,0.0128221830737394,0.00734045440472191,0.0326831344383369,0.001
"afraid",0.0323272685398434,0.0183343569271713,0.00817992220686832,0.0352732209573527,0.0117628077178975,0.0283131685347254,0.00696471160243615,0.0468057017832467,0.00431007216336558,0.0499830339321357,0.013362173089718,0.0884632858824476,0.0399244258735277,0.00435866728082297,0.00405448078202569,0.0579442251029077,0.001,0.0776421662170165,0.001,0.012706740365423,0.0202237576129792,0.0317506123284566,0.0964918295277577,0.001,0.00459857208659604,0.0880138294838894,0.0900359701841738,0.0697426155015975,0.0175691181739086,0.00555819130968832,0.0313050748320209,0.001
"after",0.0423818462476556,0.00430780333685998,0.00356283062290719,0.0415281510878841,0.00841581318237841,0.0407864733712383,0.00643399903289959,0.085059160367789,0.00265390166842999,0.0366606339753488,0.00345410817708845,0.0807806042871322,0.0327522394710968,0.00992533330424761,0.00447175957738439,0.0617681976665976,0.001,0.083171631756004,0.001,0.00372678686343161,0.00981661085842886,0.0550584031001229,0.0793802948357773,0.001,0.00177908196098046,0.0758695811603439,0.108591023521523,0.0537713680107908,0.0204867387265542,0.00681714530865409,0.0325884785204506,0.001
