"word","a","ã","ɑ","ɒ","e","ẽ","ə","ᶕ","ɤ","i","ĩ","ɨ","ᶖ","o","õ","ø","ⱺ","ɵ","u","ũ","ʉ","ᶙ","ɯ","ᶌ","ⱳ","y","ỹ"
"1PLE",0.283801685517852,0.0146014666962371,0.0105355245065424,0.001,0.1515392478535,0.00532444444444437,0.0297925866784949,0.00188711465956975,0.001,0.244874706460095,0.00321778664892437,0.0276864079248911,0.00188711465956975,0.0897073941006875,0.00621155910401418,0.001,0.001,0.001,0.0935527552302805,0.00680296887706069,0.001,0.001,0.0121438988689288,0.001,0.00532444444444439,0.00210889332446219,0.001
"1PLI",0.288674167084333,0.0101952863729222,0.0125396080086522,0.00235534804106911,0.159261172641082,0.00528634361233473,0.0288061586078944,0.00187929867137971,0.001,0.231772384327212,0.001,0.0220658184365484,0.00407754534982898,0.0958869456388252,0.00470014449808165,0.001,0.001,0.001,0.0973167556223826,0.00675184139796764,0.001,0.001,0.012045714737925,0.001,0.00528634361233475,0.00209912333922464,0.001
"1SG",0.3378069474449,0.0162228762813355,0.0236228728982713,0.00582768643503952,0.116056699353513,0.00300846611861024,0.0326793898079548,0.00240961015821464,0.00713134747454238,0.24066967316376,0.0052288304746439,0.0143553711785468,0.00184576609492879,0.0967889684714512,0.00522883047464392,0.001,0.001,0.001,0.0608006557506454,0.00240961015821464,0.00311441523732197,0.001,0.0043173898369524,0.001,0.00924576271186435,0.00522883047464388,0.001
"2PL",0.275327934936146,0.019072587868995,0.0113679394457837,0.001,0.158076098061556,0.0059321818124213,0.0296565454948689,0.001,0.001,0.274656952843436,0.00244012120060024,0.0181012059574933,0.00316018180090036,0.0677154917129252,0.00895643633368178,0.001,0.001,0.001,0.0974544611045895,0.00388024240120049,0.001,0.001,0.0122016190253999,0.001,0.001,0.001,0.001
"2SG",0.291390985405076,0.0115458246627312,0.0092808510638297,0.00301701278294475,0.127513129768832,0.00514042553191486,0.0200390170014581,0.001,0.00514042553191484,0.316771042312537,0.00386637788253281,0.0274709616228537,0.00514042553191488,0.0786075253747825,0.00726383828088497,0.001,0.001,0.001,0.0612674679010771,0.00312341274897015,0.00514042553191487,0.001,0.00928085106382975,0.001,0.001,0.001,0.001
"3PL",0.275122141264671,0.0114678829475551,0.0168662061841229,0.00234940353211705,0.160284530354496,0.00282383770470754,0.0232861149046936,0.001,0.00245907016376604,0.226754652766313,0.0067266140234151,0.0224478586686277,0.00318860524564905,0.121112987475342,0.00428290786847358,0.00318860524564905,0.001,0.001,0.0876349018754471,0.00307893861400007,0.00318860524564905,0.001,0.00818568418718113,0.001,0.00526754385964907,0.00428290786847358,0.001
"3SG",0.296220141589973,0.00967603033471293,0.0155800606579049,0.0027819166861083,0.187051055588267,0.00352021210105042,0.0258891615518362,0.001,0.00305193941122085,0.219001639680852,0.00737230301302151,0.0171338008378213,0.00377200001152097,0.0985927666415264,0.0046003030015006,0.001,0.001,0.001,0.0792839174259192,0.001,0.001,0.001,0.00694026665284144,0.001,0.00521212121212116,0.00532036360180066,0.001
"above",0.343024629332121,0.00627400483585673,0.0193357317884555,0.00294732486247018,0.144445044869611,0.00452926342437077,0.0296000194732487,0.001,0.00736911218213975,0.142217152686497,0.0074910828749006,0.0129135788044506,0.001,0.111614664438062,0.00696341950245843,0.00412357074468948,0.001,0.001,0.12292049288956,0.001,0.001,0.00412357074468948,0.0113040682861918,0.00343415607808773,0.00574634146341459,0.00262277071872515,0.001
"afraid",0.272137656006667,0.00491792696657965,0.0162331778750192,0.001,0.119277756757548,0.00651729233840005,0.0319456471672042,0.001,0.00567788461538452,0.247091205409693,0.00195961922309228,0.0351046528737398,0.001,0.117915952435788,0.00919648843338958,0.001,0.001,0.001,0.107308991906297,0.00651781053278055,0.001,0.001,0.00619793745841645,0.001,0.001,0.001,0.001
"after",0.321470362070889,0.0118921902571668,0.00357607610865226,0.00570015765570307,0.14368560343082,0.0071920326014637,0.0249551259799242,0.001,0.00628804347826078,0.164086694106611,0.00493205979345657,0.00750813590210878,0.001,0.159328129971941,0.00551994561601434,0.001,0.001,0.001,0.110605459371113,0.00506795105441291,0.001,0.001,0.005384054355058,0.001,0.00280797824640574,0.001,0.001
"air",0.391333231435027,0.00624476572380764,0.0123122523721326,0.00437114959270648,0.119975430520341,0.00751800902699106,0.0326165027302751,0.001,0.00976576576576568,0.158337145528762,0.0172582882283481,0.0255745026463589,0.001,0.0732240324156493,0.00549551347754941,0.001,0.001,0.00976576576576574,0.0974253654852458,0.001,0.001,0.001,0.0177822792852732,0.001,0.001,0.001,0.001
"all",0.30611760549697,0.0176319691001477,0.016491421287219,0.00309733630084963,0.117868478382468,0.001,0.0234833371604873,0.001,0.001,0.159746136046491,0.0113769982159574,0.016970530914572,0.001,0.151100386248153,0.00357596900594092,0.001,0.001,0.001,0.14318800452193,0.00835991144554545,0.001,0.001,0.0039439645782182,0.001,0.001,0.00504795129504995,0.001
"angry",0.340982187495472,0.0136623035336362,0.0302110352160002,0.00505359799663654,0.0954876110425716,0.00421774875709218,0.0366055527136683,0.001,0.00338189951754782,0.193517712759852,0.0071432210954974,0.0295428974546721,0.00200301908745324,0.0997520670551695,0.00379982413732,0.001,0.001,0.001,0.0983587141741084,0.00839699495481395,0.001,0.001,0.00756114571526961,0.00839699495481395,0.001,0.00392547233840527,0.001
"animal",0.364585269075375,0.0146041576267754,0.0161538532665517,0.00448006523185513,0.0971348498654863,0.0062880434782608,0.0306485001012467,0.001,0.00357607610865226,0.191133289838542,0.00325997280800717,0.0138360597645288,0.001,0.1309139101025,0.001,0.001,0.001,0.001,0.0880978875582168,0.00628804347826079,0.00628804347826085,0.001,0.011711978217478,0.001,0.001,0.001,0.001
"ant",0.270139034687826,0.00700617283950614,0.010445462983498,0.001,0.0845213728920759,0.00305350615641146,0.023484561740716,0.001,0.001,0.259115078485005,0.00495266668309472,0.0267198319410562,0.001,0.137295815775856,0.00700617283950617,0.001,0.001,0.001,0.134935614367972,0.00408025923461719,0.001,0.001,0.00305350615641146,0.001,0.00305350615641146,0.0101374370600363,0.001
"arm_lower",0.393198990664958,0.0149810480930424,0.0167969214409608,0.0026340506759407,0.111182488007973,0.001,0.0343741047744396,0.001,0.00524890829694314,0.141288491430531,0.00550289522846587,0.0153086113072254,0.001,0.119317600606647,0.00960700433194745,0.001,0.001,0.001,0.104320134113142,0.00670160697527788,0.001,0.001,0.00608444537417156,0.00245269867833474,0.001,0.001,0.001
"arm_upper",0.398037176384694,0.0172639735278705,0.0170066150884072,0.0026557416141169,0.108229140538981,0.001,0.0348171238643658,0.001,0.001,0.137852068723909,0.00556266817397648,0.0154985486254629,0.001,0.125193497959833,0.00972125660184055,0.001,0.001,0.001,0.10076097657193,0.00677729202362228,0.001,0.001,0.0061519380118818,0.0024719822891091,0.001,0.001,0.001
"ashes",0.255911450743454,0.0067864516742245,0.00701690321354217,0.0084347096896836,0.0677195164203082,0.00920122581258367,0.0293210322825931,0.001,0.00318432259904155,0.172544084532274,0.001,0.0122672903041842,0.001,0.170660644916005,0.00674887092175094,0.001,0.001,0.001,0.206846922788174,0.00893319352079245,0.001,0.001,0.0193573160897867,0.001,0.001,0.00406606449160052,0.001
"back",0.290324299393313,0.00766819356678343,0.00498538713663301,0.00582855487182314,0.0835109903081703,0.001,0.0234193548387098,0.001,0.00214977418435019,0.156378552966483,0.0122672903041842,0.0289382709235907,0.001,0.179129654669156,0.001,0.00253303224580026,0.001,0.001,0.170011341372554,0.006403690315222,0.001,0.001,0.0099677419354838,0.001,0.001,0.00548387096774191,0.001
"bad",0.336607913013387,0.0132763333362135,0.0128080606463839,0.00316018180090036,0.160314129111392,0.00316018180090036,0.0265245151831979,0.001,0.00316018180090036,0.149476273180294,0.00388024240120049,0.016300587857474,0.00244012120060024,0.134355467173261,0.00244012120060024,0.001,0.001,0.001,0.106882811577423,0.001,0.001,0.001,0.00953248481392187,0.00316018180090036,0.001,0.00352021210105042,0.001
"bark",0.348853681793685,0.00501772943645718,0.0131729391458628,0.00718678263440911,0.115339372784222,0.00260709177458288,0.0234583265031934,0.001,0.0104009661835748,0.181884542241336,0.00357134683933261,0.0242618723904848,0.001,0.145135710329208,0.00260709177458288,0.001,0.001,0.001,0.0931772418662407,0.00409339131720456,0.001,0.001,0.00702659415468574,0.001,0.001,0.00220531883093716,0.001
"beautiful",0.338469908146987,0.0159286807910283,0.0194357229316467,0.00420643852856536,0.143185523388106,0.00751307826114835,0.0218916263857826,0.001,0.00686144578313251,0.178649592381502,0.00786345782330914,0.00976728069964485,0.001,0.0982495038608953,0.00400603612053003,0.001,0.001,0.001,0.119949572455777,0.00400603612053003,0.001,0.001,0.00651106622097166,0.001,0.001,0.00350503010044169,0.001
"because",0.36161590287144,0.00390796321467495,0.0186011780120739,0.00288750923510852,0.167799515196893,0.0023772822453253,0.0122756858471196,0.001,0.00987728836804911,0.148142851311692,0.0129386503067485,0.0130920490307727,0.001,0.116839095399619,0.0115613680614231,0.001,0.001,0.001,0.0940120658478543,0.00304090795913286,0.001,0.00406136193869929,0.00696932515337418,0.001,0.001,0.001,0.001
