"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","high-back",0.818885477441257,0.818762215893272,0.818958387826547,"1PLE",89,6,"ⱳᶕũɨɯəõ","ə",0.224048650417431,0.224038352582065,0.224060888166498,0.249638610187033,-0.212713634776895
"2","1PLI","high-back",-3.52381315665824,-3.52385128520312,-3.52365701609968,"1PLI",93,6,"ɤᶌɵʉouõᶙ","ɤ",0.174891481558084,0.174876112571293,0.17490513820648,0.251378321184357,-0.199345713908695
"3","1SG","high-back",2.52944739858851,2.52931780154501,2.52954321024784,"1SG",69,6,"ⱳᶕʉɤə","ə",0.416973620346505,0.416938287481454,0.416998248377318,0.215982783424273,-0.484938144090717
"4","2PL","high-back",-3.19766630528196,-3.19772361290399,-3.19759241432815,"2PL",82,6,"ɤᶌoɵʉⱳuᶕũᶙ","ɤ",0.03450870843567,0.0345029070146951,0.0345144244884237,0.216785068082758,-0.478112005636304
"5","2SG","high-back",0.454008603801979,0.453851647597326,0.454282084695861,"2SG",61,6,"ʉᶖɨõɯɤ","ɨ",0.168366034646417,0.168345325229731,0.168383667048199,0.189329236562336,-0.723188026347308
"6","3PL","high-back",-0.0201514132765942,-0.0204565006348548,-0.0201174928406045,"3PL",105,6,"ᶌɤɵuõũᶕᶙo","ᶌ",0.013921022103349,0.013919715183977,0.0139228176139345,0.248133912625876,-0.224325932337961
"7","3SG","high-back",2.53456572874813,2.5344226510642,2.53466279777648,"3SG",90,6,"ⱳᶖə","ə",0.0116186034782335,0.0116170472957945,0.0116195016267576,0.22011414962969,-0.449980211610053
"8","above","high-back",2.53273001863363,2.53260734113409,2.53279943170275,"ABOVE",95,6,"ⱳᶙᶌɤɯəõu","u",0.0208738099943366,0.0208733513479058,0.0208746361785582,0.283703942791923,0.0388610753562221
"9","afraid","high-back",1.98281993107917,1.98261664902802,1.98298196978803,"AFRAID",113,6,"ɨõũəɤ","ɨ",0.227412633241169,0.227403953968896,0.227430106785529,0.285997287476329,0.0551027843421572
"10","after","high-back",-2.26166012408606,-2.26172878221648,-2.26108809267277,"AFTER",93,6,"ɨᶖᶌɵʉɯuᶕᶙõ","ᶖ",0.416996264880814,0.416951857494367,0.417001190523603,0.289144913072406,0.0772681107966568
"11","air","high-back",0.205827780461858,0.205683090260246,0.206091720205948,"AIR",51,6,"ɵɯɤəɨ","ə",0.0162632998026609,0.0162621821196996,0.016263857602873,0.256408366450283,-0.161036325465364
"12","all","high-back",-3.91314933212151,-3.9131739773586,-3.91305293106623,"ALL",129,6,"ɤɯᶖᶌɵõʉⱳᶕɨᶙ","ɤ",0.013791459045255,0.0137905374761692,0.0137917355859177,0.32657988447883,0.330959991016025
"13","angry","high-back",-3.34980977965459,-3.34988018519345,-3.34956099148304,"ANGRY",96,6,"ɵʉõⱳɤuoᶕɯᶙ","ɵ",0.227023670212376,0.227008469992041,0.227036511941521,0.278692458745268,0.00309033279447303
"14","animal","high-back",3.45792155028422,3.45762749146097,3.45815375068132,"ANIMAL",85,6,"ʉũɯəo","o",0.419323112929573,0.419303232852779,0.419364096329207,0.259988901424205,-0.134065994822511
"15","ant","high-back",3.13906137819598,3.13897206165074,3.13921363069832,"ANT",92,6,"ⱳɨõouə","o",0.420433238062749,0.420410898016317,0.42044436286712,0.310098461513188,0.221366766164416
"16","arm_lower","high-back",2.52268705106244,2.52265564181172,2.52277370881016,"ARM_LOWER",103,6,"õũəᶌɤ","ə",0.194229025592369,0.19420363233857,0.194249065320754,0.275623945703934,-0.0190067481607821
"17","arm_upper","high-back",-3.01053927701669,-3.01060051405644,-3.01048983315484,"ARM_UPPER",103,6,"ɤᶖɵʉⱳɯuɨᶕᶙ","ɤ",0.195784108960405,0.195773988575182,0.195792353575798,0.278542272387379,0.00201230199841222
"18","ashes","high-back",2.53080494174234,2.53071014657338,2.53093582406175,"ASHES",145,6,"ɯũuoəõ","u",0.415528028879458,0.415517583036437,0.415564780433419,0.418364747354096,0.899677453524924
"19","back","high-back",-2.52570182127482,-2.52579055503135,-2.5255994933758,"BACK",123,6,"õɤᶖᶌɵʉⱳᶕᶙ","õ",0.227209991324368,0.2271998194394,0.227218684231424,0.376685728389611,0.648432504474165
"20","bad","high-back",2.52589045722558,2.5258013577465,2.52599038885389,"BAD",112,6,"ᶌᶖəɯo","o",0.161517308908772,0.161501632277993,0.161524774840797,0.252990361885999,-0.187013557664776
"21","bark","high-back",-3.00807673432337,-3.00822295640745,-3.00800844123893,"BARK",97,6,"õᶖᶌɵʉⱳuɯᶕᶙũ","ᶖ",0.226092820706509,0.226090787755817,0.22612475494072,0.260349770668004,-0.131361189415382
"22","beautiful","high-back",-4.16991058924263,-4.16998869211004,-4.16968256194207,"BEAUTIFUL",86,6,"ᶖᶌɨɵʉõⱳoɯᶕᶙũəu","ᶖ",0.155541587604605,0.155533366434831,0.155556616536763,0.238634149944517,-0.298758469927079
"23","because","high-back",-4.04762356399249,-4.04788624062817,-4.04743574930565,"BECAUSE",66,6,"ᶖᶌəɵʉⱳɨũuɯᶕo","ᶖ",0.176407480855111,0.17639429004301,0.176411546679645,0.237460449827777,-0.308094045638496
"24","before","high-back",-0.54160997315522,-0.54169149641591,-0.541600378737986,"BEFORE",89,6,"ᶖᶌõʉⱳuɤɯᶕᶙ","ᶖ",0.420733763881582,0.420712466744607,0.420786287774467,0.27422737503716,-0.029114169179841
"25","behind","high-back",2.52967873355694,2.52963756034708,2.52976985914792,"BEHIND",102,6,"ũɤɯo","o",0.177683589885713,0.177677626789289,0.1776883561627,0.286817149620357,0.0608901535652025
"26","belly","high-back",2.5342809903552,2.53418422424758,2.53444020670047,"BELLY",126,6,"ʉɯoᶌu","o",0.417008984910903,0.416985239086283,0.41702570411806,0.328235161182558,0.341804382226126
"27","below","high-back",-3.90264668333513,-3.90277410139706,-3.90255888935405,"BELOW",95,6,"ɯᶖᶌɵõʉⱳɤũoᶕuᶙ","ᶖ",0.41924821771563,0.419232400812966,0.419274665648816,0.267961323144956,-0.0748642181849307
"28","beside","high-back",0.869247110095264,0.869187758442746,0.869267427267244,"BESIDE",66,6,"ɤɨ","ɨ",0.419403391336425,0.419377487978353,0.41942070060047,0.214756504307403,-0.495407385513557
