"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","high-back-rounded",0.094356804401276,0.0943241870386559,0.0945598632063069,"1PLE",68,6,"ũõ","ũ",0.253558151020026,0.253551118578888,0.253560335706673,0.174552687218156,-0.489944358993208
"2","1PLI","high-back-rounded",0.0770841877367548,0.0769869779176608,0.0771458082420518,"1PLI",71,6,"ũ","ũ",0.253292635045393,0.253274322411724,0.253294197438863,0.180957652975986,-0.426716716240665
"3","1SG","high-back-rounded",0.0999909126187418,0.0999549465422474,0.100040955076275,"1SG",53,6,"ʉ","ʉ",0.207219023622662,0.207201415118929,0.207223626203354,0.155133798585235,-0.693640641485498
"4","2PL","high-back-rounded",0.172309891566106,0.172226813072221,0.17239826488464,"2PL",63,6,"õ","õ",0.243881493001171,0.243865655897978,0.243887580815137,0.155825827215904,-0.686037113195402
"5","2SG","high-back-rounded",0.18228469131639,0.182227167171857,0.182437119962838,"2SG",43,6,"ʉõ","õ",0.244326957565599,0.244304830735023,0.244350287890797,0.129708721563964,-0.994653642785314
"6","3PL","high-back-rounded",0.171596743870617,0.171458919618427,0.171662423636061,"3PL",84,6,"ʉ","ʉ",0.248887018428242,0.248883412757645,0.248896805874738,0.188911807129267,-0.350576712352306
"7","3SG","high-back-rounded",-0.118647737969134,-0.118687447852369,-0.118526936811953,"3SG",73,6,"ũɵuʉoõᶙ","ũ",0.212565872185705,0.212560412075238,0.212572803974765,0.164365985407046,-0.594390239633783
"8","above","high-back-rounded",-0.213713929833522,-0.213847677066873,-0.213686867126807,"ABOVE",76,6,"ũɵʉo","ũ",0.245368222570922,0.245363236358559,0.245390700234625,0.221062041770118,-0.0654878933842914
"9","afraid","high-back-rounded",-0.147923827584752,-0.148064684558377,-0.147811269916415,"AFRAID",95,6,"ɵʉuᶙo","ɵ",0.255338880628991,0.255326588177009,0.255345870590868,0.214391703771943,-0.121991878900923
"10","after","high-back-rounded",0.177327772873,0.177260295845887,0.177457554807439,"AFTER",80,6,"oũ","o",0.209448487602981,0.209429730607115,0.20945140983048,0.250484335676473,0.17033096248481
"11","air","high-back-rounded",-0.182550515028198,-0.182644239924801,-0.182398730001027,"AIR",36,6,"ũoʉuõᶙ","ũ",0.250752277177347,0.250741973638444,0.250754670094087,0.171921676167185,-0.516446571352078
"12","all","high-back-rounded",0.0929755043402585,0.0929226258742166,0.0930476011260342,"ALL",116,6,"ũou","o",0.249377705597334,0.249367465003443,0.249392470563684,0.28296530832141,0.41015147408521
"13","angry","high-back-rounded",0.157885127325863,0.157734305597042,0.157915835807483,"ANGRY",76,6,"ũ","ũ",0.255051074021129,0.255046132288042,0.255062219219467,0.199572908900234,-0.252284895890953
"14","animal","high-back-rounded",0.168908875221508,0.168831198540856,0.168931918638881,"ANIMAL",72,6,"ʉũo","o",0.206887772330829,0.206884980655221,0.206893466142201,0.20158585244969,-0.234173686030741
"15","ant","high-back-rounded",-0.165811620581938,-0.165880662326789,-0.165795748124305,"ANT",78,6,"ɵʉᶙũ","ɵ",0.20874340774099,0.208731587571787,0.208756525666323,0.255632857741308,0.209628117846124
"16","arm_lower","high-back-rounded",-0.257523206261417,-0.257541845278173,-0.257445908543195,"ARM_LOWER",86,6,"ɵʉuᶙo","ɵ",0.229537347108604,0.229525570822447,0.229547065516487,0.220800120283451,-0.0676832901019541
"17","arm_upper","high-back-rounded",-0.177693472811373,-0.17771084632516,-0.177625005562177,"ARM_UPPER",86,6,"ɵʉuᶙ","ɵ",0.229210103673915,0.229181064088069,0.229214472711294,0.223008396186977,-0.0492317742298095
"18","ashes","high-back-rounded",0.160193335033163,0.160155284302236,0.16030233194166,"ASHES",131,6,"ũuoõ","u",0.21320128073207,0.213196405044615,0.213209675744208,0.355013587921808,0.890174682875524
"19","back","high-back-rounded",-0.0293413627563997,-0.0294304043953318,-0.0292817386184165,"BACK",107,6,"õɵʉᶙ","õ",0.255213650075383,0.255179619644593,0.255215819333309,0.314457153281762,0.627185823134448
"20","bad","high-back-rounded",0.175248706681764,0.17519566338494,0.175304685019297,"BAD",93,6,"o","o",0.260530477299485,0.260515006232308,0.260540185763405,0.199980618025956,-0.24860556401686
"21","bark","high-back-rounded",0.164768326496621,0.164676122615453,0.16479804945733,"BARK",80,6,"o","o",0.254541922474295,0.254530809969421,0.254545107821127,0.206902629523562,-0.1869768128685
"22","beautiful","high-back-rounded",-0.194500786314231,-0.194584901255318,-0.194447638675825,"BEAUTIFUL",73,6,"ɵʉõoᶙũu","ɵ",0.224571177487758,0.224556509426976,0.224585325417996,0.20222335707243,-0.228466038564806
"23","because","high-back-rounded",-0.266318428670402,-0.266361196361988,-0.266231692047885,"BECAUSE",59,6,"ɵʉũuo","ɵ",0.253879312753887,0.253859979297856,0.253889209296722,0.203460849845737,-0.217424849570869
"24","before","high-back-rounded",0.177456124989309,0.177378593932753,0.177597144294885,"BEFORE",76,6,"ɵoũ","o",0.21002818877007,0.210025921866829,0.210038735303059,0.216868716467774,-0.100863015721325
"25","behind","high-back-rounded",-0.165906309845749,-0.165961360606212,-0.165822002151122,"BEHIND",92,6,"ɵʉõuᶙ","ɵ",0.259034431728612,0.259024981163664,0.259047321678721,0.244985302426972,0.127759676706005
"26","belly","high-back-rounded",-0.325638107550861,-0.325663919193993,-0.325591800019019,"BELLY",113,6,"õũɵᶙ","õ",0.20805030616278,0.208039203866322,0.208063151181882,0.283950026809953,0.417145977734359
"27","below","high-back-rounded",-0.0377031105218364,-0.0379127175560822,-0.0376841389626336,"BELOW",77,6,"ɵõʉũouᶙ","ɵ",0.209517854261919,0.20949926267642,0.209522940718959,0.202554762528814,-0.225504235780585
"28","beside","high-back-rounded",0.104845432717956,0.104696627398955,0.104913668098339,"BESIDE",49,6,"","",0.210000970603517,0.209995392898076,0.210009668114069,0.166518452272943,-0.571898999132041
"29","between","high-back-rounded",0.102666793595109,0.102590715053263,0.102734297726501,"BETWEEN",44,6,"","",0.208788857852913,0.208776472566933,0.208790718736115,0.188584326841812,-0.353662183815962
"30","big","high-back-rounded",0.162491206430916,0.162469868391926,0.162546121816842,"BIG",100,6,"ou","o",0.243764841344538,0.243742732900893,0.243770888741509,0.24698444197791,0.143309700459724
"31","bird","high-back-rounded",0.0790664071760605,0.0789677934588216,0.0790987094814197,"BIRD",94,6,"õuo","u",0.247085964657417,0.247078992225676,0.247100402267812,0.252317761804553,0.184385713335105
"32","bite","high-back-rounded",0.185776596164875,0.185737504755452,0.185825457795144,"BITE",80,6,"ũ","ũ",0.206181886703848,0.206170729291712,0.206185656870696,0.199568017960181,-0.252329067936049
"33","bitter","high-back-rounded",0.0773345027677384,0.0772742761585831,0.0775122061090395,"BITTER",65,6,"","",0.20932634492102,0.209310024027489,0.209328198877218,0.167698973187645,-0.559662355048078
"34","black","high-back-rounded",-0.205103994199806,-0.205222754029562,-0.20504859240472,"BLACK",110,6,"ɵʉoᶙ","ɵ",0.242929739251442,0.242915302120567,0.242933142270767,0.284135756498208,0.418463581871854
"35","blood","high-back-rounded",-0.224224027301037,-0.224294436548201,-0.224178111479565,"BLOOD",88,6,"õɵʉũᶙo","ɵ",0.256101283405294,0.256089807106285,0.256109707316473,0.228477961096092,-0.00408315196443351
"36","blow","high-back-rounded",0.0956547962776453,0.0955577796893842,0.0956902293493335,"BLOW",162,6,"uõũ","u",0.254728907904041,0.254722523547439,0.254736464982644,0.497862446002521,1.73923377721396
"37","blue","high-back-rounded",0.0473297208708452,0.0472973973904196,0.0473556435511505,"BLUE",82,6,"ɵũõuʉo","u",0.220863427155219,0.22085100794054,0.220869111234183,0.269795694594132,0.315136357313139
"38","blunt","high-back-rounded",-0.214860883215425,-0.214945830836923,-0.214836547574335,"BLUNT",101,6,"ɵʉõᶙ","ɵ",0.210651484192806,0.210641409808217,0.210657654889335,0.386482075963513,1.08486522071893
