"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","high",-10.0778549974795,-10.0780116316763,-10.0777911462874,"1PLE",137,6,"ĩyʉuᶙỹᶖ","ʉ",0.583555557145433,0.583514410663628,0.583606507980281,0.396193609394967,0.316746273336525
"2","1PLI","high",-1.12562057279246,-1.12610792494643,-1.12528903481159,"1PLI",135,6,"ĩyʉuᶙỹ","ĩ",0.780509265667089,0.780500156561626,0.780525179445182,0.380533572670057,0.221624335270937
"3","1SG","high",-1.13600575801045,-1.13612325677085,-1.13581376267276,"1SG",123,6,"uɯũɨĩᶙᶖỹ","ᶙ",0.507157942118301,0.507131830017291,0.507184508115496,0.343707018569801,-0.00853400265393594
"4","2PL","high",-1.49466095117757,-1.49470059351821,-1.49429643968074,"2PL",146,6,"yĩʉⱳuũᶙỹ","y",0.595054937924196,0.595023828660855,0.595065400826773,0.412733712537819,0.41582315284226
"5","2SG","high",1.01869226075628,1.01855226591705,1.01877541474388,"2SG",134,6,"ʉᶖiɨɯ","i",0.778646672968814,0.778630567801505,0.77866614934054,0.433783723333475,0.540249388171463
"6","3PL","high",-2.14025121421042,-2.14035749914545,-2.14009470410919,"3PL",137,6,"uũᶙỹ","ᶙ",0.628627890317246,0.628627587987013,0.628642817268449,0.367992419088306,0.14436087225253
"7","3SG","high",-10.029489667162,-10.0295747500459,-10.0291007590641,"3SG",127,6,"ũuʉɯɨᶙỹ","ũ",0.516713104736667,0.516692742175142,0.516730220081764,0.34277160006929,-0.0145205514314516
"8","above","high",-1.88222474266399,-1.88238382666073,-1.88204128377632,"ABOVE",108,6,"ũᶖʉɨiyỹ","ũ",0.579670633952565,0.579637543787157,0.579680422235232,0.306313714035344,-0.254646713673869
"9","afraid","high",-2.41893919181288,-2.41909242283401,-2.418816200455,"AFRAID",137,6,"yĩᶖʉⱳɯuᶙỹ","y",0.5629889904082,0.562963754547229,0.563004062647595,0.406092719323258,0.376198133148991
"10","after","high",-1.40023183292646,-1.40033477724295,-1.40006497623024,"AFTER",100,6,"yɨᶖʉɯĩiuᶙỹ","y",0.47468215282374,0.474662953413337,0.474705830053601,0.298695639259783,-0.306737833457655
"11","air","high",-1.74438333003388,-1.74441058215223,-1.74375357882757,"AIR",59,6,"ũyᶖʉⱳuiᶙỹ","ũ",0.610132244866249,0.610105552808074,0.6101653831126,0.317358735981491,-0.180386378238127
"12","all","high",1.27867518149692,1.27855265038667,1.27890494550553,"ALL",133,6,"ũĩyu","u",0.631886359802902,0.631872231747009,0.631891838063612,0.34846447223547,0.0217944130900899
"13","angry","high",1.28666488041697,1.28624856571728,1.28686195213672,"ANGRY",127,6,"ũɨĩyiᶖ","i",0.560118243788127,0.560071044689914,0.560124152879124,0.348659370260038,0.0230327217298246
"14","animal","high",-1.21097251098435,-1.21111793003945,-1.21085860371763,"ANIMAL",113,6,"yᶖĩuⱳɨᶙỹ","y",0.502033080773803,0.502011319556343,0.50208000637374,0.319234015922606,-0.167917875813308
"15","ant","high",-2.14104377496078,-2.14108497706004,-2.14089669660986,"ANT",120,6,"ɯᶖʉĩᶙỹũ","ᶖ",0.461735766053245,0.461709795451711,0.461759614893191,0.446034470154342,0.611985689440854
"16","arm_lower","high",-1.32094799678558,-1.32112296007777,-1.32078064899034,"ARM_LOWER",106,6,"yᶖʉⱳiɯuɨĩᶙỹ","y",0.00178141413383686,0.00178125130113569,0.00178174313566315,0.278524212128872,-0.448521543463225
"17","arm_upper","high",-1.65213829334534,-1.6521788259633,-1.65186454477162,"ARM_UPPER",105,6,"yᶖʉiⱳɯuɨĩᶙỹ","y",0.00182321975556121,0.00182293323678941,0.00182386786052593,0.271545175136453,-0.499020587064101
"18","ashes","high",-2.68532945585474,-2.68555577661368,-2.68516729367803,"ASHES",153,6,"ĩᶖʉɨⱳiᶙỹ","ĩ",0.569198505464458,0.569190685259858,0.569202119105233,0.425714265565862,0.492743400208
"19","back","high",-2.20104960559596,-2.20127276506933,-2.20094875915094,"BACK",136,6,"ᶖʉⱳiᶙỹ","ᶖ",0.538189474429173,0.538158944961251,0.53821975929443,0.389164014301877,0.27421994421103
"20","bad","high",-11.7399844773282,-11.7403064325647,-11.7398429422248,"BAD",126,6,"ũĩʉⱳiuɨᶙỹ","ũ",0.77867689380985,0.778642425431657,0.778688162996544,0.289533947154135,-0.37040651648756
"21","bark","high",-1.07430837630067,-1.07468947388282,-1.07413372919575,"BARK",121,6,"ᶖĩyʉⱳuɯᶙỹiũ","ᶖ",0.565479741574181,0.565472472025453,0.565510739580866,0.314832812099901,-0.197243466375731
"22","beautiful","high",-3.30991615136595,-3.30995201662792,-3.30976693342266,"BEAUTIFUL",107,6,"ᶖɨʉⱳɯᶙiỹũu","ᶖ",0.00154122102399019,0.00154069082184,0.00154154799600598,0.32909454355775,-0.102980680749783
"23","because","high",-0.609416671593927,-0.609502742674134,-0.609281436126425,"BECAUSE",77,6,"yᶖʉⱳɨũuiɯỹ","y",0.779921468962462,0.779905310427674,0.779952643032423,0.280643004379789,-0.433345127952293
"24","before","high",-3.81789348719691,-3.81800541225128,-3.81761752600933,"BEFORE",93,6,"ĩyᶖʉiⱳuɯᶙỹ","ĩ",0.451268705880912,0.451265698031498,0.451285999794138,0.263320706105519,-0.559589031511763
"25","behind","high",-3.57753963121775,-3.57765432616847,-3.57744214061913,"BEHIND",126,6,"ĩɨᶖʉⱳuᶙỹ","ĩ",0.777809545823651,0.777795532302983,0.777810845259342,0.344238900519134,-0.00513349456806676
"26","belly","high",0.296583671591903,0.296446183592691,0.296739966688545,"BELLY",130,6,"ʉɯu","u",0.491857405093083,0.491842605507537,0.491882077603342,0.349637568744368,0.0292429800432223
"27","below","high",-3.09654544704395,-3.0966757477361,-3.09630408741395,"BELOW",116,6,"ĩɯᶖyʉⱳũiuᶙỹ","ĩ",0.503696594864816,0.50364868464731,0.503712923860426,0.306802765960783,-0.25132771869426
"28","beside","high",-3.34181675926802,-3.3420623096798,-3.34177215657948,"BESIDE",86,6,"ũᶖʉɯĩⱳuiᶙỹ","ũ",0.500341275345237,0.500322755694903,0.500366769638626,0.272722848674945,-0.49044298835232
"29","between","high",-4.34031236483133,-4.34047519611887,-4.34003598184678,"BETWEEN",68,6,"ĩũɯᶖʉⱳuᶙỹ","ĩ",0.504648325691626,0.504631558586581,0.504678809593818,0.332825192457927,-0.0786734847769682
"30","big","high",-2.15333551496141,-2.15352942119416,-2.15312382959796,"BIG",126,6,"ĩyũʉⱳiᶙỹɯ","ĩ",0.597833820116205,0.597815489579357,0.59787286705645,0.309989267038532,-0.229773848051532
"31","bird","high",-14.0802865079959,-14.0803761811764,-14.0801599050776,"BIRD",158,6,"yɨʉⱳũᶙỹ","y",0.584158651213334,0.584150920760293,0.584174884581961,0.452249272194676,0.648225374789588
"32","bite","high",-3.70382818990606,-3.7039554031657,-3.70357127779804,"BITE",125,6,"ᶖʉyⱳiĩuɯᶙỹ","ᶖ",0.492140032459213,0.49208847261387,0.492166602045155,0.311836761175505,-0.217333125052012
"33","bitter","high",-3.87445551448263,-3.87458404176859,-3.87424463867162,"BITTER",116,6,"ɨʉⱳuũĩᶙỹ","ʉ",0.489198850617233,0.489173960286904,0.48921079140401,0.340013317008594,-0.0322189724229434
"34","black","high",-3.22822169667362,-3.2283205583797,-3.22805395407846,"BLACK",156,6,"ʉᶙỹy","ʉ",0.607965119260171,0.607951892282267,0.607991673187144,0.441487845437576,0.585411731983215
"35","blood","high",-3.08702408692217,-3.08708888938234,-3.08690774533154,"BLOOD",134,6,"yᶖɯʉⱳũĩᶙỹi","y",0.523926112911802,0.52390873417892,0.523932303850895,0.344154812737394,-0.00567093092498406
"36","blow","high",-1.94748295502668,-1.94767586366846,-1.94735671051867,"BLOW",166,6,"ᶖiʉⱳɨᶙỹ","ᶖ",0.553407589775104,0.553401647600102,0.553437778766764,0.554723822937125,1.24169594647536
"37","blue","high",-4.52837823336173,-4.52850850848436,-4.52826629157779,"BLUE",115,6,"ɨⱳyᶙiỹ","ⱳ",0.00730709448322575,0.00730641506143704,0.00730896314288996,0.37889598634316,0.211593656533763
"38","blunt","high",-4.84605338489236,-4.84620732583743,-4.84575980086443,"BLUNT",111,6,"ɨĩʉⱳiᶙỹ","ʉ",0.498580568324478,0.498540779349481,0.498590208398921,0.460988389550865,0.699040755894316
