"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","continuant",-0.949593750842413,-0.949607031885985,-0.949480493840376,"1PLE",97,6,"fɦhçvsz","ɦ",0.0609387300466659,0.0609312713659321,0.0609398570388907,0.237633232430323,-0.309643004910154
"2","1PLI","continuant",-1.51968790199367,-1.51980731662529,-1.51962857978623,"1PLI",97,6,"fxɦshvç","ɦ",0.0236519174789373,0.0236485446604117,0.0236531574200751,0.223114905967377,-0.427808710741634
"3","1SG","continuant",-1.50910959489053,-1.50930593275521,-1.50901833962507,"1SG",92,6,"çfɣzsɦhv","ɦ",0.103138598487407,0.103133387359373,0.103142031103748,0.261204871455775,-0.127886930863352
"4","2PL","continuant",-3.91385428729149,-3.91409486344755,-3.91352803757452,"2PL",103,6,"fɣxɦshz","ɣ",0.020444565426078,0.0204389141005719,0.0204454601309291,0.235991130261523,-0.322751131089422
"5","2SG","continuant",-1.44634724894819,-1.44641405840447,-1.4462710328875,"2SG",91,6,"fçɣɦszxv","f",0.0956946235493854,0.0956864609288765,0.0957121329136024,0.252424150191322,-0.194264400718976
"6","3PL","continuant",-2.44791954809584,-2.4480263850177,-2.44755555451971,"3PL",115,6,"fɣsjzx","ɣ",0.133401041631637,0.133392214324528,0.133418150662098,0.253313088254829,-0.187476203152008
"7","3SG","continuant",-0.646565428729739,-0.646615685796023,-0.646479703205452,"3SG",107,6,"çsɦvɣz","ɦ",0.00213122123831231,0.00213101232245141,0.00213144518376297,0.274358499423846,-0.0310890787376847
"8","above","continuant",-0.617965186030177,-0.618091486157659,-0.617906192970723,"ABOVE",96,6,"ɦshxjzɣf","ɦ",0.0256506456927037,0.0256500984969514,0.0256527050536494,0.224982885243186,-0.412307292694723
"9","afraid","continuant",-1.52140405375656,-1.52160497397431,-1.5213578963621,"AFRAID",135,6,"zh","z",0.0618973202014896,0.0618933583383471,0.0619042144821981,0.307923120334423,0.20374350603904
"10","after","continuant",-1.50368769363923,-1.5038926219657,-1.50348956674629,"AFTER",109,6,"çzjfs","ç",0.104079756681287,0.10406843377273,0.104081326354625,0.298091216993544,0.136575931138128
"11","air","continuant",-0.558263293640461,-0.558472510959794,-0.558222730758869,"AIR",72,6,"ɣɦçxzs","ɣ",0.123101351996952,0.1230879933539,0.123111250729953,0.35825894771304,0.531117080759129
"12","all","continuant",-0.519264185107837,-0.519283975048769,-0.519110021285252,"ALL",134,6,"ɣxfçzjvs","ɣ",0.1331617321036,0.133156621998411,0.133164537089828,0.263953903395223,-0.107404500916105
"13","angry","continuant",-1.02739944901884,-1.02752460264086,-1.02728107597883,"ANGRY",128,6,"ɦɣhzv","ɦ",0.0619739563871115,0.0619725382285914,0.0619770069172108,0.282432343388231,0.0268960667567099
"14","animal","continuant",-1.05284250928716,-1.05292422147707,-1.05282199726551,"ANIMAL",119,6,"çɣfv","ɣ",0.08623167808488,0.0862259493909578,0.0862388001439295,0.289079090380202,0.0738808110913107
"15","ant","continuant",-2.93443044063482,-2.93459983887333,-2.93433616468468,"ANT",106,6,"fçvxjɣ","f",0.0835798888854922,0.0835754220277308,0.0835886540462415,0.277445747959863,-0.00879460229492376
"16","arm_lower","continuant",0.623116396666866,0.623042798142982,0.623357117256899,"ARM_LOWER",115,6,"x","x",0.152493505000265,0.152460516425918,0.152506295812676,0.235288478181482,-0.328379316708292
"17","arm_upper","continuant",-0.571563392252693,-0.571638527392902,-0.571160458644245,"ARM_UPPER",112,6,"ɦzfhsvçɣj","ɦ",0.130622111568508,0.130619216673741,0.130627926868996,0.229581231188417,-0.374532527863741
"18","ashes","continuant",-0.654063781706082,-0.654206999830365,-0.65397391138073,"ASHES",140,6,"svj","j",0.103358618887564,0.103352995989167,0.103361693068901,0.299847261953308,0.148663738537831
"19","back","continuant",-0.734830750147194,-0.735057210732529,-0.734695755844244,"BACK",118,6,"jfɣhs","ɣ",0.0621829020151121,0.0621769746512885,0.0621896523535019,0.242836348515755,-0.268515150176164
"20","bad","continuant",-1.53692686413852,-1.53707153614287,-1.53671627559715,"BAD",151,6,"fzhvçj","f",0.0176268934530841,0.0176249996812502,0.0176273127379012,0.326039568358645,0.324488787811335
"21","bark","continuant",-0.549676926647982,-0.549762167959543,-0.549559908709855,"BARK",122,6,"zjxh","z",0.0617748123184035,0.0617686334098419,0.061778977225741,0.282250507922358,0.025601392052706
"22","beautiful","continuant",-3.20318739533095,-3.20347223742294,-3.20269706221865,"BEAUTIFUL",118,6,"xçf","ç",0.271951850255965,0.271928755573818,0.271964614116265,0.316609384596651,0.262099202054928
"23","because","continuant",0.574803149788427,0.574746646931456,0.574854613250734,"BECAUSE",87,6,"ɣvɦx","v",0.0261243618723014,0.0261231125351367,0.0261266141502382,0.242897335915373,-0.268036658744914
"24","before","continuant",-0.605296966910526,-0.605424941887012,-0.605163631553543,"BEFORE",112,6,"çɦhɣxzsj","ɦ",0.085873359255773,0.0858671500887107,0.0858787782718935,0.259316310641129,-0.142038995932208
"25","behind","continuant",-0.60745687178732,-0.607501147139877,-0.607320017773165,"BEHIND",117,6,"ɣzxfjɦsv","ɦ",0.0409161841596495,0.0409142281246426,0.0409224296890835,0.252977409144382,-0.190037694983448
"26","belly","continuant",-0.674955407709795,-0.675044409545364,-0.674777249138122,"BELLY",124,6,"xɣçzvjsf","ɣ",0.1034782947552,0.103474384110228,0.103479644484517,0.233332590670153,-0.344107404048691
"27","below","continuant",-0.706777489856464,-0.706916564557355,-0.706673265735859,"BELOW",110,6,"fxzsçv","f",0.0906833594334836,0.0906779479501953,0.0906988430190756,0.235088261668102,-0.32998516357378
"28","beside","continuant",-8.6992834928732,-8.69947424984908,-8.69896532779421,"BESIDE",85,6,"çzsvxh","ç",0.0906489663276981,0.0906408311387553,0.0906510133802265,0.247067786617863,-0.235507444950752
