"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","continuant-voice",2.18925604444999,2.18907182497377,2.18951290686265,"1PLE",63,6,"x","x",0.00561201538347711,0.00561166708081522,0.00561282212436403,0.125501082375852,-0.44979603089039
"2","1PLI","continuant-voice",2.4024673570929,2.40242115872904,2.40263830559322,"1PLI",56,6,"","",0.0150198495510242,0.0150193083180396,0.0150204179070821,0.106628259287747,-0.715710017995224
"3","1SG","continuant-voice",0.642970024186154,0.642809740740926,0.643021525220131,"1SG",40,5,"x","x",0.00477535779092088,0.00477420705349743,0.0047756878303072,0.101108752118096,-0.801277936869953
"4","2PL","continuant-voice",-0.37812176217706,-0.378296201280891,-0.378001613838815,"2PL",61,6,"fxsh","f",0.00100321185117025,0.00100301326713197,0.00100348036688758,0.112272961660453,-0.632144848564759
"5","2SG","continuant-voice",3.17557747650934,3.17554360024468,3.17562327123413,"2SG",47,6,"h","h",0.00115807654508978,0.0011580216285858,0.00115824688035004,0.125694201340908,-0.447259111115603
"6","3PL","continuant-voice",2.45035985098102,2.45029948986683,2.45041414697916,"3PL",74,6,"hç","h",0.000753085111160052,0.000753040957561006,0.00075314477129922,0.143960203082985,-0.221047064917793
"7","3SG","continuant-voice",-5.87274426148733,-5.87300971086375,-5.87269893244904,"3SG",67,5,"çs","ç",5.31470163401069e-06,5.31342285907828e-06,5.31527892988997e-06,0.166784634425518,0.030257698118333
"8","above","continuant-voice",2.38379768755258,2.38364849477875,2.38388224589907,"ABOVE",56,5,"ç","ç",0.000521608548109173,0.000521585638829107,0.000521645977499324,0.119441010482571,-0.531160617922642
"9","afraid","continuant-voice",2.42977935764512,2.42967322709467,2.42984711329345,"AFRAID",86,5,"fçsx","s",0.00594884529196081,0.00594875122093562,0.00594903766319541,0.171359784094814,0.0772434889553842
"10","after","continuant-voice",2.50348515835432,2.50340106427221,2.50367768590482,"AFTER",76,5,"hx","h",0.00578829614480753,0.00578765574325639,0.0057887794611597,0.192803502025353,0.28517210213068
"11","air","continuant-voice",2.22927829528249,2.22922565640173,2.22931592016855,"AIR",51,5,"fh","h",0.000787442251100911,0.00078740453945611,0.000787537490911767,0.208337362312412,0.424996584793791
"12","all","continuant-voice",2.5510232307012,2.55093418137646,2.55110452684931,"ALL",87,5,"h","h",0.000791787386659675,0.000791726034252233,0.000791920602373975,0.16577761071103,0.0197779035492555
"13","angry","continuant-voice",2.70843071920711,2.7083027557966,2.70850986038779,"ANGRY",92,6,"xfçs","s",0.00590904794831686,0.00590827392534618,0.00590943810319429,0.171523173453393,0.0789029201202943
"14","animal","continuant-voice",2.67984920957834,2.67979419681067,2.67987641987131,"ANIMAL",78,5,"xsh","s",0.00221248627507236,0.00221205820973523,0.0022125816504457,0.162030739845967,-0.0196690188794798
"15","ant","continuant-voice",1.08276861294054,1.0825585523381,1.08295971951133,"ANT",84,5,"sh","s",0.00210368938869341,0.00210334943233846,0.00210393423340049,0.191333323297209,0.271503758937209
"16","arm_lower","continuant-voice",2.39727630741886,2.39723296204187,2.39747501328273,"ARM_LOWER",74,5,"x","x",0.00745879840614981,0.0074578085105102,0.0074594703699759,0.13766524511545,-0.296122881976387
"17","arm_upper","continuant-voice",0.627828067232948,0.627714375714898,0.62797960991355,"ARM_UPPER",73,5,"x","x",0.00738434609723303,0.00738358038698165,0.00738488872895302,0.133459681694811,-0.34790214746434
"18","ashes","continuant-voice",0.428507743637602,0.428473201976251,0.428822571002635,"ASHES",99,5,"fçhx","h",0.00869757521538243,0.00869639523797617,0.00869930926643491,0.185419568441203,0.215697111943974
"19","back","continuant-voice",1.29451277838413,1.29444105509541,1.29464552276116,"BACK",82,6,"çx","x",0.00600406863054401,0.00600349632843219,0.0060043167715909,0.148253714354628,-0.171394739404003
"20","bad","continuant-voice",2.50062779626669,2.50057853369783,2.50087733379911,"BAD",108,6,"xs","s",0.00913697909339022,0.00913507946064622,0.00913782565974682,0.211165675657549,0.44961378030058
"21","bark","continuant-voice",2.2814929906851,2.28134127748597,2.28159012363541,"BARK",89,5,"fçs","s",0.00581953019831728,0.00581924232409144,0.00581994271867991,0.178277240864242,0.146431573668179
