"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","alveolar",-0.522306280401068,-0.522406127406075,-0.522244407668795,"1PLE",147,6,"rṇɬdlstṛz","ṇ",0.110072678501219,0.110065539814896,0.110076869736211,0.438418562370803,0.0445542575762828
"2","1PLI","alveolar",-0.838410439199564,-0.838463432047936,-0.838358092698512,"1PLI",153,6,"dslṇrtṛ","ṇ",0.158081897168214,0.158066410444812,0.158100932912274,0.435424146405069,0.0269946120561657
"3","1SG","alveolar",-1.29905383821274,-1.2991553307774,-1.29895821805019,"1SG",130,6,"lzrstṇdṛ","ṇ",0.189942980828964,0.189936739832398,0.189947423722129,0.415871969935335,-0.0884045411260404
"4","2PL","alveolar",0.518793866286777,0.518640714164685,0.518912569039052,"2PL",139,6,"n","n",0.088497179781924,0.0884829340467449,0.0885112675587836,0.367445575867665,-0.381918406298841
"5","2SG","alveolar",-0.877915365008038,-0.878005174250538,-0.877774572003155,"2SG",107,6,"lrdɬtszṇṛ","ṇ",0.163290862916179,0.163269922743019,0.163304503301677,0.334176738528975,-0.592787335453623
"6","3PL","alveolar",-0.205983679378332,-0.20630983804223,-0.205820226731391,"3PL",171,6,"sṇlrɬzṛd","ṇ",0.0668958221608828,0.0668903338662993,0.0668993076420196,0.461411699536706,0.178612319428493
"7","3SG","alveolar",0.648265569539338,0.648224356117877,0.648421530633358,"3SG",149,6,"nt","n",0.166947267496863,0.166929976319325,0.166959693906286,0.448295812232361,0.102296716160314
"8","above","alveolar",0.498113917681847,0.498072060091811,0.498174725210068,"ABOVE",154,6,"ṛlrdn","n",0.0864348253421779,0.0864221017483871,0.0864364327105767,0.45256358899363,0.127169748152992
"9","afraid","alveolar",-1.23842923021336,-1.23852774832659,-1.23834363356867,"AFRAID",159,6,"zɬṇtnlṛ","ṇ",0.0929444984353253,0.0929336347367235,0.0929503867869363,0.437364130712933,0.0383740008609734
"10","after","alveolar",-1.30497199216689,-1.30513239607435,-1.30475390461491,"AFTER",141,6,"lzṇsnṛ","ṇ",0.195327355473805,0.195310463938912,0.195335973546732,0.439706113663903,0.052096466368954
"11","air","alveolar",0.417880426053479,0.417810595437654,0.41801773524185,"AIR",76,6,"ɬr","r",0.071796845798171,0.0717912942678619,0.0717984958661015,0.350105387109379,-0.490675903274135
"12","all","alveolar",0.0845065997036895,0.0843632232849085,0.0846925520686199,"ALL",169,6,"ṇlt","t",0.0656818813781398,0.0656789853513355,0.0656868494132866,0.4222805708072,-0.0504265193757179
"13","angry","alveolar",-1.07604137312916,-1.07606654085307,-1.07582917308245,"ANGRY",166,6,"dnztɬṛ","ṛ",0.0959143246864601,0.0959082322537011,0.0959225606433158,0.427152993236916,-0.0216563652367345
"14","animal","alveolar",-1.0010446385825,-1.00118915820011,-1.00092913673218,"ANIMAL",150,6,"tṇrṛ","ṇ",0.186201813013332,0.186199036066463,0.186221172315528,0.424635285681907,-0.036511862730537
"15","ant","alveolar",0.383574503109672,0.383453613560349,0.383689645702644,"ANT",132,6,"zsdrn","s",0.186981045877308,0.186974114191372,0.186994934726739,0.461459138904484,0.178887719923335
"16","arm_lower","alveolar",-0.0765348026274211,-0.0767927464859001,-0.0764987938415684,"ARM_LOWER",172,6,"zrṇstdṛ","ṇ",0.105731564986414,0.105726877371875,0.10574901960191,0.40023701469242,-0.181797266499436
"17","arm_upper","alveolar",0.193334434566913,0.193077469766762,0.193452852074806,"ARM_UPPER",168,6,"lɬn","n",0.102466009968318,0.102450051881391,0.102485340351552,0.402176009884992,-0.170153140734597
"18","ashes","alveolar",0.696643220046928,0.696602706645991,0.696789688202654,"ASHES",166,6,"lzt","t",0.197095161718075,0.197091201485215,0.197106468675234,0.3819846819418,-0.292387186362003
"19","back","alveolar",-0.879079160567277,-0.879259784092616,-0.878843083900766,"BACK",156,6,"ɬnṇlṛst","ṇ",0.0801957369714666,0.0801920560283402,0.0802072728716052,0.400512295721628,-0.180143004564029
"20","bad","alveolar",-1.35435697875205,-1.35437281058158,-1.35421804495981,"BAD",180,6,"ɬzntṛl","ṛ",0.239330689135813,0.239316435797487,0.239347448089252,0.445315738755431,0.0849024362098411
"21","bark","alveolar",0.405539137324786,0.405403438093021,0.405735468038072,"BARK",163,6,"ɬtrsl","t",0.103704335897999,0.103693038785381,0.103710556206301,0.415048812530587,-0.0932945986817416
