"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","alveolar-voice",-0.739018133221228,-0.739049146569514,-0.738917033633929,"1PLE",71,6,"ṇɬstṛ","ṇ",0.0142449281882979,0.0142445647169186,0.0142464801966066,0.172470500911895,-0.190493271403534
"2","1PLI","alveolar-voice",0.926271212205288,0.926119583019047,0.926298083938765,"1PLI",63,6,"ɬ","ɬ",0.0544562545269072,0.0544516458443731,0.0544652871566935,0.156045977472825,-0.36322539404078
"3","1SG","alveolar-voice",0.251058678266717,0.251036176847825,0.251160612212263,"1SG",45,6,"ɬ","ɬ",0.0411146523583651,0.0411135525024851,0.0411179906158428,0.116810648817308,-0.846583133818072
"4","2PL","alveolar-voice",0.286932803054554,0.286874467595232,0.287119281792809,"2PL",70,6,"","",0.0739052176849243,0.0739040183012234,0.0739080137640457,0.155584281877163,-0.368289273401246
"5","2SG","alveolar-voice",0.163067286241209,0.162988600350653,0.163225292780649,"2SG",42,6,"","",0.0433869138087269,0.04338202348274,0.0433881629701359,0.112483910008038,-0.908086782593129
"6","3PL","alveolar-voice",-1.3992137680521,-1.39926031011688,-1.39918219336228,"3PL",80,6,"sṇɬṛ","ṇ",0.0630710571671919,0.0630694813546659,0.0630729115883511,0.170915713934008,-0.206265889126573
"7","3SG","alveolar-voice",1.464841566166,1.46467240677192,1.46491138170525,"3SG",61,6,"t","t",0.0635430111578819,0.0635413792903473,0.0635461405000179,0.149224726293177,-0.439323654118169
"8","above","alveolar-voice",-1.25657103933219,-1.25662536251481,-1.2564133179806,"ABOVE",68,6,"sṇɬt","ṇ",0.0653076755071046,0.0652996925350473,0.0653107716238004,0.161431899049614,-0.305034424197168
"9","afraid","alveolar-voice",-1.23474544105214,-1.23494617924771,-1.23469228190137,"AFRAID",89,5,"ɬṇtṛ","ṇ",0.0724063361839816,0.0724032699878758,0.0724089639768308,0.179984334444664,-0.115812286326425
"10","after","alveolar-voice",-1.61226015290617,-1.61237670768548,-1.61216306778469,"AFTER",78,6,"ṇsṛ","ṇ",0.0390717973146419,0.0390692997930618,0.0390742453413848,0.192330246091216,0.00178798975930662
"11","air","alveolar-voice",1.04849747543032,1.04841944974042,1.04854743040331,"AIR",43,6,"ɬ","ɬ",0.0608033936740817,0.0608028158218252,0.0608056483088255,0.147672466354768,-0.457039235569214
"12","all","alveolar-voice",-1.40731283562247,-1.40745931526599,-1.40728987939468,"ALL",100,6,"ɬṛs","ṛ",0.0643126713929748,0.0643083703266932,0.0643139056774969,0.192731753610463,0.00551398097224942
"13","angry","alveolar-voice",-0.220379038862395,-0.220420366341981,-0.220282471898494,"ANGRY",93,6,"tɬṛ","ṛ",0.0731927376033821,0.0731882079045006,0.0731966583764887,0.186600228983613,-0.052045985313981
"14","animal","alveolar-voice",-0.213981389973775,-0.214110053802438,-0.213903728355858,"ANIMAL",71,6,"tṇṛ","ṇ",0.0360106667778369,0.0360097764173513,0.0360160797963523,0.167041739998113,-0.246067715383139
"15","ant","alveolar-voice",0.134416280962196,0.134324471425515,0.134481199835087,"ANT",80,5,"s","s",0.0314444940793984,0.0314429355448563,0.0314470039459051,0.212161909642216,0.179234338922148
"16","arm_lower","alveolar-voice",-1.3395230697111,-1.33967822335171,-1.33941786794796,"ARM_LOWER",89,6,"ṇstṛ","ṇ",0.00885449118272934,0.00885356011186392,0.00885543089654729,0.162047353913726,-0.298485411726715
