"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","rounded",-0.35951495429811,-0.359660759360328,-0.359293128987544,"1PLE",75,6,"ɒøɵyʉouᶙỹⱺ","ɒ",0.973427183359846,0.973423745377561,0.973433448484762,0.197827642492792,-0.519829630094288
"2","1PLI","rounded",-0.180102012529111,-0.180207336444074,-0.179980916385269,"1PLI",79,6,"øɵyɒʉouõᶙỹⱺ","ø",0.967421980494915,0.967414765030827,0.967425049888108,0.207744132879615,-0.431320111669899
"3","1SG","rounded",10.5214455302057,10.521306909749,10.5215549924468,"1SG",61,6,"ʉɒy","ɒ",0.830305540760277,0.830283774475568,0.830316523780959,0.17636477730576,-0.723604472148477
"4","2PL","rounded",-0.271355615384333,-0.27140725921877,-0.271286446046699,"2PL",69,6,"ɒyøoɵʉuũᶙỹⱺ","ɒ",0.999932113731984,0.999932102321129,0.999932119848999,0.177928346563933,-0.708129182400078
"5","2SG","rounded",2.0972976089407,2.09718286900355,2.09753495443161,"2SG",50,6,"ʉõ","õ",0.96189650139828,0.96189212564965,0.961898167701335,0.156185300321343,-0.93382894831285
"6","3PL","rounded",2.45067424803801,2.45057422181991,2.45089945822121,"3PL",93,6,"ʉøy","y",0.999797535411459,0.99979750012405,0.999797583775827,0.225846802635331,-0.277436006459316
"7","3SG","rounded",0.148143513987325,0.147789094355817,0.148264953135111,"3SG",82,6,"y","y",0.971652432591675,0.971640984104221,0.97165749814576,0.189392688134348,-0.597783960918903
"8","above","rounded",2.6048807443086,2.60477523729187,2.60529457107009,"ABOVE",83,6,"ᶙøõu","u",0.999884642087836,0.999884624452653,0.999884653335986,0.253339600473849,-0.0595410152599397
"9","afraid","rounded",-0.361073037987424,-0.361268008033446,-0.360728991540772,"AFRAID",103,6,"ɒyøɵʉuᶙoỹⱺ","ɒ",0.970279906316477,0.970278403297226,0.97028420884135,0.241063648344337,-0.154726191363136
"10","after","rounded",10.2381463003183,10.2379361039036,10.2384023858672,"AFTER",91,6,"ɒoũ","o",0.830255263693857,0.830240400063586,0.830276462508538,0.286568688709537,0.183945044790664
"11","air","rounded",-0.237077671306707,-0.237143910528771,-0.236714296693539,"AIR",37,6,"ũyøoʉuõᶙỹⱺ","ũ",0.999858317268188,0.999858307793199,0.999858329395277,0.190110403816991,-0.591049173904038
"12","all","rounded",0.140646531762993,0.140526995618824,0.14106402584453,"ALL",128,6,"ũyou","o",0.999794067592088,0.99979405337896,0.999794091971918,0.314346816691102,0.374716729733261
"13","angry","rounded",2.04779377853037,2.0476428449893,2.04798775108825,"ANGRY",83,6,"ũɒy","ũ",0.970725249336511,0.970722857016821,0.97072891272709,0.218055093609543,-0.342535677727061
"14","animal","rounded",2.09369157437645,2.09346978660669,2.09385793525186,"ANIMAL",82,6,"ʉũɒo","o",0.837254111300352,0.837234113755717,0.837279350696291,0.235192385759881,-0.201416938062342
"15","ant","rounded",2.41017611927772,2.41001700344971,2.41028829363195,"ANT",87,6,"yõou","o",0.840577489924037,0.840561959532186,0.840583845539327,0.294547325102881,0.239788742211336
