"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","unvoiced",-0.949455264669995,-0.949636622524171,-0.949332399046457,"1PLE",127,6,"fpchçṇɬksṃtṛʔἠ","ṇ",0.0945331924513256,0.0945246025916966,0.0945524213878711,0.38319556585862,-0.549473620159151
"2","1PLI","unvoiced",-0.623217825947575,-0.623502299416307,-0.623182122070896,"1PLI",129,6,"fxpschṇtçṃkṛἠ","ṇ",0.00509127787347634,0.00509012311563387,0.00509207348554543,0.382864617503688,-0.551494022715195
"3","1SG","unvoiced",-0.547084344586821,-0.547296979798981,-0.546948839444257,"1SG",113,6,"pçfstṇhṃkṛἠ","ṇ",0.0533991272936641,0.0533929893591749,0.0534085317524233,0.345690650718268,-0.783232649619081
"4","2PL","unvoiced",-0.0932714599633369,-0.0934782297449522,-0.0930554206842103,"2PL",140,6,"fxpsṇhɬtkṃṛἠ","ṇ",0.126842465515166,0.126838461648299,0.126852813571402,0.38727660206923,-0.52461295348678
"5","2SG","unvoiced",-0.359770889955357,-0.359967947437939,-0.359603327097246,"2SG",108,6,"fçpɬtksxṇcṃṛἠ","f",0.492991661893331,0.49297506873145,0.493075482993097,0.339687439600437,-0.821682565933078
"6","3PL","unvoiced",-0.969647063450032,-0.969784555113414,-0.969448464921049,"3PL",148,6,"fpsṇkɬṃṛxἠ","ṇ",0.156025342829884,0.156012679133526,0.156035715951532,0.425867265614395,-0.293721823207116
"7","3SG","unvoiced",0.625323874427099,0.625108360125716,0.625595264848348,"3SG",135,6,"hfxtʔ","t",0.00290303709873827,0.00290286919487672,0.00290367209047626,0.437896878305108,-0.222985012528309
"8","above","unvoiced",-0.964289573500979,-0.964350460258878,-0.964208782907916,"ABOVE",135,6,"schṇxkṃɬʔἠtf","ṇ",0.142583264586485,0.142579896342039,0.142608299773611,0.415962432513568,-0.352349284376549
"9","afraid","unvoiced",-0.0461224414619318,-0.0464541356360911,-0.0458014224812273,"AFRAID",153,6,"pɬṇktʔṃṛhἠ","ṇ",0.0761191622755532,0.0761160546587564,0.0761298092620193,0.438549828913601,-0.219158565220967
"10","after","unvoiced",-0.704097013646629,-0.704143261925314,-0.703964339307376,"AFTER",140,6,"cçṇkfsṃʔṛἠ","ṇ",0.053876243140931,0.0538710467991072,0.0538808309450367,0.487923935111822,0.0675567786880893
"11","air","unvoiced",0.50043395586289,0.499838238383034,0.500534229125421,"AIR",87,6,"fhɬkp","k",0.143676401035158,0.14367071642263,0.143700622561494,0.508030047488797,0.183602272917411
"12","all","unvoiced",-0.310990795828441,-0.311146676568495,-0.310852652531738,"ALL",178,6,"ɬxfçṃṛἠs","ṃ",0.155847360289664,0.155830957356113,0.155860882560521,0.489291090569019,0.075450435240951
"13","angry","unvoiced",0.718408492735466,0.718350653089695,0.718638688951806,"ANGRY",165,6,"ṇxfçʔks","k",0.0791202564615782,0.0791084335571442,0.0791337998877502,0.482716988655333,0.0374824398921973
"14","animal","unvoiced",-0.368787491510057,-0.368895053977249,-0.368678744752993,"ANIMAL",130,6,"çpftṇkʔṃṛἠ","ṇ",0.0540815297106773,0.0540749500461213,0.0540928641378555,0.403912066674257,-0.424225273014996
"15","ant","unvoiced",-0.346168120260517,-0.346196774297672,-0.346004302690548,"ANT",126,5,"fçɬxcṇtṛἠp","ṇ",0.0550291902442907,0.0550264060982374,0.0550317714101654,0.511122713854555,0.201455976881498
"16","arm_lower","unvoiced",-0.357335713803456,-0.357530222042328,-0.357270970884993,"ARM_LOWER",160,6,"fṇçhstʔṛἠ","ṇ",0.10899496439481,0.108990772643363,0.109016449720819,0.44753574305024,-0.166619569534454
"17","arm_upper","unvoiced",-0.184635746606412,-0.184706953878086,-0.184434898067346,"ARM_UPPER",159,6,"fṇhsçtʔṛἠ","ṇ",0.10855848902862,0.10854478986637,0.108584259844987,0.446023040057451,-0.175449089098201
