"","word","group","fit","lwr","upr","word_caps","nLangs","nRegions","cardinal","topCardinal","fitProp_fit","fitProp_lwr","fitProp_upr","obs","obs_OR"
"1","1PLE","consonant",0.747327368988062,0.747143360077358,0.747474147369503,"1PLE",221,6,"ŋɲɣnɽmg","n",0.141641193891003,0.141613552867949,0.141648601668937,0.499713654002446,-0.159962477221024
"2","1PLI","consonant",-1.3553445815509,-1.35567831221364,-1.3550259447378,"1PLI",224,6,"ɟfxbpldɦʎshcrvktṇṃṛçἠʔ","ɟ",0.20267459916543,0.202656237528899,0.202710435780262,0.502733643600379,-0.14253462379105
"3","1SG","consonant",-2.25157213287729,-2.25172426163844,-2.25148092410893,"1SG",232,6,"pɟbçlʎrfɣsztɦhgmvdṇkɽṃṛἠ","ɟ",0.284857996017343,0.28484170392844,0.284891737403927,0.483852351711571,-0.251526982682579
"4","2PL","consonant",-0.919387425092632,-0.919512167503133,-0.918755402850472,"2PL",225,6,"fxɣdlrɦpʎsbhtɬṇkɲzʔṃṛἠ","ɣ",0.144362112478433,0.14435059666682,0.144399394689303,0.504350275927267,-0.133204917715392
"5","2SG","consonant",-2.22486071020912,-2.22493495351784,-2.22467868651517,"2SG",221,6,"rflçɣpʎdɽɬtkɟxɦbsczgvṇṃṛἠ","f",0.24750935152149,0.24748686610196,0.247556363549382,0.484627743456946,-0.247047916506202
"6","3PL","consonant",-2.25668734248606,-2.2568020707376,-2.25660475449442,"3PL",218,6,"ɟɲfɣpʎskrblṇjɬzxʔçṃtṛdἠŋv","ṇ",0.146090795195204,0.146072113135527,0.146112665706157,0.490615224892452,-0.212473872433272
"7","3SG","consonant",-1.88065741956081,-1.88088236175193,-1.88042688961097,"3SG",218,6,"çɽsdrɬɟvkbɦlʎɣmgpzṇtʔcṃṛἠ","ɽ",0.109623075307575,0.109598785538896,0.109646162052081,0.465670928474424,-0.356727731529118
"8","above","consonant",-2.31094472253062,-2.31104262516247,-2.31068422347085,"ABOVE",202,6,"sɦhxcɽjɣzfŋʎkɲṇtpṃʔἠ","ɦ",0.145971926663317,0.145957967006019,0.145992950873011,0.507199061716115,-0.11676296354616
"9","afraid","consonant",0.20811279188922,0.207653484555221,0.208212342544846,"AFRAID",208,6,"cɦrɟɣçfvɽɲgdsjʎŋ","s",0.144411176259388,0.144386340029786,0.144413020557338,0.527714534399357,0.00178854398197531
"10","after","consonant",-2.23741177002908,-2.23750370448005,-2.23725892379603,"AFTER",183,6,"ɲçcŋɽɟlzkjṇfmʔnṃsṛtἠv","ṇ",0.2692725688017,0.269260407090878,0.269290468082093,0.520690556603665,-0.0388411597519035
"11","air","consonant",-2.54579381094258,-2.54600104169871,-2.54555241662147,"AIR",108,6,"ɟɣʎɲlcmnɦtgxçzsdṇʔbṃṛἠ","ɟ",0.145370431262,0.145363330197749,0.145392131177171,0.495480395941474,-0.184392389074023
"12","all","consonant",-1.88914676202848,-1.8893269025926,-1.88895766393708,"ALL",227,6,"ɟɲɬxɣçfŋjznsṃṛdkἠt","ṃ",0.145970145165119,0.145967155230122,0.14599346314987,0.5256329566883,-0.0102580851418036
"13","angry","consonant",-2.20374709484181,-2.20400377757788,-2.20357657408261,"ANGRY",199,6,"dɽɦɣnhpbtcɬṃṛvmἠçɟ","ɦ",0.144106064810667,0.144095932863027,0.144120146256421,0.532992091655628,0.0323571088770747
"14","animal","consonant",-2.35041150193179,-2.35065635307564,-2.35034238439494,"ANIMAL",182,6,"ɟçpfɣtkrʔṇɲṃṛἠcs","ɟ",0.202861159955871,0.202838453576035,0.202874639284746,0.521397884165262,-0.0347520836634719
"15","ant","consonant",-2.27354206375461,-2.27367552573958,-2.27340115200846,"ANT",161,6,"fçvbxcjɬlṇgɣmṛŋἠtp","ṇ",0.152637222951768,0.152627741972648,0.152647863614774,0.540714220136278,0.0771641444577385
"16","arm_lower","consonant",-2.23043380766539,-2.23062665563166,-2.23032168647831,"ARM_LOWER",228,6,"zɦfɽçhsrdṇtvʔɣjṛἠ","ɦ",0.150617405280316,0.150604356576258,0.150630574724638,0.53674092025908,0.0540965908754455
"17","arm_upper","consonant",-1.83643388285476,-1.83652195294694,-1.8361415978772,"ARM_UPPER",225,6,"zɦfɽshçdrvṇʔtɟṛɣjἠ","ɦ",0.151686577065131,0.151672242684408,0.151706253534216,0.536333202193093,0.0517311081445974
"18","ashes","consonant",-1.86590513909877,-1.86600771402817,-1.86578196153042,"ASHES",217,6,"ŋnɽrʔmgdṇvɬsʎṃṛἠ","ṇ",0.455478789436053,0.455453290272073,0.455504679027995,0.551250511398015,0.138487756997427
"19","back","consonant",-1.83364201890225,-1.83378578003496,-1.83350286683782,"BACK",217,6,"jfɬɣnhṇmlcṃxṛἠ","ṇ",0.145486014383739,0.145480804988294,0.14548776995472,0.556376263410646,0.168414273899802
"20","bad","consonant",-1.7865505451099,-1.78685460242681,-1.78651203524967,"BAD",231,6,"ɬɟfzbtnɲmŋvʔhṃglṛpἠ","ṃ",0.192844187437032,0.19282455333963,0.192867495327832,0.535171646387578,0.0449935732163124
"21","bark","consonant",-2.01210956322062,-2.0121994497116,-2.01206108383309,"BARK",206,6,"ɟɲnmdzjcgṇxŋṃṛἠ","ṇ",0.143239744970931,0.143217739264944,0.143245550388847,0.536123330116185,0.0505135906029485
"22","beautiful","consonant",-1.5149264837576,-1.51498813088649,-1.51483575227039,"BEAUTIFUL",166,6,"ɟxfçɲpʎʔṇkgntṃṛdἠc","ṇ",0.155337700029706,0.155333461209619,0.155348100647352,0.525206356971525,-0.0127262778557051
"23","because","consonant",-2.23854627603486,-2.23868887617217,-2.23847585422808,"BECAUSE",163,6,"ɲʎçɽjɟfcztsɬŋpṇlhṃṛʔἠ","ʎ",0.193539510980761,0.193505989687166,0.193569816143054,0.533857306204173,0.0373724860330595
"24","before","consonant",-2.29617575897489,-2.29635445364029,-2.29604606449141,"BEFORE",188,6,"çɟcɦxʔhɬmɣṇpjzsṃṛἠk","ɦ",0.189828510140191,0.189798568661353,0.189843137219135,0.5230975206567,-0.0249243883003205
"25","behind","consonant",-2.23682064624196,-2.23691152877295,-2.23643127215036,"BEHIND",199,6,"ɽzɟxɣŋɬɲfjtṇcʔɦdmṃvsṛlἠ","ɽ",0.156130146535415,0.156090056146308,0.15614202241947,0.534820249542754,0.0429557561976589
