ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Dataset,Forms,FormsWithSounds,Concepts,Incollections,Subgroup,Family,Family_in_Data,family_id,parent_id,name_language,name_micro_family,phylo,Language
aaleykusunda-KusundaGM,Gyani Maiya,Eurasia,28,82.26,kusu1250,NA,aaleykusunda,224,224,224,LexiCore,NA,NA,Kusunda,NA,NA,NA,NA,NA,Gyani Maiya
aaleykusunda-KusundaK,Kamala,Eurasia,28,82.26,kusu1250,NA,aaleykusunda,227,227,227,LexiCore,NA,NA,Kusunda,NA,NA,NA,NA,NA,Kamala
abrahammonpa-MonpaKalaktang,Monpa Kalaktang,Eurasia,27.104162,92.113017,kala1376,NA,abrahammonpa,324,324,301,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Kalaktang
abrahammonpa-MonpaBalemu,Monpa Balemu,Eurasia,26.964717,92.164581,kala1376,NA,abrahammonpa,311,311,302,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Balemu
abrahammonpa-MonpaTomko,Monpa Tomko,Eurasia,27.16536,92.23077,kala1376,NA,abrahammonpa,303,303,298,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Tomko
abrahammonpa-MonpaNamsu,Monpa Namsu,Eurasia,27.359505,92.34921,kala1376,NA,abrahammonpa,312,312,301,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Namsu
abrahammonpa-MonpaTembang,Monpa Tembang,Eurasia,27.333876,92.40513,tsha1245,NA,abrahammonpa,308,308,297,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Tembang
abrahammonpa-MonpaDirangDum,Monpa Dirang Dum,Eurasia,27.334341,92.293734,tsha1245,NA,abrahammonpa,301,301,292,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Dirang Dum
abrahammonpa-MonpaSangti,Monpa Sangti,Eurasia,27.402266,92.314934,tsha1245,NA,abrahammonpa,307,307,303,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Sangti
abrahammonpa-MonpaDirang,Monpa Dirang,Eurasia,27.34959,92.27914,tsha1245,NA,abrahammonpa,319,319,301,LexiCoreClicsCore,Tshanglic,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Dirang
abrahammonpa-MonpaTawangMonastery,Monpa Tawang Monastery,Eurasia,27.586829,91.85796,dakp1242,NA,abrahammonpa,304,304,298,LexiCoreClicsCore,Takpa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Tawang Monastery
abrahammonpa-MonpaZimithang,Monpa Zimithang,Eurasia,27.335901,92.306528,dakp1242,NA,abrahammonpa,305,305,299,LexiCoreClicsCore,Takpa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Zimithang
abrahammonpa-MonpaChangprong,Monpa Changprong,Eurasia,27.578928,91.876393,dakp1242,NA,abrahammonpa,316,316,300,LexiCoreClicsCore,Takpa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Monpa Changprong
abrahammonpa-SartangKhoitam,Sartang Khoitam,Eurasia,27.358518,92.438415,khoi1252,NA,abrahammonpa,218,218,217,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Sartang Khoitam
abrahammonpa-ChugParchu,Chug Parchu,Eurasia,27.420054,92.234173,chug1252,NA,abrahammonpa,218,218,217,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Chug Parchu
abrahammonpa-SartangDarbuA,Sartang Darbu 1,Eurasia,27.329171,92.358727,sart1249,NA,abrahammonpa,225,225,219,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Sartang Darbu 1
abrahammonpa-MijiNafra,Miji Nafra,Eurasia,27.373776,92.546071,miji1239,NA,abrahammonpa,299,299,295,LexiCoreClicsCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Miji Nafra
abrahammonpa-LishLish,Lish Lish,Eurasia,27.368692,92.249809,lish1235,NA,abrahammonpa,225,225,218,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Lish Lish
abrahammonpa-SherdukpenRupa,Sherdukpen Rupa,Eurasia,27.203981,92.398629,sher1256,NA,abrahammonpa,227,227,222,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Sherdukpen Rupa
abrahammonpa-HrusoAkaJamiri,Hruso Aka Jamiri,Eurasia,27.184929,92.599114,hrus1242,NA,abrahammonpa,305,305,296,LexiCoreClicsCore,Khobwa,NA,Sino-Tibetan,NA,NA,NA,NA,NA,Hruso Aka Jamiri
abrahammonpa-SartangDarbuB,Sartang Darbu 2,Eurasia,27.329171,92.358727,sart1249,NA,abrahammonpa,229,229,224,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Sartang Darbu 2
abrahammonpa-SartangKhoina,Sartang Khoina,Eurasia,27.337381,92.529683,khoi1253,NA,abrahammonpa,223,223,222,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Sartang Khoina
abrahammonpa-BugunSingchung,Bugun Singchung,Eurasia,27.195773,92.473437,sing1271,NA,abrahammonpa,226,226,225,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Bugun Singchung
abrahammonpa-BugunWangho,Bugun Wangho,Eurasia,27.231398,92.436886,wang1301,NA,abrahammonpa,232,232,225,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Bugun Wangho
abrahammonpa-BugunBichom,Bugun Bichom,Eurasia,27.272159,92.574219,bich1234,NA,abrahammonpa,253,253,225,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Bugun Bichom
abrahammonpa-BugunKaspi,Bugun Kaspi,Eurasia,27.204143,92.549541,kasp1234,NA,abrahammonpa,228,228,223,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Bugun Kaspi
abrahammonpa-BugunNamphri,Bugun Namphri,Eurasia,27.196633,92.504931,namp1239,NA,abrahammonpa,237,237,225,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Bugun Namphri
abrahammonpa-NamreiNabolang,Namrei Nabolang,Eurasia,27.546333,92.797975,miji1239,NA,abrahammonpa,322,322,300,LexiCoreClicsCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Namrei Nabolang
abrahammonpa-NamreiBisai,Namrei Bisai,Eurasia,27.682796,92.700031,miji1239,NA,abrahammonpa,301,301,295,LexiCoreClicsCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Namrei Bisai
abrahammonpa-DammaiRurang,Dammai Rurang,Eurasia,27.368455,92.500637,miji1239,NA,abrahammonpa,303,303,299,LexiCoreClicsCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Dammai Rurang
abrahammonpa-DammaiDibin,Dammai Dibin,Eurasia,27.437363,92.531354,miji1239,NA,abrahammonpa,306,306,299,LexiCoreClicsCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Dammai Dibin
abrahammonpa-SherdukpenShergaon,Sherdukpen Shergaon,Eurasia,27.104558,92.27076,sher1256,NA,abrahammonpa,226,226,225,LexiCore,Khobwa,Sino-Tibetan,Sino-Tibetan,NA,NA,NA,NA,Sino-Tibetan,Sherdukpen Shergaon
abvdoceanic-Banoni_4,Banoni,Papunesia,-6.23061,155.128,bann1247,NA,abvdoceanic,233,233,179,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Banoni
abvdoceanic-Gedaged_7,Gedaged,Papunesia,-5.18175,145.781,geda1237,NA,abvdoceanic,254,254,183,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Gedaged
abvdoceanic-Giman_10,Gimán,Papunesia,-0.42618,127.976,gane1237,NA,abvdoceanic,221,221,189,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Gimán
abvdoceanic-Canala_19,Canala,Papunesia,-21.7034,165.996,xara1244,NA,abvdoceanic,205,205,183,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Canala
abvdoceanic-KilokakaYsabel_21,Kilokaka (Ysabel),Papunesia,-8.18719,159.255,zaza1245,NA,abvdoceanic,179,179,166,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kilokaka (Ysabel)
abvdoceanic-Kis_23,Kis,Papunesia,-3.83909,143.96,kiss1246,NA,abvdoceanic,114,114,109,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kis
abvdoceanic-Mor_24,Mor,Papunesia,-2.87055,135.95,morm1235,NA,abvdoceanic,175,175,169,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Mor
abvdoceanic-Mota_25,Mota,Papunesia,-13.835361,167.690924,mota1237,NA,abvdoceanic,238,238,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Mota
abvdoceanic-Motu_26,Motu,Papunesia,-9.67492,147.424,motu1246,NA,abvdoceanic,199,199,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Motu
abvdoceanic-Kairiru_30,Kairiru,Papunesia,-3.34608,143.558,kair1263,NA,abvdoceanic,236,236,172,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kairiru
abvdoceanic-Bughotu_37,Bughotu,Papunesia,-8.47948,159.802,bugh1239,NA,abvdoceanic,248,248,189,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Bughotu
abvdoceanic-Marquesan_38,Marquesan,Papunesia,-8.89412,-140.108,nort2845,NA,abvdoceanic,348,348,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Marquesan
abvdoceanic-Ali_39,Ali,Papunesia,-3.28761,142.659,kapp1237,NA,abvdoceanic,164,164,159,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Ali
abvdoceanic-AmbaiYapen_40,Ambai (Yapen),Papunesia,-1.88126,136.526,amba1265,NA,abvdoceanic,184,184,180,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Ambai (Yapen)
abvdoceanic-BigaMisool_46,Biga (Misool),Papunesia,-1.8801,130.075,matb1237,NA,abvdoceanic,176,176,175,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Biga (Misool)
abvdoceanic-Buli_49,Buli,Papunesia,1.0008,128.443,buli1255,NA,abvdoceanic,206,206,188,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Buli
abvdoceanic-Hawaiian_52,Hawaiian,Papunesia,19.6297,-155.43,hawa1245,NA,abvdoceanic,217,217,191,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Hawaiian
abvdoceanic-Hoava_54,Hoava,Papunesia,-8.19679,157.595,hoav1238,NA,abvdoceanic,176,176,168,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Hoava
abvdoceanic-KaulongAuVillage_56,Kaulong (Au Village),Papunesia,-6.08192,149.696,kaul1240,NA,abvdoceanic,206,206,182,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kaulong (Au Village)
abvdoceanic-KayupulauKajupulau_57,Kayupulau [Kajupulau],Papunesia,-2.54415,140.626,kayu1243,NA,abvdoceanic,190,190,181,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kayupulau [Kajupulau]
abvdoceanic-Rarotongan_58,Rarotongan,Papunesia,-21.23,-159.78,raro1241,NA,abvdoceanic,309,309,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Rarotongan
abvdoceanic-Nukuoro_64,Nukuoro,Papunesia,3.84,154.975,nuku1260,NA,abvdoceanic,199,199,164,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Nukuoro
abvdoceanic-Kusaie_65,Kusaie,Papunesia,5.31,162.98,kosr1238,NA,abvdoceanic,372,372,182,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kusaie
abvdoceanic-Kwaio_66,Kwaio,Papunesia,-8.93744,160.965,kwai1243,NA,abvdoceanic,192,192,188,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Kwaio
abvdoceanic-LamogaiMulakaino_67,Lamogai (Mulakaino),Papunesia,-5.87071,149.321,lamo1244,NA,abvdoceanic,209,209,191,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Lamogai (Mulakaino)
abvdoceanic-Lau_68,Lau,Papunesia,-8.51018,160.872,lauu1247,NA,abvdoceanic,249,249,189,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Lau
abvdoceanic-Leipon_69,Leipon,Papunesia,-1.9665,147.226,leip1237,NA,abvdoceanic,170,170,170,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Leipon
abvdoceanic-Levei_71,Levei,Papunesia,-2.06626,146.746,kheh1237,NA,abvdoceanic,188,188,180,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Levei
abvdoceanic-Likum_72,Likum,Papunesia,-2.16157,146.695,liku1243,NA,abvdoceanic,178,178,176,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Likum
abvdoceanic-Loniu_73,Loniu,Papunesia,-2.06124,147.35,loni1238,NA,abvdoceanic,193,193,188,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Loniu
abvdoceanic-Lou_74,Lou,Papunesia,-2.38659,147.346,louu1245,NA,abvdoceanic,183,183,180,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Lou
abvdoceanic-Nelemwa_76,Nêlêmwa,Papunesia,-20.4035,164.193,kuma1276,NA,abvdoceanic,214,214,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Nêlêmwa
abvdoceanic-Yapese_77,Yapese,Papunesia,9.55811,138.125,yape1248,NA,abvdoceanic,237,237,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Yapese
abvdoceanic-Maleu_82,Maleu,Papunesia,-5.61613,148.445,male1289,NA,abvdoceanic,190,190,184,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Maleu
abvdoceanic-Maori_85,Maori,Papunesia,-38.2881,176.541,maor1246,NA,abvdoceanic,204,204,191,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Maori
abvdoceanic-Marovo_87,Marovo,Papunesia,-8.37943,157.747,maro1244,NA,abvdoceanic,199,199,189,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Marovo
abvdoceanic-Mekeo_89,Mekeo,Papunesia,-8.23853,146.586,meke1243,NA,abvdoceanic,197,197,189,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Mekeo
abvdoceanic-Mengen_91,Mengen,Papunesia,-5.47036,151.373,meng1267,NA,abvdoceanic,202,202,190,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Mengen
abvdoceanic-MinyaifuinGebe_93,Minyaifuin (Gebe),Papunesia,-0.07877,129.424,gebe1237,NA,abvdoceanic,176,176,174,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Minyaifuin (Gebe)
abvdoceanic-Misima_94,Misima,Papunesia,-10.6821,152.696,misi1243,NA,abvdoceanic,173,173,171,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Misima
abvdoceanic-Nauna_96,Nauna,Papunesia,-2.21213,148.201,naun1237,NA,abvdoceanic,185,185,180,LexiCore,NA,Austronesian,Austronesian,NA,NA,NA,NA,Austronesian,Nauna
