concept,category,mean,lwr,upr,topCardinal,myvar,result,sd,word_dim,outcome,label
1SG,consonant,-0.25031566113612,-0.348874670304262,-0.152415373959229,ɟ,vowelConsonant,Original Results,NA,NA,Weak,NA
2SG,consonant,-0.478736916314568,-0.579899947193012,-0.379688709838239,f,vowelConsonant,Original Results,NA,NA,Strong,2SG [consonant]
3PL,consonant,-0.379682556648206,-0.480774814572526,-0.279753453733637,ṇ,vowelConsonant,Original Results,NA,NA,Strong,3PL [consonant]
3SG,consonant,-0.549741705791474,-0.648096920916314,-0.453549485561403,ɽ,vowelConsonant,Original Results,NA,NA,Strong,3SG [consonant]
COME,consonant,-0.25853921674973,-0.357523747444707,-0.160048217648028,ɣ,vowelConsonant,Original Results,NA,NA,Weak,NA
CRY,consonant,-0.248705374399551,-0.347257878821065,-0.151991257985146,ṇ,vowelConsonant,Original Results,NA,NA,Weak,NA
DO,consonant,-0.241025713066261,-0.337555027573815,-0.144093484072388,ç,vowelConsonant,Original Results,NA,NA,Weak,NA
EAT,consonant,-0.23357717872331,-0.328578782165202,-0.138265928760832,ɦ,vowelConsonant,Original Results,NA,NA,Weak,NA
F_FS,consonant,-0.37278847033666,-0.468235204511746,-0.277707074377755,ɲ,vowelConsonant,Original Results,NA,NA,Strong,F_FS [consonant]
F_MS,consonant,-0.372397127341794,-0.471116931345604,-0.275667599582352,ɲ,vowelConsonant,Original Results,NA,NA,Strong,F_MS [consonant]
GO,consonant,-0.408352945167057,-0.505450016118135,-0.313824709205293,ɣ,vowelConsonant,Original Results,NA,NA,Strong,GO [consonant]
HERE,consonant,-0.404561512627188,-0.510985098793463,-0.300438110353124,ɦ,vowelConsonant,Original Results,NA,NA,Strong,HERE [consonant]
M_FS,consonant,-0.334621574569761,-0.434092337869552,-0.236352932329329,z,vowelConsonant,Original Results,NA,NA,Strong,M_FS [consonant]
M_MS,consonant,-0.332438112139159,-0.435126974030692,-0.233825220334384,z,vowelConsonant,Original Results,NA,NA,Strong,M_MS [consonant]
ROUGH,consonant,0.25010708422704,0.131955819470356,0.368191700829375,k,vowelConsonant,Original Results,NA,NA,Weak,NA
SUCK,consonant,0.236010852062964,0.131425142369316,0.344065386703916,t,vowelConsonant,Original Results,NA,NA,Weak,NA
THAT,consonant,-0.291433476756646,-0.392542512732797,-0.191003489720792,ɬ,vowelConsonant,Original Results,NA,NA,Weak,NA
THAT_YONDER,consonant,-0.381771961619348,-0.485312418840571,-0.279879457853626,ʎ,vowelConsonant,Original Results,NA,NA,Strong,THAT_YONDER [consonant]
THIS,consonant,-0.449894212044182,-0.551603093239941,-0.348901491793972,ɦ,vowelConsonant,Original Results,NA,NA,Strong,THIS [consonant]
TREE,consonant,-0.277260033908857,-0.378915177276217,-0.177413470748443,ɬ,vowelConsonant,Original Results,NA,NA,Weak,NA
WHO,consonant,-0.272480753237485,-0.371723449621246,-0.172432014780895,f,vowelConsonant,Original Results,NA,NA,Weak,NA
1SG,vowel,0.25031566113612,0.152415373959229,0.348874670304261,a,vowelConsonant,Original Results,NA,NA,Weak,NA
2SG,vowel,0.478736916314569,0.379688709838239,0.579899947193011,i,vowelConsonant,Original Results,NA,NA,Strong,2SG [vowel]
