concept,category,mean,sd,lwr,upr,word_dim
ABOVE,back,-0.10442781533811514,0.25634313167882994,-0.6171140786957751,0.40825844801954475,
ABOVE,central,-0.05409179552660132,0.2740072577696075,-0.6021063110658164,0.49392272001261367,
ABOVE,front,0.09497664966704643,0.30272931190471525,-0.510481974142384,0.7004352734764769,
AFTER,back,-0.09599881908711909,0.260359955148208,-0.616718729383535,0.42472109120929685,
AFTER,central,-0.08259340738652267,0.2764260136182722,-0.635445434623067,0.4702586198500217,
AFTER,front,0.10469107550855969,0.30578356784360955,-0.5068760601786594,0.7162582111957788,
AIR,back,-0.10000670649279643,0.2617940272123668,-0.62359476091753,0.42358134793193714,
AIR,central,-0.023752885258406835,0.27898936888074416,-0.5817316230198951,0.5342258525030815,
AIR,front,0.0719562653163746,0.30889008358036946,-0.5458239018443644,0.6897364324771135,
ALL,back,0.02183796382622225,0.25315889523065455,-0.4844798266350868,0.5281557542875314,
ALL,central,-0.0251980925565724,0.2680531367017566,-0.5613043659600856,0.5109081808469409,
ALL,front,-0.026762165232345602,0.30223036489092453,-0.6312228950141947,0.5776985645495034,
ANGRY,back,0.02159941584993141,0.2632672995484118,-0.5049351832468922,0.5481340149467551,
ANGRY,central,-0.047859235298199826,0.2762145413908069,-0.6002883180798136,0.504569847483414,
ANGRY,front,-0.014373928973487937,0.31061335763073894,-0.6356006442349658,0.60685278628799,
ANIMAL,back,-0.17964196265307955,0.25591607058112026,-0.69147410381532,0.332190178509161,
ANIMAL,central,0.03410911970584637,0.27726901567992757,-0.5204289116540087,0.5886471510657015,
ANIMAL,front,0.09984765092290569,0.3050748720223223,-0.5103020931217389,0.7099973949675503,
ANT,back,0.026978126448755597,0.2525999807407463,-0.478221835032737,0.5321780879302482,
ANT,central,-0.009548976344901651,0.2682859960910826,-0.5461209685270669,0.5270230158372635,
ANT,front,-0.04075637910391281,0.3022260286153136,-0.6452084363345401,0.5636956781267144,
ASH,back,0.23114940610765966,0.25024693395525954,-0.2693444618028594,0.7316432740181787,
ASH,central,-0.048351419633918695,0.2600076445742239,-0.5683667087823664,0.47166386951452904,
ASH,front,-0.19655856062918828,0.30107002502947844,-0.7986986106881452,0.40558148942976857,
BACK,back,0.19073061801092292,0.24842093912865765,-0.30611126024639235,0.6875724962682382,
BACK,central,0.031656305054043196,0.2609082412072384,-0.49016017736043355,0.5534727874685199,
BACK,front,-0.20943227262744726,0.3018099046074762,-0.8130520818423996,0.39418753658750516,
BAD,back,-0.19629923612883562,0.2565673742387505,-0.7094339846063366,0.31683551234866536,
BAD,central,-0.04878388860197873,0.27599809820072835,-0.6007800850034354,0.503212307799478,
BAD,front,0.16487031163357238,0.30234155402123414,-0.4398127964088959,0.7695534196760406,
BARK,back,0.07001399142485636,0.25340728667061735,-0.43680058191637833,0.576828564766091,
BARK,central,-0.040124954157457635,0.26647035635936356,-0.5730656668761848,0.49281575856126947,
BARK,front,-0.058855459310497446,0.3023533935685502,-0.6635622464475978,0.545851327826603,
BE ALIVE,back,-0.06765545108902041,0.25487744272597895,-0.5774103365409783,0.4420994343629375,
