concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high-back,-0.10871067710377631,0.2210948709377642,-0.5509004189793048,0.3334790647717521,
ABOVE,high-front,-0.10814277369889647,0.274958425194648,-0.6580596240881925,0.4417740766903996,
ABOVE,low-back,-0.013157706103861471,0.18487709588856302,-0.3829118978809875,0.3565964856732646,
ABOVE,low-front,0.15469932901917435,0.314763415727666,-0.47482750243615757,0.7842261604745063,
AFTER,high-back,-0.029140535530882222,0.22077644464554266,-0.4706934248219675,0.41241235376020313,
AFTER,high-front,0.015393539420008918,0.27470194908224516,-0.5340103587444814,0.5647974375844992,
AFTER,low-back,-0.04197608696536532,0.18376220923361333,-0.409500505432592,0.32554833150186135,
AFTER,low-front,-0.013632184773451008,0.31819416291440566,-0.6500205106022623,0.6227561410553604,
AIR,high-back,-0.05345972771349831,0.2235413469172416,-0.5005424215479815,0.39362296612098485,
AIR,high-front,-0.151584495320191,0.2786962362516076,-0.7089769678234062,0.4058079771830242,
AIR,low-back,0.005066561894924096,0.18867152253060215,-0.3722764831662802,0.3824096069561284,
AIR,low-front,0.12817272853566222,0.3188568070932264,-0.5095408856507906,0.765886342722115,
ALL,high-back,0.029006706458881565,0.21567143638202355,-0.40233616630516555,0.46034957922292863,
ALL,high-front,-0.08683168108726076,0.26939005401364474,-0.6256117891145503,0.45194842694002874,
ALL,low-back,-6.01737042507366e-5,0.17568329392919155,-0.3514267615626338,0.3513064141541324,
ALL,low-front,-0.0011346461913137131,0.31340336687993686,-0.6279413799511875,0.62567208756856,
ANGRY,high-back,0.06475828569574209,0.22224298653288735,-0.3797276873700326,0.5092442587615168,
ANGRY,high-front,0.0013127652022107052,0.2771329337426544,-0.5529531022830981,0.5555786326875195,
ANGRY,low-back,-0.01513306684808669,0.1862999561203075,-0.3877329790887017,0.3574668453925283,
ANGRY,low-front,-0.11494943939350713,0.32117758948082953,-0.7573046183551662,0.527405739568152,
ANIMAL,high-back,-0.13224686126054333,0.2192982864590517,-0.5708434341786467,0.3063497116575601,
ANIMAL,high-front,-0.016110168418925576,0.27354902369697093,-0.5632082158128674,0.5309878789750163,
ANIMAL,low-back,0.0029519182272885916,0.18418898188795016,-0.36542604554861174,0.3713298820031889,
ANIMAL,low-front,0.0862093610363786,0.3160553107653822,-0.5459012604943858,0.7183199825671429,
ANT,high-back,0.0857614917280901,0.2142169359192158,-0.3426723801103415,0.5141953635665217,
ANT,high-front,0.04773509688658453,0.26711813296318565,-0.4865011690397868,0.5819713628129558,
ANT,low-back,-0.017983521823880237,0.172806048361619,-0.36359561854711825,0.32762857489935776,
ANT,low-front,-0.17884242105933748,0.3147745512783927,-0.8083915236161229,0.45070668149744797,
ASH,high-back,0.22053221989735863,0.21409778611133415,-0.20766335232530966,0.648727792120027,
ASH,high-front,-0.17741541134388839,0.2665285357081421,-0.7104724827601726,0.35564166007239584,
ASH,low-back,-0.029601595890256703,0.16974353157701444,-0.36908865904428556,0.3098854672637722,
ASH,low-front,-0.10422007725306844,0.31311799833793663,-0.7304560739289417,0.5220159194228048,
BACK,high-back,0.17718816422008926,0.21340966087063534,-0.24963115752118142,0.60400748596136,
BACK,high-front,-0.14861388365505301,0.26710881952018,-0.682831522695413,0.385603755385307,
BACK,low-back,0.015488332775159831,0.17055448639187035,-0.3256206400085809,0.3565973055589005,
BACK,low-front,-0.11153508501114814,0.31320234268518593,-0.73793977038152,0.5148696003592237,
BAD,high-back,-0.22000485290144653,0.21831712922286184,-0.6566391113471702,0.21662940554427715,
BAD,high-front,0.05015935102266686,0.27341972206553267,-0.49668009310839845,0.5969987951537322,
BAD,low-back,-0.015998509394895357,0.1834073357317375,-0.38281318085837035,0.3508161620685797,
BAD,low-front,0.11562758879148027,0.314631849698664,-0.5136361106058477,0.7448912881888082,
BARK,high-back,0.05435408085997095,0.21687918757386404,-0.3794042942877571,0.48811245600769904,
BARK,high-front,-0.0991616502648797,0.26911795777168257,-0.6373975658082448,0.4390742652784854,
BARK,low-back,-0.01596206388922012,0.17631232245703687,-0.36858670880329386,0.33666258102485364,
BARK,low-front,-0.006014668407486902,0.31461378029629067,-0.6352422290000682,0.6232128921850945,
BE ALIVE,high-back,-0.029096148664803496,0.21527872234566675,-0.459653593356137,0.40146129602653,
BE ALIVE,high-front,0.06714498317196695,0.2691769475025885,-0.4712089118332101,0.605498878177144,
BE ALIVE,low-back,-0.030764524479432565,0.1770503717112973,-0.3848652679020272,0.32333621894316206,
BE ALIVE,low-front,-0.06895432779260521,0.3149061113768709,-0.6987665505463471,0.5608578949611366,
BEAUTIFUL,high-back,-0.07157504373888335,0.22196940387880887,-0.5155138514965011,0.3723637640187344,
