concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high-back-rounded,-0.0935646768601422,0.13950686347171773,-0.37257840380357765,0.18544905008329327,
ABOVE,high-back-unrounded,-0.049106573858636135,0.25771918911373853,-0.5645449520861132,0.4663318043688409,
ABOVE,high-front-rounded,-0.0010654526232002166,0.10822109268112044,-0.2175076379854411,0.21537673273904068,
ABOVE,high-front-unrounded,-0.11962844617810095,0.26467251949851833,-0.6489734851751376,0.4097165928189357,
ABOVE,low-back-rounded,-0.015966093376255153,0.09923339011538952,-0.2144328736070342,0.1825006868545239,
ABOVE,low-back-unrounded,-0.01951975751925051,0.1597332131419413,-0.3389861838031331,0.2999466687646321,
ABOVE,low-front-rounded,-0.017713628406382225,0.09995601355621428,-0.21762565551881077,0.18219839870604634,
ABOVE,low-front-unrounded,0.14704513041281753,0.3182827194167535,-0.4895203084206895,0.7836105692463246,
AFTER,high-back-rounded,-0.04103468700138476,0.13826037094601584,-0.3175554288934164,0.23548605489064692,
AFTER,high-back-unrounded,-0.07709917989812078,0.2577462290860792,-0.5925916380702791,0.4383932782740376,
AFTER,high-front-rounded,-0.024572487422563835,0.1115193720301023,-0.24761123148276842,0.19846625663764078,
AFTER,high-front-unrounded,0.13060841650605107,0.26214262873614325,-0.39367684096623545,0.6548936739783375,
AFTER,low-back-rounded,-0.024137397370689456,0.1020321232028052,-0.22820164377629987,0.17992684903492095,
AFTER,low-back-unrounded,-0.03138228652743351,0.16132463903046443,-0.3540315645883624,0.29126699153349533,
AFTER,low-front-rounded,-0.021480153031892074,0.1017226737052694,-0.22492550044243087,0.18196519437864672,
AFTER,low-front-unrounded,-0.07641935648313555,0.3208493576490888,-0.7181180717813131,0.565279358815042,
AIR,high-back-rounded,-0.0598693543984488,0.14272687079432533,-0.3453230959870995,0.22558438719020185,
AIR,high-back-unrounded,-0.041613694647404394,0.2621821310855946,-0.5659779568185936,0.48275056752378487,
AIR,high-front-rounded,-0.009519910549950482,0.1160404414964448,-0.2416007935428401,0.2225609724429391,
AIR,high-front-unrounded,-0.17117155790107158,0.2675424777486193,-0.7062565133983101,0.363913397596167,
AIR,low-back-rounded,0.0068088668357953915,0.10876021201273546,-0.21071155718967552,0.22432929086126632,
AIR,low-back-unrounded,5.406892428658574e-4,0.16655367960030568,-0.3325666699577455,0.33364804844347723,
AIR,low-front-rounded,0.007241581715825651,0.10977024470692409,-0.21229890769802254,0.22678207112967383,
AIR,low-front-unrounded,0.12545920446469122,0.3209455459585033,-0.5164318874523153,0.7673502963816978,
