concept,category,mean,sd,lwr,upr,word_dim
ABOVE,high,-0.13868230293259684,0.27886860652955886,-0.6964195159917146,0.41905491012652085,
ABOVE,low,0.17985688123925886,0.33596426051169237,-0.4920716397841259,0.8517854022626437,
ABOVE,mid,-0.11370815074929637,0.45547066385103735,-1.024649478451371,0.7972331769527783,
AFTER,high,-0.0338742128315841,0.2886159549794239,-0.6111061227904319,0.5433576971272637,
AFTER,low,0.019679075480890675,0.33783476946765023,-0.6559904634544098,0.6953486144161911,
AFTER,mid,-0.05258680301245888,0.4560052715975738,-0.9645973462076065,0.8594237401826887,
AIR,high,-0.1006004943602595,0.28257051902321184,-0.6657415324066832,0.46454054368616415,
AIR,low,0.1382472206620872,0.34108994662143527,-0.5439326725807834,0.8204271139049577,
AIR,mid,-0.1091932584257959,0.4590837159088397,-1.0273606902434753,0.8089741733918835,
ALL,high,-0.11254665832458108,0.2869617656610946,-0.6864701896467703,0.4613768729976081,
ALL,low,0.006712952179402563,0.33986818391580836,-0.6730234156522141,0.6864493200110193,
ALL,mid,0.04241389832130432,0.4530017195622754,-0.8635895408032466,0.9484173374458551,
ANGRY,high,0.030953140937150136,0.29351603022207806,-0.5560789195070059,0.6179852013813063,
ANGRY,low,-0.0781384239899752,0.33963896930660215,-0.7574163626031795,0.6011395146232291,
ANGRY,mid,-0.022366626714368405,0.4563529310875899,-0.9350724888895482,0.8903392354608114,
ANIMAL,high,-0.009100041426384082,0.2815951945462367,-0.5722904305188575,0.5540903476660893,
ANIMAL,low,0.06505039803009662,0.33011907083600267,-0.5951877436419087,0.7252885397021019,
ANIMAL,mid,-0.1258343384220653,0.45389970002394275,-1.0336337384699508,0.7819650616258202,
ANT,high,0.11818024657620764,0.2899168332543885,-0.46165341993256936,0.6980139130849846,
ANT,low,-0.14320111471012129,0.3295864494843749,-0.8023740136788711,0.5159717842586284,
ANT,mid,-0.05032157580569857,0.4508838184218165,-0.9520892126493317,0.8514460610379344,
ASH,high,0.1272175201845563,0.28460873490808136,-0.44199994963160644,0.696434990000719,
ASH,low,-0.08456138832518469,0.3251984106968615,-0.7349582097189077,0.5658354330685383,
ASH,mid,-0.11864282533894842,0.45078677762812336,-1.0202163805951951,0.7829307299172983,
BACK,high,0.05684914954348066,0.2886967891289664,-0.5205444287144522,0.6342427278014134,
BACK,low,-0.11507730845654866,0.3314719858694056,-0.7780212801953599,0.5478666632822626,
BACK,mid,-0.011357075790311746,0.4510037400436238,-0.9133645558775594,0.8906504042969359,
BAD,high,-0.020924083029575713,0.2808057721015571,-0.5825356272326899,0.5406874611735385,
BAD,low,0.06340192758901281,0.33118707401913705,-0.59897222044926135,0.7257760756272869,
BAD,mid,-0.111043641041308,0.4533489741749066,-1.0177415893911212,0.7956543073085052,
BARK,high,-0.08533835510038808,0.2838006437688342,-0.6529396426380565,0.4822629324372803,
BARK,low,0.04521214463727611,0.3366264530421349,-0.6280407614469937,0.7184650507215459,
BARK,mid,-0.024216488827324998,0.4530846200558439,-0.9303857289390127,0.8819527512843628,
BE ALIVE,high,0.01744663756271955,0.28627831843231955,-0.5551099993019195,0.5900032744273587,
BE ALIVE,low,-0.04873775130964414,0.3327975018227092,-0.7143327549550624,0.6168572523357743,
BE ALIVE,mid,-0.03539798227151032,0.45176870816678116,-0.9389353986050727,0.868139434062052,
BEAUTIFUL,high,-0.10374975463128461,0.2837840631395146,-0.6713178809103137,0.4638183716477446,
BEAUTIFUL,low,0.09007233569072395,0.3370771358370238,-0.5840819359833237,0.7642266073647715,
BEAUTIFUL,mid,-0.052582713041288094,0.45404252799767386,-0.9606677690366359,0.8555023429540596,
BECAUSE,high,-0.04515802132007257,0.2875719463889035,-0.6203019140978796,0.5299858714577343,
BECAUSE,low,0.005885240548453387,0.33824426440346617,-0.6706032882584789,0.6823737693553857,
BECAUSE,mid,-0.025972436294300304,0.4539798376016092,-0.9339321114975188,0.8819872389089181,
BEFORE,high,-0.11528135346661751,0.28987548211832886,-0.6950323177032752,0.46446961077004023,
BEFORE,low,-0.004127998039019441,0.3431107659906072,-0.6903495300202338,0.682093533942195,
BEFORE,mid,0.0551329302961569,0.4550806078776255,-0.855028285459094,0.965294146051408,
BEHIND,high,-0.0791235754911376,0.2811011545822792,-0.641325884655696,0.4830787336734208,
BEHIND,low,0.11593015202098673,0.3338456532923592,-0.5517611545637316,0.7836214586057052,
BEHIND,mid,-0.1057159387553836,0.45294469330697223,-1.011605325369328,0.8001734478585609,
BELLY,high,0.036920894891287456,0.2897674072515107,-0.5426139196117339,0.6164557093943088,
BELLY,low,-0.10670516434623013,0.3328702630884627,-0.7724456905231555,0.5590353618306952,
BELLY,mid,0.0014220677553836657,0.4514664331907064,-0.9015107986260291,0.9043549341367965,
