concept,category,mean,sd,lwr,upr,word_dim
ABOVE,continuant,0.009906234539591325,0.17584004332263356,-0.3417738521056758,0.36158632118485845,
ABOVE,lateral,-0.016178829737600705,0.14384459391058316,-0.303868017558767,0.2715103580835656,
ABOVE,nasal,-0.18433957230567088,0.2258177687286435,-0.6359751097629579,0.26729596515161613,
ABOVE,stop,0.0793765205723327,0.2282271323342076,-0.3770777440960825,0.5358307852407479,
ABOVE,vibrant,0.0316472348208574,0.15822130882574123,-0.28479538283062505,0.34808985247233987,
AFTER,continuant,-0.020067793548474783,0.17441909624723861,-0.368905986042952,0.32877039894600246,
AFTER,lateral,0.02233284141109027,0.1433169572377948,-0.26430107306449935,0.3089667558866799,
AFTER,nasal,0.02517299436522019,0.22650961634072217,-0.42784623831622415,0.47819222704666453,
AFTER,stop,-0.11306023351195806,0.23150505356815576,-0.5760703406482696,0.3499498736243535,
AFTER,vibrant,0.0993605310514984,0.16068462418527243,-0.22200871731904648,0.42072977942204326,
AIR,continuant,0.35249278768504194,0.1711988377800038,0.010095112125034333,0.69489046324504955,
AIR,lateral,0.1401091512363041,0.14258546998276508,-0.14506178872922607,0.4252800912018343,
AIR,nasal,-0.13404320547684032,0.22590723260151072,-0.5858576706798617,0.31777125972618114,
AIR,stop,-0.43352761425304664,0.2328702469272261,-0.8992681081074989,0.032212879601405564,
AIR,vibrant,0.15212937408664806,0.15644930054414577,-0.16076922700164348,0.4650279751749396,
ALL,continuant,-0.050924548697032335,0.1748740202157392,-0.4006725891285107,0.29882349173444606,
ALL,lateral,-0.03355360250453852,0.14078961519438457,-0.3151328328933077,0.24802562788423063,
ALL,nasal,-0.03636571232809564,0.22488478206910592,-0.4861352764663075,0.4134038518101162,
ALL,stop,0.06884840605891895,0.22789151313781814,-0.3869346202167173,0.5246314323345552,
ALL,vibrant,-0.04151166784215363,0.15622356905095028,-0.35395880594405416,0.27093547025974696,
ANGRY,continuant,-0.013521804462115096,0.18199434438839893,-0.37751049323891295,0.35046688431468276,
ANGRY,lateral,0.04544545556759952,0.1562973637422717,-0.26714927191694393,0.3580401830521429,
ANGRY,nasal,-0.2890990498773597,0.23527313112744977,-0.7596453121322593,0.18144721237753986,
ANGRY,stop,0.13274477897703774,0.23590782065978252,-0.3390708623425273,0.6045604202966028,
ANGRY,vibrant,0.019882327338501603,0.1688083303190654,-0.3177343332996292,0.3574989879766324,
ANIMAL,continuant,0.06859590974532201,0.17463736544445443,-0.2806788211435869,0.41787064063423085,
ANIMAL,lateral,-0.01957207046359619,0.13989581431288436,-0.29936369908936494,0.2602195581621725,
ANIMAL,nasal,0.060787119874798956,0.2249875202767164,-0.38918792067863384,0.5107621604282317,
ANIMAL,stop,-0.11514899465527766,0.2297943115626825,-0.5747376177806427,0.34443962847008736,
ANIMAL,vibrant,-0.021143923262896307,0.1560642029521612,-0.3332723291672187,0.29098448264142607,
ANT,continuant,-0.09415329560393981,0.17483155614090248,-0.4438164078857448,0.25550981667786515,
ANT,lateral,-0.08818277791424639,0.13986491769030807,-0.3679126132948625,0.19154705746636974,
ANT,nasal,0.09273834233212268,0.2248533756155467,-0.3569684088989707,0.542445093563216,
ANT,stop,-0.0030977147072666082,0.2293015899272329,-0.4617008945617324,0.4555054651471992,
ANT,vibrant,0.017304395758590732,0.15736764839881393,-0.29743090103903713,0.33203969255621857,
ASH,continuant,0.06519998033408896,0.17472867958508048,-0.284257378836072,0.41465733950424993,
ASH,lateral,-0.012499813493246375,0.14184035074299164,-0.29618051497922965,0.27118088799273693,
ASH,nasal,-0.24937978902270724,0.22489493744332012,-0.6991696639093474,0.200410085863933,
ASH,stop,0.12271207551184046,0.22624592048447806,-0.3297797654571156,0.5752039164807966,
ASH,vibrant,-0.04971973878815255,0.15570637121660136,-0.3611324812213553,0.26169300364505016,
BACK,continuant,-0.26528607835647444,0.17782946184978699,-0.6209450020560484,0.09037284534309953,
BACK,lateral,-0.09383088260358023,0.14676138695799693,-0.3873536565195741,0.1996918913124136,
BACK,nasal,-0.13031786966571451,0.22843643632895255,-0.5871907423236196,0.3265550029921906,
BACK,stop,0.3009118267846426,0.22780145092537032,-0.15469107506609803,0.7565147286353833,
BACK,vibrant,-0.04624644010649015,0.1621124391522729,-0.370471318411036,0.2779784381980557,
BAD,continuant,0.13332185791289686,0.17252128870466216,-0.21172071949642746,0.47836443532222117,
BAD,lateral,0.008761803456985228,0.1383614427716687,-0.26796108208635216,0.28548468900032264,
BAD,nasal,-0.1579611194677648,0.22340507981978905,-0.604771279107343,0.2888490401718133,
BAD,stop,-0.05076615846986374,0.22666854120318655,-0.5041032408762368,0.4025709239365094,
BAD,vibrant,0.03972544984781873,0.15368443133138102,-0.2676434128149433,0.34709431251058076,
BARK,continuant,-0.13292286646708312,0.17886838387099788,-0.4906596342090789,0.22481390127491263,
BARK,lateral,-0.009927789232074343,0.1490033976124285,-0.30793458445693134,0.2880790059927827,
BARK,nasal,-0.3858910619414691,0.22929365229797047,-0.84447836653741,0.07269624265447183,
BARK,stop,0.3360357051041803,0.2260794682134211,-0.11612323132266189,0.7881946415310225,
BARK,vibrant,-0.05340169446567103,0.1629858049784634,-0.37937330442259787,0.27256991549125575,
BE ALIVE,continuant,0.17334971974838873,0.1694637600135682,-0.16557780027874766,0.5122772397755251,
BE ALIVE,lateral,0.06752297818779998,0.1343870413724869,-0.2012511045571738,0.3362970609327738,
BE ALIVE,nasal,0.06286435322661638,0.21969850340111255,-0.3765326535756087,0.5022613600288415,
