concept,category,mean,sd,lwr,upr,word_dim
ABOVE,alveolar,0.04542521768231598,0.20864697391484288,-0.37186873014736976,0.46271916551200176,
ABOVE,glottal,3.7711386029602495e-4,0.20333094128452442,-0.4062847687087528,0.4070389964293449,
ABOVE,labial,-0.1469607485280031,0.20496022523162355,-0.5568811989912502,0.262959701935244,
ABOVE,palatal,-0.010894391165682367,0.20183143473319792,-0.4145572606320782,0.3927684783007135,
ABOVE,velar,0.029023125703616315,0.20206479099950958,-0.37510645629540285,0.4331527077026355,
AFTER,alveolar,0.03237129662965059,0.21019242556794107,-0.38801355450623154,0.45275614776553275,
AFTER,glottal,-0.03955693170964561,0.2059370036514311,-0.45143093901250786,0.3723170755932166,
AFTER,labial,-0.001484431423544044,0.20846667040574188,-0.4184177722350278,0.4154489093879397,
AFTER,palatal,-0.08805232293084739,0.20431287990954786,-0.4966780827499431,0.32057343688824835,
AFTER,velar,-0.011758719136203492,0.20632765309371304,-0.42441402532362954,0.4008965870512226,
AIR,alveolar,-0.014581695685722769,0.20993928330587824,-0.43446026229747925,0.4052968709260337,
AIR,glottal,0.17985072215435707,0.20682385689968275,-0.23379699164500842,0.5934984359537225,
AIR,labial,-0.0175469789564707,0.21029288070237206,-0.43813274036121486,0.4030387824482734,
AIR,palatal,-0.006515362042100965,0.20609257089237623,-0.4187005038268534,0.4056697797426515,
AIR,velar,-0.17622764609241423,0.20634919483533287,-0.58892603576308,0.2364707435782515,
ALL,alveolar,0.04779065289576435,0.2067330799348191,-0.36567550697387385,0.46125681276540254,
ALL,glottal,-0.026208020047442576,0.20135456447693645,-0.4289171490013155,0.3765011089064303,
ALL,labial,-0.007825031723119965,0.20255156936911875,-0.4129281704613575,0.3972781070151175,
ALL,palatal,-0.04832276821055352,0.19979720791735175,-0.44791718404525704,0.35127164762415,
ALL,velar,-0.06913981750200644,0.19976973010368532,-0.46867927770937706,0.3303996427053642,
ANGRY,alveolar,0.04325405792058988,0.21178883419837455,-0.3803236104761592,0.466831726317339,
ANGRY,glottal,-0.046561552614749896,0.20962366638810173,-0.46580888539095333,0.3726857801614536,
ANGRY,labial,-0.15569514821891917,0.21359140324713755,-0.5828779547131943,0.2714876582753559,
