concept,category,mean,sd,lwr,upr,word_dim
ABOVE,rounded,-0.08209281173251859,0.22944444695693603,-0.5409817056463906,0.37679608218135346,
ABOVE,unrounded,0.08209281173251864,0.22944444695693603,-0.3767960821813534,0.5409817056463907,
AFTER,rounded,-0.0050319215003075965,0.23384047739945193,-0.4727128762992115,0.46264903329859625,
AFTER,unrounded,0.005031921500307638,0.23384047739945193,-0.46264903329859625,0.4727128762992115,
AIR,rounded,-0.08243553044933259,0.2372086110051453,-0.5568527524596232,0.39198169156095797,
AIR,unrounded,0.08243553044933263,0.2372086110051453,-0.39198169156095797,0.5568527524596232,
ALL,rounded,0.02999841083608461,0.2267714507699857,-0.4235444907038868,0.483541312376056,
ALL,unrounded,-0.029998410836084552,0.2267714507699857,-0.48354131237605597,0.42354449070388683,
ANGRY,rounded,0.018624913766462404,0.23980683516524073,-0.46098875656401905,0.4982385840969439,
ANGRY,unrounded,-0.018624913766462362,0.23980683516524073,-0.4982385840969438,0.4609887565640191,
ANIMAL,rounded,-0.2359914643394986,0.22901533097491564,-0.6940221262893299,0.22203919761033267,
ANIMAL,unrounded,0.23599146433949864,0.22901533097491564,-0.22203919761033264,0.6940221262893299,
ANT,rounded,0.042711067020771404,0.22770024303838218,-0.412689419055993,0.49811155309753574,
ANT,unrounded,-0.04271106702077136,0.22770024303838218,-0.49811155309753574,0.412689419055993,
ASH,rounded,0.2591304146405014,0.22624202631282878,-0.19335363798515615,0.711614467266159,
ASH,unrounded,-0.25913041464050135,0.22624202631282878,-0.7116144672661588,0.1933536379851562,
BACK,rounded,0.2109343969405014,0.22666199499316994,-0.2423895930458385,0.6642583869268412,
BACK,unrounded,-0.21093439694050137,0.22666199499316994,-0.6642583869268412,0.24238959304583851,
BAD,rounded,-0.2023101514694986,0.2270595626592565,-0.6564292767880116,0.2518089738490144,
BAD,unrounded,0.20231015146949863,0.22705956265925648,-0.25180897384901435,0.6564292767880116,
BARK,rounded,0.0643210336471014,0.2274502243499615,-0.3905794150528216,0.5192214823470245,
BARK,unrounded,-0.06432103364710136,0.2274502243499615,-0.5192214823470244,0.3905794150528217,
BE ALIVE,rounded,-0.023755820863711596,0.22766567279207436,-0.4790871664478603,0.43157552472043714,
BE ALIVE,unrounded,0.023755820863711637,0.22766567279207436,-0.4315755247204371,0.47908716644786037,
BEAUTIFUL,rounded,-0.035513252933390596,0.23051145862250222,-0.496536170178395,0.42550966431161386,
BEAUTIFUL,unrounded,0.03551325293339064,0.23051145862250222,-0.4255096643116138,0.4965361701783951,
BECAUSE,rounded,-0.08370026690564158,0.23288632734329662,-0.5494729215922348,0.38207238778095165,
BECAUSE,unrounded,0.08370026690564164,0.23288632734329662,-0.3820723877809516,0.5494729215922349,
BEFORE,rounded,-0.1275900764567986,0.23048557704909026,-0.5885612305549791,0.3333810776413819,
BEFORE,unrounded,0.12759007645679862,0.23048557704909026,-0.3333810776413819,0.5885612305549791,
BEHIND,rounded,-0.0856455353054956,0.23016088965971265,-0.5459673146249209,0.37467624401392974,
