ipa,unicode,height,backness,roundedness,extreme,extreme_roundedness,manner,manner_voicing,position,position_voicing,voicing,gr35,gr60,cardinal,cardinal_ipa
m̥,ṃ,,,,,,nasal,nasal-voice,labial,labial-voice,unvoiced,nasal-labial-voiceless,nasal-labial-voiceless,ṃ,m̥
m,m,,,,,,nasal,nasal+voice,labial,labial+voice,voiced,nasal-labial-voiced,nasal-labial-voiced,m,m
ɱ,ɱ,,,,,,nasal,nasal+voice,labial,labial+voice,voiced,nasal-labial-voiced,nasal-labial-voiced,m,m
n̪̥,ṋ,,,,,,nasal,nasal-voice,alveolar,alveolar-voice,unvoiced,nasal-hardpalate-voiceless,nasal-alveolar-voiceless,ṇ,n̥
n̪,¤,,,,,,nasal,nasal+voice,alveolar,alveolar+voice,voiced,nasal-hardpalate-voiced,nasal-alveolar-voiced,n,n
n̥,ṇ,,,,,,nasal,nasal-voice,alveolar,alveolar-voice,unvoiced,nasal-hardpalate-voiceless,nasal-alveolar-voiceless,ṇ,n̥
n,n,,,,,,nasal,nasal+voice,alveolar,alveolar+voice,voiced,nasal-hardpalate-voiced,nasal-alveolar-voiced,n,n
ɳ,ɳ,,,,,,nasal,nasal+voice,palatal,palatal+voice,voiced,nasal-hardpalate-voiced,nasal-palatal-voiced,ɲ,ɲ
ɲ̊,ἠ,,,,,,nasal,nasal-voice,palatal,palatal-voice,unvoiced,nasal-hardpalate-voiceless,nasal-palatal-voiceless,ἠ,ɲ̊
ɲ,ɲ,,,,,,nasal,nasal+voice,palatal,palatal+voice,voiced,nasal-hardpalate-voiced,nasal-palatal-voiced,ɲ,ɲ
ŋ̊,ŉ,,,,,,nasal,nasal-voice,velar,velar-voice,unvoiced,nasal-softpalate-voiceless,nasal-velar-voiceless,ŉ,ŋ̊
ŋ,ŋ,,,,,,nasal,nasal+voice,velar,velar+voice,voiced,nasal-softpalate-voiced,nasal-velar-voiced,ŋ,ŋ
ɴ,ɴ,,,,,,nasal,nasal+voice,velar,velar+voice,voiced,nasal-softpalate-voiced,nasal-velar-voiced,ŋ,ŋ
m̰,ṁ,,,,,,nasal,nasal+voice,labial,labial+voice,voiced,nasal-labial-voiced,nasal-labial-voiced,m,m
n̪̰,ň,,,,,,nasal,nasal+voice,alveolar,alveolar+voice,voiced,nasal-hardpalate-voiced,nasal-alveolar-voiced,n,n
p,p,,,,,,stop,stop-voice,labial,labial-voice,unvoiced,stop-labial-voiceless,stop-labial-voiceless,p,p
b,b,,,,,,stop,stop+voice,labial,labial+voice,voiced,stop-labial-voiced,stop-labial-voiced,b,b
t̪,ŧ,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
d̪,đ,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
t,t,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
d,d,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
ʈ,ʈ,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
ɖ,ɖ,,,,,,stop,stop+voice,palatal,palatal+voice,voiced,stop-hardpalate-voiced,stop-palatal-voiced,ɟ,ɟ
c,c,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
ɟ,ɟ,,,,,,stop,stop+voice,palatal,palatal+voice,voiced,stop-hardpalate-voiced,stop-palatal-voiced,ɟ,ɟ
k,k,,,,,,stop,stop-voice,velar,velar-voice,unvoiced,stop-softpalate-voiceless,stop-velar-voiceless,k,k
g,g,,,,,,stop,stop+voice,velar,velar+voice,voiced,stop-softpalate-voiced,stop-velar-voiced,g,g
q,q,,,,,,stop,stop-voice,velar,velar-voice,unvoiced,stop-softpalate-voiceless,stop-velar-voiceless,k,k
ɢ,ɢ,,,,,,stop,stop+voice,velar,velar+voice,voiced,stop-softpalate-voiced,stop-velar-voiced,g,g
ʔ,ʔ,,,,,,stop,stop-voice,glottal,glottal-voice,unvoiced,stop-softpalate-voiceless,stop-glottal-voiceless,ʔ,ʔ
pʼ,ṕ,,,,,,stop,stop-voice,labial,labial-voice,unvoiced,stop-labial-voiceless,stop-labial-voiceless,p,p
t̪ʼ,ţ,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
tʼ,ť,,,,,,stop,stop-voice,alveolar,alveolar-voice,unvoiced,stop-hardpalate-voiceless,stop-alveolar-voiceless,t,t
ʈʼ,ț,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
cʼ,ć,,,,,,stop,stop-voice,palatal,palatal-voice,unvoiced,stop-hardpalate-voiceless,stop-palatal-voiceless,c,c
kʼ,ḱ,,,,,,stop,stop-voice,velar,velar-voice,unvoiced,stop-softpalate-voiceless,stop-velar-voiceless,k,k
qʼ,ɋ,,,,,,stop,stop-voice,velar,velar-voice,unvoiced,stop-softpalate-voiceless,stop-velar-voiceless,k,k
ɓ,ɓ,,,,,,stop,stop+voice,labial,labial+voice,voiced,stop-labial-voiced,stop-labial-voiced,b,b
ɗ,ɗ,,,,,,stop,stop+voice,alveolar,alveolar+voice,voiced,stop-hardpalate-voiced,stop-alveolar-voiced,d,d
ʄ,ʄ,,,,,,stop,stop+voice,palatal,palatal+voice,voiced,stop-hardpalate-voiced,stop-palatal-voiced,ɟ,ɟ
ɠ,ɠ,,,,,,stop,stop+voice,velar,velar+voice,voiced,stop-softpalate-voiced,stop-velar-voiced,g,g
s̪,$,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
z̪,ƶ,,,,,,continuant,continuant+voice,alveolar,alveolar+voice,voiced,continuant-hardpalate-voiced,continuant-alveolar-voiced,z,z
s,s,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
z,z,,,,,,continuant,continuant+voice,alveolar,alveolar+voice,voiced,continuant-hardpalate-voiced,continuant-alveolar-voiced,z,z
ʃ,ʃ,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
ʒ,ʒ,,,,,,continuant,continuant+voice,alveolar,alveolar+voice,voiced,continuant-hardpalate-voiced,continuant-alveolar-voiced,z,z
ʂ,ʂ,,,,,,continuant,continuant-voice,palatal,palatal-voice,unvoiced,continuant-hardpalate-voiceless,continuant-palatal-voiceless,ç,ç
ʐ,ʐ,,,,,,continuant,continuant+voice,palatal,palatal+voice,voiced,continuant-hardpalate-voiced,continuant-palatal-voiced,j,j
ɕ,ɕ,,,,,,continuant,continuant-voice,palatal,palatal-voice,unvoiced,continuant-hardpalate-voiceless,continuant-palatal-voiceless,ç,ç
ʑ,ʑ,,,,,,continuant,continuant+voice,palatal,palatal+voice,voiced,continuant-hardpalate-voiced,continuant-palatal-voiced,j,j
s̪ʼ,ŝ,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
sʼ,ś,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
ʃʼ,ſ,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
ʂʼ,ş,,,,,,continuant,continuant-voice,palatal,palatal-voice,unvoiced,continuant-hardpalate-voiceless,continuant-palatal-voiceless,ç,ç
ɸ,ɸ,,,,,,continuant,continuant-voice,labial,labial-voice,unvoiced,continuant-labial-voiceless,continuant-labial-voiceless,f,f
β,β,,,,,,continuant,continuant+voice,labial,labial+voice,voiced,continuant-labial-voiced,continuant-labial-voiced,v,v
f,f,,,,,,continuant,continuant-voice,labial,labial-voice,unvoiced,continuant-labial-voiceless,continuant-labial-voiceless,f,f
v,v,,,,,,continuant,continuant+voice,labial,labial+voice,voiced,continuant-labial-voiced,continuant-labial-voiced,v,v
θ,θ,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
ð,ð,,,,,,continuant,continuant+voice,alveolar,alveolar+voice,voiced,continuant-hardpalate-voiced,continuant-alveolar-voiced,z,z
ç,ç,,,,,,continuant,continuant-voice,palatal,palatal-voice,unvoiced,continuant-hardpalate-voiceless,continuant-palatal-voiceless,ç,ç
ʝ,ʝ,,,,,,continuant,continuant+voice,palatal,palatal+voice,voiced,continuant-hardpalate-voiced,continuant-palatal-voiced,j,j
x,x,,,,,,continuant,continuant-voice,velar,velar-voice,unvoiced,continuant-softpalate-voiceless,continuant-velar-voiceless,x,x
ɣ,ɣ,,,,,,continuant,continuant+voice,velar,velar+voice,voiced,continuant-softpalate-voiced,continuant-velar-voiced,ɣ,ɣ
χ,χ,,,,,,continuant,continuant-voice,velar,velar-voice,unvoiced,continuant-softpalate-voiceless,continuant-velar-voiceless,x,x
ħ,ħ,,,,,,continuant,continuant-voice,glottal,glottal-voice,unvoiced,continuant-softpalate-voiceless,continuant-glottal-voiceless,h,h
h,h,,,,,,continuant,continuant-voice,glottal,glottal-voice,unvoiced,continuant-softpalate-voiceless,continuant-glottal-voiceless,h,h
ɦ,ɦ,,,,,,continuant,continuant+voice,glottal,glottal+voice,voiced,continuant-softpalate-voiced,continuant-glottal-voiced,ɦ,ɦ
fʼ,ḟ,,,,,,continuant,continuant-voice,labial,labial-voice,unvoiced,continuant-labial-voiceless,continuant-labial-voiceless,f,f
θʼ,þ,,,,,,continuant,continuant-voice,alveolar,alveolar-voice,unvoiced,continuant-hardpalate-voiceless,continuant-alveolar-voiceless,s,s
çʼ,ḉ,,,,,,continuant,continuant-voice,palatal,palatal-voice,unvoiced,continuant-hardpalate-voiceless,continuant-palatal-voiceless,ç,ç
xʼ,ẋ,,,,,,continuant,continuant-voice,velar,velar-voice,unvoiced,continuant-softpalate-voiceless,continuant-velar-voiceless,x,x
ʋ,ʋ,,,,,,continuant,continuant+voice,labial,labial+voice,voiced,continuant-labial-voiced,continuant-labial-voiced,v,v
ɹ,ɹ,,,,,,continuant,continuant+voice,alveolar,alveolar+voice,voiced,continuant-hardpalate-voiced,continuant-alveolar-voiced,z,z
